GCCSA_CODE_2016,C16_85o_SOL_SE_To,C16_85o_LPE_NS,C16_85o_Tot,C16_Tot_SEO,C16_To_SOL_SE_Vw_w,C16_To_SOL_SE_Nw_Na,C16_To_SOL_SE_P_E_n,C16_Tot_SOL_SE_Tot,C16_Tot_LPE_NS,C16_T_T
1RNSW,4568,8978,71398,2302328,134997,22566,2380,159938,181267,2643536
1GSYD,25851,9405,96022,2816815,1412427,313482,16349,1742261,264920,4823991
19799,3,0,10,279,54,46,0,95,41,412
19499,15,22,78,7212,1529,320,19,1863,3211,12288
