GCCSA_CODE_2016,C16_M_40_44_Em_Tot,C16_M_40_44_Unem_Look_FT,C16_M_40_44_Unem_Look_PT,C16_M_40_44_Unem_Tot,C16_M_40_44_Tot_LF,C16_M_40_44_Notin_LF,C16_M_40_44_LF_NS,C16_M_40_44_Tot,C16_M_45_49_Em_FT,C16_M_45_49_Em_PT,C16_M_45_49_Em_AFW,C16_M_45_49_Em_Hrs_NS,C16_M_45_49_Em_Tot,C16_M_45_49_Unem_Look_FT,C16_M_45_49_Unem_Look_PT,C16_M_45_49_Unem_Tot,C16_M_45_49_Tot_LF,C16_M_45_49_Notin_LF,C16_M_45_49_LF_NS,C16_M_45_49_Tot,C16_M_50_54_Em_FT,C16_M_50_54_Em_PT,C16_M_50_54_Em_AFW,C16_M_50_54_Em_Hrs_NS,C16_M_50_54_Em_Tot,C16_M_50_54_Unem_Look_FT,C16_M_50_54_Unem_Look_PT,C16_M_50_54_Unem_Tot,C16_M_50_54_Tot_LF,C16_M_50_54_Notin_LF,C16_M_50_54_LF_NS,C16_M_50_54_Tot,C16_M_55_59_Em_FT,C16_M_55_59_Em_PT,C16_M_55_59_Em_AFW,C16_M_55_59_Em_Hrs_NS,C16_M_55_59_Em_Tot,C16_M_55_59_Unem_Look_FT,C16_M_55_59_Unem_Look_PT,C16_M_55_59_Unem_Tot,C16_M_55_59_Tot_LF,C16_M_55_59_Notin_LF,C16_M_55_59_LF_NS,C16_M_55_59_Tot,C16_M_60_64_Em_FT,C16_M_60_64_Em_PT,C16_M_60_64_Em_AFW,C16_M_60_64_Em_Hrs_NS,C16_M_60_64_Em_Tot,C16_M_60_64_Unem_Look_FT,C16_M_60_64_Unem_Look_PT,C16_M_60_64_Unem_Tot,C16_M_60_64_Tot_LF,C16_M_60_64_Notin_LF,C16_M_60_64_LF_NS,C16_M_60_64_Tot,C16_M_65_69_Em_FT,C16_M_65_69_Em_PT,C16_M_65_69_Em_AFW,C16_M_65_69_Em_Hrs_NS,C16_M_65_69_Em_Tot,C16_M_65_69_Unem_Look_FT,C16_M_65_69_Unem_Look_PT,C16_M_65_69_Unem_Tot,C16_M_65_69_Tot_LF,C16_M_65_69_Notin_LF,C16_M_65_69_LF_NS,C16_M_65_69_Tot,C16_M_70_74_Em_FT,C16_M_70_74_Em_PT,C16_M_70_74_Em_AFW,C16_M_70_74_Em_Hrs_NS,C16_M_70_74_Em_Tot,C16_M_70_74_Unem_Look_FT,C16_M_70_74_Unem_Look_PT,C16_M_70_74_Unem_Tot,C16_M_70_74_Tot_LF,C16_M_70_74_Notin_LF,C16_M_70_74_LF_NS,C16_M_70_74_Tot,C16_M_75ov_Em_FT,C16_M_75ov_Em_PT,C16_M_75ov_Em_AFW,C16_M_75ov_Em_Hrs_NS,C16_M_75over_Em_Tot,C16_M_75over_Unem_Lo_ft_wor,C16_M_75ov_Unem_Lo_pt_wor,C16_M_75ov_Unempl_Tot,C16_M_75ov_Tot_LF,C16_M_75over_N_lab_forc,C16_M_75ov_LF_NS,C16_M_75over_Tot,C16_M_Tot_Em_FT,C16_M_Tot_Em_PT,C16_M_Tot_Em_AFW,C16_M_Tot_Em_Hrs_NS,C16_M_Tot_Em_Tot,C16_M_Tot_Unem_Look_FT,C16_M_Tot_Unem_Look_PT,C16_M_Tot_Unem_Tot,C16_M_T_T_labo_for,C16_M_Tot_Notin_LF,C16_M_Tot_LF_NS,C16_M_T_T,C06_F_15_19_Em_FT,C06_F_15_19_Em_PT,C06_F_15_19_Em_AFW,C06_F_15_19_Em_Hrs_NS,C06_F_15_19_Em_Tot,C06_F_15_19_Unem_Look_FT,C06_F_15_19_Unem_Look_PT,C06_F_15_19_Unem_Tot,C06_F_15_19_Tot_LF,C06_F_15_19_Notin_LF,C06_F_15_19_LF_NS,C06_F_15_19_Tot,C06_F_20_24_Em_FT,C06_F_20_24_Em_PT,C06_F_20_24_Em_AFW,C06_F_20_24_Em_Hrs_NS,C06_F_20_24_Em_Tot,C06_F_20_24_Unem_Look_FT,C06_F_20_24_Unem_Look_PT,C06_F_20_24_Unem_Tot,C06_F_20_24_Tot_LF,C06_F_20_24_Notin_LF,C06_F_20_24_LF_NS,C06_F_20_24_Tot,C06_F_25_29_Em_FT,C06_F_25_29_Em_PT,C06_F_25_29_Em_AFW,C06_F_25_29_Em_Hrs_NS,C06_F_25_29_Em_Tot,C06_F_25_29_Unem_Look_FT,C06_F_25_29_Unem_Look_PT,C06_F_25_29_Unem_Tot,C06_F_25_29_Tot_LF,C06_F_25_29_Notin_LF,C06_F_25_29_LF_NS,C06_F_25_29_Tot,C06_F_30_34_Em_FT,C06_F_30_34_Em_PT,C06_F_30_34_Em_AFW,C06_F_30_34_Em_Hrs_NS,C06_F_30_34_Em_Tot,C06_F_30_34_Unem_Look_FT,C06_F_30_34_Unem_Look_PT,C06_F_30_34_Unem_Tot,C06_F_30_34_Tot_LF,C06_F_30_34_Notin_LF,C06_F_30_34_LF_NS,C06_F_30_34_Tot,C06_F_35_39_Em_FT,C06_F_35_39_Em_PT,C06_F_35_39_Em_AFW,C06_F_35_39_Em_Hrs_NS,C06_F_35_39_Em_Tot,C06_F_35_39_Unem_Look_FT,C06_F_35_39_Unem_Look_PT,C06_F_35_39_Unem_Tot,C06_F_35_39_Tot_LF,C06_F_35_39_Notin_LF,C06_F_35_39_LF_NS,C06_F_35_39_Tot,C06_F_40_44_Em_FT,C06_F_40_44_Em_PT,C06_F_40_44_Em_AFW,C06_F_40_44_Em_Hrs_NS,C06_F_40_44_Em_Tot,C06_F_40_44_Unem_Look_FT,C06_F_40_44_Unem_Look_PT,C06_F_40_44_Unem_Tot,C06_F_40_44_Tot_LF,C06_F_40_44_Notin_LF,C06_F_40_44_LF_NS,C06_F_40_44_Tot,C06_F_45_49_Em_FT,C06_F_45_49_Em_PT,C06_F_45_49_Em_AFW,C06_F_45_49_Em_Hrs_NS,C06_F_45_49_Em_Tot,C06_F_45_49_Unem_Look_FT,C06_F_45_49_Unem_Look_PT,C06_F_45_49_Unem_Tot,C06_F_45_49_Tot_LF,C06_F_45_49_Notin_LF,C06_F_45_49_LF_NS,C06_F_45_49_Tot,C06_F_50_54_Em_FT,C06_F_50_54_Em_PT,C06_F_50_54_Em_AFW,C06_F_50_54_Em_Hrs_NS,C06_F_50_54_Em_Tot,C06_F_50_54_Unem_Look_FT,C06_F_50_54_Unem_Look_PT,C06_F_50_54_Unem_Tot,C06_F_50_54_Tot_LF,C06_F_50_54_Notin_LF,C06_F_50_54_LF_NS,C06_F_50_54_Tot
1RNSW,60720,2605,594,3202,63921,9565,5242,78729,50837,8605,1616,1174,62225,2667,635,3304,65532,11130,5743,82400,50764,9935,1958,1126,63785,2646,704,3349,67140,14147,6206,87489,45574,11622,2426,979,60599,2589,946,3533,64131,20693,6558,91386,27975,12215,2042,763,42995,1984,1134,3119,46119,34605,6327,87041,10976,8433,1030,498,20933,210,396,611,21537,56832,6404,84775,3763,4343,420,321,8848,56,144,201,9052,50964,5492,65512,2484,2832,334,514,6159,68,82,145,6309,86785,11890,104980,418117,123559,17875,12471,572026,29817,13361,43178,615204,359273,78155,1052624,7460,25139,1611,1736,35945,3018,3441,6455,42404,35246,3384,81029,21259,17362,1562,1121,41304,2885,1891,4773,46077,15949,2875,64905,20256,14165,2155,749,37323,1679,1406,3086,40411,16949,2506,59866,18450,22086,2772,874,44184,1501,1732,3234,47423,21591,2878,71893,20701,28311,2202,1079,52290,1646,2107,3757,56050,21290,3240,80580,26486,31267,1879,1287,60913,1925,1940,3867,64789,19366,3354,87501,32052,29945,2178,1289,65462,1841,1551,3394,68862,18832,3399,91092,27878,24139,2293,1027,55335,1432,1062,2494,57831,22550,3116,83504
1GSYD,138240,4449,1055,5504,143744,14224,9551,167516,106508,15428,2043,2442,126427,4395,1032,5422,131850,15847,8925,156617,97652,16024,2250,2194,118122,4149,1139,5289,123407,19024,8336,150766,79232,16023,2530,1678,99457,3626,1439,5070,104523,24706,7644,136868,46758,16901,2032,1171,66866,2778,1647,4430,71289,38846,6617,116752,18866,12871,1206,593,33540,510,684,1201,34735,62271,6095,103106,5205,6680,452,269,12603,118,274,391,12997,58308,5008,76315,2012,3898,302,294,6507,74,133,205,6709,109639,11110,127461,910114,243808,24813,26188,1204929,46846,28691,75539,1280466,515700,118150,1914314,10986,35519,2380,2694,51566,3023,4927,7954,59522,66275,7200,132990,55732,35871,2923,3539,98073,3925,3814,7740,105810,31253,11197,148259,74152,23764,4327,2298,104536,3114,2335,5444,109984,31295,12050,153332,64515,34689,6373,1988,107569,2474,2603,5076,112646,41889,11830,166355,53384,42772,4857,2095,103116,2377,3013,5390,108506,43834,10368,162706,54974,45349,3184,2358,105861,2515,2993,5508,111372,36722,9393,157482,58770,40973,3034,2307,105082,2353,2278,4630,109714,31890,8356,149963,51274,33020,3014,1955,89263,1768,1611,3377,92639,33419,7562,133621
19799,7,0,0,0,7,0,0,10,3,3,3,0,9,0,0,0,9,4,0,10,6,0,7,0,8,0,0,0,8,3,0,15,0,0,0,0,3,0,0,0,3,3,4,12,3,3,0,0,10,0,0,0,10,9,0,16,0,3,0,0,3,0,0,0,3,17,9,26,0,0,0,0,0,0,0,0,0,13,0,21,0,0,0,0,0,0,0,0,3,16,9,23,28,7,20,5,59,0,0,0,61,77,24,157,3,0,0,0,3,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19499,211,32,4,35,246,121,280,644,110,38,4,10,158,42,7,48,205,150,214,572,88,56,10,10,163,39,3,37,198,156,226,585,88,42,11,3,139,38,10,42,187,158,175,514,42,35,11,0,82,16,8,24,109,226,134,477,24,20,7,0,48,0,4,3,55,298,101,458,8,8,0,0,9,0,0,3,11,201,48,266,3,3,0,0,6,0,0,0,4,135,53,192,1322,531,85,103,2042,467,120,583,2623,2178,2153,6958,22,41,3,9,76,24,14,42,115,124,25,262,133,95,11,10,243,34,20,58,294,162,42,506,164,76,18,11,264,34,14,49,316,158,67,539,113,54,14,3,187,29,15,41,228,184,46,457,63,57,14,3,139,25,5,28,166,130,32,334,53,33,12,3,94,18,7,27,121,107,14,247,51,32,7,0,94,14,6,21,116,107,16,241,47,34,4,3,90,16,11,26,115,165,19,303
