GCCSA_CODE_2016,Ot_ty_Ed_Ins_Pt_st_C06_P,Ot_ty_Ed_Ins_Pt_st_C11_M,Ot_ty_Ed_Ins_Pt_st_C11_F,Ot_ty_Ed_Ins_Pt_st_C11_P,Ot_ty_Ed_Ins_Pt_st_C16_M,Ot_ty_Ed_Ins_Pt_st_C16_F,Ot_ty_Ed_Ins_Pt_st_C16_P,O_t_E_I_F_P_s_s_ns_C06_M,O_t_E_I_F_P_s_s_ns_C06_F,O_t_E_I_F_P_s_s_ns_C06_P,O_t_E_I_F_P_s_s_ns_C11_M,O_t_E_I_F_P_s_s_ns_C11_F,O_t_E_I_F_P_s_s_ns_C11_P,O_t_E_I_F_P_s_s_ns_C16_M,O_t_E_I_F_P_s_s_ns_C16_F,O_t_E_I_F_P_s_s_ns_C16_P,Oth_ty_Edu_Ins_Tot_C06_M,Oth_ty_Edu_Ins_Tot_C06_F,Oth_ty_Edu_Ins_Tot_C06_P,Oth_ty_Edu_Ins_Tot_C11_M,Oth_ty_Edu_Ins_Tot_C11_F,Oth_ty_Edu_Ins_Tot_C11_P,Oth_ty_Edu_Ins_Tot_C16_M,Oth_ty_Edu_Ins_Tot_C16_F,Oth_ty_Edu_Ins_Tot_C16_P,Type_Educ_Insti_ns_C06_M,Type_Educ_Insti_ns_C06_F,Type_Educ_Insti_ns_C06_P,Type_Educ_Insti_ns_C11_M,Type_Educ_Insti_ns_C11_F,Type_Educ_Insti_ns_C11_P,Type_Educ_Insti_ns_C16_M,Type_Educ_Insti_ns_C16_F,Type_Educ_Insti_ns_C16_P,Tot_C06_M,Tot_C06_F,Tot_C06_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P
1RNSW,8314,2901,6333,9231,2910,6484,9394,113,162,270,120,130,246,123,181,302,3551,7420,10974,4295,8046,12343,4653,8638,13288,91399,87957,179350,88480,82329,170812,110131,107746,217879,364914,372392,737302,364742,376171,740909,386603,403780,790381
1GSYD,21231,8615,15243,23853,10576,18488,29066,370,460,835,334,424,758,265,389,654,11932,19372,31306,15186,22968,38155,19930,30316,50247,194545,183059,377603,161108,151788,312900,157533,156445,313981,681935,678048,1359987,692656,698049,1390705,755631,774542,1530174
19799,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,3,0,3,4,3,11,21,33,46,6,0,8,16,3,17,29,62,93
19499,65,23,33,56,37,33,65,3,0,8,5,0,4,0,0,4,68,48,117,55,69,123,60,69,129,806,497,1303,1956,862,2820,2231,1127,3360,1443,1160,2608,2739,1745,4483,2819,1779,4593
