GCCSA_CODE_2016,C16_F_Tot_Em_Tot,C16_F_Tot_Unem_Look_FT,C16_F_Tot_Unem_Look_PT,C16_F_Tot_Unem_Tot,C16_F_T_T_labo_for,C16_F_Tot_Notin_LF,C16_F_Tot_LF_NS,C16_F_T_T,C06_P_15_19_Em_FT,C06_P_15_19_Em_PT,C06_P_15_19_Em_AFW,C06_P_15_19_Em_Hrs_NS,C06_P_15_19_Em_Tot,C06_P_15_19_Unem_Look_FT,C06_P_15_19_Unem_Look_PT,C06_P_15_19_Unem_Tot,C06_P_15_19_Tot_LF,C06_P_15_19_Notin_LF,C06_P_15_19_LF_NS,C06_P_15_19_Tot,C06_P_20_24_Em_FT,C06_P_20_24_Em_PT,C06_P_20_24_Em_AFW,C06_P_20_24_Em_Hrs_NS,C06_P_20_24_Em_Tot,C06_P_20_24_Unem_Look_FT,C06_P_20_24_Unem_Look_PT,C06_P_20_24_Unem_Tot,C06_P_20_24_Tot_LF,C06_P_20_24_Notin_LF,C06_P_20_24_LF_NS,C06_P_20_24_Tot,C06_P_25_29_Em_FT,C06_P_25_29_Em_PT,C06_P_25_29_Em_AFW,C06_P_25_29_Em_Hrs_NS,C06_P_25_29_Em_Tot,C06_P_25_29_Unem_Look_FT,C06_P_25_29_Unem_Look_PT,C06_P_25_29_Unem_Tot,C06_P_25_29_Tot_LF,C06_P_25_29_Notin_LF,C06_P_25_29_LF_NS,C06_P_25_29_Tot,C06_P_30_34_Em_FT,C06_P_30_34_Em_PT,C06_P_30_34_Em_AFW,C06_P_30_34_Em_Hrs_NS,C06_P_30_34_Em_Tot,C06_P_30_34_Unem_Look_FT,C06_P_30_34_Unem_Look_PT,C06_P_30_34_Unem_Tot,C06_P_30_34_Tot_LF,C06_P_30_34_Notin_LF,C06_P_30_34_LF_NS,C06_P_30_34_Tot,C06_P_35_39_Em_FT,C06_P_35_39_Em_PT,C06_P_35_39_Em_AFW,C06_P_35_39_Em_Hrs_NS,C06_P_35_39_Em_Tot,C06_P_35_39_Unem_Look_FT,C06_P_35_39_Unem_Look_PT,C06_P_35_39_Unem_Tot,C06_P_35_39_Tot_LF,C06_P_35_39_Notin_LF,C06_P_35_39_LF_NS,C06_P_35_39_Tot,C06_P_40_44_Em_FT,C06_P_40_44_Em_PT,C06_P_40_44_Em_AFW,C06_P_40_44_Em_Hrs_NS,C06_P_40_44_Em_Tot,C06_P_40_44_Unem_Look_FT,C06_P_40_44_Unem_Look_PT,C06_P_40_44_Unem_Tot,C06_P_40_44_Tot_LF,C06_P_40_44_Notin_LF,C06_P_40_44_LF_NS,C06_P_40_44_Tot,C06_P_45_49_Em_FT,C06_P_45_49_Em_PT,C06_P_45_49_Em_AFW,C06_P_45_49_Em_Hrs_NS,C06_P_45_49_Em_Tot,C06_P_45_49_Unem_Look_FT,C06_P_45_49_Unem_Look_PT,C06_P_45_49_Unem_Tot,C06_P_45_49_Tot_LF,C06_P_45_49_Notin_LF,C06_P_45_49_LF_NS,C06_P_45_49_Tot,C06_P_50_54_Em_FT,C06_P_50_54_Em_PT,C06_P_50_54_Em_AFW,C06_P_50_54_Em_Hrs_NS,C06_P_50_54_Em_Tot,C06_P_50_54_Unem_Look_FT,C06_P_50_54_Unem_Look_PT,C06_P_50_54_Unem_Tot,C06_P_50_54_Tot_LF,C06_P_50_54_Notin_LF,C06_P_50_54_LF_NS,C06_P_50_54_Tot,C06_P_55_59_Em_FT,C06_P_55_59_Em_PT,C06_P_55_59_Em_AFW,C06_P_55_59_Em_Hrs_NS,C06_P_55_59_Em_Tot,C06_P_55_59_Unem_Look_FT,C06_P_55_59_Unem_Look_PT,C06_P_55_59_Unem_Tot,C06_P_55_59_Tot_LF,C06_P_55_59_Notin_LF,C06_P_55_59_LF_NS,C06_P_55_59_Tot,C06_P_60_64_Em_FT,C06_P_60_64_Em_PT,C06_P_60_64_Em_AFW,C06_P_60_64_Em_Hrs_NS,C06_P_60_64_Em_Tot,C06_P_60_64_Unem_Look_FT,C06_P_60_64_Unem_Look_PT,C06_P_60_64_Unem_Tot,C06_P_60_64_Tot_LF,C06_P_60_64_Notin_LF,C06_P_60_64_LF_NS,C06_P_60_64_Tot,C06_P_65_69_Em_FT,C06_P_65_69_Em_PT,C06_P_65_69_Em_AFW,C06_P_65_69_Em_Hrs_NS,C06_P_65_69_Em_Tot,C06_P_65_69_Unem_Look_FT,C06_P_65_69_Unem_Look_PT,C06_P_65_69_Unem_Tot,C06_P_65_69_Tot_LF,C06_P_65_69_Notin_LF,C06_P_65_69_LF_NS,C06_P_65_69_Tot,C06_P_70_74_Em_FT,C06_P_70_74_Em_PT,C06_P_70_74_Em_AFW,C06_P_70_74_Em_Hrs_NS,C06_P_70_74_Em_Tot,C06_P_70_74_Unem_Look_FT,C06_P_70_74_Unem_Look_PT,C06_P_70_74_Unem_Tot,C06_P_70_74_Tot_LF,C06_P_70_74_Notin_LF,C06_P_70_74_LF_NS,C06_P_70_74_Tot,C06_P_75ov_Em_FT,C06_P_75ov_Em_PT,C06_P_75ov_Em_Aw_fr_w,C06_P_75ov_Emp_H_wor_ns,C06_P_75ov_Em_Tot,C06_P_75ov_Unem_Lo_ft_wor,C06_P_75ov_Unem_Lo_pt_wor,C06_P_75ov_Unemp_Tot,C06_P_75ov_Tot_lab_for,C06_P_75over_N_lab_forc,C06_P_75over_LF_NS,C06_P_75over_Tot,C06_P_Tot_Em_FT,C06_P_Tot_Em_PT,C06_P_Tot_Em_AFW,C06_P_Tot_Em_Hrs_NS,C06_P_Tot_Em_Tot,C06_P_Tot_Unem_Look_FT,C06_P_Tot_Unem_Look_PT,C06_P_Tot_Unem_Tot,C06_P_T_T_labo_for,C06_P_Tot_Notin_LF,C06_P_Tot_LF_NS,C06_P_T_T,C11_P_15_19_Em_FT,C11_P_15_19_Em_PT,C11_P_15_19_Em_AFW,C11_P_15_19_Em_Hrs_NS,C11_P_15_19_Em_Tot,C11_P_15_19_Unem_Look_FT,C11_P_15_19_Unem_Look_PT,C11_P_15_19_Unem_Tot,C11_P_15_19_Tot_LF,C11_P_15_19_Notin_LF,C11_P_15_19_LF_NS,C11_P_15_19_Tot,C11_P_20_24_Em_FT,C11_P_20_24_Em_PT,C11_P_20_24_Em_AFW,C11_P_20_24_Em_Hrs_NS,C11_P_20_24_Em_Tot,C11_P_20_24_Unem_Look_FT,C11_P_20_24_Unem_Look_PT,C11_P_20_24_Unem_Tot,C11_P_20_24_Tot_LF,C11_P_20_24_Notin_LF,C11_P_20_24_LF_NS,C11_P_20_24_Tot
1RNSW,532137,16317,18920,35237,567378,457951,80323,1105649,23446,42021,3033,3534,72034,7490,6278,13768,85806,73650,7483,166947,55201,28000,3042,2967,89219,8075,3317,11391,100610,25743,6807,133151,56356,20273,3474,2266,82377,5374,2011,7382,89760,23668,5719,119151,62500,28533,4455,2607,98087,4715,2310,7020,105112,28515,6311,139945,69519,35468,3973,3040,111998,4741,2716,7457,119452,29418,6867,155743,80080,39411,3831,3278,126607,4946,2567,7507,134114,29065,7484,170663,88169,38942,4306,3108,134530,4750,2211,6959,141492,30256,7673,179416,77802,33059,4503,2527,117889,4031,1762,5789,123685,36019,7006,166704,56477,27899,4396,2004,90780,3172,1677,4854,95628,58491,7026,161148,26201,17594,2416,1165,47380,1846,1228,3076,50453,78227,6324,135001,8550,7984,1001,617,18159,108,209,318,18475,88847,6681,114008,3115,3401,468,402,7389,44,66,111,7501,80862,7228,95587,2453,2407,471,604,5935,67,50,118,6047,161705,21620,189370,609874,324997,39376,28130,1002381,49346,26408,75755,1078130,744469,104232,1926832,21070,44475,3377,2591,71516,6049,7379,13431,84948,74696,7229,166873,56530,31041,3630,2669,93866,7430,3736,11163,105035,28956,7123,141115
1GSYD,1067789,30297,40352,70645,1138432,751080,119868,2009383,28771,61436,4431,5558,100194,7169,9527,16701,116899,139624,15814,272336,120101,64610,5698,8316,198722,10689,7289,17975,216698,56042,24817,297556,166979,39889,7176,6191,220226,8518,3716,12234,232459,44546,26757,303769,173668,47912,9692,5668,236941,7315,3515,10825,247768,52810,25232,325813,160280,55778,8027,5857,229943,6846,3853,10705,240649,55206,22138,317988,160261,58889,6180,6072,231399,6758,3839,10603,241999,49289,20407,311694,156742,53932,5807,5765,222242,6217,3049,9268,231513,45293,18365,295173,134256,45150,5711,4695,189813,5054,2392,7447,197260,48406,16006,261670,101252,39942,5444,3514,150156,3977,2125,6102,156253,68844,14961,240057,47173,27649,3347,1916,80078,2162,1413,3579,83657,86275,12191,182126,12921,12767,1401,809,27890,234,394,629,28525,100572,10971,140061,3019,5229,542,345,9133,61,145,200,9339,95038,10732,115105,2080,3610,498,595,6778,101,115,219,7000,210863,32946,250807,1267503,516793,63936,55293,1903529,65104,41377,106480,2010009,1052819,251334,3314163,22015,60073,4291,3601,89986,6387,12753,19139,109117,154063,12602,275789,108601,76308,6370,6597,197878,12101,10347,22446,220324,67532,19407,307257
19799,72,0,3,3,72,110,41,220,3,0,0,0,3,0,0,0,3,0,0,4,8,0,0,0,8,0,0,0,8,0,0,8,4,0,0,0,7,0,0,0,7,0,0,7,6,0,0,0,7,0,0,0,7,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,8,0,0,8,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,43,0,0,0,43,0,3,50,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3
19499,1291,230,127,358,1646,1876,1063,4590,93,77,4,15,187,75,35,109,291,241,40,574,340,177,23,20,563,99,46,144,706,306,122,1134,428,146,29,24,630,104,28,134,767,306,158,1227,365,120,29,16,537,105,19,127,658,345,118,1127,265,109,38,21,433,93,12,103,536,296,119,951,227,77,23,20,345,77,11,87,431,264,95,796,171,65,17,18,271,48,15,63,336,244,67,641,160,64,14,6,239,60,26,83,320,323,77,723,93,58,14,4,168,35,17,51,225,412,82,713,41,22,3,5,75,13,4,19,95,346,49,497,9,12,0,0,28,0,0,0,28,281,45,354,3,4,0,3,12,0,0,0,12,158,33,203,4,0,3,0,7,3,0,3,11,200,56,273,2209,926,210,153,3493,709,214,921,4417,3723,1075,9217,84,72,15,12,180,74,57,137,313,329,119,757,330,190,23,23,562,108,41,143,702,402,207,1313
