GCCSA_CODE_2016,C11_P_AdD_DL_15_19,C11_P_AdD_DL_20_24,C11_P_AdD_DL_25_34,C11_P_AdD_DL_35_44,C11_P_AdD_DL_45_54,C11_P_AdD_DL_55_64,C11_P_AdD_DL_65_74,C11_P_AdD_DL_75_84,C11_P_AdD_DL_85o,C11_P_AdD_DL_Tot,C11_P_CL_C_III_IV_15_19,C11_P_CL_C_III_IV_20_24,C11_P_CL_C_III_IV_25_34,C11_P_CL_C_III_IV_35_44,C11_P_CL_C_III_IV_45_54,C11_P_CL_C_III_IV_55_64,C11_P_CL_C_III_IV_65_74,C11_P_CL_C_III_IV_75_84,C11_P_CL_C_III_IV_85_ov,C11_P_CL_C_III_IV_Tot,C11_P_CL_C_I_II_15_19,C11_P_CL_C_I_II_20_24,C11_P_CL_C_I_II_25_34,C11_P_CL_C_I_II_35_44,C11_P_CL_C_I_II_45_54,C11_P_CL_C_I_II_55_64,C11_P_CL_C_I_II_65_74,C11_P_CL_C_I_II_75_84,C11_P_CL_C_I_II_85_ov,C11_P_CL_C_I_II_Tot,C11_P_CL_CL_nfd_15_19,C11_P_CL_CL_nfd_20_24,C11_P_CL_CL_nfd_25_34,C11_P_CL_CL_nfd_35_44,C11_P_CL_CL_nfd_45_54,C11_P_CL_CL_nfd_55_64,C11_P_CL_CL_nfd_65_74,C11_P_CL_CL_nfd_75_84,C11_P_CL_CL_nfd_85_ov,C11_P_CL_CL_nfd_Tot,C11_P_CL_T_15_19,C11_P_CL_T_20_24,C11_P_CL_T_25_34,C11_P_CL_T_35_44,C11_P_CL_T_45_54,C11_P_CL_T_55_64,C11_P_CL_T_65_74,C11_P_CL_T_75_84,C11_P_CL_T_85_ov,C11_P_CL_T_Tot,C11_P_LE_ID_15_19,C11_P_LE_ID_20_24,C11_P_LE_ID_25_34,C11_P_LE_ID_35_44,C11_P_LE_ID_45_54,C11_P_LE_ID_55_64,C11_P_LE_ID_65_74,C11_P_LE_ID_75_84,C11_P_LE_ID_85o,C11_P_LE_ID_Tot,C11_P_LE_NS_15_19,C11_P_LE_NS_20_24,C11_P_LE_NS_25_34,C11_P_LE_NS_35_44,C11_P_LE_NS_45_54,C11_P_LE_NS_55_64,C11_P_LE_NS_65_74,C11_P_LE_NS_75_84,C11_P_LE_NS_85_ov,C11_P_LE_NS_T,C11_P_Tot_15_19_yrs,C11_P_Tot_20_24_yrs,C11_P_Tot_25_34_yrs,C11_P_Tot_35_44_yrs,C11_P_Tot_45_54_yrs,C11_P_Tot_55_64_yrs,C11_P_Tot_65_74_yrs,C11_P_Tot_75_84_yrs,C11_P_Tot_85o,C11_P_T_T,C16_P_Post_Deg_15_19_yrs,C16_P_Post_Deg_20_24_yrs,C16_P_Post_Deg_25_34_yrs,C16_P_Post_Deg_35_44_yrs,C16_P_Post_Deg_45_54_yrs,C16_P_Post_Deg_55_64_yrs,C16_P_Post_Deg_65_74_yrs,C16_P_Post_Deg_75_84_yrs,C16_P_Post_Deg_85o,C16_P_Post_Deg_Tot,C16_P_GrDip_GrCe_15_19,C16_P_GrDip_GrCe_20_24,C16_P_GrDip_GrCe_25_34,C16_P_GrDip_GrCe_35_44,C16_P_GrDip_GrCe_45_54,C16_P_GrDip_GrCe_55_64,C16_P_GrDip_GrCe_65_74,C16_P_GrDip_GrCe_75_84,C16_P_GrDip_GrCe_85ov,C16_P_GrDip_GrCe_Tot,C16_P_BD_15_19,C16_P_BD_20_24,C16_P_BD_25_34,C16_P_BD_35_44,C16_P_BD_45_54,C16_P_BD_55_64,C16_P_BD_65_74,C16_P_BD_75_84,C16_P_BD_85o,C16_P_BD_Tot,C16_P_AdD_DL_15_19,C16_P_AdD_DL_20_24,C16_P_AdD_DL_25_34,C16_P_AdD_DL_35_44,C16_P_AdD_DL_45_54,C16_P_AdD_DL_55_64,C16_P_AdD_DL_65_74,C16_P_AdD_DL_75_84,C16_P_AdD_DL_85o,C16_P_AdD_DL_Tot,C16_P_CL_C_III_IV_15_19,C16_P_CL_C_III_IV_20_24,C16_P_CL_C_III_IV_25_34,C16_P_CL_C_III_IV_35_44,C16_P_CL_C_III_IV_45_54,C16_P_CL_C_III_IV_55_64,C16_P_CL_C_III_IV_65_74,C16_P_CL_C_III_IV_75_84,C16_P_CL_C_III_IV_85_ov,C16_P_CL_C_III_IV_Tot,C16_P_CL_C_I_II_15_19,C16_P_CL_C_I_II_20_24,C16_P_CL_C_I_II_25_34,C16_P_CL_C_I_II_35_44,C16_P_CL_C_I_II_45_54,C16_P_CL_C_I_II_55_64,C16_P_CL_C_I_II_65_74,C16_P_CL_C_I_II_75_84,C16_P_CL_C_I_II_85_ov,C16_P_CL_C_I_II_Tot,C16_P_CL_CL_nfd_15_19,C16_P_CL_CL_nfd_20_24,C16_P_CL_CL_nfd_25_34,C16_P_CL_CL_nfd_35_44,C16_P_CL_CL_nfd_45_54,C16_P_CL_CL_nfd_55_64,C16_P_CL_CL_nfd_65_74,C16_P_CL_CL_nfd_75_84,C16_P_CL_CL_nfd_85_ov,C16_P_CL_CL_nfd_Tot,C16_P_CL_T_15_19,C16_P_CL_T_20_24,C16_P_CL_T_25_34,C16_P_CL_T_35_44,C16_P_CL_T_45_54,C16_P_CL_T_55_64,C16_P_CL_T_65_74,C16_P_CL_T_75_84,C16_P_CL_T_85_ov,C16_P_CL_T_Tot,C16_P_LE_ID_15_19,C16_P_LE_ID_20_24,C16_P_LE_ID_25_34,C16_P_LE_ID_35_44,C16_P_LE_ID_45_54,C16_P_LE_ID_55_64,C16_P_LE_ID_65_74,C16_P_LE_ID_75_84,C16_P_LE_ID_85o,C16_P_LE_ID_Tot,C16_P_LE_NS_15_19,C16_P_LE_NS_20_24,C16_P_LE_NS_25_34,C16_P_LE_NS_35_44,C16_P_LE_NS_45_54,C16_P_LE_NS_55_64,C16_P_LE_NS_65_74,C16_P_LE_NS_75_84,C16_P_LE_NS_85_ov,C16_P_LE_NS_T,C16_P_Tot_15_19_yrs,C16_P_Tot_20_24_yrs,C16_P_Tot_25_34_yrs,C16_P_Tot_35_44_yrs,C16_P_Tot_45_54_yrs,C16_P_Tot_55_64_yrs,C16_P_Tot_65_74_yrs,C16_P_Tot_75_84_yrs,C16_P_Tot_85o,C16_P_T_T
1RNSW,590,6486,20196,30879,32883,28213,15444,6536,1662,142893,6685,31191,67846,74621,81240,60560,35547,17173,4393,379258,2674,4442,6519,5753,5495,3742,1508,469,110,30717,819,2186,4415,6588,8170,8089,4549,1880,572,37264,10181,37824,78789,86958,94902,72388,41609,19524,5077,447243,398,1143,2419,3767,6316,6631,4529,2336,828,28366,16693,11026,19489,23886,28396,30215,31650,30784,15503,207643,27936,67343,173060,203803,214701,184656,114163,66493,24954,1077109,11,442,10077,12699,11874,11331,7115,2038,431,56011,40,457,4607,6399,6994,8894,4446,1061,206,33097,77,11425,50360,50591,39078,37580,23198,8214,2306,222826,851,7176,25823,33174,37883,36528,23298,9095,2638,176459,6940,33488,78841,75087,82407,73450,47124,21139,6136,424613,2394,4301,5692,5159,5346,4766,2731,719,182,31288,956,2533,5111,6987,10212,11842,9687,3972,1266,52561,10291,40321,89644,87234,97960,90055,59548,25828,7580,508464,240,654,1668,1808,2410,3451,3602,1828,735,16392,16722,13365,26366,26475,32656,37403,39791,32313,19146,244234,28230,73832,208548,218373,228847,225242,160991,80369,33044,1257485
1GSYD,2081,26157,70768,77171,62855,43966,22144,10143,3225,318513,7823,38843,90553,92910,87017,61546,36072,18486,5797,439051,2492,4611,8628,8041,7021,4625,1810,645,215,38085,1020,3552,8481,12333,13441,11591,6299,2726,1048,60493,11332,47002,107663,113291,107482,77766,44176,21861,7058,537630,938,3901,10673,12324,14593,13215,8660,5235,2217,71753,26363,25832,54870,47438,45034,40523,35197,32539,20643,328437,41175,156600,508018,467345,386703,278604,151429,85124,37432,2112432,51,5292,89568,82541,52196,34406,17666,5155,1228,288103,104,1428,14093,17387,15018,13316,6655,1746,382,70126,567,64651,234896,180578,121434,84138,44803,16524,5182,752774,2560,24718,79064,81689,75101,54062,31234,12911,4655,365989,7842,37846,97709,92818,92706,70322,44331,21851,7542,472968,2139,3846,6494,7002,6754,5231,2866,853,313,35504,1214,3985,9694,13649,17200,16639,12552,5084,2193,82214,11197,45670,113892,113473,116659,92193,59749,27790,10047,590682,572,2248,7114,7068,7361,7337,5869,3015,1314,41899,19965,26064,63299,49767,45186,41339,37699,29991,21776,335080,35013,170068,601925,532508,432951,326789,203675,97132,44595,2444653
19799,0,0,0,0,0,3,3,0,0,6,0,0,3,4,4,5,4,5,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,11,4,5,0,26,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,4,3,9,0,21,0,0,3,7,7,12,15,14,0,63,0,0,3,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,6,5,3,7,3,0,3,35,0,0,8,0,3,6,13,3,0,31,0,3,4,9,11,8,20,3,3,61,0,0,0,0,0,0,3,0,0,3,3,0,0,0,3,4,0,0,0,8,3,3,4,7,11,11,23,3,3,74,0,0,0,0,0,0,0,0,0,3,0,3,7,6,6,13,21,14,0,69,4,3,30,15,24,43,60,25,3,212
19499,0,67,153,130,114,119,48,11,0,646,37,137,341,270,272,210,161,20,7,1448,27,42,35,24,21,14,6,0,0,164,5,18,44,31,40,35,20,0,0,193,62,197,418,330,327,262,188,20,7,1802,4,13,45,28,27,33,16,4,3,166,142,227,581,611,607,409,240,89,62,2966,213,692,1941,1417,1270,1020,562,139,74,7324,0,14,165,85,39,31,20,12,0,365,0,3,31,23,23,26,11,0,0,120,0,199,494,197,146,110,88,16,4,1247,8,71,146,99,99,128,100,14,3,663,22,140,314,226,252,265,169,18,3,1416,9,28,23,22,12,15,11,0,0,126,7,28,33,29,26,49,23,4,0,195,36,197,363,277,290,333,205,23,7,1738,0,9,21,14,13,10,15,5,0,83,131,313,798,701,670,495,283,90,29,3513,183,808,2023,1392,1284,1142,722,150,41,7741
