GCCSA_CODE_2016,C11_F_65_69_Tot_LF,C11_F_65_69_Notin_LF,C11_F_65_69_LF_NS,C11_F_65_69_Tot,C11_F_70_74_Em_FT,C11_F_70_74_Em_PT,C11_F_70_74_Em_AFW,C11_F_70_74_Em_Hrs_NS,C11_F_70_74_Em_Tot,C11_F_70_74_Unem_Look_FT,C11_F_70_74_Unem_Look_PT,C11_F_70_74_Unem_Tot,C11_F_70_74_Tot_LF,C11_F_70_74_Notin_LF,C11_F_70_74_LF_NS,C11_F_70_74_Tot,C11_F_75ov_Em_FT,C11_F_75ov_Em_PT,C11_F_75ov_Emp_A_fr_wo,C11_F_75ov_Em_Hou_wor_ns,C11_F_75over_Em_Tot,C11_F_75ov_Unem_Lo_ft_wor,C11_F_75ov_Unem_Lo_pt_wor,C11_F_75over_Unem_Tot,C11_F_75ov_Tot_LF,C11_F_75over_N_lab_forc,C11_F_75ov_LF_NS,C11_F_75andOver_Tot,C11_F_Tot_Em_FT,C11_F_Tot_Em_PT,C11_F_Tot_Em_AFW,C11_F_Tot_Em_Hrs_NS,C11_F_Tot_Em_Tot,C11_F_Tot_Unem_Look_FT,C11_F_Tot_Unem_Look_PT,C11_F_Tot_Unem_Tot,C11_F_T_T_labo_for,C11_F_Tot_Notin_LF,C11_F_Tot_LF_NS,C11_F_T_T,C16_F_15_19_Em_FT,C16_F_15_19_Em_PT,C16_F_15_19_Em_AFW,C16_F_15_19_Em_Hrs_NS,C16_F_15_19_Em_Tot,C16_F_15_19_Unem_Look_FT,C16_F_15_19_Unem_Look_PT,C16_F_15_19_Unem_Tot,C16_F_15_19_Tot_LF,C16_F_15_19_Notin_LF,C16_F_15_19_LF_NS,C16_F_15_19_Tot,C16_F_20_24_Em_FT,C16_F_20_24_Em_PT,C16_F_20_24_Em_AFW,C16_F_20_24_Em_Hrs_NS,C16_F_20_24_Em_Tot,C16_F_20_24_Unem_Look_FT,C16_F_20_24_Unem_Look_PT,C16_F_20_24_Unem_Tot,C16_F_20_24_Tot_LF,C16_F_20_24_Notin_LF,C16_F_20_24_LF_NS,C16_F_20_24_Tot,C16_F_25_29_Em_FT,C16_F_25_29_Em_PT,C16_F_25_29_Em_AFW,C16_F_25_29_Em_Hrs_NS,C16_F_25_29_Em_Tot,C16_F_25_29_Unem_Look_FT,C16_F_25_29_Unem_Look_PT,C16_F_25_29_Unem_Tot,C16_F_25_29_Tot_LF,C16_F_25_29_Notin_LF,C16_F_25_29_LF_NS,C16_F_25_29_Tot,C16_F_30_34_Em_FT,C16_F_30_34_Em_PT,C16_F_30_34_Em_AFW,C16_F_30_34_Em_Hrs_NS,C16_F_30_34_Em_Tot,C16_F_30_34_Unem_Look_FT,C16_F_30_34_Unem_Look_PT,C16_F_30_34_Unem_Tot,C16_F_30_34_Tot_LF,C16_F_30_34_Notin_LF,C16_F_30_34_LF_NS,C16_F_30_34_Tot,C16_F_35_39_Em_FT,C16_F_35_39_Em_PT,C16_F_35_39_Em_AFW,C16_F_35_39_Em_Hrs_NS,C16_F_35_39_Em_Tot,C16_F_35_39_Unem_Look_FT,C16_F_35_39_Unem_Look_PT,C16_F_35_39_Unem_Tot,C16_F_35_39_Tot_LF,C16_F_35_39_Notin_LF,C16_F_35_39_LF_NS,C16_F_35_39_Tot,C16_F_40_44_Em_FT,C16_F_40_44_Em_PT,C16_F_40_44_Em_AFW,C16_F_40_44_Em_Hrs_NS,C16_F_40_44_Em_Tot,C16_F_40_44_Unem_Look_FT,C16_F_40_44_Unem_Look_PT,C16_F_40_44_Unem_Tot,C16_F_40_44_Tot_LF,C16_F_40_44_Notin_LF,C16_F_40_44_LF_NS,C16_F_40_44_Tot,C16_F_45_49_Em_FT,C16_F_45_49_Em_PT,C16_F_45_49_Em_AFW,C16_F_45_49_Em_Hrs_NS,C16_F_45_49_Em_Tot,C16_F_45_49_Unem_Look_FT,C16_F_45_49_Unem_Look_PT,C16_F_45_49_Unem_Tot,C16_F_45_49_Tot_LF,C16_F_45_49_Notin_LF,C16_F_45_49_LF_NS,C16_F_45_49_Tot,C16_F_50_54_Em_FT,C16_F_50_54_Em_PT,C16_F_50_54_Em_AFW,C16_F_50_54_Em_Hrs_NS,C16_F_50_54_Em_Tot,C16_F_50_54_Unem_Look_FT,C16_F_50_54_Unem_Look_PT,C16_F_50_54_Unem_Tot,C16_F_50_54_Tot_LF,C16_F_50_54_Notin_LF,C16_F_50_54_LF_NS,C16_F_50_54_Tot,C16_F_55_59_Em_FT,C16_F_55_59_Em_PT,C16_F_55_59_Em_AFW,C16_F_55_59_Em_Hrs_NS,C16_F_55_59_Em_Tot,C16_F_55_59_Unem_Look_FT,C16_F_55_59_Unem_Look_PT,C16_F_55_59_Unem_Tot,C16_F_55_59_Tot_LF,C16_F_55_59_Notin_LF,C16_F_55_59_LF_NS,C16_F_55_59_Tot,C16_F_60_64_Em_FT,C16_F_60_64_Em_PT,C16_F_60_64_Em_AFW,C16_F_60_64_Em_Hrs_NS,C16_F_60_64_Em_Tot,C16_F_60_64_Unem_Look_FT,C16_F_60_64_Unem_Look_PT,C16_F_60_64_Unem_Tot,C16_F_60_64_Tot_LF,C16_F_60_64_Notin_LF,C16_F_60_64_LF_NS,C16_F_60_64_Tot,C16_F_65_69_Em_FT,C16_F_65_69_Em_PT,C16_F_65_69_Em_AFW,C16_F_65_69_Em_Hrs_NS,C16_F_65_69_Em_Tot,C16_F_65_69_Unem_Look_FT,C16_F_65_69_Unem_Look_PT,C16_F_65_69_Unem_Tot,C16_F_65_69_Tot_LF,C16_F_65_69_Notin_LF,C16_F_65_69_LF_NS,C16_F_65_69_Tot,C16_F_70_74_Em_FT,C16_F_70_74_Em_PT,C16_F_70_74_Em_AFW,C16_F_70_74_Em_Hrs_NS,C16_F_70_74_Em_Tot,C16_F_70_74_Unem_Look_FT,C16_F_70_74_Unem_Look_PT,C16_F_70_74_Unem_Tot,C16_F_70_74_Tot_LF,C16_F_70_74_Notin_LF,C16_F_70_74_LF_NS,C16_F_70_74_Tot,C16_F_75ov_Em_FT,C16_F_75ov_Em_PT,C16_F_75ov_Emp_Aw_fr_w,C16_F_75ov_Emp_Hou_w_ns,C16_F_75over_Em_Tot,C16_F_75ov_Unem_Lo_ft_wor,C16_F_75ov_Unem_Lo_pt_wor,C16_F_75ov_Unemp_Tot,C16_F_75ov_Tot_lab_for,C16_F_75ov_N_lab_forc,C16_F_75ov_LF_NS,C16_F_75ov_yr_Tot,C16_F_Tot_Em_FT,C16_F_Tot_Em_PT,C16_F_Tot_Em_AFW,C16_F_Tot_Em_Hrs_NS
1RNSW,10157,54290,3343,67784,947,2092,253,179,3476,8,28,36,3511,48226,3368,55109,550,1048,234,265,2093,9,25,37,2136,105490,12731,120354,222341,245708,25552,9587,503185,15046,16389,31437,534624,450958,50528,1036112,4841,26679,1476,1076,34072,2087,4565,6647,40723,32650,4319,77694,20646,22449,1897,1064,46056,2714,2613,5324,51379,16041,4681,72109,25917,18383,3117,777,48192,1860,1676,3536,51725,16235,4670,72628,21209,23644,4048,710,49613,1454,1617,3068,52679,17255,4587,74519,21037,26227,2501,745,50509,1484,1562,3045,53552,15730,4221,73506,27943,29034,1693,865,59529,1551,1576,3129,62657,15361,4878,82902,32088,28584,1706,888,63260,1646,1381,3025,66289,15792,5298,87382,31915,28365,2065,879,63233,1538,1317,2857,66094,19477,5719,91280,27336,27246,2597,821,58007,1184,1301,2491,60495,29300,6106,95897,14476,19598,1992,614,36685,697,1012,1706,38395,45212,6032,89638,4592,8945,914,377,14821,60,198,255,15078,63968,6267,85317,1364,3219,326,265,5174,17,66,85,5256,56802,5571,67630,801,1532,189,462,2991,30,39,66,3054,114125,17972,135145,234162,263912,24521,9542
1GSYD,16684,64131,4844,85659,1038,3135,302,180,4652,16,70,77,4728,58368,4585,67688,367,1413,213,261,2253,18,66,81,2334,137688,17340,157366,513275,384391,43045,18560,959273,27798,31488,59292,1018564,699168,102157,1819896,6367,40293,2015,1308,49981,1987,8709,10691,60679,73686,6024,140387,48013,51999,2949,2684,105648,4447,6702,11150,116794,41517,10139,168451,89613,36456,5129,2608,133809,4733,3883,8616,142427,37740,13137,193306,81277,42949,9362,2270,135858,3933,3593,7526,143380,43663,12349,199397,65534,47544,6436,1788,121294,3130,3570,6698,127999,40598,9919,178510,66428,50207,3091,1710,121442,2891,3613,6503,127941,36392,8727,173063,66577,45917,2264,1659,116412,2950,3113,6062,122473,34485,8188,165145,61446,40381,2561,1586,105968,2775,2638,5417,111379,35900,7765,155048,48230,35468,2643,1218,87568,2106,2343,4444,92009,45249,7430,144692,25763,26204,2138,841,54937,1145,1601,2750,57691,61368,6647,125704,8342,14013,1102,437,23890,123,368,487,24378,79552,6491,110423,1906,5237,385,231,7758,29,133,165,7919,69284,5437,82644,611,2127,180,303,3213,52,84,141,3353,151651,17611,172617,570101,438797,40250,18637
19799,0,8,0,7,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,11,7,15,3,0,4,0,11,0,0,0,11,36,7,55,3,0,0,0,3,0,0,0,9,0,0,7,0,0,3,0,3,0,0,0,3,0,0,4,4,0,0,0,9,0,0,0,9,0,0,12,4,0,4,0,5,0,0,0,5,0,3,14,0,0,0,0,3,0,0,0,3,0,0,3,0,4,3,0,11,0,0,0,11,3,0,12,3,0,3,0,4,0,0,0,4,0,0,7,4,3,3,0,13,0,0,0,13,9,8,22,0,0,3,3,9,0,0,0,9,14,3,23,0,8,0,0,7,0,0,0,8,17,3,26,0,3,4,0,7,0,0,0,7,22,6,36,0,0,0,0,3,0,0,0,3,18,6,28,0,0,0,0,0,0,0,0,0,23,8,33,25,18,24,4
19499,9,171,28,214,7,0,0,0,3,0,0,0,3,98,28,132,0,0,0,0,3,0,0,0,3,109,52,170,761,530,105,45,1444,251,172,420,1866,2148,762,4779,12,24,3,3,44,26,12,35,84,106,46,232,116,106,4,7,243,34,21,52,295,192,131,615,168,93,7,11,288,30,26,51,339,146,148,635,94,53,16,6,168,36,11,46,214,126,119,457,52,34,3,3,94,24,14,32,131,108,98,338,32,42,3,3,93,18,6,24,118,93,83,290,44,41,3,6,89,29,6,29,123,108,81,310,46,41,9,0,92,15,3,21,120,127,91,338,40,37,8,4,86,9,8,22,108,174,62,341,27,27,6,3,66,15,9,21,88,231,74,391,11,11,0,0,21,0,4,3,24,236,62,326,0,4,0,0,3,0,0,0,4,123,21,154,0,0,0,0,0,0,0,0,4,126,43,169,653,520,65,47
