GCCSA_CODE_2016,C11_85o_T_M,C11_85o_T_F,C11_85o_T_P,C11_T_Married_M,C11_T_Married_F,C11_Tot_Sep_M,C11_Tot_Sep_F,C11_Tot_Div_M,C11_Tot_Div_F,C11_Tot_Wid_M,C11_Tot_Wid_F,C11_Tot_nver_marrie_M,C11_Tot_nver_marrie_F,C11_Tot_T_M,C11_Tot_T_F,C11_Tot_T_P,C16_15_19_Married_M,C16_15_19_Married_F,C16_15_19_Sep_M,C16_15_19_Sep_F,C16_15_19_Div_M,C16_15_19_Div_F,C16_15_19_Wid_M,C16_15_19_Wid_F,C16_15_19_Nvr_marrd_M,C16_15_19_Nvr_marrd_F,C16_15_19_T_M,C16_15_19_T_F,C16_15_19_T_P,C16_20_24_Married_M,C16_20_24_Married_F,C16_20_24_Sep_M,C16_20_24_Sep_F,C16_20_24_Div_M,C16_20_24_Div_F,C16_20_24_Wid_M,C16_20_24_Wid_F,C16_20_24_Nvr_marrd_M,C16_20_24_Nvr_marrd_F,C16_20_24_T_M,C16_20_24_T_F,C16_20_24_T_P,C16_25_29_Married_M,C16_25_29_Married_F,C16_25_29_Sep_M,C16_25_29_Sep_F,C16_25_29_Div_M,C16_25_29_Div_F,C16_25_29_Wid_M,C16_25_29_Wid_F,C16_25_29_Nvr_marrd_M,C16_25_29_Nvr_marrd_F,C16_25_29_T_M,C16_25_29_T_F,C16_25_29_T_P,C16_30_34_Married_M,C16_30_34_Married_F,C16_30_34_Sep_M,C16_30_34_Sep_F,C16_30_34_Div_M,C16_30_34_Div_F,C16_30_34_Wid_M,C16_30_34_Wid_F,C16_30_34_Nvr_marrd_M,C16_30_34_Nvr_marrd_F,C16_30_34_T_M,C16_30_34_T_F,C16_30_34_T_P,C16_35_39_Married_M,C16_35_39_Married_F,C16_35_39_Sep_M,C16_35_39_Sep_F,C16_35_39_Div_M,C16_35_39_Div_F,C16_35_39_Wid_M,C16_35_39_Wid_F,C16_35_39_Nvr_marrd_M,C16_35_39_Nvr_marrd_F,C16_35_39_T_M,C16_35_39_T_F,C16_35_39_T_P,C16_40_44_Married_M,C16_40_44_Married_F,C16_40_44_Sep_M,C16_40_44_Sep_F,C16_40_44_Div_M,C16_40_44_Div_F,C16_40_44_Wid_M,C16_40_44_Wid_F,C16_40_44_Nvr_marrd_M,C16_40_44_Nvr_marrd_F,C16_40_44_T_M,C16_40_44_T_F,C16_40_44_T_P,C16_45_49_Married_M,C16_45_49_Married_F,C16_45_49_Sep_M,C16_45_49_Sep_F,C16_45_49_Div_M,C16_45_49_Div_F,C16_45_49_Wid_M,C16_45_49_Wid_F,C16_45_49_Nvr_marrd_M,C16_45_49_Nvr_marrd_F,C16_45_49_T_M,C16_45_49_T_F,C16_45_49_T_P,C16_50_54_Married_M,C16_50_54_Married_F,C16_50_54_Sep_M,C16_50_54_Sep_F,C16_50_54_Div_M,C16_50_54_Div_F,C16_50_54_Wid_M,C16_50_54_Wid_F,C16_50_54_Nvr_marrd_M,C16_50_54_Nvr_marrd_F,C16_50_54_T_M,C16_50_54_T_F,C16_50_54_T_P,C16_55_59_Married_M,C16_55_59_Married_F,C16_55_59_Sep_M,C16_55_59_Sep_F,C16_55_59_Div_M,C16_55_59_Div_F,C16_55_59_Wid_M,C16_55_59_Wid_F,C16_55_59_Nvr_marrd_M,C16_55_59_Nvr_marrd_F,C16_55_59_T_M,C16_55_59_T_F,C16_55_59_T_P,C16_60_64_Married_M,C16_60_64_Married_F,C16_60_64_Sep_M,C16_60_64_Sep_F,C16_60_64_Div_M,C16_60_64_Div_F,C16_60_64_Wid_M,C16_60_64_Wid_F,C16_60_64_Nvr_marrd_M,C16_60_64_Nvr_marrd_F,C16_60_64_T_M,C16_60_64_T_F,C16_60_64_T_P,C16_65_69_Married_M,C16_65_69_Married_F,C16_65_69_Sep_M,C16_65_69_Sep_F,C16_65_69_Div_M,C16_65_69_Div_F,C16_65_69_Wid_M,C16_65_69_Wid_F,C16_65_69_Nvr_marrd_M,C16_65_69_Nvr_marrd_F,C16_65_69_T_M,C16_65_69_T_F,C16_65_69_T_P,C16_70_74_Married_M,C16_70_74_Married_F,C16_70_74_Sep_M,C16_70_74_Sep_F,C16_70_74_Div_M,C16_70_74_Div_F,C16_70_74_Wid_M,C16_70_74_Wid_F,C16_70_74_Nvr_marrd_M,C16_70_74_Nvr_marrd_F,C16_70_74_T_M,C16_70_74_T_F,C16_70_74_T_P,C16_75_79_Married_M,C16_75_79_Married_F,C16_75_79_Sep_M,C16_75_79_Sep_F,C16_75_79_Div_M,C16_75_79_Div_F,C16_75_79_Wid_M,C16_75_79_Wid_F,C16_75_79_Nvr_marrd_M,C16_75_79_Nvr_marrd_F,C16_75_79_T_M,C16_75_79_T_F,C16_75_79_T_P,C16_80_84_Married_M,C16_80_84_Married_F,C16_80_84_Sep_M,C16_80_84_Sep_F,C16_80_84_Div_M,C16_80_84_Div_F,C16_80_84_Wid_M,C16_80_84_Wid_F,C16_80_84_Nvr_marrd_M,C16_80_84_Nvr_marrd_F,C16_80_84_T_M,C16_80_84_T_F,C16_80_84_T_P,C16_85o_Married_M,C16_85o_Married_F
1RNSW,20565,37979,58543,496142,495935,32422,36647,85694,104449,31473,109925,343000,289161,988731,1036112,2024844,189,159,26,40,61,28,23,26,81534,77433,81832,77694,159525,2356,4436,177,443,78,121,48,66,72789,67036,75449,72109,147560,15289,22583,869,1656,516,903,76,117,54751,47373,71505,72628,144133,32917,39118,1902,2949,1654,2687,89,224,35167,29541,71734,74519,146254,38734,42283,2704,3920,3176,4930,140,397,25031,21979,69787,73506,143294,45376,48229,3927,5069,6063,9111,238,753,23131,19743,78729,82902,161625,46891,50265,4537,5620,9358,13335,461,1448,21159,16710,82400,87382,169780,50426,53207,4788,5619,12512,16306,839,2481,18929,13667,87489,91280,178773,55249,57263,4880,5273,14716,18646,1419,4195,15120,10521,91386,95897,187279,55520,55674,4289,3996,14816,17013,2162,6575,10261,6379,87041,89638,176678,57697,52978,3870,3061,13378,14865,3418,10409,6408,3998,84775,85317,170095,46058,39643,2371,1713,8924,9749,4257,14115,3901,2411,65512,67630,133140,32969,25984,1416,907,5191,5490,5189,17829,2425,1622,47188,51835,99023,21061,14125,691,438,2463,2856,5592,19976,1434,1090,31228,38484,69716,14454,7450
1GSYD,27271,53794,81066,881092,883059,44066,56344,108532,160934,35559,147159,659327,572396,1728563,1819896,3548457,456,851,50,65,63,57,58,59,147352,139348,147983,140387,288362,6395,14808,279,710,201,424,110,112,165305,152394,172289,168451,340737,43188,66138,1486,2954,1566,2728,151,207,141758,121283,188149,193306,381451,100418,116258,3502,5407,4415,6995,147,375,85070,70359,193554,199397,392950,113802,116971,4710,6753,7118,10935,222,687,51097,43161,176949,178510,355460,111572,112993,5798,8099,10666,16618,394,1243,39083,34111,167516,173063,340580,103680,105818,6406,8444,14104,22106,632,2290,31794,26481,156617,165145,321762,100390,97794,6599,8039,16902,24851,1072,3842,25808,20516,150766,155048,305817,92304,90057,5976,6938,17649,25542,1610,6566,19328,15584,136868,144692,281558,81659,77027,4809,5533,15421,22435,2253,9957,12600,10756,116752,125704,242452,73385,65660,4236,4147,13183,19214,3419,14200,8876,7198,103106,110423,213531,55306,45293,2748,2418,8651,12664,4112,17921,5492,4348,76315,82644,158961,39682,29888,1660,1239,4948,7205,5058,22166,3370,2855,54715,63350,118061,26212,16687,862,676,2608,4133,5819,24894,2101,2003,37598,48394,85988,19666,9780
19799,0,0,0,31,28,0,0,10,6,0,16,10,3,51,55,110,0,0,0,0,0,0,0,0,3,7,3,7,12,0,0,0,0,0,0,0,0,5,3,9,4,9,0,3,0,0,0,0,0,0,3,10,5,12,12,6,8,0,0,0,0,0,0,3,0,6,14,20,3,3,0,0,0,0,0,0,0,3,3,3,9,9,10,0,0,0,0,0,0,0,4,10,12,21,6,4,0,0,0,0,0,0,4,4,10,7,16,6,14,0,0,4,3,0,0,3,0,15,22,35,10,14,0,0,0,5,0,0,0,3,12,23,35,16,17,0,0,0,5,0,0,0,0,16,26,42,20,26,0,0,0,8,3,3,0,0,26,36,63,11,14,0,0,3,4,0,11,0,0,21,28,46,5,4,0,0,0,0,0,6,0,0,5,14,22,10,3,0,0,0,0,0,4,0,0,10,10,19,0,3
19499,50,71,122,1354,1218,613,342,954,570,150,229,3884,2418,6955,4779,11739,0,0,0,0,4,0,0,0,279,228,285,232,517,6,24,3,4,0,3,3,0,737,585,746,615,1358,70,75,32,17,9,6,6,0,801,539,928,635,1559,116,105,41,27,23,17,0,0,507,304,687,457,1142,100,65,64,27,33,29,0,6,417,212,625,338,955,80,61,98,29,87,37,6,6,382,162,644,290,940,65,72,84,52,112,62,4,4,309,122,572,310,881,86,94,103,27,135,110,12,17,245,85,585,338,919,112,136,68,32,148,90,14,17,166,69,514,341,850,153,214,62,17,156,87,15,13,95,51,477,391,866,187,190,47,12,141,73,28,25,59,21,458,326,779,111,87,23,3,77,35,25,19,26,9,266,154,413,44,39,9,0,31,19,19,18,14,4,121,78,199,9,11,3,0,17,3,10,19,3,3,43,38,83,13,4
