GCCSA_CODE_2016,C06_0_4_Need_asst_M,C06_0_4_Need_asst_F,C06_0_4_No_need_asst_M,C06_0_4_No_need_asst_F,C06_0_4_Need_asst_ns_M,C06_0_4_Need_asst_ns_F,C06_0_4_T_M,C06_0_4_T_F,C06_0_4_T_P,C06_5_14_Need_asst_M,C06_5_14_Need_asst_F,C06_5_14_No_need_asst_M,C06_5_14_No_need_asst_F,C06_5_14_Need_asst_ns_M,C06_5_14_Need_asst_ns_F,C06_5_14_T_M,C06_5_14_T_F,C06_5_14_T_P,C06_15_19_Need_asst_M,C06_15_19_Need_asst_F,C06_15_19_No_need_asst_M,C06_15_19_No_need_asst_F,C06_15_19_Need_asst_ns_M,C06_15_19_Need_asst_ns_F,C06_15_19_T_M,C06_15_19_T_F,C06_15_19_T_P,C06_20_24_Need_asst_M,C06_20_24_Need_asst_F,C06_20_24_No_need_asst_M,C06_20_24_No_need_asst_F,C06_20_24_Need_asst_ns_M,C06_20_24_Need_asst_ns_F,C06_20_24_T_M,C06_20_24_T_F,C06_20_24_T_P,C06_25_34_Need_asst_M,C06_25_34_Need_asst_F,C06_25_34_No_need_asst_M,C06_25_34_No_need_asst_F,C06_25_34_Need_asst_ns_M,C06_25_34_Need_asst_ns_F,C06_25_34_T_M,C06_25_34_T_F,C06_25_34_T_P,C06_35_44_Need_asst_M,C06_35_44_Need_asst_F,C06_35_44_No_need_asst_M,C06_35_44_No_need_asst_F,C06_35_44_Need_asst_ns_M,C06_35_44_Need_asst_ns_F,C06_35_44_T_M,C06_35_44_T_F,C06_35_44_T_P,C06_45_54_Need_asst_M,C06_45_54_Need_asst_F,C06_45_54_No_need_asst_M,C06_45_54_No_need_asst_F,C06_45_54_Need_asst_ns_M,C06_45_54_Need_asst_ns_F,C06_45_54_T_M,C06_45_54_T_F,C06_45_54_T_P,C06_55_64_Need_asst_M,C06_55_64_Need_asst_F,C06_55_64_No_need_asst_M,C06_55_64_No_need_asst_F,C06_55_64_Need_asst_ns_M,C06_55_64_Need_asst_ns_F,C06_55_64_T_M,C06_55_64_T_F,C06_55_64_T_P,C06_65_74_Need_asst_M,C06_65_74_Need_asst_F,C06_65_74_No_need_asst_M,C06_65_74_No_need_asst_F,C06_65_74_Need_asst_ns_M,C06_65_74_Need_asst_ns_F,C06_65_74_T_M,C06_65_74_T_F,C06_65_74_T_P,C06_75_84_Need_asst_M,C06_75_84_Need_asst_F,C06_75_84_No_need_asst_M,C06_75_84_No_need_asst_F,C06_75_84_Need_asst_ns_M,C06_75_84_Need_asst_ns_F,C06_75_84_T_M,C06_75_84_T_F,C06_75_84_T_P,C06_85o_Need_asst_M,C06_85o_Need_asst_F,C06_85o_No_need_asst_M,C06_85o_No_need_asst_F,C06_85o_Need_asst_ns_M,C06_85o_Need_asst_ns_F,C06_85o_T_M,C06_85o_T_F,C06_85o_T_P,C06_Total_Need_asst_M,C06_Total_Need_asst_F,C06_Total_No_need_asst_M,C06_Total_No_need_asst_F,C06_Total_Need_asst_ns_M,C06_Total_Need_asst_ns_F,C06_Total_T_M,C06_Total_T_F,C06_Total_T_P,C11_0_4_Need_asst_M,C11_0_4_Need_asst_F,C11_0_4_No_need_asst_M,C11_0_4_No_need_asst_F,C11_0_4_Need_asst_ns_M,C11_0_4_Need_asst_ns_F,C11_0_4_T_M,C11_0_4_T_F,C11_0_4_T_P,C11_5_14_Need_asst_M,C11_5_14_Need_asst_F,C11_5_14_No_need_asst_M,C11_5_14_No_need_asst_F,C11_5_14_Need_asst_ns_M,C11_5_14_Need_asst_ns_F,C11_5_14_T_M,C11_5_14_T_F,C11_5_14_T_P,C11_15_19_Need_asst_M,C11_15_19_Need_asst_F,C11_15_19_No_need_asst_M,C11_15_19_No_need_asst_F,C11_15_19_Need_asst_ns_M,C11_15_19_Need_asst_ns_F,C11_15_19_T_M,C11_15_19_T_F,C11_15_19_T_P,C11_20_24_Need_asst_M,C11_20_24_Need_asst_F,C11_20_24_No_need_asst_M,C11_20_24_No_need_asst_F,C11_20_24_Need_asst_ns_M,C11_20_24_Need_asst_ns_F,C11_20_24_T_M,C11_20_24_T_F,C11_20_24_T_P,C11_25_34_Need_asst_M,C11_25_34_Need_asst_F,C11_25_34_No_need_asst_M,C11_25_34_No_need_asst_F,C11_25_34_Need_asst_ns_M,C11_25_34_Need_asst_ns_F,C11_25_34_T_M,C11_25_34_T_F,C11_25_34_T_P,C11_35_44_Need_asst_M,C11_35_44_Need_asst_F,C11_35_44_No_need_asst_M,C11_35_44_No_need_asst_F,C11_35_44_Need_asst_ns_M,C11_35_44_Need_asst_ns_F,C11_35_44_T_M,C11_35_44_T_F,C11_35_44_T_P,C11_45_54_Need_asst_M,C11_45_54_Need_asst_F,C11_45_54_No_need_asst_M,C11_45_54_No_need_asst_F,C11_45_54_Need_asst_ns_M,C11_45_54_Need_asst_ns_F,C11_45_54_T_M,C11_45_54_T_F,C11_45_54_T_P,C11_55_64_Need_asst_M,C11_55_64_Need_asst_F,C11_55_64_No_need_asst_M,C11_55_64_No_need_asst_F,C11_55_64_Need_asst_ns_M,C11_55_64_Need_asst_ns_F,C11_55_64_T_M,C11_55_64_T_F,C11_55_64_T_P,C11_65_74_Need_asst_M,C11_65_74_Need_asst_F,C11_65_74_No_need_asst_M,C11_65_74_No_need_asst_F,C11_65_74_Need_asst_ns_M,C11_65_74_Need_asst_ns_F,C11_65_74_T_M,C11_65_74_T_F,C11_65_74_T_P,C11_75_84_Need_asst_M,C11_75_84_Need_asst_F,C11_75_84_No_need_asst_M,C11_75_84_No_need_asst_F,C11_75_84_Need_asst_ns_M,C11_75_84_Need_asst_ns_F,C11_75_84_T_M,C11_75_84_T_F,C11_75_84_T_P,C11_85o_Need_asst_M,C11_85o_Need_asst_F
1RNSW,972,525,70216,66740,5417,5305,76609,72570,149173,4863,2449,161834,156392,9259,8964,175957,167805,343756,1737,1116,79955,76340,4221,3569,85913,81029,166947,1260,897,62259,60963,4728,3043,68249,64905,133151,2574,2017,116058,123712,8704,6032,127337,131760,259094,4375,3748,144676,157242,9274,7093,158326,168080,326401,6630,5886,156229,162163,8668,6554,171533,174596,346124,9903,7301,131613,134663,6978,5694,148495,147656,296149,7911,7656,89473,94268,5183,5104,102563,107035,209597,11232,17211,48387,57261,4234,5528,63853,79999,143855,6053,16480,7594,11737,1284,2382,14929,30593,45519,57505,65281,1068294,1101475,67954,59256,1193752,1226014,2419769,1183,635,74991,71971,5373,5125,81546,77732,159284,6615,2988,153672,149117,8452,7991,168731,160096,328824,2453,1395,79153,75972,4311,3587,85914,80956,166873,1647,1191,65165,64749,5062,3299,71870,69238,141115,2886,2372,117084,124616,9024,5952,129000,132943,261942,4363,4137,139482,151993,9251,6806,153093,162928,316022,7243,7075,157080,165821,9315,7036,173640,179930,353569,11459,9667,146485,150640,8173,6555,166117,166864,332977,10956,9779,102799,107665,5901,5451,119663,122891,242552,11954,17108,52665,60058,4256,5214,68880,82374,151252,8294,19959
1GSYD,1409,793,124855,117773,13420,12561,139686,131130,270816,5836,3021,250496,239147,18527,17190,274854,259362,534217,2012,1250,128406,124155,8926,7588,139346,132990,272336,1536,1136,133243,135574,14515,11548,149293,148259,297556,3201,2667,276451,292057,30234,24965,309888,319693,629576,4686,4199,280320,295552,24485,20440,309497,320189,629686,6492,7046,247739,260765,19026,15771,273255,283583,556842,9986,9121,186845,190187,14150,11892,210987,211200,422184,9590,11684,104314,112330,8690,8553,122594,132574,255171,13865,24710,57720,73214,6660,8573,78249,106492,184736,7866,22891,10956,17782,2260,4320,21077,44996,66072,66471,88515,1801355,1858548,160901,143398,2028727,2090459,4119190,1725,1056,140579,134097,11179,10260,153486,145416,298898,8297,3862,256938,246888,14934,13396,280166,264144,544314,2825,1682,131383,125845,7714,6333,141924,133858,275789,2095,1426,140458,141999,11827,9459,154382,152879,307257,3810,3320,303669,318036,26328,21723,333809,343086,676894,5311,5326,293632,311436,20388,17397,319329,334160,653487,8152,9637,267143,278554,17048,14447,292338,302638,594980,12203,13120,207955,218113,12888,11331,233046,242564,475608,13098,14611,123356,130959,8343,7768,144795,153343,298141,15572,25982,60667,70826,5427,6763,81667,103569,185238,11007,28204
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,4,0,0,7,0,0,0,8,0,8,0,0,13,5,0,0,16,5,22,0,0,10,0,0,0,6,0,6,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,7,3,0,37,7,50,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,3,0,0,0,3,0,3,0,0,5,5,0,0,5,5,10,0,0,4,3,3,0,12,3,14,0,0,8,15,0,0,9,19,27,0,0,8,17,0,0,15,17,26,0,4,8,9,0,3,12,14,27,0,0
19499,7,0,188,186,30,37,216,222,439,0,10,236,220,27,20,259,257,514,8,6,284,231,19,26,309,262,574,4,9,546,442,74,55,627,506,1134,26,15,1165,871,167,111,1359,991,2353,48,21,966,507,150,53,1163,582,1744,51,38,676,458,103,40,824,541,1365,64,40,522,460,83,43,668,543,1211,29,23,274,169,44,19,347,211,562,18,18,76,58,18,18,112,92,205,10,24,12,9,6,5,27,35,66,270,200,4938,3624,717,424,5924,4248,10175,0,0,274,218,30,25,305,247,554,11,12,270,257,48,30,330,299,627,15,9,305,306,66,56,387,374,757,13,9,564,532,127,78,700,609,1313,29,20,1105,962,362,180,1499,1161,2654,60,44,893,539,415,147,1370,731,2101,69,46,721,514,427,109,1216,671,1895,78,55,616,574,264,89,963,719,1680,60,36,443,259,114,51,625,346,968,25,19,89,54,23,15,147,94,241,19,42
