GCCSA_CODE_2016,Age_37_C11_F,Age_37_C11_P,Age_37_C16_M,Age_37_C16_F,Age_37_C16_P,Age_38_C06_M,Age_38_C06_F,Age_38_C06_P,Age_38_C11_M,Age_38_C11_F,Age_38_C11_P,Age_38_C16_M,Age_38_C16_F,Age_38_C16_P,Age_39_C06_M,Age_39_C06_F,Age_39_C06_P,Age_39_C11_M,Age_39_C11_F,Age_39_C11_P,Age_39_C16_M,Age_39_C16_F,Age_39_C16_P,Age_35_39_C06_M,Age_35_39_C06_F,Age_35_39_C06_P,Age_35_39_C11_M,Age_35_39_C11_F,Age_35_39_C11_P,Age_35_39_C16_M,Age_35_39_C16_F,Age_35_39_C16_P,Age_40_C06_M,Age_40_C06_F,Age_40_C06_P,Age_40_C11_M,Age_40_C11_F,Age_40_C11_P,Age_40_C16_M,Age_40_C16_F,Age_40_C16_P,Age_41_C06_M,Age_41_C06_F,Age_41_C06_P,Age_41_C11_M,Age_41_C11_F,Age_41_C11_P,Age_41_C16_M,Age_41_C16_F,Age_41_C16_P,Age_42_C06_M,Age_42_C06_F,Age_42_C06_P,Age_42_C11_M,Age_42_C11_F,Age_42_C11_P,Age_42_C16_M,Age_42_C16_F,Age_42_C16_P,Age_43_C06_M,Age_43_C06_F,Age_43_C06_P,Age_43_C11_M,Age_43_C11_F,Age_43_C11_P,Age_43_C16_M,Age_43_C16_F,Age_43_C16_P,Age_44_C06_M,Age_44_C06_F,Age_44_C06_P,Age_44_C11_M,Age_44_C11_F,Age_44_C11_P,Age_44_C16_M,Age_44_C16_F,Age_44_C16_P,Age_40_44_C06_M,Age_40_44_C06_F,Age_40_44_C06_P,Age_40_44_C11_M,Age_40_44_C11_F,Age_40_44_C11_P,Age_40_44_C16_M,Age_40_44_C16_F,Age_40_44_C16_P,Age_45_C06_M,Age_45_C06_F,Age_45_C06_P,Age_45_C11_M,Age_45_C11_F,Age_45_C11_P,Age_45_C16_M,Age_45_C16_F,Age_45_C16_P,Age_46_C06_M,Age_46_C06_F,Age_46_C06_P,Age_46_C11_M,Age_46_C11_F,Age_46_C11_P,Age_46_C16_M,Age_46_C16_F,Age_46_C16_P,Age_47_C06_M,Age_47_C06_F,Age_47_C06_P,Age_47_C11_M,Age_47_C11_F,Age_47_C11_P,Age_47_C16_M,Age_47_C16_F,Age_47_C16_P,Age_48_C06_M,Age_48_C06_F,Age_48_C06_P,Age_48_C11_M,Age_48_C11_F,Age_48_C11_P,Age_48_C16_M,Age_48_C16_F,Age_48_C16_P,Age_49_C06_M,Age_49_C06_F,Age_49_C06_P,Age_49_C11_M,Age_49_C11_F,Age_49_C11_P,Age_49_C16_M,Age_49_C16_F,Age_49_C16_P,Age_45_49_C06_M,Age_45_49_C06_F,Age_45_49_C06_P,Age_45_49_C11_M,Age_45_49_C11_F,Age_45_49_C11_P,Age_45_49_C16_M,Age_45_49_C16_F,Age_45_49_C16_P,Age_50_C06_M,Age_50_C06_F,Age_50_C06_P,Age_50_C11_M,Age_50_C11_F,Age_50_C11_P,Age_50_C16_M,Age_50_C16_F,Age_50_C16_P,Age_51_C06_M,Age_51_C06_F,Age_51_C06_P,Age_51_C11_M,Age_51_C11_F,Age_51_C11_P,Age_51_C16_M,Age_51_C16_F,Age_51_C16_P,Age_52_C06_M,Age_52_C06_F,Age_52_C06_P,Age_52_C11_M,Age_52_C11_F,Age_52_C11_P,Age_52_C16_M,Age_52_C16_F,Age_52_C16_P,Age_53_C06_M,Age_53_C06_F,Age_53_C06_P,Age_53_C11_M,Age_53_C11_F,Age_53_C11_P,Age_53_C16_M,Age_53_C16_F,Age_53_C16_P,Age_54_C06_M,Age_54_C06_F,Age_54_C06_P,Age_54_C11_M,Age_54_C11_F,Age_54_C11_P,Age_54_C16_M,Age_54_C16_F,Age_54_C16_P,Age_50_54_C06_M,Age_50_54_C06_F,Age_50_54_C06_P,Age_50_54_C11_M,Age_50_54_C11_F,Age_50_54_C11_P,Age_50_54_C16_M,Age_50_54_C16_F,Age_50_54_C16_P,Age_55_C06_M,Age_55_C06_F,Age_55_C06_P,Age_55_C11_M,Age_55_C11_F,Age_55_C11_P
1RNSW,15585,30260,13759,14508,28273,14664,15523,30189,15343,16545,31887,13766,14603,28369,14735,16138,30876,16584,17503,34085,14138,14833,28967,75162,80580,155743,73982,78484,152469,69787,73506,143294,15148,16198,31348,16830,17997,34832,14405,15374,29778,15577,16497,32071,15687,16703,32392,14914,15462,30374,17021,17659,34683,15866,17009,32875,15683,16393,32076,17364,18470,35833,15230,16165,31398,16268,17353,33623,18053,18678,36729,15498,16576,32071,17459,18312,35772,83159,87501,170663,79109,84452,163555,78729,82902,161625,18205,18677,36889,15577,16450,32022,17771,18677,36447,17621,18649,36277,16142,16601,32746,16486,17386,33878,17681,18323,36001,17278,17809,35088,16491,17542,34028,17348,17934,35283,17649,18605,36253,15801,16781,32583,17475,17501,34974,18208,18684,36894,15856,16991,32850,88326,91092,179416,84853,88144,173000,82400,87382,169780,17107,17141,34253,18258,18868,37124,16221,17047,33271,16848,16916,33762,17856,18477,36336,16450,17060,33512,16533,16612,33148,17842,18571,36412,17836,18482,36313,16637,16772,33409,17428,18178,35607,18208,19244,37455,16076,16061,32138,17398,17686,35085,18781,19444,38221,83201,83504,166704,88785,91780,180567,87489,91280,178773,16220,15970,32188,17055,17110,34161
1GSYD,33988,66655,34918,35389,70306,29815,31230,61043,33039,34572,67614,34168,34634,68802,29568,30291,59862,33990,35624,69614,33306,33904,67208,155286,162706,317988,164267,170337,334601,176949,178510,355460,29970,30390,60357,33851,36012,69862,33240,34092,67334,30166,30902,61069,31549,33307,64854,32945,33688,66633,31147,32001,63147,30708,32788,63494,33600,34482,68079,31587,32318,63905,29777,31434,61206,33531,35029,68560,31339,31868,63208,29181,30279,59465,34201,35777,69976,154207,157482,311694,155065,163817,318886,167516,173063,340580,30652,31631,62280,29656,30221,59878,34253,36617,70869,29705,30770,60471,29612,31057,60669,31847,33351,65202,28723,29410,58132,30562,31690,62246,30891,32836,63726,28378,29590,57971,30992,31986,62978,30249,32126,62369,27749,28556,56310,30572,31136,61705,29379,30218,59594,145208,149963,295173,151396,156086,307485,156617,165145,321762,27046,28061,55110,30162,31303,61463,29816,30369,60179,25998,27480,53478,28773,29895,58669,29306,30477,59787,25444,26473,51916,27897,28628,56526,30495,31544,62043,25218,26289,51507,27362,28872,56236,30812,31700,62518,24347,25316,49661,26744,27863,54610,30340,30955,61294,128049,133621,261670,140941,146554,287499,150766,155048,305817,24020,24866,48882,25977,27200,53171
19799,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,9,3,0,3,0,0,0,3,3,3,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,3,3,3,8,0,8,5,0,5,10,12,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,4,0,4,3,6,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,3,12,0,12,10,7,16,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,4,3,8,0,0,0,0,0,0,0,7,10,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,3,10,13,0,0,0,0,3,3,15,22,35,0,0,0,3,0,3
19499,76,191,115,59,176,107,57,160,124,72,198,128,77,204,106,60,165,120,88,209,93,63,154,622,334,951,665,387,1052,625,338,955,121,58,174,185,74,268,162,59,219,110,42,151,142,85,227,127,59,185,112,46,162,149,61,214,136,73,208,104,52,161,122,67,188,107,53,162,107,50,151,108,49,162,116,45,168,544,247,796,704,345,1052,644,290,940,63,55,120,149,69,220,149,77,225,83,50,136,126,54,179,102,43,151,98,43,149,123,58,181,115,59,171,83,48,135,92,59,149,108,75,180,74,42,117,127,82,206,93,55,153,407,241,641,619,317,939,572,310,881,83,73,155,157,71,227,160,74,233,94,66,164,106,80,188,107,63,166,68,48,120,108,70,177,106,67,170,88,50,138,99,72,171,82,57,146,85,65,152,125,62,188,132,73,201,421,303,723,597,356,954,585,338,919,83,60,142,109,67,178
