GCCSA_CODE_2016,C11_Aus_Mo_O_B_OS,C11_Aus_BP_B_Aus,C11_Aus_Bplace_NS,C11_Aus_Tot_resp,C11_Aus_Ab_BP_B_OS,C11_Aus_Ab_Fa_O_B_OS,C11_Aus_Ab_Mo_O_B_OS,C11_Aus_Ab_BP_B_Aus,C11_Aus_Abor_Bplace_NS,C11_Aus_Abor_Tot_respons,C11_Chi_BP_B_OS,C11_Chi_Fa_O_B_OS,C11_Chi_Mo_O_B_OS,C11_Chi_BP_B_Aus,C11_Chi_Bplace_NS,C11_Chi_Tot_resp,C11_Cro_BP_B_OS,C11_Cro_Fa_O_B_OS,C11_Cro_Mo_O_B_OS,C11_Cro_BP_B_Aus,C11_Cro_Bplace_NS,C11_Cro_Tot_resp,C11_Dut_BP_B_OS,C11_Dut_Fa_O_B_OS,C11_Dut_Mo_O_B_OS,C11_Dut_BP_B_Aus,C11_Dut_Bplace_NS,C11_Dut_Tot_resp,C11_Eng_BP_B_OS,C11_Eng_Fa_O_B_OS,C11_Eng_Mo_O_B_OS,C11_Eng_BP_B_Aus,C11_Eng_Bplace_NS,C11_Eng_Tot_resp,C11_Fil_BP_B_OS,C11_Fil_Fa_O_B_OS,C11_Fil_Mo_O_B_OS,C11_Fil_BP_B_Aus,C11_Fil_Bplace_NS,C11_Fil_Tot_resp,C11_Fre_BP_B_OS,C11_Fre_Fa_O_B_OS,C11_Fre_Mo_O_B_OS,C11_Fre_BP_B_Aus,C11_Fre_Bplace_NS,C11_Fre_Tot_resp,C11_Ger_BP_B_OS,C11_Ger_Fa_O_B_OS,C11_Ger_Mo_O_B_OS,C11_Ger_BP_B_Aus,C11_Ger_Bplace_NS,C11_Ger_Tot_resp,C11_Gre_BP_B_OS,C11_Gre_Fa_O_B_OS,C11_Gre_Mo_O_B_OS,C11_Gre_BP_B_Aus,C11_Gre_Bplace_NS,C11_Gre_Tot_resp,C11_Hun_BP_B_OS,C11_Hun_Fa_O_B_OS,C11_Hun_Mo_O_B_OS,C11_Hun_BP_B_Aus,C11_Hun_Bplace_NS,C11_Hun_Tot_resp,C11_Ind_BP_B_OS,C11_Ind_Fa_O_B_OS,C11_Ind_Mo_O_B_OS,C11_Ind_BP_B_Aus,C11_Ind_Bplace_NS,C11_Ind_Tot_resp,C11_Iri_BP_B_OS,C11_Iri_Fa_O_B_OS,C11_Iri_Mo_O_B_OS,C11_Iri_BP_B_Aus,C11_Iri_Bplace_NS,C11_Iri_Tot_resp,C11_Ita_BP_B_OS,C11_Ita_Fa_O_B_OS,C11_Ita_Mo_O_B_OS,C11_Ita_BP_B_Aus,C11_Ita_Bplace_NS,C11_Ita_Tot_resp,C11_Kor_BP_B_OS,C11_Kor_Fa_O_B_OS,C11_Kor_Mo_O_B_OS,C11_Kor_BP_B_Aus,C11_Kor_Bplace_NS,C11_Kor_Tot_resp,C11_Leb_BP_B_OS,C11_Leb_Fa_O_B_OS,C11_Leb_Mo_O_B_OS,C11_Leb_BP_B_Aus,C11_Leb_Bplace_NS,C11_Leb_Tot_resp,C11_Mac_BP_B_OS,C11_Mac_Fa_O_B_OS,C11_Mac_Mo_O_B_OS,C11_Mac_BP_B_Aus,C11_Mac_Bplace_NS,C11_Mac_Tot_resp,C11_Mal_BP_B_OS,C11_Mal_Fa_O_B_OS,C11_Mal_Mo_O_B_OS,C11_Mal_BP_B_Aus,C11_Mal_Bplace_NS,C11_Mal_Tot_resp,C11_Mao_BP_B_OS,C11_Mao_Fa_O_B_OS,C11_Mao_Mo_O_B_OS,C11_Mao_BP_B_Aus,C11_Mao_Bplace_NS,C11_Mao_Tot_resp,C11_NZ_BP_B_OS,C11_NZ_Fa_O_B_OS,C11_NZ_Mo_O_B_OS,C11_NZ_BP_B_Aus,C11_NZ_Bplace_NS,C11_NZ_Tot_resp,C11_Pol_BP_B_OS,C11_Pol_Fa_O_B_OS,C11_Pol_Mo_O_B_OS,C11_Pol_BP_B_Aus,C11_Pol_Bplace_NS,C11_Pol_Tot_resp,C11_Rus_BP_B_OS,C11_Rus_Fa_O_B_OS,C11_Rus_Mo_O_B_OS,C11_Rus_BP_B_Aus,C11_Rus_Birthplac_ns,C11_Rus_Tot_resp,C11_Sco_BP_B_OS,C11_Sco_Fa_O_B_OS,C11_Sco_Mo_O_B_OS,C11_Sco_BP_B_Aus,C11_Sco_Birthplac_ns,C11_Sco_Tot_resp,C11_Ser_BP_B_OS,C11_Ser_Fa_O_B_OS,C11_Ser_Mo_O_B_OS,C11_Ser_BP_B_Aus,C11_Ser_Bplace_NS,C11_Ser_Tot_resp,C11_SAf_BP_B_OS,C11_SAf_Fa_O_B_OS,C11_SAf_Mo_O_B_OS,C11_SAf_BP_B_Aus,C11_SAf_Bplace_NS,C11_SAf_Tot_resp,C11_Span_BP_B_OS,C11_Span_Fa_O_B_OS,C11_Span_Mo_O_B_OS,C11_Span_BP_B_Aus,C11_Span_Bplace_NS,C11_Span_Tot_resp,C11_SriL_BP_B_OS,C11_SriL_Fa_O_B_OS,C11_SriL_Mo_O_B_OS,C11_SriL_BP_B_Aus,C11_SriL_Bplace_NS,C11_SriL_Tot_resp,C11_Turk_BP_B_OS,C11_Turk_Fa_O_B_OS,C11_Turk_Mo_O_B_OS,C11_Turk_BP_B_Aus,C11_Turk_Bplace_NS,C11_Turk_Tot_resp,C11_Viet_BP_B_OS,C11_Viet_Fa_O_B_OS,C11_Viet_Mo_O_B_OS,C11_Viet_BP_B_Aus,C11_Viet_Bplace_NS,C11_Viet_Tot_resp,C11_Wel_BP_B_OS,C11_Wel_Fa_O_B_OS,C11_Wel_Mo_O_B_OS,C11_Wel_BP_B_Aus,C11_Wel_Bplace_NS,C11_Wel_Tot_resp,C11_Oth_BP_B_OS,C11_Oth_Fa_O_B_OS,C11_Oth_Mo_O_B_OS,C11_Oth_BP_B_Aus,C11_Oth_Bplace_NS,C11_Oth_Tot_resp,C11_Anc_ns_BP_B_OS,C11_Anc_ns_Fa_O_B_OS,C11_Anc_ns_Mo_O_B_OS,C11_Anc_ns_BP_B_Aus,C11_Anc_ns_Bplace_NS,C11_Anc_NS_T_resp,C11_T_P_BP_B_OS,C11_T_P_Fa_only_bor_os,C11_T_P_Mo_O_B_OS,C11_T_P_BP_B_Aus,C11_T_P_Bplace_NS,C11_T_P_Tot_resp,C16_Aus_BP_B_OS,C16_Aus_Fa_O_B_OS,C16_Aus_Mo_O_B_OS,C16_Aus_BP_B_Aus
1RNSW,54192,920627,25927,1082984,18,353,190,14641,601,15812,12982,907,983,4705,427,20008,4663,907,312,1272,166,7319,14990,5091,3259,8956,478,32773,121278,69868,50485,749610,24719,1015962,7415,306,2001,275,282,10278,3148,916,581,5912,192,10747,19844,7036,4659,71914,1892,105349,6202,1796,637,5025,301,13966,3103,777,270,1063,90,5302,8262,545,449,669,193,10120,21270,14583,9521,243256,5898,294525,22331,7675,2656,28000,1269,61934,1497,53,103,125,40,1818,2345,777,318,1697,151,5287,9589,1134,431,1586,324,13065,4692,1585,804,3486,212,10787,4368,1427,873,1102,263,8036,6985,3496,2663,1571,343,15063,7056,1554,943,3616,232,13396,2300,490,364,1250,77,4480,30924,18408,13354,183559,4309,250554,3267,372,154,410,95,4300,3846,644,470,306,63,5331,4076,637,426,2378,173,7695,1151,169,120,126,27,1596,1749,244,89,95,74,2253,2032,123,124,43,58,2377,5060,1961,1198,7943,229,16385,57068,12597,8451,20926,2388,101437,6674,2629,1942,47420,110775,169448,346367,143264,99674,1756239,167406,2512952,10227,79934,57618,955603
1GSYD,98400,822712,25306,1130300,49,574,258,6541,316,7740,330437,5307,7664,8001,6654,358064,25367,3062,1531,4870,666,35496,22967,7231,4192,9476,637,44498,281348,111603,77268,636222,25666,1132105,74581,1418,4946,643,2007,83595,14275,2146,1577,6832,447,25288,39645,10097,6790,51273,1839,109646,69273,10728,4912,25490,2451,112853,12695,2161,1007,2115,263,18242,121088,2219,1681,1110,2350,128449,64620,27670,18409,248130,6629,365460,95806,23282,9458,51685,3720,183951,47421,231,733,322,1028,49733,100101,16182,6364,14249,4569,141462,18714,1785,848,2264,605,24222,28647,6871,3579,13937,1022,54052,18325,2436,1526,966,814,24068,21679,6416,4770,2036,647,35546,23857,3201,2106,4990,549,34704,17341,1449,1189,2484,356,22822,61343,26271,18516,166299,4559,276988,19041,1447,707,1307,503,23003,21246,2162,1473,561,347,25787,24961,1702,1407,2604,739,31419,15702,688,473,333,321,17524,18921,1624,833,841,607,22830,74681,689,1119,503,2418,79414,8830,2563,1586,7794,303,21076,482403,37071,25976,31924,14068,591447,45124,4920,3843,32200,220352,306439,2014005,289891,194398,1580456,312924,4391673,60420,150269,108726,798863
19799,3,24,0,40,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,16,0,3,16,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,6,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,16,0,0,0,3,8,6,55,3,9,44,8,112,6,17,7,91
19499,239,3024,121,3832,0,7,3,115,15,138,344,7,3,21,11,386,26,4,0,3,0,35,105,18,15,23,0,164,887,303,235,2153,104,3685,61,0,6,0,3,71,45,9,4,23,3,87,125,36,23,238,9,423,48,11,6,15,3,89,15,9,3,6,0,37,106,3,0,3,5,118,254,86,48,799,30,1213,108,29,20,94,14,269,52,0,0,0,0,52,77,26,13,7,3,126,12,0,3,0,0,13,32,13,9,10,3,64,69,7,8,3,0,93,78,20,10,6,3,122,41,12,4,4,4,64,30,3,3,5,0,41,231,72,73,563,21,952,14,0,0,0,0,16,37,0,6,0,0,43,39,3,4,14,3,70,11,0,0,0,0,17,34,7,3,5,0,46,99,0,0,0,9,100,37,6,4,36,3,86,786,95,69,123,37,1113,80,7,9,147,2554,2792,3366,682,512,5475,2883,12917,70,302,198,2595
