GCCSA_CODE_2016,Spks_Engl_only_C06_M,Spks_Engl_only_C06_F,Spks_Engl_only_C06_P,Spks_Engl_only_C11_M,Spks_Engl_only_C11_F,Spks_Engl_only_C11_P,Spks_Engl_only_C16_M,Spks_Engl_only_C16_F,Spks_Engl_only_C16_P,SOL_Afrik_C06_M,SOL_Afrik_C06_F,SOL_Afrik_C06_P,SOL_Afrik_C11_M,SOL_Afrik_C11_F,SOL_Afrik_C11_P,SOL_Afrik_C16_M,SOL_Afrik_C16_F,SOL_Afrik_C16_P,SOL_Arabic_C06_M,SOL_Arabic_C06_F,SOL_Arabic_C06_P,SOL_Arabic_C11_M,SOL_Arabic_C11_F,SOL_Arabic_C11_P,SOL_Arabic_C16_M,SOL_Arabic_C16_F,SOL_Arabic_C16_P,SOL_Aus_In_La_C06_M,SOL_Aus_In_La_C06_F,SOL_Aus_In_La_C06_P,SOL_Aus_In_La_C11_M,SOL_Aus_In_La_C11_F,SOL_Aus_In_La_C11_P,SOL_Aus_In_La_C16_M,SOL_Aus_In_La_C16_F,SOL_Aus_In_La_C16_P,SOL_Bengali_C06_M,SOL_Bengali_C06_F,SOL_Bengali_C06_P,SOL_Bengali_C11_M,SOL_Bengali_C11_F,SOL_Bengali_C11_P,SOL_Bengali_C16_M,SOL_Bengali_C16_F,SOL_Bengali_C16_P,SOL_Canton_C06_M,SOL_Canton_C06_F,SOL_Canton_C06_P,SOL_Canton_C11_M,SOL_Canton_C11_F,SOL_Canton_C11_P,SOL_Canton_C16_M,SOL_Canton_C16_F,SOL_Canton_C16_P,SOL_Mandar_C06_M,SOL_Mandar_C06_F,SOL_Mandar_C06_P,SOL_Mandar_C11_M,SOL_Mandar_C11_F,SOL_Mandar_C11_P,SOL_Mandar_C16_M,SOL_Mandar_C16_F,SOL_Mandar_C16_P,SOL_CL_Oth_C06_M,SOL_CL_Oth_C06_F,SOL_CL_Oth_C06_P,SOL_CL_Oth_C11_M,SOL_CL_Oth_C11_F,SOL_CL_Oth_C11_P,SOL_CL_Oth_C16_M,SOL_CL_Oth_C16_F,SOL_CL_Oth_C16_P,SOL_CL_Tot_C06_M,SOL_CL_Tot_C06_F,SOL_CL_Tot_C06_P,SOL_CL_Tot_C11_M,SOL_CL_Tot_C11_F,SOL_CL_Tot_C11_P,SOL_CL_Tot_C16_M,SOL_CL_Tot_C16_F,SOL_CL_Tot_C16_P,SOL_Croatian_C06_M,SOL_Croatian_C06_F,SOL_Croatian_C06_P,SOL_Croatian_C11_M,SOL_Croatian_C11_F,SOL_Croatian_C11_P,SOL_Croatian_C16_M,SOL_Croatian_C16_F,SOL_Croatian_C16_P,SOL_Dut_C06_M,SOL_Dut_C06_F,SOL_Dut_C06_P,SOL_Dut_C11_M,SOL_Dut_C11_F,SOL_Dut_C11_P,SOL_Dut_C16_M,SOL_Dut_C16_F,SOL_Dut_C16_P,SOL_Filipino_C06_M,SOL_Filipino_C06_F,SOL_Filipino_C06_P,SOL_Filipino_C11_M,SOL_Filipino_C11_F,SOL_Filipino_C11_P,SOL_Filipino_C16_M,SOL_Filipino_C16_F,SOL_Filipino_C16_P,SOL_French_C06_M,SOL_French_C06_F,SOL_French_C06_P,SOL_French_C11_M,SOL_French_C11_F,SOL_French_C11_P,SOL_French_C16_M,SOL_French_C16_F,SOL_French_C16_P,SOL_German_C06_M,SOL_German_C06_F,SOL_German_C06_P,SOL_German_C11_M,SOL_German_C11_F,SOL_German_C11_P,SOL_German_C16_M,SOL_German_C16_F,SOL_German_C16_P,SOL_Gre_C06_M,SOL_Gre_C06_F,SOL_Gre_C06_P,SOL_Gre_C11_M,SOL_Gre_C11_F,SOL_Gre_C11_P,SOL_Gre_C16_M,SOL_Gre_C16_F,SOL_Gre_C16_P,SOL_Hindi_C06_M,SOL_Hindi_C06_F,SOL_Hindi_C06_P,SOL_Hindi_C11_M,SOL_Hindi_C11_F,SOL_Hindi_C11_P,SOL_Hindi_C16_M,SOL_Hindi_C16_F,SOL_Hindi_C16_P,SOL_Indon_C06_M,SOL_Indon_C06_F,SOL_Indon_C06_P,SOL_Indon_C11_M,SOL_Indon_C11_F,SOL_Indon_C11_P,SOL_Indon_C16_M,SOL_Indon_C16_F,SOL_Indon_C16_P,SOL_Italian_C06_M,SOL_Italian_C06_F,SOL_Italian_C06_P,SOL_Italian_C11_M,SOL_Italian_C11_F,SOL_Italian_C11_P,SOL_Italian_C16_M,SOL_Italian_C16_F,SOL_Italian_C16_P,SOL_Japanes_C06_M,SOL_Japanes_C06_F,SOL_Japanes_C06_P,SOL_Japanes_C11_M,SOL_Japanes_C11_F,SOL_Japanes_C11_P,SOL_Japanes_C16_M,SOL_Japanes_C16_F,SOL_Japanes_C16_P,SOL_Korean_C06_M,SOL_Korean_C06_F,SOL_Korean_C06_P,SOL_Korean_C11_M,SOL_Korean_C11_F,SOL_Korean_C11_P,SOL_Korean_C16_M,SOL_Korean_C16_F,SOL_Korean_C16_P,SOL_Mac_C06_M,SOL_Mac_C06_F,SOL_Mac_C06_P,SOL_Mac_C11_M,SOL_Mac_C11_F,SOL_Mac_C11_P,SOL_Mac_C16_M,SOL_Mac_C16_F,SOL_Mac_C16_P,SOL_Pe_in_Da_C06_M,SOL_Pe_in_Da_C06_F,SOL_Pe_in_Da_C06_P,SOL_Pe_in_Da_C11_M,SOL_Pe_in_Da_C11_F,SOL_Pe_in_Da_C11_P,SOL_Pe_in_Da_C16_M,SOL_Pe_in_Da_C16_F,SOL_Pe_in_Da_C16_P,SOL_Polish_C06_M,SOL_Polish_C06_F
1RNSW,1083028,1120117,2203146,1115892,1156297,2272193,1131372,1170957,2302328,394,392,782,875,852,1723,1176,1157,2335,2009,1720,3727,2979,2431,5408,3496,3118,6618,360,405,758,435,439,878,673,708,1378,194,153,346,480,414,894,783,682,1473,2127,2100,4227,2029,2110,4142,2188,2242,4430,1883,1849,3731,2838,2917,5754,5106,5524,10636,288,293,579,702,599,1307,562,478,1043,4301,4234,8537,5569,5631,11201,7859,8246,16107,1488,1437,2928,1411,1432,2840,1276,1297,2571,1330,1699,3031,1356,1769,3129,1220,1562,2785,280,1004,1287,538,1427,1961,920,1820,2741,1079,1193,2271,1407,1592,3005,1694,1905,3598,3297,4050,7347,3273,4059,7336,3117,3860,6982,3008,2931,5937,2900,2877,5774,2723,2728,5455,538,576,1113,966,984,1948,1485,1394,2877,368,464,831,531,683,1216,570,768,1340,7811,7643,15454,7287,7276,14560,6313,6525,12839,534,731,1264,597,920,1514,839,1229,2067,348,344,689,635,629,1265,1062,1025,2086,5049,4840,9886,5032,4852,9887,4642,4530,9172,294,258,554,460,403,864,703,570,1275,1046,1399
1GSYD,1296474,1339523,2635997,1349230,1383215,2732448,1400433,1416378,2816815,1359,1447,2800,2211,2280,4494,2643,2746,5390,82047,79052,161097,90580,88079,178665,98384,95663,194049,609,565,1176,196,206,403,242,290,533,7386,5253,12638,11545,9027,20575,16391,13801,30197,58873,66415,125293,61844,70291,132136,64927,73890,138818,45060,51637,96700,61216,72668,133889,104626,124353,228985,5924,6846,12773,8405,9541,17947,7951,9153,17102,109863,124906,234771,131468,152503,283968,177504,207394,384904,10225,10436,20665,9735,10278,20016,8931,9640,18567,2624,3040,5662,2808,3332,6146,2733,3152,5888,7279,9679,16954,8120,11008,19126,9113,12335,21451,6100,6783,12884,7662,8303,15963,9716,10338,20057,6790,7925,14708,7470,8577,16041,7399,8599,15994,39233,40919,80149,39360,41416,80778,36617,39575,76201,18752,18234,36979,25539,25245,50785,32173,31928,64101,8518,9686,18202,11168,12381,23546,13482,15179,28663,34845,36921,71767,33213,35318,68529,30379,32408,62796,4599,6643,11241,5204,7619,12823,6207,9033,15241,16977,18969,35941,21785,24317,46104,27538,30249,57789,9507,9527,19034,9707,9852,19558,9324,9635,18958,5266,5100,10362,7016,6798,13811,10946,9809,20750,5867,7167
19799,36,7,41,40,42,83,119,154,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,0,0,0,0,0,0,13,11,22,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,16,16,31,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,8,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,7,0,0,0,0,0,0,0,0,0,0,0
19499,4330,3159,7491,4853,3770,8616,4175,3038,7212,12,5,12,9,7,18,4,0,5,89,71,159,100,81,186,112,48,155,9,0,11,3,8,15,11,10,19,5,6,14,10,3,13,16,9,20,39,52,83,49,50,97,31,51,87,85,80,161,81,101,183,158,145,307,9,9,23,15,9,31,11,10,19,129,135,266,146,165,306,197,211,405,15,8,16,15,7,21,6,4,12,13,6,19,11,15,18,10,13,23,9,5,13,8,10,19,9,17,22,24,10,30,30,20,47,44,41,88,23,23,43,17,32,47,32,23,57,36,29,69,22,19,44,18,19,36,28,22,50,24,24,48,29,20,55,12,15,23,8,9,17,20,13,31,50,29,79,40,30,70,35,26,61,13,14,19,9,20,27,3,9,16,17,28,46,22,29,49,15,20,36,9,11,15,7,3,12,3,3,10,14,7,17,15,13,24,13,6,16,9,12
