GCCSA_CODE_2016,C06_F_CL_T_15_19,C06_F_CL_T_20_24,C06_F_CL_T_25_34,C06_F_CL_T_35_44,C06_F_CL_T_45_54,C06_F_CL_T_55_64,C06_F_CL_T_65_74,C06_F_CL_T_75_84,C06_F_CL_T_85_ov,C06_F_CL_T_Tot,C06_F_LE_ID_15_19,C06_F_LE_ID_20_24,C06_F_LE_ID_25_34,C06_F_LE_ID_35_44,C06_F_LE_ID_45_54,C06_F_LE_ID_55_64,C06_F_LE_ID_65_74,C06_F_LE_ID_75_84,C06_F_LE_ID_85o,C06_F_LE_ID_Tot,C06_F_LE_NS_15_19,C06_F_LE_NS_20_24,C06_F_LE_NS_25_34,C06_F_LE_NS_35_44,C06_F_LE_NS_45_54,C06_F_LE_NS_55_64,C06_F_LE_NS_65_74,C06_F_LE_NS_75_84,C06_F_LE_NS_85_ov,C06_F_LE_NS_T,C06_F_Tot_15_19_yrs,C06_F_Tot_20_24_yrs,C06_F_Tot_25_34_yrs,C06_F_Tot_35_44_yrs,C06_F_Tot_45_54_yrs,C06_F_Tot_55_64_yrs,C06_F_Tot_65_74_yrs,C06_F_Tot_75_84_yrs,C06_F_Tot_85o,C06_F_T_T,C11_F_Post_Deg_15_19_yrs,C11_F_Post_Deg_20_24_yrs,C11_F_Post_Deg_25_34_yrs,C11_F_Post_Deg_35_44_yrs,C11_F_Post_Deg_45_54_yrs,C11_F_Post_Deg_55_64_yrs,C11_F_Post_Deg_65_74_yrs,C11_F_Post_Deg_75_84_yrs,C11_F_Post_Deg_85o,C11_F_Post_Deg_Tot,C11_F_GrDip_GrCe_15_19,C11_F_GrDip_GrCe_20_24,C11_F_GrDip_GrCe_25_34,C11_F_GrDip_GrCe_35_44,C11_F_GrDip_GrCe_45_54,C11_F_GrDip_GrCe_55_64,C11_F_GrDip_GrCe_65_74,C11_F_GrDip_GrCe_75_84,C11_F_GrDip_GrCe_85ov,C11_F_GrDip_GrCe_Tot,C11_F_BD_15_19,C11_F_BD_20_24,C11_F_BD_25_34,C11_F_BD_35_44,C11_F_BD_45_54,C11_F_BD_55_64,C11_F_BD_65_74,C11_F_BD_75_84,C11_F_BD_85o,C11_F_BD_Tot,C11_F_AdD_DL_15_19,C11_F_AdD_DL_20_24,C11_F_AdD_DL_25_34,C11_F_AdD_DL_35_44,C11_F_AdD_DL_45_54,C11_F_AdD_DL_55_64,C11_F_AdD_DL_65_74,C11_F_AdD_DL_75_84,C11_F_AdD_DL_85o,C11_F_AdD_DL_Tot,C11_F_CL_C_III_IV_15_19,C11_F_CL_C_III_IV_20_24,C11_F_CL_C_III_IV_25_34,C11_F_CL_C_III_IV_35_44,C11_F_CL_C_III_IV_45_54,C11_F_CL_C_III_IV_55_64,C11_F_CL_C_III_IV_65_74,C11_F_CL_C_III_IV_75_84,C11_F_CL_C_III_IV_85_ov,C11_F_CL_C_III_IV_Tot,C11_F_CL_C_I_II_15_19,C11_F_CL_C_I_II_20_24,C11_F_CL_C_I_II_25_34,C11_F_CL_C_I_II_35_44,C11_F_CL_C_I_II_45_54,C11_F_CL_C_I_II_55_64,C11_F_CL_C_I_II_65_74,C11_F_CL_C_I_II_75_84,C11_F_CL_C_I_II_85_ov,C11_F_CL_C_I_II_Tot,C11_F_CL_CL_nfd_15_19,C11_F_CL_CL_nfd_20_24,C11_F_CL_CL_nfd_25_34,C11_F_CL_CL_nfd_35_44,C11_F_CL_CL_nfd_45_54,C11_F_CL_CL_nfd_55_64,C11_F_CL_CL_nfd_65_74,C11_F_CL_CL_nfd_75_84,C11_F_CL_CL_nfd_85_ov,C11_F_CL_CL_nfd_Tot,C11_F_CL_T_15_19,C11_F_CL_T_20_24,C11_F_CL_T_25_34,C11_F_CL_T_35_44,C11_F_CL_T_45_54,C11_F_CL_T_55_64,C11_F_CL_T_65_74,C11_F_CL_T_75_84,C11_F_CL_T_85_ov,C11_F_CL_T_Tot,C11_F_LE_ID_15_19,C11_F_LE_ID_20_24,C11_F_LE_ID_25_34,C11_F_LE_ID_35_44,C11_F_LE_ID_45_54,C11_F_LE_ID_55_64,C11_F_LE_ID_65_74,C11_F_LE_ID_75_84,C11_F_LE_ID_85o,C11_F_LE_ID_Tot,C11_F_LE_NS_15_19,C11_F_LE_NS_20_24,C11_F_LE_NS_25_34,C11_F_LE_NS_35_44,C11_F_LE_NS_45_54,C11_F_LE_NS_55_64,C11_F_LE_NS_65_74,C11_F_LE_NS_75_84,C11_F_LE_NS_85_ov,C11_F_LE_NS_T,C11_F_Tot_15_19_yrs,C11_F_Tot_20_24_yrs,C11_F_Tot_25_34_yrs,C11_F_Tot_35_44_yrs,C11_F_Tot_45_54_yrs,C11_F_Tot_55_64_yrs,C11_F_Tot_65_74_yrs,C11_F_Tot_75_84_yrs,C11_F_Tot_85o,C11_F_T_T,C16_F_Post_Deg_15_19_yrs,C16_F_Post_Deg_20_24_yrs,C16_F_Post_Deg_25_34_yrs,C16_F_Post_Deg_35_44_yrs,C16_F_Post_Deg_45_54_yrs,C16_F_Post_Deg_55_64_yrs,C16_F_Post_Deg_65_74_yrs,C16_F_Post_Deg_75_84_yrs,C16_F_Post_Deg_85o,C16_F_Post_Deg_Tot,C16_F_GrDip_GrCe_15_19,C16_F_GrDip_GrCe_20_24,C16_F_GrDip_GrCe_25_34,C16_F_GrDip_GrCe_35_44,C16_F_GrDip_GrCe_45_54,C16_F_GrDip_GrCe_55_64,C16_F_GrDip_GrCe_65_74,C16_F_GrDip_GrCe_75_84,C16_F_GrDip_GrCe_85ov,C16_F_GrDip_GrCe_Tot,C16_F_BD_15_19,C16_F_BD_20_24,C16_F_BD_25_34,C16_F_BD_35_44,C16_F_BD_45_54,C16_F_BD_55_64,C16_F_BD_65_74,C16_F_BD_75_84,C16_F_BD_85o,C16_F_BD_Tot,C16_F_AdD_DL_15_19,C16_F_AdD_DL_20_24,C16_F_AdD_DL_25_34,C16_F_AdD_DL_35_44,C16_F_AdD_DL_45_54,C16_F_AdD_DL_55_64,C16_F_AdD_DL_65_74,C16_F_AdD_DL_75_84,C16_F_AdD_DL_85o,C16_F_AdD_DL_Tot,C16_F_CL_C_III_IV_15_19,C16_F_CL_C_III_IV_20_24,C16_F_CL_C_III_IV_25_34,C16_F_CL_C_III_IV_35_44,C16_F_CL_C_III_IV_45_54,C16_F_CL_C_III_IV_55_64,C16_F_CL_C_III_IV_65_74,C16_F_CL_C_III_IV_75_84,C16_F_CL_C_III_IV_85_ov,C16_F_CL_C_III_IV_Tot
1RNSW,4892,15392,28057,30397,25857,13848,5147,2718,686,126998,323,811,2069,4070,5232,3842,2377,1261,332,20315,8929,4631,9563,14033,15421,16203,18492,20662,8875,116815,14624,31321,78506,90995,92621,61849,38118,29724,11132,448878,3,230,3436,4780,4591,3908,1372,277,45,18653,5,240,2472,3878,4590,4252,1281,299,53,17083,33,6559,27432,26797,21268,16838,7651,2831,793,110198,432,4298,12657,18537,20141,16421,8858,3563,918,85825,3266,12953,25899,25667,24955,13780,4395,1959,631,113499,1676,2760,4337,4222,4130,2635,954,250,83,21050,518,1450,2897,4886,6013,5375,2855,1112,374,25475,5465,17167,33131,34779,35095,21780,8194,3326,1082,160023,210,641,1226,2295,4367,4466,2929,1478,578,18194,7945,4546,8083,11041,13906,15887,17974,18405,10625,108418,14096,33682,88444,102109,103953,83551,48260,30181,14107,518383,7,300,6036,7025,6223,5591,2773,608,100,28666,31,368,3374,4422,4660,5713,2564,592,105,21821,34,7351,32392,32328,23768,21517,12261,4332,1229,135225,647,4988,16604,19993,23097,22589,13427,5306,1551,108207,3699,14565,30255,27580,28586,20683,7948,2139,946,136401
1GSYD,5816,20781,40935,38602,30202,17520,6908,4350,1488,166608,516,1768,5067,7302,7144,5176,2651,1835,618,32065,16603,15649,32557,32563,30091,26432,23182,26988,14205,218271,24669,81066,229470,203199,161358,100647,52138,42416,19017,913978,25,2501,32133,25669,17137,10394,3320,829,182,92186,19,688,7643,8938,8132,6231,1984,550,116,34304,225,28943,109013,81398,52988,31563,12106,4937,1501,322671,1387,14593,38484,44646,36481,25702,12713,5649,1840,181495,3935,16165,33018,29261,24459,13663,5349,2675,1112,129635,1519,2725,5613,5620,4963,3065,1017,376,146,25045,623,2138,5250,8646,9240,7497,3742,1640,775,39549,6079,21028,43887,43519,38665,24218,10108,4685,2034,194227,470,1965,5223,6874,9077,8410,5453,3227,1406,42100,12258,11669,24794,22756,22080,21118,19419,19723,14628,168448,20467,81389,261174,233801,184562,127641,65100,39602,21702,1035436,34,3483,50318,40494,24015,14719,6589,1530,357,141535,74,1022,9035,10430,9174,8159,4015,980,218,43101,314,37725,132132,100456,65051,41899,20679,7429,2331,408013,1670,14335,43232,46285,43617,31778,18300,7546,2748,209509,3921,15664,36224,32239,30104,19537,8370,2878,1360,150288
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,3,0,0,3,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,11,0,0,0,0,3,5,9,8,0,22,0,0,3,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,9,4,0,0,25,0,0,4,0,3,4,8,3,0,20,0,0,4,0,3,8,3,0,0,22
19499,23,67,120,83,80,46,6,7,0,421,0,10,18,9,12,13,0,0,0,61,33,59,144,72,83,83,57,45,10,578,55,275,718,365,317,256,100,55,15,2159,0,11,90,37,20,28,0,0,0,181,0,0,21,3,20,9,3,0,0,69,0,95,309,114,57,70,24,6,0,686,0,42,83,75,53,65,18,3,0,350,16,56,104,53,71,42,14,3,0,362,14,20,24,14,10,7,3,0,0,93,8,11,22,24,30,20,13,0,0,125,39,88,142,91,107,73,28,3,0,579,0,9,23,13,17,21,8,0,0,86,71,86,202,162,142,113,88,50,32,939,109,333,872,499,422,381,169,57,38,2883,0,9,75,39,23,21,5,6,0,177,0,0,19,17,12,14,7,0,0,67,0,108,284,103,74,57,38,6,0,673,5,40,75,54,64,83,47,4,3,374,9,41,79,55,76,69,28,5,0,351
