GCCSA_CODE_2016,C11_5_9_Indig_st_ns_P,C11_5_9_T_M,C11_5_9_T_F,C11_5_9_T_P,C11_10_14_Indigen_M,C11_10_14_Indigen_F,C11_10_14_Indigen_P,C11_10_14_NonInd_M,C11_10_14_NonInd_F,C11_10_14_NonInd_P,C11_10_14_Ind_st_ns_M,C11_10_14_Ind_st_ns_F,C11_10_14_Ind_st_ns_P,C11_10_14_T_M,C11_10_14_T_F,C11_10_14_T_P,C11_15_19_Indigen_M,C11_15_19_Indigen_F,C11_15_19_Indigen_P,C11_15_19_NonInd_M,C11_15_19_NonInd_F,C11_15_19_NonInd_P,C11_15_19_Ind_st_ns_M,C11_15_19_Ind_st_ns_F,C11_15_19_Ind_st_ns_P,C11_15_19_T_M,C11_15_19_T_F,C11_15_19_T_P,C11_20_24_Indigen_M,C11_20_24_Indigen_F,C11_20_24_Indigen_P,C11_20_24_NonInd_M,C11_20_24_NonInd_F,C11_20_24_NonInd_P,C11_20_24_Ind_st_ns_M,C11_20_24_Ind_st_ns_F,C11_20_24_Ind_st_ns_P,C11_20_24_T_M,C11_20_24_T_F,C11_20_24_T_P,C11_25_29_Indigen_M,C11_25_29_Indigen_F,C11_25_29_Indigen_P,C11_25_29_NonInd_M,C11_25_29_NonInd_F,C11_25_29_NonInd_P,C11_25_29_Ind_st_ns_M,C11_25_29_Ind_st_ns_F,C11_25_29_Ind_st_ns_P,C11_25_29_T_M,C11_25_29_T_F,C11_25_29_T_P,C11_30_34_Indigen_M,C11_30_34_Indigen_F,C11_30_34_Indigen_P,C11_30_34_NonInd_M,C11_30_34_NonInd_F,C11_30_34_NonInd_P,C11_30_34_Ind_st_ns_M,C11_30_34_Ind_st_ns_F,C11_30_34_Ind_st_ns_P,C11_30_34_T_M,C11_30_34_T_F,C11_30_34_T_P,C11_35_39_Indigen_M,C11_35_39_Indigen_F,C11_35_39_Indigen_P,C11_35_39_NonInd_M,C11_35_39_NonInd_F,C11_35_39_NonInd_P,C11_35_39_Ind_st_ns_M,C11_35_39_Ind_st_ns_F,C11_35_39_Ind_st_ns_P,C11_35_39_T_M,C11_35_39_T_F,C11_35_39_T_P,C11_40_44_Indigen_M,C11_40_44_Indigen_F,C11_40_44_Indigen_P,C11_40_44_NonInd_M,C11_40_44_NonInd_F,C11_40_44_NonInd_P,C11_40_44_Ind_st_ns_M,C11_40_44_Ind_st_ns_F,C11_40_44_Ind_st_ns_P,C11_40_44_T_M,C11_40_44_T_F,C11_40_44_T_P,C11_45_49_Indigen_M,C11_45_49_Indigen_F,C11_45_49_Indigen_P,C11_45_49_NonInd_M,C11_45_49_NonInd_F,C11_45_49_NonInd_P,C11_45_49_Ind_st_ns_M,C11_45_49_Ind_st_ns_F,C11_45_49_Ind_st_ns_P,C11_45_49_T_M,C11_45_49_T_F,C11_45_49_T_P,C11_50_54_Indigen_M,C11_50_54_Indigen_F,C11_50_54_Indigen_P,C11_50_54_NonInd_M,C11_50_54_NonInd_F,C11_50_54_NonInd_P,C11_50_54_Ind_st_ns_M,C11_50_54_Ind_st_ns_F,C11_50_54_Ind_st_ns_P,C11_50_54_T_M,C11_50_54_T_F,C11_50_54_T_P,C11_55_59_Indigen_M,C11_55_59_Indigen_F,C11_55_59_Indigen_P,C11_55_59_NonInd_M,C11_55_59_NonInd_F,C11_55_59_NonInd_P,C11_55_59_Ind_st_ns_M,C11_55_59_Ind_st_ns_F,C11_55_59_Ind_st_ns_P,C11_55_59_T_M,C11_55_59_T_F,C11_55_59_T_P,C11_60_64_Indigen_M,C11_60_64_Indigen_F,C11_60_64_Indigen_P,C11_60_64_NonInd_M,C11_60_64_NonInd_F,C11_60_64_NonInd_P,C11_60_64_Ind_st_ns_M,C11_60_64_Ind_st_ns_F,C11_60_64_Ind_st_ns_P,C11_60_64_T_M,C11_60_64_T_F,C11_60_64_T_P,C11_65_over_Indigen_M,C11_65_over_Indigen_F,C11_65_over_Indigen_P,C11_65over_NonInd_M,C11_65over_NonInd_F,C11_65over_NonInd_P,C11_65over_Indig_st_ns_M,C11_65over_Indig_st_ns_F,C11_65over_Indig_st_ns_P,C11_65_over_T_M,C11_65_over_T_F,C11_65_over_T_P,C11_Tot_Indig_M,C11_Tot_Indig_F,C11_Tot_Indig_P,C11_Tot_NonInd_M,C11_Tot_NonInd_F,C11_Tot_NonInd_P,C11_Tot_Indig_st_ns_M,C11_Tot_Indig_st_ns_F,C11_Tot_Indig_st_ns_P,C11_Tot_T_M,C11_Tot_T_F,C11_Tot_T_P,C16_0_4_Indig_M,C16_0_4_Indig_F,C16_0_4_Indig_P,C16_0_4_NonInd_M,C16_0_4_NonInd_F,C16_0_4_NonInd_P,C16_0_4_Indig_st_ns_M,C16_0_4_Indig_st_ns_F,C16_0_4_Indig_st_ns_P,C16_0_4_T_M,C16_0_4_T_F,C16_0_4_T_P,C16_5_9_Indig_M,C16_5_9_Indig_F,C16_5_9_Indig_P,C16_5_9_NonInd_M,C16_5_9_NonInd_F,C16_5_9_NonInd_P,C16_5_9_Indig_st_ns_M,C16_5_9_Indig_st_ns_F,C16_5_9_Indig_st_ns_P,C16_5_9_T_M,C16_5_9_T_F,C16_5_9_T_P,C16_10_14_Indigen_M,C16_10_14_Indigen_F,C16_10_14_Indigen_P,C16_10_14_NonInd_M,C16_10_14_NonInd_F,C16_10_14_NonInd_P,C16_10_14_Ind_st_ns_M,C16_10_14_Ind_st_ns_F,C16_10_14_Ind_st_ns_P,C16_10_14_T_M,C16_10_14_T_F,C16_10_14_T_P,C16_15_19_Indigen_M,C16_15_19_Indigen_F,C16_15_19_Indigen_P,C16_15_19_NonInd_M
1RNSW,7138,81902,77669,159574,7372,7145,14510,75407,71580,146988,4050,3709,7754,86824,82427,169255,6706,6434,13137,75298,71201,146502,3915,3322,7237,85914,80956,166873,4583,4483,9068,63575,61943,125520,3715,2812,6525,71870,69238,141115,3572,3684,7263,58436,59714,118151,3125,2432,5558,65140,65829,130970,2923,3132,6056,57970,61612,119585,2963,2373,5334,63862,67115,130979,3113,3659,6768,67580,71995,139574,3294,2828,6120,73982,78484,152469,3161,3744,6909,72271,77702,149973,3677,3001,6677,79109,84452,163555,2870,3344,6214,78192,81735,159929,3786,3065,6857,84853,88144,173000,2618,2884,5500,82006,85585,167586,4161,3319,7475,88785,91780,180567,2038,2161,4203,77914,79614,157529,3798,3078,6879,83757,84850,168614,1562,1575,3138,77143,77358,154504,3653,3073,6725,82355,82010,164368,2282,2705,4990,196321,228053,424374,10498,12486,22988,209097,243244,452344,57602,59358,116960,1123562,1162008,2285568,57848,52574,110422,1239007,1273940,2512952,8933,8250,17179,65989,62171,128160,4720,4551,9271,79636,74976,154615,8968,8606,17572,72243,68762,141002,5155,4968,10125,86367,82337,168699,8403,7986,16386,69676,66163,135844,5002,4713,9716,83088,78863,161945,7605,7366,14973,69229
1GSYD,13887,141613,133104,274712,3257,2977,6235,128402,121877,250282,6898,6185,13088,138561,131044,269599,3169,2998,6169,131564,124664,256233,7193,6191,13382,141924,133858,275789,2444,2384,4826,141759,142034,283793,10175,8466,18646,154382,152879,307257,1786,2016,3797,153760,161022,314783,12224,9960,22184,167771,173003,340766,1508,1701,3208,154089,159428,313525,10440,8954,19391,166035,170083,336121,1569,1792,3361,153571,160648,314217,9125,7896,17022,164267,170337,334601,1519,1853,3374,145432,154846,300282,8112,7119,15230,155065,163817,318886,1334,1640,2969,142341,147694,290037,7723,6750,14472,151396,156086,307485,1219,1318,2537,132277,138919,271200,7449,6320,13763,140941,146554,287499,927,1049,1975,114612,121633,236242,6320,5612,11928,121853,128290,250148,698,820,1519,104856,108417,213271,5640,5038,10671,111195,114269,225460,1031,1273,2307,238393,292247,530633,14311,17188,31504,253732,310710,564445,26953,27789,54744,2013998,2091769,4105766,121265,109897,231158,2162221,2229453,4391673,4045,3683,7729,147336,140144,287474,7649,7318,14968,159029,151145,310173,3971,3765,7742,147790,140005,287800,6948,6740,13693,158716,150522,309236,3967,3586,7548,134558,126880,261443,6186,5711,11899,144709,136177,280892,3783,3566,7344,137220
19799,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,5,0,5,0,0,0,5,0,5,0,0,0,3,0,3,3,0,3,12,0,12,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,6,5,8,0,0,0,3,5,11,0,0,0,5,15,16,0,0,0,5,15,16,0,0,0,22,29,50,3,3,3,24,33,55,0,0,0,52,54,106,3,3,9,56,55,112,0,0,0,8,3,9,3,0,4,10,4,14,0,0,0,5,5,9,0,0,0,3,5,12,0,3,3,3,5,9,0,0,0,3,9,11,0,0,3,7
19499,27,168,148,316,18,18,35,122,117,238,28,14,40,164,147,309,57,41,102,301,299,599,28,27,59,387,374,757,53,45,95,574,518,1089,77,52,132,700,609,1313,43,43,87,642,541,1181,99,51,150,786,640,1422,44,48,92,580,428,1012,90,46,128,711,520,1235,55,30,82,546,320,862,65,43,107,665,387,1052,63,23,83,567,284,851,81,31,114,704,345,1052,50,21,71,513,265,774,59,26,90,619,317,939,43,17,58,485,302,793,70,38,107,597,356,954,17,16,29,412,320,730,63,22,84,492,359,847,8,12,25,408,314,723,50,26,85,468,359,827,13,7,22,710,442,1148,94,69,159,817,512,1332,521,391,914,6225,4450,10674,847,484,1329,7593,5327,12917,26,16,44,143,121,266,12,10,27,188,149,338,16,15,31,97,89,182,11,11,24,119,122,238,8,10,20,60,61,120,11,9,22,82,78,158,26,27,53,211
