GCCSA_CODE_2016,C06_F_55_59_Em_FT,C06_F_55_59_Em_PT,C06_F_55_59_Em_AFW,C06_F_55_59_Em_Hrs_NS,C06_F_55_59_Em_Tot,C06_F_55_59_Unem_Look_FT,C06_F_55_59_Unem_Look_PT,C06_F_55_59_Unem_Tot,C06_F_55_59_Tot_LF,C06_F_55_59_Notin_LF,C06_F_55_59_LF_NS,C06_F_55_59_Tot,C06_F_60_64_Em_FT,C06_F_60_64_Em_PT,C06_F_60_64_Em_AFW,C06_F_60_64_Em_Hrs_NS,C06_F_60_64_Em_Tot,C06_F_60_64_Unem_Look_FT,C06_F_60_64_Unem_Look_PT,C06_F_60_64_Unem_Tot,C06_F_60_64_Tot_LF,C06_F_60_64_Notin_LF,C06_F_60_64_LF_NS,C06_F_60_64_Tot,C06_F_65_69_Em_FT,C06_F_65_69_Em_PT,C06_F_65_69_Em_AFW,C06_F_65_69_Em_Hrs_NS,C06_F_65_69_Em_Tot,C06_F_65_69_Unem_Look_FT,C06_F_65_69_Unem_Look_PT,C06_F_65_69_Unem_Tot,C06_F_65_69_Tot_LF,C06_F_65_69_Notin_LF,C06_F_65_69_LF_NS,C06_F_65_69_Tot,C06_F_70_74_Em_FT,C06_F_70_74_Em_PT,C06_F_70_74_Em_AFW,C06_F_70_74_Em_Hrs_NS,C06_F_70_74_Em_Tot,C06_F_70_74_Unem_Look_FT,C06_F_70_74_Unem_Look_PT,C06_F_70_74_Unem_Tot,C06_F_70_74_Tot_LF,C06_F_70_74_Notin_LF,C06_F_70_74_LF_NS,C06_F_70_74_Tot,C06_F_75ov_Em_FT,C06_F_75ov_Em_PT,C06_F_75ov_Em_AFW,C06_F_75ov_Em_Hrs_NS,C06_F_75andOver_Em_Tot,C06_F_75over_Unem_Lo_ft_wo,C06_F_75ov_Unem_Lo_pt_wor,C06_F_75andOver_Unemp_Tot,C06_F_75over_Tot_lab_for,C06_F_75over_N_lab_forc,C06_F_75over_LF_NS,C06_F_75over_Tot,C06_F_Tot_Em_FT,C06_F_Tot_Em_PT,C06_F_Tot_Em_AFW,C06_F_Tot_Em_Hrs_NS,C06_F_Tot_Em_Tot,C06_F_Tot_Unem_Look_FT,C06_F_Tot_Unem_Look_PT,C06_F_Tot_Unem_Tot,C06_F_T_T_labo_for,C06_F_Tot_Notin_LF,C06_F_Tot_LF_NS,C06_F_T_T,C11_F_15_19_Em_FT,C11_F_15_19_Em_PT,C11_F_15_19_Em_AFW,C11_F_15_19_Em_Hrs_NS,C11_F_15_19_Em_Tot,C11_F_15_19_Unem_Look_FT,C11_F_15_19_Unem_Look_PT,C11_F_15_19_Unem_Tot,C11_F_15_19_Tot_LF,C11_F_15_19_Notin_LF,C11_F_15_19_LF_NS,C11_F_15_19_Tot,C11_F_20_24_Em_FT,C11_F_20_24_Em_PT,C11_F_20_24_Em_AFW,C11_F_20_24_Em_Hrs_NS,C11_F_20_24_Em_Tot,C11_F_20_24_Unem_Look_FT,C11_F_20_24_Unem_Look_PT,C11_F_20_24_Unem_Tot,C11_F_20_24_Tot_LF,C11_F_20_24_Notin_LF,C11_F_20_24_LF_NS,C11_F_20_24_Tot,C11_F_25_29_Em_FT,C11_F_25_29_Em_PT,C11_F_25_29_Em_AFW,C11_F_25_29_Em_Hrs_NS,C11_F_25_29_Em_Tot,C11_F_25_29_Unem_Look_FT,C11_F_25_29_Unem_Look_PT,C11_F_25_29_Unem_Tot,C11_F_25_29_Tot_LF,C11_F_25_29_Notin_LF,C11_F_25_29_LF_NS,C11_F_25_29_Tot,C11_F_30_34_Em_FT,C11_F_30_34_Em_PT,C11_F_30_34_Em_AFW,C11_F_30_34_Em_Hrs_NS,C11_F_30_34_Em_Tot,C11_F_30_34_Unem_Look_FT,C11_F_30_34_Unem_Look_PT,C11_F_30_34_Unem_Tot,C11_F_30_34_Tot_LF,C11_F_30_34_Notin_LF,C11_F_30_34_LF_NS,C11_F_30_34_Tot,C11_F_35_39_Em_FT,C11_F_35_39_Em_PT,C11_F_35_39_Em_AFW,C11_F_35_39_Em_Hrs_NS,C11_F_35_39_Em_Tot,C11_F_35_39_Unem_Look_FT,C11_F_35_39_Unem_Look_PT,C11_F_35_39_Unem_Tot,C11_F_35_39_Tot_LF,C11_F_35_39_Notin_LF,C11_F_35_39_LF_NS,C11_F_35_39_Tot,C11_F_40_44_Em_FT,C11_F_40_44_Em_PT,C11_F_40_44_Em_AFW,C11_F_40_44_Em_Hrs_NS,C11_F_40_44_Em_Tot,C11_F_40_44_Unem_Look_FT,C11_F_40_44_Unem_Look_PT,C11_F_40_44_Unem_Tot,C11_F_40_44_Tot_LF,C11_F_40_44_Notin_LF,C11_F_40_44_LF_NS,C11_F_40_44_Tot,C11_F_45_49_Em_FT,C11_F_45_49_Em_PT,C11_F_45_49_Em_AFW,C11_F_45_49_Em_Hrs_NS,C11_F_45_49_Em_Tot,C11_F_45_49_Unem_Look_FT,C11_F_45_49_Unem_Look_PT,C11_F_45_49_Unem_Tot,C11_F_45_49_Tot_LF,C11_F_45_49_Notin_LF,C11_F_45_49_LF_NS,C11_F_45_49_Tot,C11_F_50_54_Em_FT,C11_F_50_54_Em_PT,C11_F_50_54_Em_AFW,C11_F_50_54_Em_Hrs_NS,C11_F_50_54_Em_Tot,C11_F_50_54_Unem_Look_FT,C11_F_50_54_Unem_Look_PT,C11_F_50_54_Unem_Tot,C11_F_50_54_Tot_LF,C11_F_50_54_Notin_LF,C11_F_50_54_LF_NS,C11_F_50_54_Tot,C11_F_55_59_Em_FT,C11_F_55_59_Em_PT,C11_F_55_59_Em_AFW,C11_F_55_59_Em_Hrs_NS,C11_F_55_59_Em_Tot,C11_F_55_59_Unem_Look_FT,C11_F_55_59_Unem_Look_PT,C11_F_55_59_Unem_Tot,C11_F_55_59_Tot_LF,C11_F_55_59_Notin_LF,C11_F_55_59_LF_NS,C11_F_55_59_Tot,C11_F_60_64_Em_FT,C11_F_60_64_Em_PT,C11_F_60_64_Em_AFW,C11_F_60_64_Em_Hrs_NS,C11_F_60_64_Em_Tot,C11_F_60_64_Unem_Look_FT,C11_F_60_64_Unem_Look_PT,C11_F_60_64_Unem_Tot,C11_F_60_64_Tot_LF,C11_F_60_64_Notin_LF,C11_F_60_64_LF_NS,C11_F_60_64_Tot,C11_F_65_69_Em_FT,C11_F_65_69_Em_PT,C11_F_65_69_Em_AFW,C11_F_65_69_Em_Hrs_NS,C11_F_65_69_Em_Tot,C11_F_65_69_Unem_Look_FT,C11_F_65_69_Unem_Look_PT,C11_F_65_69_Unem_Tot
1RNSW,17637,18441,2031,840,38952,932,908,1838,40788,35987,3192,79965,6996,9680,1070,466,18213,344,452,797,19012,45608,3075,67686,2029,3580,382,239,6227,27,65,91,6318,47984,3381,57683,806,1328,186,190,2510,16,25,38,2546,42963,3843,49351,618,815,187,271,1897,25,23,49,1944,95479,13169,110595,202623,226266,20496,11174,460563,17275,16614,33890,494447,439786,51412,985645,6585,26753,1878,1251,36475,2259,3941,6197,42676,35015,3268,80956,21492,19279,1972,1085,43834,2649,2066,4719,48548,17616,3078,69238,23405,15587,2961,677,42629,1680,1361,3039,45674,17443,2712,65829,18172,20707,3433,649,42959,1353,1509,2863,45830,18668,2623,67115,21442,27743,2767,861,52811,1468,1654,3121,55936,19481,3068,78484,27521,30201,2113,1006,60840,1494,1624,3121,63958,17302,3190,84452,31978,29614,2216,992,64794,1568,1338,2910,67704,17287,3151,88144,32911,28210,2774,1001,64899,1303,1119,2421,67323,21085,3372,91780,23027,22988,2568,738,49318,822,941,1770,51087,30520,3240,84850,11160,15628,1695,563,29048,398,646,1045,30091,48531,3384,82010,3152,5855,684,312,10003,28,124,154
1GSYD,34564,27339,2653,1458,66013,1177,1184,2362,68378,45340,6940,120659,13269,15704,1489,716,31183,446,556,1001,32188,52583,5775,90540,2967,5745,557,306,9579,45,117,159,9733,56450,5460,71645,647,1924,201,149,2923,17,51,69,2994,52307,5628,60928,562,1270,220,319,2377,42,45,91,2461,128660,20363,151485,475804,343943,35223,22172,877140,23278,25524,48803,925940,651926,122105,1699976,7809,34558,2313,1702,46381,2522,6457,8974,55352,72842,5658,133858,49054,42076,3514,2785,97429,4797,5234,10033,107460,36662,8758,152879,82675,28941,5671,2226,119517,4309,2918,7229,126743,35774,10481,173003,67886,35310,8349,1647,113200,3195,2779,5979,119174,41495,9416,170083,58216,46403,6500,1680,112801,2838,3275,6110,118910,43051,8379,170337,58508,47870,3625,1837,111843,2736,3232,5966,117813,38509,7501,163817,61640,43794,3009,2033,110472,2793,2677,5464,115938,33106,7043,156086,57818,37951,3379,1715,100861,2401,2103,4503,105368,34634,6554,146554,41721,30395,3126,1281,76525,1462,1452,2919,79442,42866,5987,128290,20930,22956,2203,850,46941,672,1012,1684,48626,60040,5606,114269,5611,9592,841,358,16403,58,225,281
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,5,0,5,3,0,0,0,4,0,0,0,4,11,0,15,0,0,0,0,0,0,0,0
19499,36,28,7,0,66,10,3,14,84,213,25,323,10,14,0,0,21,11,3,12,36,173,22,228,3,3,0,0,5,0,0,0,5,112,12,139,0,0,0,0,3,0,0,0,3,56,12,73,0,0,0,0,0,0,0,0,0,102,25,127,707,455,81,43,1281,224,97,324,1602,1803,365,3771,30,42,3,3,83,38,34,68,147,169,57,374,125,102,14,8,254,42,21,62,318,224,74,609,164,82,25,11,288,42,28,70,349,197,92,640,123,62,14,3,203,39,26,60,269,171,80,520,76,49,4,0,132,25,14,33,170,137,78,387,52,34,9,0,95,15,16,35,131,135,77,345,55,45,10,3,106,22,10,34,137,127,48,317,64,50,7,3,118,20,7,24,145,152,62,356,45,32,9,7,94,12,12,19,113,197,40,359,20,20,12,4,54,0,10,12,63,252,44,359,0,9,0,0,8,0,0,0
