GCCSA_CODE_2016,Age_74_C16_P,Age_70_74_C06_M,Age_70_74_C06_F,Age_70_74_C06_P,Age_70_74_C11_M,Age_70_74_C11_F,Age_70_74_C11_P,Age_70_74_C16_M,Age_70_74_C16_F,Age_70_74_C16_P,Age_75_C06_M,Age_75_C06_F,Age_75_C06_P,Age_75_C11_M,Age_75_C11_F,Age_75_C11_P,Age_75_C16_M,Age_75_C16_F,Age_75_C16_P,Age_76_C06_M,Age_76_C06_F,Age_76_C06_P,Age_76_C11_M,Age_76_C11_F,Age_76_C11_P,Age_76_C16_M,Age_76_C16_F,Age_76_C16_P,Age_77_C06_M,Age_77_C06_F,Age_77_C06_P,Age_77_C11_M,Age_77_C11_F,Age_77_C11_P,Age_77_C16_M,Age_77_C16_F,Age_77_C16_P,Age_78_C06_M,Age_78_C06_F,Age_78_C06_P,Age_78_C11_M,Age_78_C11_F,Age_78_C11_P,Age_78_C16_M,Age_78_C16_F,Age_78_C16_P,Age_79_C06_M,Age_79_C06_F,Age_79_C06_P,Age_79_C11_M,Age_79_C11_F,Age_79_C11_P,Age_79_C16_M,Age_79_C16_F,Age_79_C16_P,Age_75_79_C06_M,Age_75_79_C06_F,Age_75_79_C06_P,Age_75_79_C11_M,Age_75_79_C11_F,Age_75_79_C11_P,Age_75_79_C16_M,Age_75_79_C16_F,Age_75_79_C16_P,Age_80_84_C06_M,Age_80_84_C06_F,Age_80_84_C06_P,Age_80_84_C11_M,Age_80_84_C11_F,Age_80_84_C11_P,Age_80_84_C16_M,Age_80_84_C16_F,Age_80_84_C16_P,Age_85ov_C06_M,Age_85ov_C06_F,Age_85ov_C06_P,Age_85ov_C11_M,Age_85ov_C11_F,Age_85ov_C11_P,Age_85ov_C16_M,Age_85ov_C16_F,Age_85ov_C16_P,Tot_C06_M,Tot_C06_F,Tot_C06_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P
1RNSW,24008,46237,49351,95587,52619,55109,107724,65512,67630,133140,8566,9544,18113,9169,9941,19111,10657,11283,21945,8250,9370,17623,8169,9424,17595,9985,10845,20829,7741,9044,16788,7718,8707,16422,9407,10395,19798,7503,8687,16189,7394,8438,15830,8771,9752,18530,6688,8317,15002,7175,8347,15522,8361,9563,17922,38747,44967,83718,39623,44855,84478,47188,51835,99023,25101,35034,60141,29254,37522,66771,31228,38484,69716,14929,30593,45519,20565,37979,58543,26562,44829,71398,1193752,1226014,2419769,1239007,1273940,2512952,1301717,1341813,2643536
1GSYD,27637,54182,60928,115105,61572,67688,129254,76315,82644,158961,9992,11956,21950,10461,12041,22498,12306,13937,26244,9832,12008,21840,9638,11422,21057,11895,13155,25055,9258,11672,20928,9227,10735,19963,10891,12656,23549,8860,11380,20240,8712,10660,19375,10026,12057,22084,8350,10935,19289,8277,10229,18509,9592,11533,21129,46300,57951,104247,46317,55081,101401,54715,63350,118061,31946,48540,80490,35352,48487,83838,37598,48394,85988,21077,44996,66072,27271,53794,81066,35147,60875,96022,2028727,2090459,4119190,2162221,2229453,4391673,2376766,2447221,4823991
19799,12,0,0,0,11,7,21,21,28,46,0,0,0,0,0,0,0,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,3,3,0,3,4,0,0,0,0,0,0,0,3,3,0,0,0,3,3,6,5,14,22,0,0,0,8,9,20,10,10,19,0,0,0,0,0,0,3,7,10,37,7,50,56,55,112,171,239,412
19499,62,134,73,203,227,132,366,266,154,413,21,14,37,29,11,42,37,24,61,8,11,25,25,7,30,26,17,46,12,6,23,15,12,29,28,11,38,14,5,18,23,9,33,22,16,32,18,12,31,6,3,9,11,11,24,77,48,125,95,46,144,121,78,199,34,46,76,51,51,97,43,38,83,27,35,66,50,71,122,32,48,78,5924,4248,10175,7593,5327,12917,7351,4939,12288
