GCCSA_CODE_2016,C11_M_Health_15_19,C11_M_Health_20_24,C11_M_Health_25_34,C11_M_Health_35_44,C11_M_Health_45_54,C11_M_Health_55_64,C11_M_Health_65_74,C11_M_Health_75_84,C11_M_Health_85o,C11_M_Healt_To,C11_M_Educ_15_19,C11_M_Educ_20_24,C11_M_Educ_25_34,C11_M_Educ_35_44,C11_M_Educ_45_54,C11_M_Educ_55_64,C11_M_Educ_65_74,C11_M_Educ_75_84,C11_M_Educ_85o,C11_M_Educ_Tot,C11_M_MngtCom_15_19,C11_M_MngtCom_20_24,C11_M_MngtCom_25_34,C11_M_MngtCom_35_44,C11_M_MngtCom_45_54,C11_M_MngtCom_55_64,C11_M_MngtCom_65_74,C11_M_MngtCom_75_84,C11_M_MngtCom_85o,C11_M_MngtCom_Tot,C11_M_Soc_cult_15_19,C11_M_Soc_cult_20_24,C11_M_Soc_cult_25_34,C11_M_Soc_cult_35_44,C11_M_Soc_cult_45_54,C11_M_Soc_cult_55_64,C11_M_Soc_cult_65_74,C11_M_Soc_cult_75_84,C11_M_Soc_cult_85o,C11_M_Society_cultur_Tot,C11_M_Creative_art_15_19,C11_M_Creative_art_20_24,C11_M_Creative_art_25_34,C11_M_Creative_art_35_44,C11_M_Creative_art_45_54,C11_M_Creative_art_55_64,C11_M_Creative_art_65_74,C11_M_Creative_art_75_84,C11_M_Creat_art_85andOve,C11_M_Creative_arts_Tot,C11_M_FoodHos_PS_15_19,C11_M_FoodHos_PS_20_24,C11_M_FoodHos_PS_25_34,C11_M_FoodHos_PS_35_44,C11_M_FoodHos_PS_45_54,C11_M_FoodHos_PS_55_64,C11_M_FoodHos_PS_65_74,C11_M_FoodHos_PS_75_84,C11_M_FoodHos_PS_85o,C11_M_Foo_hos_pers_S_Tot,C11_M_MixFld_pr_15_19,C11_M_MixFld_pr_20_24,C11_M_MixFld_pr_25_34,C11_M_MixFld_pr_35_44,C11_M_MixFld_pr_45_54,C11_M_MixFld_pr_55_64,C11_M_MixFld_pr_65_74,C11_M_MixFld_pr_75_84,C11_M_MixFld_pr_85_ov,C11_M_MixFld_pr_Tot,C11_M_FldStu_ID_15_19,C11_M_FldStu_ID_20_24,C11_M_FldStu_ID_25_34,C11_M_FldStu_ID_35_44,C11_M_FldStu_ID_45_54,C11_M_FldStu_ID_55_64,C11_M_FldStu_ID_65_74,C11_M_FldStu_ID_75_84,C11_M_FldStu_ID_85o,C11_M_FldStu_ID_Tot,C11_M_FldStu_NS_15_19,C11_M_FldStu_NS_20_24,C11_M_FldStu_NS_25_34,C11_M_FldStu_NS_35_44,C11_M_FldStu_NS_45_54,C11_M_FldStu_NS_55_64,C11_M_FldStu_NS_65_74,C11_M_FldStu_NS_75_84,C11_M_FldStu_NS_85o,C11_M_FldStu_NS_T,C11_M_Tot_15_19,C11_M_Tot_20_24,C11_M_Tot_25_34,C11_M_Tot_35_44,C11_M_Tot_45_54,C11_M_Tot_55_64,C11_M_Tot_65_74,C11_M_Tot_75_84,C11_M_Tot_85o,C11_M_T_T,C16_M_NatPhy_sci_15_19,C16_M_NatPhy_sci_20_24,C16_M_NatPhy_sci_25_34,C16_M_NatPhy_sci_35_44,C16_M_NatPhy_sci_45_54,C16_M_NatPhy_sci_55_64,C16_M_NatPhy_sci_65_74,C16_M_NatPhy_sci_75_84,C16_M_NatPhy_sci_85_ov,C16_M_NatPhy_sci_Tot,C16_M_InfTec_15_19,C16_M_InfTec_20_24,C16_M_InfTec_25_34,C16_M_InfTec_35_44,C16_M_InfTec_45_54,C16_M_InfTec_55_64,C16_M_InfTec_65_74,C16_M_InfTec_75_84,C16_M_InfTec_85_ov,C16_M_InfTec_Tot,C16_M_EngRT_15_19,C16_M_EngRT_20_24,C16_M_EngRT_25_34,C16_M_EngRT_35_44,C16_M_EngRT_45_54,C16_M_EngRT_55_64,C16_M_EngRT_65_74,C16_M_EngRT_75_84,C16_M_EngRT_85_ov,C16_M_EngRT_Tot,C16_M_ArchBuild_15_19,C16_M_ArchBuild_20_24,C16_M_ArchBuild_25_34,C16_M_ArchBuild_35_44,C16_M_ArchBuild_45_54,C16_M_ArchBuild_55_64,C16_M_ArchBuild_65_74,C16_M_ArchBuild_75_84,C16_M_ArchBuild_85o,C16_M_Arch_building_Tot,C16_M_AgEnv_RS_15_19,C16_M_AgEnv_RS_20_24,C16_M_AgEnv_RS_25_34,C16_M_AgEnv_RS_35_44,C16_M_AgEnv_RS_45_54,C16_M_AgEnv_RS_55_64,C16_M_AgEnv_RS_65_74,C16_M_AgEnv_RS_75_84,C16_M_AgEnv_RS_85o,C16_M_AgEnv_RS_Tot,C16_M_Health_15_19,C16_M_Health_20_24,C16_M_Health_25_34,C16_M_Health_35_44,C16_M_Health_45_54,C16_M_Health_55_64,C16_M_Health_65_74,C16_M_Health_75_84,C16_M_Health_85o,C16_M_Healt_To,C16_M_Educ_15_19,C16_M_Educ_20_24,C16_M_Educ_25_34,C16_M_Educ_35_44,C16_M_Educ_45_54,C16_M_Educ_55_64,C16_M_Educ_65_74,C16_M_Educ_75_84,C16_M_Educ_85o,C16_M_Educ_Tot,C16_M_MngtCom_15_19,C16_M_MngtCom_20_24,C16_M_MngtCom_25_34,C16_M_MngtCom_35_44,C16_M_MngtCom_45_54,C16_M_MngtCom_55_64,C16_M_MngtCom_65_74,C16_M_MngtCom_75_84,C16_M_MngtCom_85o,C16_M_MngtCom_Tot,C16_M_Soc_cult_15_19,C16_M_Soc_cult_20_24,C16_M_Soc_cult_25_34,C16_M_Soc_cult_35_44,C16_M_Soc_cult_45_54,C16_M_Soc_cult_55_64,C16_M_Soc_cult_65_74,C16_M_Soc_cult_75_84,C16_M_Soc_cult_85o,C16_M_Society_cultur_Tot,C16_M_Creative_art_15_19,C16_M_Creative_art_20_24,C16_M_Creative_art_25_34,C16_M_Creative_art_35_44,C16_M_Creative_art_45_54,C16_M_Creative_art_55_64,C16_M_Creative_art_65_74,C16_M_Creative_art_75_84,C16_M_Create_art_85andOv,C16_M_Creative_arts_Tot
1RNSW,105,767,3171,4563,4991,4224,2042,1055,303,21220,32,504,2541,3824,5113,7279,3446,1427,280,24443,542,2918,8781,10878,10846,9846,5514,2101,579,51999,271,1522,4652,6534,5936,6015,3037,1252,283,29500,214,984,2107,1812,1710,1589,791,312,71,9593,451,1959,4901,4740,3773,2775,1907,751,162,21415,77,111,68,58,75,79,36,40,14,569,85,266,839,1211,1346,1122,639,348,128,5988,9058,6726,11736,13355,14870,13967,13365,12308,4708,100096,13841,33666,84614,101698,110751,101104,65899,36304,10845,558724,27,586,1935,2173,2187,2556,2321,797,227,12807,262,1277,3617,3120,2156,1561,712,96,14,12805,1116,9899,29488,30163,36104,37031,30017,14473,4225,192532,861,4586,12680,12599,13648,13572,9670,4964,1305,73893,341,1589,4768,5977,6217,5457,3749,1622,404,30129,155,911,4568,5058,5109,5415,2913,1247,446,25817,47,487,3265,4065,4484,7570,5205,1940,500,27557,579,3037,10191,12071,12373,11456,8597,3022,771,62096,423,2062,6093,6985,7211,6942,5014,1777,449,36959,237,1177,2585,2180,1789,1860,1299,454,138,11714
1GSYD,186,2266,8943,9295,8319,6240,3610,2073,645,41569,49,934,4869,5840,7067,7889,3738,1647,405,32435,1151,15286,56472,49526,37936,26430,11796,4528,1407,204540,657,5733,19382,20014,16172,13179,6164,2506,713,84518,480,4576,12216,8047,5176,3145,1378,563,163,35736,521,4144,10292,7614,5202,3245,1880,743,222,33876,195,274,213,199,217,174,124,58,26,1489,128,776,2674,3064,2695,1890,882,472,214,12796,14476,15024,31682,26497,24700,20214,16269,13176,6065,168111,20711,75212,246840,233547,202143,150963,86323,45517,15731,1076997,106,2779,7796,7577,7638,6257,4492,1792,538,38980,528,5288,27098,27591,11930,5155,1381,181,40,79177,984,12579,49718,51407,55726,49497,34922,17514,5948,278288,1159,7405,23333,22703,20461,14360,9628,5212,1513,105774,166,1227,4059,4475,3947,2883,1430,735,226,19138,210,2898,12609,10581,9104,7530,4530,2449,973,50887,78,1129,6125,6042,6265,7927,5167,2140,632,35509,1140,16325,70100,60469,45467,31709,18645,6314,1909,252082,637,6886,24001,21645,18784,15293,9589,3472,1014,101325,584,5147,14377,10163,6133,4003,2131,838,240,43628
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,5,0,0,3,5,5,6,9,6,0,43,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,15,5,0,32,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
19499,0,7,34,24,19,16,5,3,0,113,0,3,20,14,20,24,10,3,0,95,5,42,103,88,45,40,25,3,0,347,4,20,59,28,28,27,16,3,0,183,0,17,45,19,15,11,10,0,0,117,4,17,46,25,20,13,11,0,0,133,0,0,0,3,0,0,0,0,0,8,0,4,12,17,9,7,4,0,0,52,74,138,393,461,471,300,159,43,24,2064,103,364,1066,917,850,633,395,77,34,4436,0,11,25,12,5,13,7,0,0,77,3,18,46,35,15,9,0,0,0,112,4,54,175,106,116,145,114,16,0,731,3,26,65,59,45,59,48,6,0,310,0,10,25,12,13,16,3,0,0,82,0,10,41,23,17,14,16,0,0,121,0,3,17,15,11,17,15,0,0,75,7,50,118,54,54,40,32,8,0,357,0,34,60,32,24,33,27,6,0,222,0,12,43,16,17,8,7,0,0,110
