GCCSA_CODE_2016,Pre_sch_C06_M,Pre_sch_C06_F,Pre_sch_C06_P,Pre_sch_C11_M,Pre_sch_C11_F,Pre_sch_C11_P,Pre_sch_C16_M,Pre_sch_C16_F,Pre_sch_C16_P,Infan_Prim_Govt_C06_M,Infan_Prim_Govt_C06_F,Infan_Prim_Govt_C06_P,Infan_Prim_Govt_C11_M,Infan_Prim_Govt_C11_F,Infan_Prim_Govt_C11_P,Infan_Prim_Govt_C16_M,Infan_Prim_Govt_C16_F,Infan_Prim_Govt_C16_P,Infan_Prim_Cath_C06_M,Infan_Prim_Cath_C06_F,Infan_Prim_Cath_C06_P,Infan_Prim_Cath_C11_M,Infan_Prim_Cath_C11_F,Infan_Prim_Cath_C11_P,Infan_Prim_Cath_C16_M,Infan_Prim_Cath_C16_F,Infan_Prim_Cath_C16_P,Inf_Pri_Oth_No_Gov_C06_M,Inf_Pri_Oth_No_Gov_C06_F,Inf_Pri_Oth_No_Gov_C06_P,Inf_Pri_Oth_No_Gov_C11_M,Inf_Pri_Oth_No_Gov_C11_F,Inf_Pri_Oth_No_Gov_C11_P,Inf_Pri_Oth_No_Gov_C16_M,Inf_Pri_Oth_No_Gov_C16_F,Inf_Pri_Oth_No_Gov_C16_P,Inf_Primary_Tot_C06_M,Inf_Primary_Tot_C06_F,Inf_Primary_Tot_C06_P,Inf_Primary_Tot_C11_M,Inf_Primary_Tot_C11_F,Inf_Primary_Tot_C11_P,Inf_Primary_Tot_C16_M,Inf_Primary_Tot_C16_F,Inf_Primary_Tot_C16_P,Sec_Govern_C06_M,Sec_Govern_C06_F,Sec_Govern_C06_P,Sec_Govern_C11_M,Sec_Govern_C11_F,Sec_Govern_C11_P,Sec_Govern_C16_M,Sec_Govern_C16_F,Sec_Govern_C16_P,Sec_Catholic_C06_M,Sec_Catholic_C06_F,Sec_Catholic_C06_P,Sec_Catholic_C11_M,Sec_Catholic_C11_F,Sec_Catholic_C11_P,Sec_Catholic_C16_M,Sec_Catholic_C16_F,Sec_Catholic_C16_P,Sec_Oth_Non_Gov_C06_M,Sec_Oth_Non_Gov_C06_F,Sec_Oth_Non_Gov_C06_P,Sec_Oth_Non_Gov_C11_M,Sec_Oth_Non_Gov_C11_F,Sec_Oth_Non_Gov_C11_P,Sec_Oth_Non_Gov_C16_M,Sec_Oth_Non_Gov_C16_F,Sec_Oth_Non_Gov_C16_P,Sec_Tot_C06_M,Sec_Tot_C06_F,Sec_Tot_C06_P,Sec_Tot_C11_M,Sec_Tot_C11_F,Sec_Tot_C11_P,Sec_Tot_C16_M,Sec_Tot_C16_F,Sec_Tot_C16_P,Tech_FTS_15_24_C06_M,Tech_FTS_15_24_C06_F,Tech_FTS_15_24_C06_P,Tech_FTS_15_24_C11_M,Tech_FTS_15_24_C11_F,Tech_FTS_15_24_C11_P,Tech_FTS_15_24_C16_M,Tech_FTS_15_24_C16_F,Tech_FTS_15_24_C16_P,Tech_FTS_25ove_C06_M,Tech_FTS_25ove_C06_F,Tech_FTS_25ove_C06_P,Tech_FTS_25ove_C11_M,Tech_FTS_25ove_C11_F,Tech_FTS_25ove_C11_P,Tech_FTS_25ove_C16_M,Tech_FTS_25ove_C16_F,Tech_FTS_25ove_C16_P,Tech_PTS_15_24_C06_M,Tech_PTS_15_24_C06_F,Tech_PTS_15_24_C06_P,Tech_PTS_15_24_C11_M,Tech_PTS_15_24_C11_F,Tech_PTS_15_24_C11_P,Tech_PTS_15_24_C16_M,Tech_PTS_15_24_C16_F,Tech_PTS_15_24_C16_P,Techn_PTS_25over_C06_M,Techn_PTS_25over_C06_F,Techn_PTS_25over_C06_P,Techn_PTS_25over_C11_M,Techn_PTS_25over_C11_F,Techn_PTS_25over_C11_P,Techn_PTS_25over_C16_M,Techn_PTS_25over_C16_F,Techn_PTS_25over_C16_P,Tec_F_Pt_stu_st_ns_C06_M,Tec_F_Pt_stu_st_ns_C06_F,Tec_F_Pt_stu_st_ns_C06_P,Tec_F_Pt_stu_st_ns_C11_M,Tec_F_Pt_stu_st_ns_C11_F,Tec_F_Pt_stu_st_ns_C11_P,Tec_F_Pt_stu_st_ns_C16_M,Tec_F_Pt_stu_st_ns_C16_F,Tec_F_Pt_stu_st_ns_C16_P,Tech_Tot_C06_M,Tech_Tot_C06_F,Tech_Tot_C06_P,Tech_Tot_C11_M,Tech_Tot_C11_F,Tech_Tot_C11_P,Tech_Tot_C16_M,Tech_Tot_C16_F,Tech_Tot_C16_P,U_Ft_s_15_24_06_C_M,U_Ft_s_15_24_06_C_F,U_Ft_s_15_24_06_C_P,U_Ft_s_15_24_11_C_M,U_Ft_s_15_24_11_C_F,U_Ft_s_15_24_11_C_P,U_Ft_s_15_24_16_C_M,U_Ft_s_15_24_16_C_F,U_Ft_s_15_24_16_C_P,U_Ft_s_25over_06_C_M,U_Ft_s_25over_06_C_F,U_Ft_s_25over_06_C_P,U_Ft_s_25over_11_C_M,U_Ft_s_25over_11_C_F,U_Ft_s_25over_11_C_P,U_Ft_s_25over_16_C_M,U_Ft_s_25over_16_C_F,U_Ft_s_25over_16_C_P,U_Pt_s_15_24_06_C_M,U_Pt_s_15_24_06_C_F,U_Pt_s_15_24_06_C_P,U_Pt_s_15_24_11_C_M,U_Pt_s_15_24_11_C_F,U_Pt_s_15_24_11_C_P,U_Pt_s_15_24_16_C_M,U_Pt_s_15_24_16_C_F,U_Pt_s_15_24_16_C_P,U_Pt_s_25over_06_C_M,U_Pt_s_25over_06_C_F,U_Pt_s_25over_06_C_P,U_Pt_s_25over_11_C_M,U_Pt_s_25over_11_C_F,U_Pt_s_25over_11_C_P,U_Pt_s_25over_16_C_M,U_Pt_s_25over_16_C_F,U_Pt_s_25over_16_C_P,U_F_Pt_s_s_ns_06_C_M,U_F_Pt_s_s_ns_06_C_F,U_F_Pt_s_s_ns_06_C_P,U_F_Pt_s_s_ns_11_C_M,U_F_Pt_s_s_ns_11_C_F,U_F_Pt_s_s_ns_11_C_P,U_F_Pt_s_s_ns_16_C_M,U_F_Pt_s_s_ns_16_C_F,U_F_Pt_s_s_ns_16_C_P,U_Tot_C06_M,U_Tot_C06_F,U_Tot_C06_P,U_Tot_C11_M,U_Tot_C11_F,U_Tot_C11_P,U_Tot_C16_M,U_Tot_C16_F,U_Tot_C16_P,Ot_ty_Ed_Ins_Ft_st_C06_M,Ot_ty_Ed_Ins_Ft_st_C06_F,Ot_ty_Ed_Ins_Ft_st_C06_P,Ot_ty_Ed_Ins_Ft_st_C11_M,Ot_ty_Ed_Ins_Ft_st_C11_F,Ot_ty_Ed_Ins_Ft_st_C11_P,Ot_ty_Ed_Ins_Ft_st_C16_M,Ot_ty_Ed_Ins_Ft_st_C16_F,Ot_ty_Ed_Ins_Ft_st_C16_P,Ot_ty_Ed_Ins_Pt_st_C06_M,Ot_ty_Ed_Ins_Pt_st_C06_F
1RNSW,23150,20904,44060,24672,22911,47581,25156,22923,48072,79686,75414,155094,74208,70094,144298,77719,73320,151038,22223,21639,43863,21927,21074,43003,22552,22140,44692,8977,8516,17492,9804,9182,18992,10130,9617,19754,110883,105568,216449,105942,100352,206289,110402,105074,215480,58457,57552,116012,57031,55158,112188,52581,50971,103552,16533,17180,33717,17321,18503,35817,18455,19154,37608,9033,9526,18560,9951,10418,20368,10748,11011,21759,84021,84264,168288,84300,84073,168370,81782,81133,162910,3899,4665,8565,3984,4500,8482,2922,3744,6667,1694,3639,5341,2180,4654,6834,1972,4250,6223,12683,6542,19220,11913,6912,18834,9493,6286,15776,9497,15670,25173,10044,17333,27381,7621,14268,21889,431,437,868,411,371,784,285,264,546,28206,30961,59166,28535,33775,62310,22294,28815,51103,11091,16048,27138,13556,19608,33170,15063,20086,35156,3943,5282,9224,5086,7241,12331,6442,8855,15301,1829,2645,4468,2122,3202,5331,2399,3878,6273,6703,11162,17869,7613,14430,22045,8153,16449,24596,136,188,330,142,198,339,129,191,319,23699,35325,59021,28519,44685,73205,32186,49458,81648,1017,1364,2382,1282,1587,2867,1615,1975,3592,2422,5895
1GSYD,36574,33337,69915,41159,37792,78949,43884,40028,83920,113723,106914,220629,117654,109828,227478,137581,128643,266229,35779,34748,70528,36786,35908,72692,38891,38495,77387,20113,19111,39222,21911,20604,42513,24640,23184,47825,169614,160768,330380,176347,166338,342686,201113,190322,391438,75963,74472,150443,80337,78419,158753,83705,81891,165595,35834,35004,70831,37402,36162,73558,40860,39206,80064,24484,23994,48478,25893,25048,50947,29663,28469,58135,136278,133476,269755,143632,139631,283259,154225,149568,303797,10440,10228,20668,10466,10009,20474,7692,7951,15647,4878,7775,12648,6642,11346,17995,7430,12325,19752,18860,9446,28307,16855,8395,25245,14393,6895,21280,15783,22216,37999,16328,23971,40307,13558,21650,35209,988,800,1793,734,634,1372,447,445,890,50952,50467,101417,51031,54356,105388,43517,49260,92782,42898,51593,94488,56479,66904,123385,76334,86117,162452,12976,13930,26900,17710,19602,37317,27129,29391,56520,5613,6771,12382,6817,7918,14734,9110,10021,19137,19807,24477,44288,22441,29922,52360,22261,32361,54625,749,792,1544,748,827,1572,582,712,1288,82044,97564,179606,104195,125180,229372,135421,158598,294017,4144,5098,9239,6240,7299,13544,9086,11436,20525,7419,13814
19799,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,7,10,0,0,0,0,0,0,4,10,9,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0
19499,29,27,52,36,38,76,32,19,49,121,116,235,158,141,294,85,106,191,24,23,46,20,14,30,8,10,21,11,18,28,19,20,39,14,15,36,155,156,311,197,175,371,107,131,243,54,74,134,122,122,238,63,32,97,6,7,18,16,12,30,5,10,16,11,17,26,18,10,31,10,19,25,73,103,177,150,148,300,75,55,134,34,26,63,43,32,75,15,20,43,19,27,48,28,29,59,17,30,44,27,12,37,29,31,62,29,15,44,45,40,83,37,73,106,31,53,78,0,0,4,3,3,5,5,0,9,120,113,239,134,175,306,97,120,217,81,115,196,92,135,231,110,123,228,65,52,119,57,65,117,64,76,139,8,7,19,12,14,24,10,10,17,31,43,73,42,64,105,31,42,71,3,3,7,0,4,4,0,4,7,188,219,412,212,279,488,209,254,461,28,16,52,26,31,61,26,38,60,33,31
