GCCSA_CODE_2016,C06_M_15_19_Em_FT,C06_M_15_19_Em_PT,C06_M_15_19_Em_AFW,C06_M_15_19_Em_Hrs_NS,C06_M_15_19_Em_Tot,C06_M_15_19_Unem_Look_FT,C06_M_15_19_Unem_Look_PT,C06_M_15_19_Unem_Tot,C06_M_15_19_Tot_LF,C06_M_15_19_Notin_LF,C06_M_15_19_LF_NS,C06_M_15_19_Tot,C06_M_20_24_Em_FT,C06_M_20_24_Em_PT,C06_M_20_24_Em_AFW,C06_M_20_24_Em_Hrs_NS,C06_M_20_24_Em_Tot,C06_M_20_24_Unem_Look_FT,C06_M_20_24_Unem_Look_PT,C06_M_20_24_Unem_Tot,C06_M_20_24_Tot_LF,C06_M_20_24_Notin_LF,C06_M_20_24_LF_NS,C06_M_20_24_Tot,C06_M_25_29_Em_FT,C06_M_25_29_Em_PT,C06_M_25_29_Em_AFW,C06_M_25_29_Em_Hrs_NS,C06_M_25_29_Em_Tot,C06_M_25_29_Unem_Look_FT,C06_M_25_29_Unem_Look_PT,C06_M_25_29_Unem_Tot,C06_M_25_29_Tot_LF,C06_M_25_29_Notin_LF,C06_M_25_29_LF_NS,C06_M_25_29_Tot,C06_M_30_34_Em_FT,C06_M_30_34_Em_PT,C06_M_30_34_Em_AFW,C06_M_30_34_Em_Hrs_NS,C06_M_30_34_Em_Tot,C06_M_30_34_Unem_Look_FT,C06_M_30_34_Unem_Look_PT,C06_M_30_34_Unem_Tot,C06_M_30_34_Tot_LF,C06_M_30_34_Notin_LF,C06_M_30_34_LF_NS,C06_M_30_34_Tot,C06_M_35_39_Em_FT,C06_M_35_39_Em_PT,C06_M_35_39_Em_AFW,C06_M_35_39_Em_Hrs_NS,C06_M_35_39_Em_Tot,C06_M_35_39_Unem_Look_FT,C06_M_35_39_Unem_Look_PT,C06_M_35_39_Unem_Tot,C06_M_35_39_Tot_LF,C06_M_35_39_Notin_LF,C06_M_35_39_LF_NS,C06_M_35_39_Tot,C06_M_40_44_Em_FT,C06_M_40_44_Em_PT,C06_M_40_44_Em_AFW,C06_M_40_44_Em_Hrs_NS,C06_M_40_44_Em_Tot,C06_M_40_44_Unem_Look_FT,C06_M_40_44_Unem_Look_PT,C06_M_40_44_Unem_Tot,C06_M_40_44_Tot_LF,C06_M_40_44_Notin_LF,C06_M_40_44_LF_NS,C06_M_40_44_Tot,C06_M_45_49_Em_FT,C06_M_45_49_Em_PT,C06_M_45_49_Em_AFW,C06_M_45_49_Em_Hrs_NS,C06_M_45_49_Em_Tot,C06_M_45_49_Unem_Look_FT,C06_M_45_49_Unem_Look_PT,C06_M_45_49_Unem_Tot,C06_M_45_49_Tot_LF,C06_M_45_49_Notin_LF,C06_M_45_49_LF_NS,C06_M_45_49_Tot,C06_M_50_54_Em_FT,C06_M_50_54_Em_PT,C06_M_50_54_Em_AFW,C06_M_50_54_Em_Hrs_NS,C06_M_50_54_Em_Tot,C06_M_50_54_Unem_Look_FT,C06_M_50_54_Unem_Look_PT,C06_M_50_54_Unem_Tot,C06_M_50_54_Tot_LF,C06_M_50_54_Notin_LF,C06_M_50_54_LF_NS,C06_M_50_54_Tot,C06_M_55_59_Em_FT,C06_M_55_59_Em_PT,C06_M_55_59_Em_AFW,C06_M_55_59_Em_Hrs_NS,C06_M_55_59_Em_Tot,C06_M_55_59_Unem_Look_FT,C06_M_55_59_Unem_Look_PT,C06_M_55_59_Unem_Tot,C06_M_55_59_Tot_LF,C06_M_55_59_Notin_LF,C06_M_55_59_LF_NS,C06_M_55_59_Tot,C06_M_60_64_Em_FT,C06_M_60_64_Em_PT,C06_M_60_64_Em_AFW,C06_M_60_64_Em_Hrs_NS,C06_M_60_64_Em_Tot,C06_M_60_64_Unem_Look_FT,C06_M_60_64_Unem_Look_PT,C06_M_60_64_Unem_Tot,C06_M_60_64_Tot_LF,C06_M_60_64_Notin_LF,C06_M_60_64_LF_NS,C06_M_60_64_Tot,C06_M_65_69_Em_FT,C06_M_65_69_Em_PT,C06_M_65_69_Em_AFW,C06_M_65_69_Em_Hrs_NS,C06_M_65_69_Em_Tot,C06_M_65_69_Unem_Look_FT,C06_M_65_69_Unem_Look_PT,C06_M_65_69_Unem_Tot,C06_M_65_69_Tot_LF,C06_M_65_69_Notin_LF,C06_M_65_69_LF_NS,C06_M_65_69_Tot,C06_M_70_74_Em_FT,C06_M_70_74_Em_PT,C06_M_70_74_Em_AFW,C06_M_70_74_Em_Hrs_NS,C06_M_70_74_Em_Tot,C06_M_70_74_Unem_Look_FT,C06_M_70_74_Unem_Look_PT,C06_M_70_74_Unem_Tot,C06_M_70_74_Tot_LF,C06_M_70_74_Notin_LF,C06_M_70_74_LF_NS,C06_M_70_74_Tot,C06_M_75over_Em_FT,C06_M_75over_Em_PT,C06_M_75ov_Em_AFW,C06_M_75ov_Em_Hrs_NS,C06_M_75ov_Em_Tot,C06_M_75ov_Unem_Look_FT,C06_M_75ov_Unem_Look_PT,C06_M_75ov_Unem_Tot,C06_M_75over_Tot_LF,C06_M_75ove_Notin_LF,C06_M_75over_LF_NS,C06_M_75over_Tot,C06_M_Tot_Em_FT,C06_M_Tot_Em_PT,C06_M_Tot_Em_AFW,C06_M_Tot_Em_Hrs_NS,C06_M_Tot_Em_Tot,C06_M_Tot_Unem_Look_FT,C06_M_Tot_Unem_Look_PT,C06_M_Tot_Unem_Tot,C06_M_T_T_labo_for,C06_M_Tot_Notin_LF,C06_M_Tot_LF_NS,C06_M_T_T,C11_M_15_19_Em_FT,C11_M_15_19_Em_PT,C11_M_15_19_Em_AFW,C11_M_15_19_Em_Hrs_NS,C11_M_15_19_Em_Tot,C11_M_15_19_Unem_Look_FT,C11_M_15_19_Unem_Look_PT,C11_M_15_19_Unem_Tot,C11_M_15_19_Tot_LF,C11_M_15_19_Notin_LF,C11_M_15_19_LF_NS,C11_M_15_19_Tot,C11_M_20_24_Em_FT,C11_M_20_24_Em_PT,C11_M_20_24_Em_AFW,C11_M_20_24_Em_Hrs_NS,C11_M_20_24_Em_Tot,C11_M_20_24_Unem_Look_FT,C11_M_20_24_Unem_Look_PT,C11_M_20_24_Unem_Tot,C11_M_20_24_Tot_LF,C11_M_20_24_Notin_LF,C11_M_20_24_LF_NS,C11_M_20_24_Tot,C11_M_25_29_Em_FT,C11_M_25_29_Em_PT,C11_M_25_29_Em_AFW,C11_M_25_29_Em_Hrs_NS,C11_M_25_29_Em_Tot,C11_M_25_29_Unem_Look_FT,C11_M_25_29_Unem_Look_PT,C11_M_25_29_Unem_Tot
1RNSW,15982,16881,1429,1802,36088,4473,2841,7314,43403,38411,4106,85913,33950,10636,1482,1848,47912,5193,1427,6619,54527,9790,3929,68249,36100,6109,1321,1520,45047,3695,605,4297,49349,6719,3211,59280,44048,6442,1682,1732,53901,3214,575,3786,57691,6931,3438,68056,48817,7161,1764,1963,59706,3090,606,3699,63406,8127,3627,75162,53598,8149,1954,1990,65692,3021,618,3643,69329,9700,4134,83159,56124,8993,2131,1815,69072,2907,654,3564,72631,11426,4271,88326,49924,8923,2208,1496,62558,2597,698,3291,65847,13465,3885,83201,38842,9454,2365,1161,51823,2243,767,3012,54837,22503,3837,81180,19201,7917,1347,701,29162,1497,780,2280,31448,32620,3248,67313,6525,4396,625,382,11931,78,141,225,12153,40868,3297,56323,2314,2077,283,213,4880,26,46,74,4954,37901,3388,46237,1838,1585,286,325,4034,37,29,66,4101,66226,8450,78782,407250,98731,18878,16958,541817,32073,9795,41867,583685,304683,52823,941187,14484,17725,1501,1337,35046,3796,3439,7228,42272,39679,3966,85914,35034,11761,1657,1587,50034,4777,1672,6452,56486,11343,4045,71870,40433,7002,1484,1334,50251,3290,704,3997
1GSYD,17789,25919,2049,2870,48626,4146,4605,8748,57372,73355,8622,139346,64366,28737,2775,4772,100655,6758,3479,10233,110888,24788,13624,149293,92820,16128,2850,3892,115688,5406,1380,6787,122475,13253,14710,150433,109155,13226,3313,3680,129374,4843,912,5748,135121,10921,13409,159451,106895,13008,3164,3762,126832,4466,843,5309,132140,11378,11767,155286,105285,13544,2994,3713,125537,4249,843,5094,130631,12564,11014,154207,97968,12963,2770,3453,117156,3870,775,4642,121798,13396,10007,145208,82983,12134,2696,2740,100552,3288,784,4070,104618,14986,8451,128049,66682,12607,2792,2055,84138,2805,936,3738,87881,23505,8021,119399,33907,11942,1852,1197,48898,1721,860,2578,51476,33699,6416,91587,9950,7019,844,501,18316,193,278,472,18785,44118,5511,68416,2371,3300,337,199,6210,41,91,135,6344,42731,5110,54182,1516,2336,280,275,4404,57,73,126,4539,82202,12585,99326,791699,172849,28714,33119,1026384,41831,15847,57682,1084064,400890,129227,1614187,14202,25518,1980,1901,43599,3862,6297,10164,53765,81218,6942,141924,59547,34238,2858,3811,100446,7310,5111,12416,112866,30870,10644,154382,102616,21490,2961,3695,130755,6057,1905,7961
19799,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,7,0,0,8,3,0,0,0,5,0,0,0,5,0,0,5,7,0,0,0,12,0,0,0,12,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,8,0,0,8,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,33,0,0,0,33,0,4,37,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0
19499,70,36,3,5,112,51,17,66,180,115,17,309,208,88,16,17,325,61,24,86,408,141,77,627,264,68,19,15,364,65,14,80,448,150,93,688,255,66,16,16,352,74,8,87,432,155,75,667,203,54,28,13,294,73,3,76,366,166,86,622,176,42,18,12,248,56,8,62,313,155,82,544,116,36,14,18,181,31,12,43,219,137,48,407,109,32,11,3,156,39,10,50,209,156,58,421,58,31,14,3,101,24,8,39,142,197,55,394,33,14,0,7,49,10,3,9,66,173,34,272,6,8,0,0,17,0,0,0,24,168,32,217,3,3,0,3,9,0,0,0,9,105,24,134,4,0,3,0,4,3,0,3,9,104,28,140,1508,469,131,110,2210,486,115,601,2813,1924,713,5446,54,35,7,3,100,39,24,67,164,158,68,387,206,90,6,14,307,63,17,77,391,177,137,700,279,69,21,16,384,76,17,97
