GCCSA_CODE_2016,C11_M_LE_NS_15_19,C11_M_LE_NS_20_24,C11_M_LE_NS_25_34,C11_M_LE_NS_35_44,C11_M_LE_NS_45_54,C11_M_LE_NS_55_64,C11_M_LE_NS_65_74,C11_M_LE_NS_75_84,C11_M_LE_NS_85_ov,C11_M_LE_NS_T,C11_M_Tot_15_19_yrs,C11_M_Tot_20_24_yrs,C11_M_Tot_25_34_yrs,C11_M_Tot_35_44_yrs,C11_M_Tot_45_54_yrs,C11_M_Tot_55_64_yrs,C11_M_Tot_65_74_yrs,C11_M_Tot_75_84_yrs,C11_M_Tot_85o,C11_M_T_T,C16_M_Post_Deg_15_19_yrs,C16_M_Post_Deg_20_24_yrs,C16_M_Post_Deg_25_34_yrs,C16_M_Post_Deg_35_44_yrs,C16_M_Post_Deg_45_54_yrs,C16_M_Post_Deg_55_64_yrs,C16_M_Post_Deg_65_74_yrs,C16_M_Post_Deg_75_84_yrs,C16_M_Post_Deg_85o,C16_M_Post_Deg_Tot,C16_M_GrDip_GrCe_15_19,C16_M_GrDip_GrCe_20_24,C16_M_GrDip_GrCe_25_34,C16_M_GrDip_GrCe_35_44,C16_M_GrDip_GrCe_45_54,C16_M_GrDip_GrCe_55_64,C16_M_GrDip_GrCe_65_74,C16_M_GrDip_GrCe_75_84,C16_M_GrDip_GrCe_85ov,C16_M_GrDip_GrCe_Tot,C16_M_BD_15_19,C16_M_BD_20_24,C16_M_BD_25_34,C16_M_BD_35_44,C16_M_BD_45_54,C16_M_BD_55_64,C16_M_BD_65_74,C16_M_BD_75_84,C16_M_BD_85o,C16_M_BD_Tot,C16_M_AdD_DL_15_19,C16_M_AdD_DL_20_24,C16_M_AdD_DL_25_34,C16_M_AdD_DL_35_44,C16_M_AdD_DL_45_54,C16_M_AdD_DL_55_64,C16_M_AdD_DL_65_74,C16_M_AdD_DL_75_84,C16_M_AdD_DL_85o,C16_M_AdD_DL_Tot,C16_M_CL_C_III_IV_15_19,C16_M_CL_C_III_IV_20_24,C16_M_CL_C_III_IV_25_34,C16_M_CL_C_III_IV_35_44,C16_M_CL_C_III_IV_45_54,C16_M_CL_C_III_IV_55_64,C16_M_CL_C_III_IV_65_74,C16_M_CL_C_III_IV_75_84,C16_M_CL_C_III_IV_85_ov,C16_M_CL_C_III_IV_Tot,C16_M_CL_C_I_II_15_19,C16_M_CL_C_I_II_20_24,C16_M_CL_C_I_II_25_34,C16_M_CL_C_I_II_35_44,C16_M_CL_C_I_II_45_54,C16_M_CL_C_I_II_55_64,C16_M_CL_C_I_II_65_74,C16_M_CL_C_I_II_75_84,C16_M_CL_C_I_II_85_ov,C16_M_CL_C_I_II_Tot,C16_M_CL_CL_nfd_15_19,C16_M_CL_CL_nfd_20_24,C16_M_CL_CL_nfd_25_34,C16_M_CL_CL_nfd_35_44,C16_M_CL_CL_nfd_45_54,C16_M_CL_CL_nfd_55_64,C16_M_CL_CL_nfd_65_74,C16_M_CL_CL_nfd_75_84,C16_M_CL_CL_nfd_85_ov,C16_M_CL_CL_nfd_Tot,C16_M_CL_T_15_19,C16_M_CL_T_20_24,C16_M_CL_T_25_34,C16_M_CL_T_35_44,C16_M_CL_T_45_54,C16_M_CL_T_55_64,C16_M_CL_T_65_74,C16_M_CL_T_75_84,C16_M_CL_T_85_ov,C16_M_CL_T_Tot,C16_M_LE_ID_15_19,C16_M_LE_ID_20_24,C16_M_LE_ID_25_34,C16_M_LE_ID_35_44,C16_M_LE_ID_45_54,C16_M_LE_ID_55_64,C16_M_LE_ID_65_74,C16_M_LE_ID_75_84,C16_M_LE_ID_85o,C16_M_LE_ID_Tot,C16_M_LE_NS_15_19,C16_M_LE_NS_20_24,C16_M_LE_NS_25_34,C16_M_LE_NS_35_44,C16_M_LE_NS_45_54,C16_M_LE_NS_55_64,C16_M_LE_NS_65_74,C16_M_LE_NS_75_84,C16_M_LE_NS_85_ov,C16_M_LE_NS_T,C16_M_Tot_15_19_yrs,C16_M_Tot_20_24_yrs,C16_M_Tot_25_34_yrs,C16_M_Tot_35_44_yrs,C16_M_Tot_45_54_yrs,C16_M_Tot_55_64_yrs,C16_M_Tot_65_74_yrs,C16_M_Tot_75_84_yrs,C16_M_Tot_85o,C16_M_T_T,C06_F_Post_Deg_15_19_yrs,C06_F_Post_Deg_20_24_yrs,C06_F_Post_Deg_25_34_yrs,C06_F_Post_Deg_35_44_yrs,C06_F_Post_Deg_45_54_yrs,C06_F_Post_Deg_55_64_yrs,C06_F_Post_Deg_65_74_yrs,C06_F_Post_Deg_75_84_yrs,C06_F_Post_Deg_85o,C06_F_Post_Deg_Tot,C06_F_GrDip_GrCe_15_19,C06_F_GrDip_GrCe_20_24,C06_F_GrDip_GrCe_25_34,C06_F_GrDip_GrCe_35_44,C06_F_GrDip_GrCe_45_54,C06_F_GrDip_GrCe_55_64,C06_F_GrDip_GrCe_65_74,C06_F_GrDip_GrCe_75_84,C06_F_GrDip_GrCe_85ov,C06_F_GrDip_GrCe_Tot,C06_F_BD_15_19,C06_F_BD_20_24,C06_F_BD_25_34,C06_F_BD_35_44,C06_F_BD_45_54,C06_F_BD_55_64,C06_F_BD_65_74,C06_F_BD_75_84,C06_F_BD_85o,C06_F_BD_Tot,C06_F_AdD_DL_15_19,C06_F_AdD_DL_20_24,C06_F_AdD_DL_25_34,C06_F_AdD_DL_35_44,C06_F_AdD_DL_45_54,C06_F_AdD_DL_55_64,C06_F_AdD_DL_65_74,C06_F_AdD_DL_75_84,C06_F_AdD_DL_85o,C06_F_AdD_DL_Tot,C06_F_CL_C_III_IV_15_19,C06_F_CL_C_III_IV_20_24,C06_F_CL_C_III_IV_25_34,C06_F_CL_C_III_IV_35_44,C06_F_CL_C_III_IV_45_54,C06_F_CL_C_III_IV_55_64,C06_F_CL_C_III_IV_65_74,C06_F_CL_C_III_IV_75_84,C06_F_CL_C_III_IV_85_ov,C06_F_CL_C_III_IV_Tot,C06_F_CL_C_I_II_15_19,C06_F_CL_C_I_II_20_24,C06_F_CL_C_I_II_25_34,C06_F_CL_C_I_II_35_44,C06_F_CL_C_I_II_45_54,C06_F_CL_C_I_II_55_64,C06_F_CL_C_I_II_65_74,C06_F_CL_C_I_II_75_84,C06_F_CL_C_I_II_85_ov,C06_F_CL_C_I_II_Tot,C06_F_CL_CL_nfd_15_19,C06_F_CL_CL_nfd_20_24,C06_F_CL_CL_nfd_25_34,C06_F_CL_CL_nfd_35_44,C06_F_CL_CL_nfd_45_54,C06_F_CL_CL_nfd_55_64,C06_F_CL_CL_nfd_65_74,C06_F_CL_CL_nfd_75_84,C06_F_CL_CL_nfd_85_ov,C06_F_CL_CL_nfd_Tot
1RNSW,8744,6481,11407,12846,14493,14320,13673,12383,4881,99227,13841,33666,84614,101698,110751,101104,65899,36304,10845,558724,8,139,4038,5669,5647,5737,4336,1428,328,27345,5,87,1231,1978,2329,3189,1884,466,102,11275,45,4073,17961,18259,15303,16059,10943,3880,1085,87606,201,2191,9217,13182,14787,13934,9865,3792,1084,68256,3244,18927,48586,47507,53815,52773,39174,18992,5188,288213,951,1771,2134,1568,1460,1260,825,278,59,10302,351,889,1982,2410,3052,3729,3553,1685,465,18118,4549,21588,52705,51478,58332,57759,43553,20964,5712,316637,137,310,814,865,926,1134,1242,682,226,6340,8587,7430,14852,14484,16911,18173,18358,13412,6381,118598,13531,35817,100827,105924,114237,115988,90186,44623,14919,636044,3,125,2035,3152,3595,2224,598,147,33,11915,4,210,2050,3255,4832,2417,744,222,35,13768,51,6140,22999,19880,19676,11033,4644,1981,498,86896,425,4006,11729,16204,18005,12283,6123,2729,671,72174,2670,10794,19478,20141,16571,8044,2873,1671,423,82658,1737,3260,4479,4317,3515,1648,455,189,35,19636,482,1339,4099,5945,5769,4161,1822,866,226,24701
1GSYD,14105,14161,30076,24680,22951,19403,15775,12809,6018,159987,20711,75212,246840,233547,202143,150963,86323,45517,15731,1076997,18,1808,39243,42049,28180,19688,11076,3625,868,146564,23,404,5059,6959,5846,5157,2642,767,169,27022,257,26922,102761,80125,56386,42241,24124,9095,2849,344760,887,10388,35832,35403,31480,22279,12939,5368,1907,156477,3928,22183,61484,60583,62605,50787,35959,18975,6174,322677,769,1638,2673,2177,1928,1431,983,326,103,12035,485,1678,4499,5225,5873,5940,4843,2103,642,31293,5176,25502,68654,67985,70408,58161,41782,21407,6925,366004,296,1155,3634,3492,3123,2692,2120,1134,429,18073,10395,13624,33054,26261,23020,19692,16755,12173,6900,161872,17054,79804,288236,262271,218447,169909,111443,53565,20045,1220774,28,1515,18945,16996,12350,6409,1714,555,113,58617,23,631,6299,7295,7463,3958,1276,454,99,27491,225,27340,89267,62658,42771,21083,7512,3667,1063,255586,1453,13387,36401,37786,31334,20074,8906,4561,1427,155333,3491,14570,26592,23082,17058,9274,3748,2524,899,101231,1615,3631,6137,5133,4053,2007,596,327,80,23581,717,2578,8206,10392,9088,6245,2559,1505,510,41800
19799,0,0,0,0,3,4,3,4,0,10,0,0,3,5,5,6,9,6,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,11,0,0,0,0,0,3,5,0,0,13,0,0,0,4,6,7,18,5,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,10,7,18,5,0,41,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,11,6,0,26,0,3,11,12,11,12,34,13,3,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19499,73,143,382,451,467,297,155,43,22,2027,103,364,1066,917,850,633,395,77,34,4436,0,6,92,43,19,14,11,4,0,193,0,0,13,3,12,15,7,0,0,51,0,91,214,89,69,55,43,5,3,574,3,31,70,45,39,44,53,5,0,294,8,94,229,179,178,200,149,16,0,1063,11,15,15,14,6,3,0,0,0,64,4,20,16,13,12,25,10,0,0,104,23,131,261,204,200,232,158,20,3,1231,0,4,11,6,7,5,4,0,0,50,78,177,510,509,478,331,170,51,9,2315,108,435,1168,909,814,700,456,87,23,4703,0,13,54,30,15,22,5,0,0,137,0,3,21,18,7,19,4,0,0,69,0,96,289,104,64,34,10,3,3,605,0,34,76,51,56,44,15,3,0,290,3,48,74,51,47,31,6,0,0,264,10,15,19,7,8,3,0,0,0,55,3,5,27,22,23,9,6,0,0,97
