GCCSA_CODE_2016,C11_Rel_NS_0_14,C11_Rel_NS_15_24,C11_Rel_NS_25_34,C11_Rel_NS_35_44,C11_Rel_NS_45_54,C11_Rel_NS_55_64,C11_Rel_NS_65_74,C11_Rel_NS_75_84,C11_Rel_NS_85ov,C11_Rel_NS_T,C11_Tot_0_14_yrs,C11_Tot_15_24_yrs,C11_Tot_25_34_yrs,C11_Tot_35_44_yrs,C11_Tot_45_54_yrs,C11_Tot_55_64_yrs,C11_Tot_65_74_yrs,C11_Tot_75_84_yrs,C11_Tot_85o,C11_T_T,C16_Buddhism_0_14,C16_Buddhism_15_24,C16_Buddhism_25_34,C16_Buddhism_35_44,C16_Buddhism_45_54,C16_Buddhism_55_64,C16_Buddhism_65_74,C16_Buddhism_75_84,C16_Buddhism_85oe,C16_Buddhism_Tot,C16_Christ_Angli_0_14,C16_Christ_Angl_15_24,C16_Christ_Angl_25_34,C16_Christ_Angl_35_44,C16_Christ_Angl_45_54,C16_Christ_Angl_55_64,C16_Christ_Angl_65_74,C16_Christ_Angl_75_84,C16_Christ_Anglic_85oe,C16_Christ_Anglic_Tot,C16_Chr_Ass_Apo_0_14,C16_Chr_Ass_Apo_15_24,C16_Chr_Ass_Apo_25_34,C16_Chr_Ass_Apo_35_44,C16_Chr_Ass_Apo_45_54,C16_Chr_Ass_Apo_55_64,C16_Chr_Ass_Apo_65_74,C16_Chr_Ass_Apo_75_84,C16_Chr_Ass_Apo_85ov,C16_Chr_Ass_Apo_Tot,C16_Chr_Bapt_0_14,C16_Chr_Bapt_15_24,C16_Chr_Bapt_25_34,C16_Chr_Bapt_35_44,C16_Chr_Bapt_45_54,C16_Chr_Bapt_55_64,C16_Chr_Bapt_65_74,C16_Chr_Bapt_75_84,C16_Chr_Bapt_85ov,C16_Chr_Bapt_Tot,C16_Chr_Breth_0_14,C16_Chr_Bret_15_24,C16_Chr_Bret_25_34,C16_Chr_Bret_35_44,C16_Chr_Bret_45_54,C16_Chr_Bret_55_64,C16_Chr_Bret_65_74,C16_Chr_Bret_75_84,C16_Chr_Breth_85ov,C16_Chr_Bret_To,C16_Chr_Cath_0_14,C16_Chr_Cath_15_24,C16_Chr_Cath_25_34,C16_Chr_Cath_35_44,C16_Chr_Cath_45_54,C16_Chr_Cath_55_64,C16_Chr_Cath_65_74,C16_Chr_Cath_75_84,C16_Chr_Catho_85ov,C16_Chr_Catho_Tot,C16_C_Chur_Christ_0_14,C16_C_Chur_Christ_15_24,C16_C_Chur_Christ_25_34,C16_C_Chur_Christ_35_44,C16_C_Chur_Christ_45_54,C16_C_Chur_Christ_55_64,C16_C_Chur_Christ_65_74,C16_C_Chur_Christ_75_84,C16_C_Chur_Christ_85ov,C16_C_Chur_Christ_Tot,C16_C_East_Ortho_0_14,C16_C_East_Ortho_15_24,C16_C_East_Ortho_25_34,C16_C_East_Ortho_35_44,C16_C_East_Ortho_45_54,C16_C_East_Ortho_55_64,C16_C_East_Ortho_65_74,C16_C_East_Ortho_75_84,C16_C_East_Ortho_85ov,C16_C_East_Ortho_To,C16_C_Jeh_Wit_0_14,C16_C_Jeh_Wit_15_24,C16_C_Jeh_Wit_25_34,C16_C_Jeh_Wit_35_44,C16_C_Jeh_Wit_45_54,C16_C_Jeh_Wit_55_64,C16_C_Jeh_Wit_65_74,C16_C_Jeh_Wit_75_84,C16_C_Jeh_Wit_85ov,C16_C_Jeh_Wit_Tot,C16_C_La_Da_Sai_0_14,C16_C_La_Da_Sa_15_24,C16_C_La_Da_Sa_25_34,C16_C_La_Da_Sa_35_44,C16_C_La_Da_Sa_45_54,C16_C_La_Da_Sa_55_64,C16_C_La_Da_Sa_65_74,C16_C_La_Da_Sa_75_84,C16_C_Lat_Da_Sa_85ov,C16_C_Lat_Da_Sa_Tot,C16_C_Luthe_0_14,C16_C_Luthe_15_24,C16_C_Luthe_25_34,C16_C_Luthe_35_44,C16_C_Luthe_45_54,C16_C_Luthe_55_64,C16_C_Luthe_65_74,C16_C_Luthe_75_84,C16_C_Luthe_85ov,C16_C_Luthe_Tot,C16_C_Ori_Orth_0_14,C16_C_Ori_Orth_15_24,C16_C_Ori_Orth_25_34,C16_C_Ori_Orth_35_44,C16_C_Ori_Orth_45_54,C16_C_Ori_Orth_55_64,C16_C_Ori_Orth_65_74,C16_C_Ori_Orth_75_84,C16_C_Ori_Orth_85ov,C16_C_Ori_Ort_To,C16_C_Oth_Pro_0_14,C16_C_Oth_Pro_15_24,C16_C_Oth_Pro_25_34,C16_C_Oth_Pro_35_44,C16_C_Oth_Pro_45_54,C16_C_Oth_Pro_55_64,C16_C_Oth_Pro_65_74,C16_C_Oth_Pro_75_84,C16_C_Oth_Pro_85ov,C16_C_Oth_Pro_Tot,C16_C_Pent_0_14,C16_C_Pent_15_24,C16_C_Pent_25_34,C16_C_Pent_35_44,C16_C_Pent_45_54,C16_C_Pent_55_64,C16_C_Pent_65_74,C16_C_Pent_75_84,C16_C_Pent_85ov,C16_C_Pent_Tot,C16_C_Pres_Ref_0_14,C16_C_Pres_Ref_15_24,C16_C_Pres_Ref_25_34,C16_C_Pres_Ref_35_44,C16_C_Pres_Ref_45_54,C16_C_Pres_Ref_55_64,C16_C_Pres_Ref_65_74,C16_C_Pres_Ref_75_84,C16_C_Pres_Ref_85ov,C16_C_Pres_Ref_Tot,C16_C_Sal_Army_0_14,C16_C_Sal_Army_15_24,C16_C_Sal_Army_25_34,C16_C_Sal_Army_35_44,C16_C_Sal_Army_45_54,C16_C_Sal_Army_55_64,C16_C_Sal_Army_65_74,C16_C_Sal_Army_75_84,C16_C_Sal_Army_85ov,C16_C_Sal_Army_Tot,C16_C_Sev_day_Adv_0_14,C16_C_Sev_day_Adv_15_24,C16_C_Sev_day_Adv_25_34,C16_C_Sev_day_Adv_35_44,C16_C_Sev_day_Adv_45_54,C16_C_Sev_day_Adv_55_64,C16_C_Sev_day_Adv_65_74,C16_C_Sev_day_Adv_75_84,C16_C_Sev_day_Adv_85ov,C16_C_Sev_day_Adv_Tot,C16_Chr_Unit_Ch_0_14,C16_Chr_Unit_Ch_15_24,C16_Chr_Unit_Ch_25_34,C16_Chr_Unit_Ch_35_44,C16_Chr_Unit_Ch_45_54,C16_Chr_Unit_Ch_55_64,C16_Chr_Unit_Ch_65_74,C16_Chr_Unit_Ch_75_84,C16_Chr_Unit_Ch_85ov,C16_Chr_Unit_Ch_Tot
1RNSW,43382,28565,24321,25936,27332,24826,17461,12378,6065,210261,488111,307981,261942,316022,353569,332977,242552,151252,58543,2512952,2867,2401,3225,3916,3706,3480,1660,355,90,21692,79980,51035,44273,62649,82089,93435,90059,53153,23393,580065,7,3,8,6,13,9,0,0,0,39,6163,3393,3321,3929,4542,5134,4611,2602,1019,34710,819,652,547,384,345,219,157,135,59,3316,126432,77162,64733,71607,86077,82682,67933,39961,14973,631564,262,152,145,157,268,414,390,211,110,2112,3714,2249,2208,3154,3342,2891,2718,1883,588,22751,1766,930,1095,1356,1493,1701,1456,786,292,10876,931,466,457,461,471,458,389,188,95,3915,1303,853,726,1017,1533,1782,1659,1235,585,10688,308,92,247,201,116,68,55,21,3,1111,1198,679,772,889,1234,1428,1335,847,475,8843,5732,3276,3110,2969,3166,3350,1933,753,209,24498,7663,5334,5145,8042,13596,18083,18103,11482,5332,92787,1197,876,729,944,1231,1613,1420,835,348,9200,2087,1315,1151,1224,1363,1391,1285,948,497,11261,13515,10095,8594,10905,16413,20908,20415,13003,5965,119807
1GSYD,65089,50936,64059,51168,44624,35313,21976,15154,8927,357250,843216,583046,676894,653487,594980,475608,298141,185238,81066,4391673,22448,23184,34738,31716,29492,25401,11960,5008,2089,186037,84733,54866,53039,74108,85594,83818,75823,44280,24072,580341,2158,1343,1632,1450,1535,1359,835,470,142,10922,10321,7116,8024,8044,8161,8103,5719,2984,1369,59845,812,523,559,378,320,229,178,132,78,3212,245334,154049,156308,166187,165500,136167,102784,60357,26431,1213126,772,449,633,598,569,654,468,265,113,4502,29464,18346,16932,23877,25790,17065,16458,13404,4283,165600,1705,1249,1556,1822,1683,1595,1203,718,281,11812,3410,2197,1831,1631,1402,1024,601,250,84,12434,862,581,787,1114,1491,1373,1541,1333,648,9733,5153,3152,3894,3678,3071,3006,2143,1210,363,25673,3663,2996,3246,3092,3515,3130,2075,1150,644,23519,11546,8615,8583,7868,7170,5292,2614,915,222,52819,11246,8125,9068,11787,14385,15257,13130,8009,4287,95299,764,543,538,631,808,956,911,601,243,5991,2185,1482,1513,1563,1585,1284,975,523,251,11362,13711,10768,9403,10770,13423,14308,12557,7742,4467,97150
19799,0,0,0,0,3,0,0,3,0,11,5,3,3,10,14,27,26,27,0,112,0,0,0,3,0,3,0,3,0,17,9,3,0,7,12,13,18,11,3,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,7,4,10,6,21,21,36,7,3,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,4,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,3,7,3,18
19499,208,471,653,655,622,407,185,51,39,3288,1181,2078,2654,2101,1895,1680,968,241,122,12917,8,39,51,26,30,26,22,5,0,211,79,102,148,181,197,294,269,55,22,1339,0,0,0,0,3,0,0,0,0,8,5,12,22,8,5,8,10,0,0,79,0,0,0,0,0,0,0,0,0,0,116,212,346,229,250,246,180,54,13,1643,0,0,0,0,0,0,0,0,0,3,6,13,17,17,18,11,7,3,0,83,6,3,7,7,6,3,3,0,0,31,0,57,7,5,0,3,3,0,0,81,3,0,0,4,3,13,3,0,0,32,3,0,12,3,0,0,0,0,0,17,8,9,10,3,13,13,3,6,0,48,6,12,20,11,10,14,13,0,0,75,12,17,16,23,31,63,56,15,3,238,0,0,5,3,0,10,3,3,0,26,6,7,3,4,5,3,4,0,0,46,28,22,33,40,36,47,61,8,0,292
