GCCSA_CODE_2016,Age_19_C06_P,Age_19_C11_M,Age_19_C11_F,Age_19_C11_P,Age_19_C16_M,Age_19_C16_F,Age_19_C16_P,Age_15_19_C06_M,Age_15_19_C06_F,Age_15_19_C06_P,Age_15_19_C11_M,Age_15_19_C11_F,Age_15_19_C11_P,Age_15_19_C16_M,Age_15_19_C16_F,Age_15_19_C16_P,Age_20_C06_M,Age_20_C06_F,Age_20_C06_P,Age_20_C11_M,Age_20_C11_F,Age_20_C11_P,Age_20_C16_M,Age_20_C16_F,Age_20_C16_P,Age_21_C06_M,Age_21_C06_F,Age_21_C06_P,Age_21_C11_M,Age_21_C11_F,Age_21_C11_P,Age_21_C16_M,Age_21_C16_F,Age_21_C16_P,Age_22_C06_M,Age_22_C06_F,Age_22_C06_P,Age_22_C11_M,Age_22_C11_F,Age_22_C11_P,Age_22_C16_M,Age_22_C16_F,Age_22_C16_P,Age_23_C06_M,Age_23_C06_F,Age_23_C06_P,Age_23_C11_M,Age_23_C11_F,Age_23_C11_P,Age_23_C16_M,Age_23_C16_F,Age_23_C16_P,Age_24_C06_M,Age_24_C06_F,Age_24_C06_P,Age_24_C11_M,Age_24_C11_F,Age_24_C11_P,Age_24_C16_M,Age_24_C16_F,Age_24_C16_P,Age_20_24_C06_M,Age_20_24_C06_F,Age_20_24_C06_P,Age_20_24_C11_M,Age_20_24_C11_F,Age_20_24_C11_P,Age_20_24_C16_M,Age_20_24_C16_F,Age_20_24_C16_P,Age_25_C06_M,Age_25_C06_F,Age_25_C06_P,Age_25_C11_M,Age_25_C11_F,Age_25_C11_P,Age_25_C16_M,Age_25_C16_F,Age_25_C16_P,Age_26_C06_M,Age_26_C06_F,Age_26_C06_P,Age_26_C11_M,Age_26_C11_F,Age_26_C11_P,Age_26_C16_M,Age_26_C16_F,Age_26_C16_P,Age_27_C06_M,Age_27_C06_F,Age_27_C06_P,Age_27_C11_M,Age_27_C11_F,Age_27_C11_P,Age_27_C16_M,Age_27_C16_F,Age_27_C16_P,Age_28_C06_M,Age_28_C06_F,Age_28_C06_P,Age_28_C11_M,Age_28_C11_F,Age_28_C11_P,Age_28_C16_M,Age_28_C16_F,Age_28_C16_P,Age_29_C06_M,Age_29_C06_F,Age_29_C06_P,Age_29_C11_M,Age_29_C11_F,Age_29_C11_P,Age_29_C16_M,Age_29_C16_F,Age_29_C16_P,Age_25_29_C06_M,Age_25_29_C06_F,Age_25_29_C06_P,Age_25_29_C11_M,Age_25_29_C11_F,Age_25_29_C11_P,Age_25_29_C16_M,Age_25_29_C16_F,Age_25_29_C16_P,Age_30_C06_M,Age_30_C06_F,Age_30_C06_P,Age_30_C11_M,Age_30_C11_F,Age_30_C11_P,Age_30_C16_M,Age_30_C16_F,Age_30_C16_P,Age_31_C06_M,Age_31_C06_F,Age_31_C06_P,Age_31_C11_M,Age_31_C11_F,Age_31_C11_P,Age_31_C16_M,Age_31_C16_F,Age_31_C16_P,Age_32_C06_M,Age_32_C06_F,Age_32_C06_P,Age_32_C11_M,Age_32_C11_F,Age_32_C11_P,Age_32_C16_M,Age_32_C16_F,Age_32_C16_P,Age_33_C06_M,Age_33_C06_F,Age_33_C06_P,Age_33_C11_M,Age_33_C11_F,Age_33_C11_P,Age_33_C16_M,Age_33_C16_F,Age_33_C16_P,Age_34_C06_M,Age_34_C06_F,Age_34_C06_P,Age_34_C11_M,Age_34_C11_F,Age_34_C11_P,Age_34_C16_M,Age_34_C16_F,Age_34_C16_P,Age_30_34_C06_M,Age_30_34_C06_F,Age_30_34_C06_P,Age_30_34_C11_M,Age_30_34_C11_F,Age_30_34_C11_P,Age_30_34_C16_M,Age_30_34_C16_F,Age_30_34_C16_P,Age_35_C06_M,Age_35_C06_F,Age_35_C06_P,Age_35_C11_M,Age_35_C11_F,Age_35_C11_P,Age_35_C16_M,Age_35_C16_F,Age_35_C16_P,Age_36_C06_M,Age_36_C06_F,Age_36_C06_P,Age_36_C11_M,Age_36_C11_F,Age_36_C11_P,Age_36_C16_M,Age_36_C16_F,Age_36_C16_P,Age_37_C06_M,Age_37_C06_F,Age_37_C06_P,Age_37_C11_M
1RNSW,29518,16002,14659,30666,15556,14440,29996,85913,81029,166947,85914,80956,166873,81832,77694,159525,14826,13907,28732,15398,14874,30268,15139,14547,29686,14257,13481,27731,15330,14352,29683,15315,14694,30007,13476,12813,26292,14112,13692,27802,15217,14388,29605,12954,12579,25531,13512,13184,26692,14832,14255,29093,12732,12130,24864,13523,13138,26669,14944,14224,29172,68249,64905,133151,71870,69238,141115,75449,72109,147560,12221,12105,24325,13188,12994,26178,14628,14497,29131,11836,11706,23539,13173,13191,26369,14638,14696,29333,11645,11842,23482,12811,13131,25940,14114,14454,28565,11666,11906,23569,13014,13429,26443,13978,14401,28377,11921,12313,24235,12951,13084,26037,14139,14587,28726,59280,59866,119151,65140,65829,130970,71505,72628,144133,12283,12754,25043,12886,13356,26243,14376,14814,29193,12603,13220,25824,12669,13131,25798,14368,14829,29197,13570,14192,27761,12569,13310,25882,14206,14946,29148,14104,15372,29475,12701,13468,26171,14352,15012,29370,15492,16345,31840,13039,13847,26889,14425,14914,29340,68056,71893,139945,63862,67115,130979,71734,74519,146254,15813,16715,32529,13355,14177,27530,14142,15049,29190,14921,15989,30909,14030,14667,28701,13983,14508,28494,15033,16215,31242,14678
1GSYD,55200,28933,27570,56510,31680,30359,62037,139346,132990,272336,141924,133858,275789,147983,140387,288362,28888,28175,57064,30016,29396,59414,33091,31350,64435,29648,29000,58646,30896,30094,60991,33648,32126,65776,29500,29547,59043,31076,30346,61420,33462,33288,66747,30569,30734,61307,31243,31099,62346,35536,35117,70648,30699,30795,61496,31153,31937,63090,36548,36573,73124,149293,148259,297556,154382,152879,307257,172289,168451,340737,31057,30617,61676,32476,32852,65328,37249,37693,74950,30072,30355,60426,33419,34037,67455,38164,38938,77098,29878,30504,60380,33344,34765,68108,38004,38614,76621,29568,30626,60192,34362,35828,70182,37652,39165,76820,29854,31235,61095,34167,35523,69695,37073,38890,75961,150433,153332,303769,167771,173003,340766,188149,193306,381451,30338,31319,61653,34618,35432,70053,38319,39939,78256,31132,32518,63648,33500,34175,67673,38450,39626,78081,31661,33233,64899,33301,33984,67289,39161,40238,79400,32745,34207,66955,32269,33336,65604,39028,40668,79699,33577,35077,68654,32351,33154,65501,38592,38929,77516,159451,166355,325813,166035,170083,336121,193554,199397,392950,33619,35819,69437,32111,32840,64950,38105,38239,76347,31587,33016,64602,32465,33317,65777,36455,36341,72797,30693,32344,63041,32667
19799,3,0,0,0,0,0,3,0,4,4,0,0,0,3,7,12,0,0,3,0,0,0,3,0,4,0,0,3,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,5,0,5,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,8,0,8,3,0,3,9,4,9,0,0,4,3,0,3,3,3,3,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,5,5,3,7,3,0,3,5,12,12,3,0,5,0,0,0,0,7,8,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,3,8,0,11,0,0,0,6,14,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0
19499,193,118,98,213,133,102,229,309,262,574,387,374,757,285,232,517,110,84,189,140,100,241,105,133,242,128,84,206,149,130,279,142,104,245,125,84,212,126,123,252,144,120,267,132,115,245,149,126,276,167,127,293,143,136,282,139,140,272,184,135,313,627,506,1134,700,609,1313,746,615,1358,144,127,270,177,155,329,212,120,328,151,95,248,119,135,254,209,131,343,128,115,250,162,126,288,175,141,315,130,100,227,161,125,288,178,149,328,134,97,230,169,95,262,158,96,252,688,539,1227,786,640,1422,928,635,1559,151,106,258,174,122,294,192,100,295,134,100,235,128,117,246,129,111,234,124,93,221,129,92,224,138,93,232,143,80,217,121,99,221,115,78,191,119,79,197,157,93,249,112,78,190,667,457,1127,711,520,1235,687,457,1142,135,85,215,173,89,260,159,78,237,135,71,205,128,65,197,122,62,191,138,66,205,115
