GCCSA_CODE_2016,C16_T_FH_Tot,C16_Tot_LP_H,C16_Tot_GH,C16_Tot_OH,C16_T_T
1RNSW,678869,269360,32214,74744,1055183
1GSYD,1195662,351423,76795,95804,1719678
19799,0,0,0,0,0
19499,0,0,0,0,0
