GCCSA_CODE_2016,C11_C_Lat_Da_Saint_0_14,C11_C_Lat_Da_Saint_15_24,C11_C_Lat_Da_Saint_25_34,C11_C_Lat_Da_Saint_35_44,C11_C_Lat_Da_Saint_45_54,C11_C_Lat_Da_Saint_55_64,C11_C_Lat_Da_Saint_65_74,C11_C_Lat_Da_Saint_75_84,C11_C_Lat_Da_Saint_85ov,C11_C_Lat_Da_Saint_Tot,C11_C_Luthe_0_14,C11_C_Luthe_15_24,C11_C_Luthe_25_34,C11_C_Luthe_35_44,C11_C_Luthe_45_54,C11_C_Luthe_55_64,C11_C_Luthe_65_74,C11_C_Luthe_75_84,C11_C_Luthe_85ov,C11_C_Luthe_Tot,C11_C_Ori_Orth_0_14,C11_C_Ori_Orth_15_24,C11_C_Ori_Orth_25_34,C11_C_Ori_Orth_35_44,C11_C_Ori_Orth_45_54,C11_C_Ori_Orth_55_64,C11_C_Ori_Orth_65_74,C11_C_Ori_Orth_75_84,C11_C_Ori_Orth_85ov,C11_C_Ori_Orth_To,C11_C_Oth_Prot_0_14,C11_C_Oth_Prot_15_24,C11_C_Oth_Prot_25_34,C11_C_Oth_Prot_35_44,C11_C_Oth_Prot_45_54,C11_C_Oth_Prot_55_64,C11_C_Oth_Prot_65_74,C11_C_Oth_Prot_75_84,C11_C_Oth_Prot_85ov,C11_C_Oth_Prot_Tot,C11_C_Pentec_0_14,C11_C_Pentec_15_24,C11_C_Pentec_25_34,C11_C_Pentec_35_44,C11_C_Pentec_45_54,C11_C_Pentec_55_64,C11_C_Pentec_65_74,C11_C_Pentec_75_84,C11_C_Pentec_85ov,C11_C_Pentec_Tot,C11_C_Pres_Ref_0_14,C11_C_Pres_Ref_15_24,C11_C_Pres_Ref_25_34,C11_C_Pres_Ref_35_44,C11_C_Pres_Ref_45_54,C11_C_Pres_Ref_55_64,C11_C_Pres_Ref_65_74,C11_C_Pres_Ref_75_84,C11_C_Pres_Ref_85ov,C11_C_Pres_Ref_Tot,C11_C_Sal_Army_0_14,C11_C_Sal_Army_15_24,C11_C_Sal_Army_25_34,C11_C_Sal_Army_35_44,C11_C_Sal_Army_45_54,C11_C_Sal_Army_55_64,C11_C_Sal_Army_65_74,C11_C_Sal_Army_75_84,C11_C_Sal_Army_85ov,C11_C_Sal_Army_Tot,C11_C_Sev_day_Adv_0_14,C11_C_Sev_day_Adv_15_24,C11_C_Sev_day_Adv_25_34,C11_C_Sev_day_Adv_35_44,C11_C_Sev_day_Adv_45_54,C11_C_Sev_day_Adv_55_64,C11_C_Sev_day_Adv_65_74,C11_C_Sev_day_Adv_75_84,C11_C_Sev_day_Adv_85oe,C11_C_Sev_day_Adv_Tot,C11_C_Unit_Chur_0_14,C11_C_Unit_Chur_15_24,C11_C_Unit_Chur_25_34,C11_C_Unit_Chur_35_44,C11_C_Unit_Chur_45_54,C11_C_Unit_Chur_55_64,C11_C_Unit_Chur_65_74,C11_C_Unit_Chur_75_84,C11_C_Unit_Chur_85ov,C11_C_Unit_Chur_Tot,C11_C_Christi_nfd_0_14,C11_C_Christi_nfd_15_24,C11_C_Christi_nfd_25_34,C11_C_Christi_nfd_35_44,C11_C_Christi_nfd_45_54,C11_C_Christi_nfd_55_64,C11_C_Christi_nfd_65_74,C11_C_Christi_nfd_75_84,C11_C_Christi_nfd_85ov,C11_C_Christi_nfd_Tot,C11_C_Oth_Chris_0_14,C11_C_Oth_Chris_15_24,C11_C_Oth_Chris_25_34,C11_C_Oth_Chris_35_44,C11_C_Oth_Chris_45_54,C11_C_Oth_Chris_55_64,C11_C_Oth_Chris_65_74,C11_C_Oth_Chris_75_84,C11_C_Oth_Chris_85ov,C11_C_Oth_Chris_Tot,C11_Christia_Tot_0_14,C11_Christia_Tot_15_24,C11_Christia_Tot_25_34,C11_Christia_Tot_35_44,C11_Christia_Tot_45_54,C11_Christia_Tot_55_64,C11_Christia_Tot_65_74,C11_Christia_Tot_75_84,C11_Christia_Tot_85ov,C11_Christ_T_T,C11_Hinduism_0_14,C11_Hinduism_15_24,C11_Hinduism_25_34,C11_Hinduism_35_44,C11_Hinduism_45_54,C11_Hinduism_55_64,C11_Hinduism_65_74,C11_Hinduism_75_84,C11_Hinduism_85ov,C11_Hinduism_Tot,C11_Islam_0_14,C11_Islam_15_24,C11_Islam_25_34,C11_Islam_35_44,C11_Islam_45_54,C11_Islam_55_64,C11_Islam_65_74,C11_Islam_75_84,C11_Islam_85ov,C11_Islam_Tot,C11_Judaism_0_14,C11_Judaism_15_24,C11_Judaism_25_34,C11_Judaism_35_44,C11_Judaism_45_54,C11_Judaism_55_64,C11_Judaism_65_74,C11_Judaism_75_84,C11_Judaism_85ov,C11_Judaism_Tot,C11_OR_AusAborTrad_0_14,C11_OR_AusAborTrad15_24,C11_OR_AusAborTrad25_34,C11_OR_AusAborTrad35_44,C11_OR_AusAborTrad45_54,C11_OR_AusAborTrad55_64,C11_OR_AusAborTrad65_74,C11_OR_AusAborTrad75_84,C11_OR_AusAborTrad85oe,C11_OR_AusAborTrade_Tot,C11_OR_Sikh_0_14,C11_OR_Sikh_15_24,C11_OR_Sikh_25_34,C11_OR_Sikh_35_44,C11_OR_Sikh_45_54,C11_OR_Sikh_55_64,C11_OR_Sikh_65_74,C11_OR_Sikh_75_84,C11_OR_Sikh_85oe,C11_OR_Sikh_Tot,C11_OR_Ot_Re_Gr_0_14,C11_OR_Ot_Re_Gr_15_24,C11_OR_Ot_Re_Gr_25_34,C11_OR_Ot_Re_Gr_35_44,C11_OR_Ot_Re_Gr_45_54,C11_OR_Ot_Re_Gr_55_64,C11_OR_Ot_Re_Gr_65_74,C11_OR_Ot_Re_Gr_75_84,C11_OR_Ot_Re_Gr_85ov,C11_OR_Ot_Re_Gr_Tot,C11_OthRel_T_0_14,C11_OthRel_T_15_24,C11_OthRel_T_25_34,C11_OthRel_T_35_44,C11_OthRel_T_45_54,C11_OthRel_T_55_64,C11_OthRel_T_65_74,C11_OthRel_T_75_84,C11_OthRel_T_85ov,C11_OthRel_T_T,C11_SBOSB_N_RA_0_14,C11_SBOSB_N_RA_15_24,C11_SBOSB_N_RA_25_34,C11_SBOSB_N_RA_35_44,C11_SBOSB_N_RA_45_54,C11_SBOSB_N_RA_55_64,C11_SBOSB_N_RA_65_74,C11_SBOSB_N_RA_75_84,C11_SBOSB_N_RA_85ov,C11_SBOSB_N_RA_Tot
1RNSW,916,510,478,517,536,446,342,193,68,3998,2202,1438,1242,1874,2456,2454,2194,1619,583,16065,209,106,147,102,93,63,27,7,3,771,930,552,577,565,601,508,378,221,111,4446,5426,3532,2774,2841,3501,2836,1451,627,147,23135,9587,6975,6424,11612,17575,20266,16967,11643,4884,105933,1800,1298,924,1270,1662,1710,1385,837,297,11182,2210,1494,1227,1383,1530,1465,1174,888,358,11722,19453,14466,10920,15570,22470,24053,19998,13679,5903,146509,11677,7020,5520,6148,6913,5904,3452,1592,555,48792,482,299,271,374,408,428,306,173,62,2810,313843,197862,163094,220043,260593,253404,198691,127470,48550,1783562,1347,648,1780,1119,722,478,213,60,11,6381,2947,1663,2590,1717,989,590,362,91,18,10972,257,133,138,251,258,314,205,95,45,1696,169,108,100,121,119,63,17,3,3,712,601,444,807,382,276,217,84,67,18,2894,954,997,1291,1606,1566,1129,401,151,34,8132,1731,1555,2206,2107,1959,1408,504,218,54,11739,121843,75060,64803,61036,57836,48820,24163,10679,3742,467982
1GSYD,3635,2116,1872,1609,1397,988,437,231,69,12352,1643,1251,1927,2394,2467,2393,2427,1673,784,16967,4578,3162,3671,2879,3087,2619,1775,921,238,22922,2717,2232,2220,1941,2076,1463,806,486,226,14170,11007,8401,8028,7299,6632,4406,1661,654,143,48228,12156,9443,10715,14734,17289,16699,12016,8347,4310,105715,1147,830,801,929,1095,1143,866,609,263,7686,2405,1532,1671,1635,1579,1310,836,482,243,11701,19345,15442,12905,15435,17948,17145,12545,8746,4703,124213,16621,11769,12171,10741,10273,7296,3505,1695,684,74757,1076,786,836,928,980,810,480,285,133,6312,498811,325882,335156,388020,375188,320594,222815,143502,62602,2672562,22336,14460,35810,18441,11448,6501,2795,1240,291,113325,62964,34566,42452,29267,20208,11624,5095,1626,344,208149,6789,3894,4180,5035,4905,5534,3501,2384,1786,38004,65,70,66,55,73,33,8,3,0,374,3747,3091,6607,2499,1433,844,373,177,34,18801,3184,2848,3997,3548,3226,2218,964,368,117,20468,6996,6006,10667,6105,4728,3092,1348,546,147,39643,154009,122932,151981,124557,102679,72084,32375,16135,5570,782325
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,24,22,17,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,7,3,0,0,22
19499,3,23,5,11,7,3,5,0,0,62,3,19,10,8,3,9,3,0,0,58,0,4,3,0,0,0,0,3,0,12,5,3,4,6,8,0,9,0,0,36,20,22,30,27,16,21,15,0,0,147,17,24,45,38,52,89,48,11,3,325,3,8,7,7,7,12,4,0,0,46,9,10,13,6,12,5,3,3,0,65,21,37,48,51,44,76,72,12,6,366,20,40,54,41,30,41,16,4,0,255,6,0,7,8,5,0,0,0,0,23,512,806,1040,886,832,944,614,148,76,5855,6,12,52,11,3,8,3,0,0,96,59,40,84,41,31,3,0,0,0,257,0,3,12,6,3,7,3,0,0,36,0,3,0,0,3,0,0,0,0,12,0,0,4,0,0,0,0,0,0,11,3,20,25,20,13,15,3,0,0,97,3,19,36,24,14,15,3,0,0,113,377,696,720,441,352,258,152,32,10,3030
