GCCSA_CODE_2016,C11_P_25_29_Em_FT,C11_P_25_29_Em_PT,C11_P_25_29_Em_AFW,C11_P_25_29_Em_Hrs_NS,C11_P_25_29_Em_Tot,C11_P_25_29_Unem_Look_FT,C11_P_25_29_Unem_Look_PT,C11_P_25_29_Unem_Tot,C11_P_25_29_Tot_LF,C11_P_25_29_Notin_LF,C11_P_25_29_LF_NS,C11_P_25_29_Tot,C11_P_30_34_Em_FT,C11_P_30_34_Em_PT,C11_P_30_34_Em_AFW,C11_P_30_34_Em_Hrs_NS,C11_P_30_34_Em_Tot,C11_P_30_34_Unem_Look_FT,C11_P_30_34_Unem_Look_PT,C11_P_30_34_Unem_Tot,C11_P_30_34_Tot_LF,C11_P_30_34_Notin_LF,C11_P_30_34_LF_NS,C11_P_30_34_Tot,C11_P_35_39_Em_FT,C11_P_35_39_Em_PT,C11_P_35_39_Em_AFW,C11_P_35_39_Em_Hrs_NS,C11_P_35_39_Em_Tot,C11_P_35_39_Unem_Look_FT,C11_P_35_39_Unem_Look_PT,C11_P_35_39_Unem_Tot,C11_P_35_39_Tot_LF,C11_P_35_39_Notin_LF,C11_P_35_39_LF_NS,C11_P_35_39_Tot,C11_P_40_44_Em_FT,C11_P_40_44_Em_PT,C11_P_40_44_Em_AFW,C11_P_40_44_Em_Hrs_NS,C11_P_40_44_Em_Tot,C11_P_40_44_Unem_Look_FT,C11_P_40_44_Unem_Look_PT,C11_P_40_44_Unem_Tot,C11_P_40_44_Tot_LF,C11_P_40_44_Notin_LF,C11_P_40_44_LF_NS,C11_P_40_44_Tot,C11_P_45_49_Em_FT,C11_P_45_49_Em_PT,C11_P_45_49_Em_AFW,C11_P_45_49_Em_Hrs_NS,C11_P_45_49_Em_Tot,C11_P_45_49_Unem_Look_FT,C11_P_45_49_Unem_Look_PT,C11_P_45_49_Unem_Tot,C11_P_45_49_Tot_LF,C11_P_45_49_Notin_LF,C11_P_45_49_LF_NS,C11_P_45_49_Tot,C11_P_50_54_Em_FT,C11_P_50_54_Em_PT,C11_P_50_54_Em_AFW,C11_P_50_54_Em_Hrs_NS,C11_P_50_54_Em_Tot,C11_P_50_54_Unem_Look_FT,C11_P_50_54_Unem_Look_PT,C11_P_50_54_Unem_Tot,C11_P_50_54_Tot_LF,C11_P_50_54_Notin_LF,C11_P_50_54_LF_NS,C11_P_50_54_Tot,C11_P_55_59_Em_FT,C11_P_55_59_Em_PT,C11_P_55_59_Em_AFW,C11_P_55_59_Em_Hrs_NS,C11_P_55_59_Em_Tot,C11_P_55_59_Unem_Look_FT,C11_P_55_59_Unem_Look_PT,C11_P_55_59_Unem_Tot,C11_P_55_59_Tot_LF,C11_P_55_59_Notin_LF,C11_P_55_59_LF_NS,C11_P_55_59_Tot,C11_P_60_64_Em_FT,C11_P_60_64_Em_PT,C11_P_60_64_Em_AFW,C11_P_60_64_Em_Hrs_NS,C11_P_60_64_Em_Tot,C11_P_60_64_Unem_Look_FT,C11_P_60_64_Unem_Look_PT,C11_P_60_64_Unem_Tot,C11_P_60_64_Tot_LF,C11_P_60_64_Notin_LF,C11_P_60_64_LF_NS,C11_P_60_64_Tot,C11_P_65_69_Em_FT,C11_P_65_69_Em_PT,C11_P_65_69_Em_AFW,C11_P_65_69_Em_Hrs_NS,C11_P_65_69_Em_Tot,C11_P_65_69_Unem_Look_FT,C11_P_65_69_Unem_Look_PT,C11_P_65_69_Unem_Tot,C11_P_65_69_Tot_LF,C11_P_65_69_Notin_LF,C11_P_65_69_LF_NS,C11_P_65_69_Tot,C11_P_70_74_Em_FT,C11_P_70_74_Em_PT,C11_P_70_74_Em_AFW,C11_P_70_74_Em_Hrs_NS,C11_P_70_74_Em_Tot,C11_P_70_74_Unem_Look_FT,C11_P_70_74_Unem_Look_PT,C11_P_70_74_Unem_Tot,C11_P_70_74_Tot_LF,C11_P_70_74_Notin_LF,C11_P_70_74_LF_NS,C11_P_70_74_Tot,C11_P_75ov_Em_FT,C11_P_75ov_Em_PT,C11_P_75ov_Emp_Aw_fr_w,C11_P_75ov_Emp_Hou_w_ns,C11_P_75andOver_Em_Tot,C11_P_75over_Unem_Lo_ft_wor,C11_P_75over_Unem_Lo_pt_wor,C11_P_75over_Unemp_Tot,C11_P_75over_Tot_lab_for,C11_P_75over_N_lab_forc,C11_P_75over_LF_NS,C11_P_75over_Tot,C11_P_Tot_Em_FT,C11_P_Tot_Em_PT,C11_P_Tot_Em_AFW,C11_P_Tot_Em_Hrs_NS,C11_P_Tot_Em_Tot,C11_P_Tot_Unem_Look_FT,C11_P_Tot_Unem_Look_PT,C11_P_Tot_Unem_Tot,C11_P_T_T_labo_for,C11_P_Tot_Notin_LF,C11_P_Tot_LF_NS,C11_P_T_T,C16_P_15_19_Em_FT,C16_P_15_19_Em_PT,C16_P_15_19_Em_AFW,C16_P_15_19_Em_Hrs_NS,C16_P_15_19_Em_Tot,C16_P_15_19_Unem_Look_FT,C16_P_15_19_Unem_Look_PT,C16_P_15_19_Unem_Tot,C16_P_15_19_Tot_LF,C16_P_15_19_Notin_LF,C16_P_15_19_LF_NS,C16_P_15_19_Tot,C16_P_20_24_Em_FT,C16_P_20_24_Em_PT,C16_P_20_24_Em_AFW,C16_P_20_24_Em_Hrs_NS,C16_P_20_24_Em_Tot,C16_P_20_24_Unem_Look_FT,C16_P_20_24_Unem_Look_PT,C16_P_20_24_Unem_Tot,C16_P_20_24_Tot_LF,C16_P_20_24_Notin_LF,C16_P_20_24_LF_NS,C16_P_20_24_Tot,C16_P_25_29_Em_FT,C16_P_25_29_Em_PT,C16_P_25_29_Em_AFW,C16_P_25_29_Em_Hrs_NS,C16_P_25_29_Em_Tot,C16_P_25_29_Unem_Look_FT,C16_P_25_29_Unem_Look_PT,C16_P_25_29_Unem_Tot,C16_P_25_29_Tot_LF,C16_P_25_29_Notin_LF,C16_P_25_29_LF_NS,C16_P_25_29_Tot,C16_P_30_34_Em_FT,C16_P_30_34_Em_PT,C16_P_30_34_Em_AFW,C16_P_30_34_Em_Hrs_NS,C16_P_30_34_Em_Tot,C16_P_30_34_Unem_Look_FT,C16_P_30_34_Unem_Look_PT,C16_P_30_34_Unem_Tot,C16_P_30_34_Tot_LF,C16_P_30_34_Notin_LF,C16_P_30_34_LF_NS,C16_P_30_34_Tot,C16_P_35_39_Em_FT,C16_P_35_39_Em_PT,C16_P_35_39_Em_AFW,C16_P_35_39_Em_Hrs_NS,C16_P_35_39_Em_Tot,C16_P_35_39_Unem_Look_FT,C16_P_35_39_Unem_Look_PT,C16_P_35_39_Unem_Tot
1RNSW,63834,22588,4446,2013,92880,4974,2065,7037,99920,24845,6207,130970,60127,26680,4986,1920,93708,3883,2035,5920,99630,25417,5929,130979,70752,34646,4509,2341,112256,3962,2160,6122,118378,27400,6690,152469,79257,37755,4038,2589,123637,4043,2186,6229,129864,26551,7137,163555,86128,38082,4279,2536,131023,4018,1940,5958,136981,28744,7275,173000,86850,37806,5245,2387,132278,3630,1805,5432,137714,35142,7717,180567,66448,33186,5274,1850,106764,2763,1645,4411,111177,50220,7220,168614,37829,26550,3704,1401,69483,1848,1503,3352,72837,84231,7298,164368,12157,12523,1558,752,26983,161,352,514,27497,100428,6900,134828,4049,5161,600,438,10241,54,132,188,10431,90625,6668,107724,2397,3201,554,576,6730,33,75,108,6840,181774,21181,209798,647427,353684,46202,24068,1071373,42856,27020,69874,1141256,779024,104570,2024844,16025,45251,2655,2133,66071,5446,8774,14217,80285,70263,8976,159525,53001,37320,3223,2584,96123,7871,4931,12801,108928,28810,9828,147560,67566,27681,4441,1992,101682,5199,2627,7822,109506,24868,9761,144133,66738,31339,5544,1854,105480,4123,2303,6427,111914,24912,9431,146254,65986,33298,3771,1804,104858,3937,2113,6050
1GSYD,185293,50426,8633,5924,250270,10365,4822,15188,265461,52112,23197,340766,182159,51265,11684,4744,249862,8097,3876,11974,261835,53995,20294,336121,174557,60831,9758,4723,249871,7444,4196,11641,261512,55137,17954,334601,166492,61820,6639,4830,239785,7091,4132,11230,251016,51852,16026,318886,164861,58039,5973,4928,233795,7033,3564,10597,244389,48067,15022,307485,150020,51811,6370,4191,212386,6248,2973,9216,221608,51551,14335,287499,112174,43832,6105,3115,165227,4794,2503,7303,172531,65119,12497,250148,65068,38521,4575,2089,110253,3022,2266,5287,115547,98312,11608,225460,20649,19784,1998,902,43337,366,667,1028,44364,114597,9916,168883,4592,7872,719,429,13611,84,240,323,13938,106422,8895,129254,1710,4195,562,536,7004,46,163,206,7216,231039,28052,266309,1358192,584775,73685,46614,2063269,73076,52512,125586,2188856,1149800,209807,3548457,19241,70153,3724,2762,95877,5012,17047,22059,117937,157672,12751,288362,106616,96779,5240,6128,214769,11470,13943,25413,240182,79745,20814,340737,198634,64681,7606,6320,277235,11187,6970,18153,295395,59412,26648,381451,212444,63560,12143,5818,293962,9376,5097,14475,308443,59013,25488,392950,190007,64298,8916,4710,267931,7924,4685,12615
19799,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,6,0,0,0,6,0,0,5,6,0,0,0,3,0,0,0,3,0,3,12,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,3,5,0,11,7,0,0,0,5,0,0,0,5,12,0,16,0,0,0,0,0,0,0,0,0,9,0,10,0,0,0,0,0,0,0,0,0,17,0,21,0,0,0,0,0,0,0,0,0,22,7,29,19,3,7,0,32,0,0,0,32,65,10,110,3,3,0,0,6,3,0,3,6,3,0,12,3,0,3,0,3,0,0,0,3,3,3,9,4,0,3,0,7,0,0,0,7,3,0,12,7,0,4,0,14,0,0,0,14,3,0,20,5,0,0,0,9,0,0,0
19499,442,152,54,22,673,114,45,164,830,328,270,1422,364,118,24,17,517,98,36,136,655,310,271,1235,255,86,18,11,370,85,28,109,485,291,276,1052,222,84,23,11,338,87,24,109,444,308,292,1052,192,87,22,20,309,69,14,86,400,275,263,939,165,81,22,13,277,68,11,81,356,316,282,954,144,61,13,6,229,40,17,54,285,364,198,847,75,47,13,6,149,20,18,38,180,489,161,827,13,23,3,5,36,3,3,5,45,461,99,606,5,3,0,3,15,0,0,0,14,261,88,366,0,0,0,3,7,0,0,3,8,245,109,358,2284,1002,223,142,3649,769,297,1066,4719,4386,2633,11739,53,49,6,8,112,45,26,68,183,221,114,517,288,193,19,33,528,112,48,152,683,394,285,1358,429,175,24,30,660,97,44,144,805,312,447,1559,273,118,23,12,427,103,29,130,565,265,318,1142,222,80,6,19,330,79,18,104
