GCCSA_CODE_2016,C16_Chr_Chi_nfd_0_14,C16_Chr_Chi_nfd_15_24,C16_Chr_Chi_nfd_25_34,C16_Chr_Chi_nfd_35_44,C16_Chr_Chi_nfd_45_54,C16_Chr_Chi_nfd_55_64,C16_Chr_Chi_nfd_65_74,C16_Chr_Chi_nfd_75_84,C16_Chr_Chi_nfd_85ov,C16_Chr_Chi_nfd_Tot,C16_Chr_Oth_Chi_0_14,C16_Chr_Oth_Chi_15_24,C16_Chr_Oth_Chi_25_34,C16_Chr_Oth_Chi_35_44,C16_Chr_Oth_Chi_45_54,C16_Chr_Oth_Chi_55_64,C16_Chr_Oth_Chi_65_74,C16_Chr_Oth_Chi_75_84,C16_Chr_Oth_Chi_85ov,C16_Chr_Oth_Chi_Tot,C16_Christ_Tot_0_14,C16_Christ_Tot_15_24,C16_Christ_Tot_25_34,C16_Christ_Tot_35_44,C16_Christ_Tot_45_54,C16_Christ_Tot_55_64,C16_Christ_Tot_65_74,C16_Christ_Tot_75_84,C16_Christ_Tot_85ov,C16_Christ_T_T,C16_Hinduism_0_14,C16_Hinduism_15_24,C16_Hinduism_25_34,C16_Hinduism_35_44,C16_Hinduism_45_54,C16_Hinduism_55_64,C16_Hinduism_65_74,C16_Hinduism_75_84,C16_Hinduism_85ov,C16_Hinduism_Tot,C16_Islam_0_14,C16_Islam_15_24,C16_Islam_25_34,C16_Islam_35_44,C16_Islam_45_54,C16_Islam_55_64,C16_Islam_65_74,C16_Islam_75_84,C16_Islam_85ov,C16_Islam_Tot,C16_Judaism_0_14,C16_Judaism_15_24,C16_Judaism_25_34,C16_Judaism_35_44,C16_Judaism_45_54,C16_Judaism_55_64,C16_Judaism_65_74,C16_Judaism_75_84,C16_Judaism_85ov,C16_Judaism_Tot,C16_OR_AusAborTrad_0_14,C16_OR_AusAborTrad15_24,C16_OR_AusAborTrad25_34,C16_OR_AusAborTrad35_44,C16_OR_AusAborTrad45_54,C16_OR_AusAborTrad55_64,C16_OR_AusAborTrad65_74,C16_OR_AusAborTrad75_84,C16_OR_AusAborTrad85oe,C16_OR_AusAborTrade_Tot,C16_OR_Sikhism_0_14,C16_OR_Sikhism_15_24,C16_OR_Sikhism_25_34,C16_OR_Sikhism_35_44,C16_OR_Sikhism_45_54,C16_OR_Sikhism_55_64,C16_OR_Sikhism_65_74,C16_OR_Sikhism_75_84,C16_OR_Sikhism_85oe,C16_OR_Sikhism_Tot,C16_OR_Ot_Re_Gr_0_14,C16_OR_Ot_Re_Gr_15_24,C16_OR_Ot_Re_Gr_25_34,C16_OR_Ot_Re_Gr_35_44,C16_OR_Ot_Re_Gr_45_54,C16_OR_Ot_Re_Gr_55_64,C16_OR_Ot_Re_Gr_65_74,C16_OR_Ot_Re_Gr_75_84,C16_O_R_Ot_Re_Gr_85ov,C16_OR_Ot_Re_Gr_Tot,C16_Oth_Rel_Tot_0_14,C16_Oth_Rel_Tot_15_24,C16_Oth_Rel_Tot_25_34,C16_Oth_Rel_Tot_35_44,C16_Oth_Rel_Tot_45_54,C16_Oth_Rel_Tot_55_64,C16_Oth_Rel_Tot_65_74,C16_Oth_Rel_Tot_75_84,C16_Oth_Rel_Tot_85ov,C16_Other_Rel_T_T,C16_SBOSB_No_RA_0_14,C16_SBOSB_No_RA_15_24,C16_SBOSB_No_RA_25_34,C16_SBOSB_No_RA_35_44,C16_SBOSB_No_RA_45_54,C16_SBOSB_No_RA_55_64,C16_SBOSB_No_RA_65_74,C16_SBOSB_No_RA_75_84,C16_SBOSB_No_RA_85ov,C16_SBOSB_No_RA_Tot,C16_Oth_rel_affi_0_14,C16_Rel_aff_ns_15_24,C16_Rel_aff_ns_25_34,C16_Rel_aff_ns_35_44,C16_Rel_aff_ns_45_54,C16_Rel_aff_ns_55_64,C16_Rel_aff_ns_65_74,C16_Rel_aff_ns_75_84,C16_Rel_aff_ns_85ov,C16_Rel_aff_ns_Tot,C16_Tot_0_14_yrs,C16_Tot_15_24_yrs,C16_Tot_25_34_yrs,C16_Tot_35_44_yrs,C16_Tot_45_54_yrs,C16_Tot_55_64_yrs,C16_Tot_65_74_yrs,C16_Tot_75_84_yrs,C16_Tot_85o,C16_T_T
1RNSW,12296,6973,6649,7068,7576,7716,5449,2393,735,56848,446,226,210,319,327,398,365,179,60,2534,265797,165764,144104,177291,225189,243693,219744,130627,54730,1626929,2354,1107,3280,2153,993,724,361,123,29,11122,4107,1903,3171,2348,1230,645,442,136,23,13997,249,120,151,239,227,275,289,76,54,1679,300,157,148,137,140,94,47,9,3,1028,1072,452,1606,687,349,320,150,67,26,4720,730,858,1025,1286,1395,1107,561,194,48,7203,2099,1462,2779,2107,1883,1522,757,268,70,12954,166981,105453,103793,87795,82220,77970,49427,19143,6740,699522,40809,28883,29880,29071,33111,35653,30552,18002,9663,255632,485265,307088,290388,304924,348557,363959,303231,168736,71398,2643536
1GSYD,21746,15138,17864,15776,14331,11927,7016,3215,1210,108213,722,504,519,631,600,626,489,264,136,4490,450300,292035,295933,334989,350943,307174,247520,147817,69312,2496030,35656,19447,50544,33211,14504,9696,4693,1890,521,170161,75796,39454,51146,38997,23595,14317,7190,2361,584,253436,6401,3346,3518,4529,4345,4694,4378,2339,1646,35196,133,81,79,84,71,41,9,4,0,503,5943,3611,8646,4357,1930,1446,665,329,64,26996,3869,2916,4340,3794,3276,2688,1419,622,206,23123,9943,6613,13061,8232,5282,4176,2101,954,263,50625,228708,189578,246577,182681,146831,114290,62921,25343,10037,1206971,71050,55453,78879,61687,52577,44266,31733,18342,11561,425538,900297,629103,774405,696037,627580,524011,372488,204051,96022,4823991
19799,0,0,4,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,19,8,14,18,28,39,80,30,4,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,16,12,10,17,11,10,3,0,88,4,3,6,0,6,14,19,8,0,60,39,25,32,34,50,74,108,42,10,412
19499,13,47,60,42,39,42,27,7,0,281,4,0,3,3,0,4,3,0,0,9,290,507,704,582,626,770,647,161,40,4328,13,24,64,12,4,3,0,0,0,122,29,34,71,54,18,5,3,0,0,222,4,0,3,8,3,5,3,0,0,24,5,0,0,3,3,0,0,0,0,17,3,4,8,0,0,0,0,0,0,14,3,14,11,8,8,10,0,3,0,60,8,19,19,13,12,11,5,5,0,91,277,765,927,467,427,401,231,39,5,3537,113,484,860,729,681,493,282,64,27,3744,740,1876,2703,1900,1798,1722,1196,282,78,12288
