GCCSA_CODE_2016,C11_M_25_29_Tot_LF,C11_M_25_29_Notin_LF,C11_M_25_29_LF_NS,C11_M_25_29_Tot,C11_M_30_34_Em_FT,C11_M_30_34_Em_PT,C11_M_30_34_Em_AFW,C11_M_30_34_Em_Hrs_NS,C11_M_30_34_Em_Tot,C11_M_30_34_Unem_Look_FT,C11_M_30_34_Unem_Look_PT,C11_M_30_34_Unem_Tot,C11_M_30_34_Tot_LF,C11_M_30_34_Notin_LF,C11_M_30_34_LF_NS,C11_M_30_34_Tot,C11_M_35_39_Em_FT,C11_M_35_39_Em_PT,C11_M_35_39_Em_AFW,C11_M_35_39_Em_Hrs_NS,C11_M_35_39_Em_Tot,C11_M_35_39_Unem_Look_FT,C11_M_35_39_Unem_Look_PT,C11_M_35_39_Unem_Tot,C11_M_35_39_Tot_LF,C11_M_35_39_Notin_LF,C11_M_35_39_LF_NS,C11_M_35_39_Tot,C11_M_40_44_Em_FT,C11_M_40_44_Em_PT,C11_M_40_44_Em_AFW,C11_M_40_44_Em_Hrs_NS,C11_M_40_44_Em_Tot,C11_M_40_44_Unem_Look_FT,C11_M_40_44_Unem_Look_PT,C11_M_40_44_Unem_Tot,C11_M_40_44_Tot_LF,C11_M_40_44_Notin_LF,C11_M_40_44_LF_NS,C11_M_40_44_Tot,C11_M_45_49_Em_FT,C11_M_45_49_Em_PT,C11_M_45_49_Em_AFW,C11_M_45_49_Em_Hrs_NS,C11_M_45_49_Em_Tot,C11_M_45_49_Unem_Look_FT,C11_M_45_49_Unem_Look_PT,C11_M_45_49_Unem_Tot,C11_M_45_49_Tot_LF,C11_M_45_49_Notin_LF,C11_M_45_49_LF_NS,C11_M_45_49_Tot,C11_M_50_54_Em_FT,C11_M_50_54_Em_PT,C11_M_50_54_Em_AFW,C11_M_50_54_Em_Hrs_NS,C11_M_50_54_Em_Tot,C11_M_50_54_Unem_Look_FT,C11_M_50_54_Unem_Look_PT,C11_M_50_54_Unem_Tot,C11_M_50_54_Tot_LF,C11_M_50_54_Notin_LF,C11_M_50_54_LF_NS,C11_M_50_54_Tot,C11_M_55_59_Em_FT,C11_M_55_59_Em_PT,C11_M_55_59_Em_AFW,C11_M_55_59_Em_Hrs_NS,C11_M_55_59_Em_Tot,C11_M_55_59_Unem_Look_FT,C11_M_55_59_Unem_Look_PT,C11_M_55_59_Unem_Tot,C11_M_55_59_Tot_LF,C11_M_55_59_Notin_LF,C11_M_55_59_LF_NS,C11_M_55_59_Tot,C11_M_60_64_Em_FT,C11_M_60_64_Em_PT,C11_M_60_64_Em_AFW,C11_M_60_64_Em_Hrs_NS,C11_M_60_64_Em_Tot,C11_M_60_64_Unem_Look_FT,C11_M_60_64_Unem_Look_PT,C11_M_60_64_Unem_Tot,C11_M_60_64_Tot_LF,C11_M_60_64_Notin_LF,C11_M_60_64_LF_NS,C11_M_60_64_Tot,C11_M_65_69_Em_FT,C11_M_65_69_Em_PT,C11_M_65_69_Em_AFW,C11_M_65_69_Em_Hrs_NS,C11_M_65_69_Em_Tot,C11_M_65_69_Unem_Look_FT,C11_M_65_69_Unem_Look_PT,C11_M_65_69_Unem_Tot,C11_M_65_69_Tot_LF,C11_M_65_69_Notin_LF,C11_M_65_69_LF_NS,C11_M_65_69_Tot,C11_M_70_74_Em_FT,C11_M_70_74_Em_PT,C11_M_70_74_Em_AFW,C11_M_70_74_Em_Hrs_NS,C11_M_70_74_Em_Tot,C11_M_70_74_Unem_Look_FT,C11_M_70_74_Unem_Look_PT,C11_M_70_74_Unem_Tot,C11_M_70_74_Tot_LF,C11_M_70_74_Notin_LF,C11_M_70_74_LF_NS,C11_M_70_74_Tot,C11_M_75ov_Em_FT,C11_M_75ov_Em_PT,C11_M_75ov_Em_AFW,C11_M_75ov_Em_Hrs_NS,C11_M_75over_Em_Tot,C11_M_75ov_Unem_Lo_ft_wor,C11_M_75ov_Unem_Lo_pt_wor,C11_M_75ov_Unempl_Tot,C11_M_75ov_Tot_LF,C11_M_75ov_Notin_LF,C11_M_75ov_LF_NS,C11_M_75ov_Tot,C11_M_Tot_Em_FT,C11_M_Tot_Em_PT,C11_M_Tot_Em_AFW,C11_M_Tot_Em_Hrs_NS,C11_M_Tot_Em_Tot,C11_M_Tot_Unem_Look_FT,C11_M_Tot_Unem_Look_PT,C11_M_Tot_Unem_Tot,C11_M_T_T_labo_for,C11_M_Tot_Notin_LF,C11_M_Tot_LF_NS,C11_M_T_T,C16_M_15_19_Em_FT,C16_M_15_19_Em_PT,C16_M_15_19_Em_AFW,C16_M_15_19_Em_Hrs_NS,C16_M_15_19_Em_Tot,C16_M_15_19_Unem_Look_FT,C16_M_15_19_Unem_Look_PT,C16_M_15_19_Unem_Tot,C16_M_15_19_Tot_LF,C16_M_15_19_Notin_LF,C16_M_15_19_LF_NS,C16_M_15_19_Tot,C16_M_20_24_Em_FT,C16_M_20_24_Em_PT,C16_M_20_24_Em_AFW,C16_M_20_24_Em_Hrs_NS,C16_M_20_24_Em_Tot,C16_M_20_24_Unem_Look_FT,C16_M_20_24_Unem_Look_PT,C16_M_20_24_Unem_Tot,C16_M_20_24_Tot_LF,C16_M_20_24_Notin_LF,C16_M_20_24_LF_NS,C16_M_20_24_Tot,C16_M_25_29_Em_FT,C16_M_25_29_Em_PT,C16_M_25_29_Em_AFW,C16_M_25_29_Em_Hrs_NS,C16_M_25_29_Em_Tot,C16_M_25_29_Unem_Look_FT,C16_M_25_29_Unem_Look_PT,C16_M_25_29_Unem_Tot,C16_M_25_29_Tot_LF,C16_M_25_29_Notin_LF,C16_M_25_29_LF_NS,C16_M_25_29_Tot,C16_M_30_34_Em_FT,C16_M_30_34_Em_PT,C16_M_30_34_Em_AFW,C16_M_30_34_Em_Hrs_NS,C16_M_30_34_Em_Tot,C16_M_30_34_Unem_Look_FT,C16_M_30_34_Unem_Look_PT,C16_M_30_34_Unem_Tot,C16_M_30_34_Tot_LF,C16_M_30_34_Notin_LF,C16_M_30_34_LF_NS,C16_M_30_34_Tot,C16_M_35_39_Em_FT,C16_M_35_39_Em_PT,C16_M_35_39_Em_AFW,C16_M_35_39_Em_Hrs_NS,C16_M_35_39_Em_Tot,C16_M_35_39_Unem_Look_FT,C16_M_35_39_Unem_Look_PT,C16_M_35_39_Unem_Tot,C16_M_35_39_Tot_LF,C16_M_35_39_Notin_LF,C16_M_35_39_LF_NS,C16_M_35_39_Tot,C16_M_40_44_Em_FT,C16_M_40_44_Em_PT,C16_M_40_44_Em_AFW,C16_M_40_44_Em_Hrs_NS
1RNSW,54249,7395,3494,65140,41958,5972,1555,1265,50750,2535,522,3056,53809,6747,3307,63862,49315,6905,1739,1481,59443,2494,508,3002,62442,7917,3626,73982,51734,7551,1923,1583,62798,2544,568,3114,65912,9251,3953,79109,54152,8468,2067,1542,66227,2447,599,3053,69278,11460,4120,84853,53943,9591,2464,1380,67379,2323,685,3012,70387,14050,4340,88785,43421,10203,2704,1117,57447,1939,703,2647,60087,19697,3977,83757,26675,10918,2006,835,40437,1448,854,2305,42745,35700,3912,82355,9002,6668,877,440,16985,137,228,360,17348,46142,3553,67046,3099,3063,338,259,6767,51,102,155,6920,42402,3300,52619,1847,2151,320,318,4634,26,47,75,4711,76283,8448,89437,425088,107975,20647,14473,568188,27808,10639,38442,606634,328061,54038,988731,11181,18572,1185,1059,31996,3360,4213,7569,39564,37612,4658,81832,32356,14871,1327,1516,50069,5162,2313,7475,57542,12762,5143,75449,41651,9296,1325,1215,53484,3337,954,4289,57776,8634,5093,71505,45530,7692,1498,1147,55865,2670,693,3360,59232,7661,4847,71734,44948,7066,1269,1062,54352,2453,552,3005,57359,7878,4550,69787,50087,8073,1450,1105
1GSYD,138720,16338,12716,167771,114272,15955,3338,3095,136661,4900,1099,6002,142663,12501,10882,166035,116342,14428,3262,3042,137076,4607,926,5536,142607,12083,9575,164267,107987,13948,3019,2995,127939,4355,901,5263,133204,13342,8517,155065,103217,14246,2963,2899,123325,4241,891,5129,128455,14964,7982,151396,92205,13859,2986,2470,111527,3846,875,4713,116242,16916,7786,140941,70454,13437,2985,1834,88710,3331,1049,4382,93091,22251,6508,121853,44144,15557,2373,1243,63310,2351,1258,3610,66920,38273,5999,111195,15038,10188,1159,544,26930,310,442,751,27681,50464,5077,83218,3557,4740,415,251,8961,75,176,243,9209,48055,4316,61572,1341,2788,350,278,4748,30,91,130,4881,93350,10711,108942,844912,200389,30640,28057,1103995,45274,21018,66296,1170289,450626,107649,1728563,12874,29858,1709,1451,45892,3026,8337,11367,57260,83990,6728,147983,58598,44784,2291,3444,109120,7024,7239,14264,123383,38224,10672,172289,109017,28224,2477,3712,143422,6452,3090,9543,152965,21669,13518,188149,131171,20608,2779,3548,158108,5448,1503,6949,165057,15353,13145,193554,124467,16755,2479,2925,146631,4799,1112,5910,152545,13603,10800,176949,117744,15757,2273,2466
19799,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,3,0,0,5,6,0,0,0,3,0,0,0,3,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,3,0,0,0,0,3,0,0,0,3,3,0,5,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,7,0,11,0,0,0,0,0,0,0,0,0,8,0,12,16,0,5,0,24,0,0,0,24,26,7,51,0,0,0,0,0,0,0,0,3,4,0,3,3,0,0,0,3,0,0,0,3,5,3,9,0,0,0,0,0,0,0,0,0,3,0,5,8,0,0,0,8,0,0,0,8,0,0,6,3,0,0,0,3,0,0,0,3,0,0,3,3,0,5,0
19499,478,127,175,786,238,54,12,10,307,63,12,77,390,142,185,711,177,37,12,11,239,62,14,76,317,149,202,665,168,51,11,9,237,69,5,78,318,178,214,704,134,41,10,12,206,49,9,53,261,145,217,619,103,33,14,9,155,45,6,52,207,166,223,597,93,26,7,4,131,24,5,37,171,162,160,492,56,26,9,7,94,20,3,24,114,243,115,468,14,13,3,3,27,3,3,6,34,290,67,398,3,0,0,3,12,0,0,0,9,162,55,227,0,0,0,0,0,0,0,0,3,135,52,191,1523,471,116,94,2208,520,127,640,2853,2239,1867,6955,39,16,0,5,63,25,13,35,102,115,68,285,169,85,10,25,284,76,23,101,382,204,158,746,257,79,10,21,374,70,23,93,467,164,291,928,180,66,10,13,265,69,17,83,351,140,197,687,166,50,4,11,235,59,10,65,302,116,199,625,151,42,6,9
