GCCSA_CODE_2016,Per_age_15ov_C06_M,Per_age_15ov_C06_F,Per_age_15ov_C06_P,Per_age_15ov_C11_M,Per_age_15ov_C11_F,Per_age_15ov_C11_P,Per_age_15ov_C16_M,Per_age_15ov_C16_F,Per_age_15ov_C16_P,Lfs_Em_FT_C06_M,Lfs_Em_FT_C06_F,Lfs_Em_FT_C06_P,Lfs_Em_FT_C11_M,Lfs_Em_FT_C11_F,Lfs_Em_FT_C11_P,Lfs_Em_FT_C16_M,Lfs_Em_FT_C16_F,Lfs_Em_FT_C16_P,Lfs_Em_PT_C06_M,Lfs_Em_PT_C06_F,Lfs_Em_PT_C06_P,Lfs_Em_PT_C11_M,Lfs_Em_PT_C11_F,Lfs_Em_PT_C11_P,Lfs_Em_PT_C16_M,Lfs_Em_PT_C16_F,Lfs_Em_PT_C16_P,Lfs_Em_AFWr_C06_M,Lfs_Em_AFWr_C06_F,Lfs_Em_AFWr_C06_P,Lfs_Em_AFWr_C11_M,Lfs_Em_AFWr_C11_F,Lfs_Em_AFWr_C11_P,Lfs_Em_AFWr_C16_M,Lfs_Em_AFWr_C16_F,Lfs_Em_AFWr_C16_P,Lfs_Unem_LFW_C06_M,Lfs_Unem_LFW_C06_F,Lfs_Unem_LFW_C06_P,Lfs_Unem_LFW_C11_M,Lfs_Unem_LFW_C11_F,Lfs_Unem_LFW_C11_P,Lfs_Unem_LFW_C16_M,Lfs_Unem_LFW_C16_F,Lfs_Unem_LFW_C16_P,Lfs_Tot_LForc_C06_M,Lfs_Tot_LForc_C06_F,Lfs_Tot_LForc_C06_P,Lfs_Tot_LForc_C11_M,Lfs_Tot_LForc_C11_F,Lfs_Tot_LForc_C11_P,Lfs_Tot_LForc_C16_M,Lfs_Tot_LForc_C16_F,Lfs_Tot_LForc_C16_P,N_LForc_C06_M,N_LForc_C06_F,N_LForc_C06_P,N_LForc_C11_M,N_LForc_C11_F,N_LForc_C11_P,N_LForc_C16_M,N_LForc_C16_F,N_LForc_C16_P,Pcnt_Unemp_C06_M,Pcnt_Unemp_C06_F,Pcnt_Unemp_C06_P,Pcnt_Unemp_C11_M,Pcnt_Unemp_C11_F,Pcnt_Unemp_C11_P,Pcnt_Unemp_C16_M,Pcnt_Unemp_C16_F,Pcnt_Unemp_C16_P,Pcnt_LForc_prt_C06_M,Pcnt_LForc_prt_C06_F,Pcnt_LForc_prt_C06_P,Pcnt_LForc_prt_C11_M,Pcnt_LForc_prt_C11_F,Pcnt_LForc_prt_C11_P,Pcnt_LForc_prt_C16_M,Pcnt_LForc_prt_C16_F,Pcnt_LForc_prt_C16_P,Pcnt_Emp_to_pop_C06_M,Pcnt_Emp_to_pop_C06_F,Pcnt_Emp_to_pop_C06_P,Pcnt_Emp_to_pop_C11_M,Pcnt_Emp_to_pop_C11_F,Pcnt_Emp_to_pop_C11_P,Pcnt_Emp_to_pop_C16_M,Pcnt_Emp_to_pop_C16_F,Pcnt_Emp_to_pop_C16_P,No_sc_qu_Po_De_C06_M,No_sc_qu_Po_De_C06_F,No_sc_qu_Po_De_C06_P,No_sc_qu_Po_De_C11_M,No_sc_qu_Po_De_C11_F,No_sc_qu_Po_De_C11_P,No_sc_qu_Po_De_C16_M,No_sc_qu_Po_De_C16_F,No_sc_qu_Po_De_C16_P,N_s_q_Gr_D_G_Ce_C06_M,N_s_q_Gr_D_G_Ce_C06_F,N_s_q_Gr_D_G_Ce_C06_P,N_s_q_Gr_D_G_Ce_C11_M,N_s_q_Gr_D_G_Ce_C11_F,N_s_q_Gr_D_G_Ce_C11_P,N_s_q_Gr_D_G_Ce_C16_M,N_s_q_Gr_D_G_Ce_C16_F,N_s_q_Gr_D_G_Ce_C16_P,N_s_q_BD_C06_M,N_s_q_BD_C06_F,N_s_q_BD_C06_P,N_s_q_BD_C11_M,N_s_q_BD_C11_F,N_s_q_BD_C11_P,N_s_q_BD_C16_M,N_s_q_BD_C16_F,N_s_q_BD_C16_P,N_s_q_AdDip_DL_C06_M,N_s_q_AdDip_DL_C06_F,N_s_q_AdDip_DL_C06_P,N_s_q_AdDip_DL_C11_M,N_s_q_AdDip_DL_C11_F,N_s_q_AdDip_DL_C11_P,N_s_q_AdDip_DL_C16_M,N_s_q_AdDip_DL_C16_F,N_s_q_AdDip_DL_C16_P,N_s_q_Cert_III_IV_C06_M,N_s_q_Cert_III_IV_C06_F,N_s_q_Cert_III_IV_C06_P,N_s_q_Cert_III_IV_C11_M,N_s_q_Cert_III_IV_C11_F,N_s_q_Cert_III_IV_C11_P,N_s_q_Cert_III_IV_C16_M,N_s_q_Cert_III_IV_C16_F,N_s_q_Cert_III_IV_C16_P,N_s_q_Cert_I_II_C06_M,N_s_q_Cert_I_II_C06_F,N_s_q_Cert_I_II_C06_P,N_s_q_Cert_I_II_C11_M,N_s_q_Cert_I_II_C11_F,N_s_q_Cert_I_II_C11_P,N_s_q_Cert_I_II_C16_M,N_s_q_Cert_I_II_C16_F,N_s_q_Cert_I_II_C16_P,N_s_q_Cert_Lev_nfd_C06_M,N_s_q_Cert_Lev_nfd_C06_F,N_s_q_Cert_Lev_nfd_C06_P,N_s_q_Cert_Lev_nfd_C11_M,N_s_q_Cert_Lev_nfd_C11_F,N_s_q_Cert_Lev_nfd_C11_P,N_s_q_Cert_Lev_nfd_C16_M,N_s_q_Cert_Lev_nfd_C16_F,N_s_q_Cert_Lev_nfd_C16_P,N_s_q_Cert_Lev_Tot_C06_M,N_s_q_Cert_Lev_Tot_C06_F,N_s_q_Cert_Lev_Tot_C06_P,N_s_q_Cert_Lev_Tot_C11_M,N_s_q_Cert_Lev_Tot_C11_F,N_s_q_Cert_Lev_Tot_C11_P,N_s_q_Cert_Lev_Tot_C16_M,N_s_q_Cert_Lev_Tot_C16_F,N_s_q_Cert_Lev_Tot_C16_P,Mi_Liv_SA_1yr_ag_C06_M,Mi_Liv_SA_1yr_ag_C06_F,Mi_Liv_SA_1yr_ag_C06_P,Mi_Liv_SA_1yr_ag_C11_M,Mi_Liv_SA_1yr_ag_C11_F,Mi_Liv_SA_1yr_ag_C11_P,Mi_Liv_SA_1yr_ag_C16_M,Mi_Liv_SA_1yr_ag_C16_F,Mi_Liv_SA_1yr_ag_C16_P,Mi_Liv_DA_1yr_ag_C06_M,Mi_Liv_DA_1yr_ag_C06_F,Mi_Liv_DA_1yr_ag_C06_P,Mi_Liv_DA_1yr_ag_C11_M,Mi_Liv_DA_1yr_ag_C11_F,Mi_Liv_DA_1yr_ag_C11_P,Mi_Liv_DA_1yr_ag_C16_M,Mi_Liv_DA_1yr_ag_C16_F,Mi_Liv_DA_1yr_ag_C16_P,Mi_Liv_SA_5yrs_ag_C06_M,Mi_Liv_SA_5yrs_ag_C06_F,Mi_Liv_SA_5yrs_ag_C06_P,Mi_Liv_SA_5yrs_ag_C11_M,Mi_Liv_SA_5yrs_ag_C11_F,Mi_Liv_SA_5yrs_ag_C11_P,Mi_Liv_SA_5yrs_ag_C16_M,Mi_Liv_SA_5yrs_ag_C16_F,Mi_Liv_SA_5yrs_ag_C16_P,Mi_Liv_DA_5yrs_ag_C06_M,Mi_Liv_DA_5yrs_ag_C06_F,Mi_Liv_DA_5yrs_ag_C06_P,Mi_Liv_DA_5yrs_ag_C11_M,Mi_Liv_DA_5yrs_ag_C11_F,Mi_Liv_DA_5yrs_ag_C11_P,Mi_Liv_DA_5yrs_ag_C16_M,Mi_Liv_DA_5yrs_ag_C16_F,Mi_Liv_DA_5yrs_ag_C16_P
1RNSW,941187,985645,1926832,988731,1036112,2024844,1052624,1105649,2158275,407250,202623,609874,425088,222341,647427,418117,234162,652283,98731,226266,324997,107975,245708,353684,123559,263912,387471,35833,31671,67508,35126,35138,70266,30350,34061,64405,41867,33890,75755,38442,31437,69874,43178,35237,78414,583685,494447,1078130,606634,534624,1141256,615204,567378,1182580,304683,439786,744469,328061,450958,779024,359273,457951,817222,7.2,6.9,7,6.3,5.9,6.1,7,6.2,6.6,62,50.2,56,61.4,51.6,56.4,58.4,51.3,54.8,57.6,46.7,52,57.5,48.6,52.9,54.3,48.1,51.2,15804,11915,27727,20979,18653,39629,27345,28666,56011,7625,13768,21385,9166,17083,26247,11275,21821,33097,62780,86896,149678,74898,110198,185091,87606,135225,222826,47298,72174,119472,57070,85825,142893,68256,108207,176459,240764,82658,323425,265758,113499,379258,288213,136401,424613,8801,19636,28439,9670,21050,30717,10302,20984,31288,12004,24701,36705,11790,25475,37264,18118,34438,52561,261566,126998,388565,287219,160023,447243,316637,191830,508464,945129,977203,1922334,991045,1025802,2016852,993444,1027032,2020483,171744,181323,353068,168918,180428,349348,174202,186140,360342,621780,637820,1259597,676290,694318,1370604,677976,693573,1371549,424705,453507,878215,409840,440159,850001,438426,471647,910069
1GSYD,1614187,1699976,3314163,1728563,1819896,3548457,1914314,2009383,3923700,791699,475804,1267503,844912,513275,1358192,910114,570101,1480218,172849,343943,516793,200389,384391,584775,243808,438797,682605,61835,57394,119230,58691,61604,120300,51004,58887,109892,57682,48803,106480,66296,59292,125586,75539,70645,146187,1084064,925940,2010009,1170289,1018564,2188856,1280466,1138432,2418899,400890,651926,1052819,450626,699168,1149800,515700,751080,1266780,5.3,5.3,5.3,5.7,5.8,5.7,5.9,6.2,6,67.2,54.5,60.6,67.7,56,61.7,66.9,56.7,61.6,63.6,51.6,57.4,63.9,52.7,58.1,62.9,53.1,57.9,76288,58617,134913,106689,92186,198878,146564,141535,288103,16841,27491,44338,21960,34304,56260,27022,43101,70126,228631,255586,484225,278287,322671,600956,344760,408013,752774,112315,155333,267646,137020,181495,318513,156477,209509,365989,292552,101231,393780,309422,129635,439051,322677,150288,472968,11878,23581,35466,13041,25045,38085,12035,23465,35504,22081,41800,63878,20945,39549,60493,31293,50922,82214,326514,166608,493123,343405,194227,537630,366004,224681,590682,1573239,1642428,3215664,1721778,1791988,3513771,1813259,1882487,3695742,277452,289532,566982,288405,300493,588904,347545,356145,703690,1027458,1080706,2108162,1132314,1187171,2319489,1174217,1227942,2402160,701181,734799,1435984,744859,777760,1522619,895491,922415,1817909
19799,37,7,50,51,55,110,157,220,374,30,5,38,16,3,19,28,25,48,0,0,0,0,0,3,7,18,25,0,0,3,5,4,7,22,26,49,0,0,0,0,0,0,0,3,4,33,7,43,24,11,32,61,72,130,0,0,0,26,36,65,77,110,185,0,0,0,0,0,0,0,4.2,3.1,89.2,100,86,47.1,20,29.1,38.9,32.7,34.8,81.1,71.4,82,41.2,12.7,26.4,36.3,31.4,32.6,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,4,3,3,7,3,3,3,11,25,35,4,0,4,3,3,6,13,20,31,20,0,20,20,4,23,42,22,61,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,11,8,20,0,20,23,6,26,41,33,74,26,3,31,43,47,93,138,182,322,11,6,12,11,6,13,14,21,43,16,0,15,32,35,72,105,139,245,23,5,32,23,16,40,43,61,104
19499,5446,3771,9217,6955,4779,11739,6958,4590,11545,1508,707,2209,1523,761,2284,1322,653,1977,469,455,926,471,530,1002,531,520,1047,237,122,359,216,156,365,189,116,301,601,324,921,640,420,1066,583,358,941,2813,1602,4417,2853,1866,4719,2623,1646,4272,1924,1803,3723,2239,2148,4386,2178,1876,4062,21.4,20.2,20.9,22.4,22.5,22.6,22.2,21.7,22,51.7,42.5,47.9,41,39,40.2,37.7,35.9,37,40.7,34,37.9,31.8,30.3,31.1,29.3,28.1,28.8,148,137,281,160,181,345,193,177,365,37,69,109,46,69,112,51,67,120,522,605,1127,600,686,1283,574,673,1247,244,290,530,298,350,646,294,374,663,983,264,1248,1088,362,1448,1063,351,1416,55,55,116,67,93,164,64,60,126,63,97,164,66,125,193,104,92,195,1103,421,1529,1222,579,1802,1231,504,1738,1186,606,1800,1332,814,2145,1571,849,2420,3851,3100,6948,4161,3581,7743,3356,2845,6200,839,410,1250,875,478,1356,1027,548,1571,3962,3112,7073,4323,3695,8020,3734,3027,6765
