GCCSA_CODE_2016,C06_0_4_Indig_M,C06_0_4_Indig_F,C06_0_4_Indig_P,C06_0_4_NonInd_M,C06_0_4_NonInd_F,C06_0_4_NonInd_P,C06_0_4_Indig_st_ns_M,C06_0_4_Indig_st_ns_F,C06_0_4_Indig_st_ns_P,C06_0_4_T_M,C06_0_4_T_F,C06_0_4_T_P,C06_5_9_Indig_M,C06_5_9_Indig_F,C06_5_9_Indig_P,C06_5_9_NonInd_M,C06_5_9_NonInd_F,C06_5_9_NonInd_P,C06_5_9_Indig_st_ns_M,C06_5_9_Indig_st_ns_F,C06_5_9_Indig_st_ns_P,C06_5_9_T_M,C06_5_9_T_F,C06_5_9_T_P,C06_10_14_Indigen_M,C06_10_14_Indigen_F,C06_10_14_Indigen_P,C06_10_14_NonInd_M,C06_10_14_NonInd_F,C06_10_14_NonInd_P,C06_10_14_Ind_st_ns_M,C06_10_14_Ind_st_ns_F,C06_10_14_Ind_st_ns_P,C06_10_14_T_M,C06_10_14_T_F,C06_10_14_T_P,C06_15_19_Indigen_M,C06_15_19_Indigen_F,C06_15_19_Indigen_P,C06_15_19_NonInd_M,C06_15_19_NonInd_F,C06_15_19_NonInd_P,C06_15_19_Ind_st_ns_M,C06_15_19_Ind_st_ns_F,C06_15_19_Ind_st_ns_P,C06_15_19_T_M,C06_15_19_T_F,C06_15_19_T_P,C06_20_24_Indigen_M,C06_20_24_Indigen_F,C06_20_24_Indigen_P,C06_20_24_NonInd_M,C06_20_24_NonInd_F,C06_20_24_NonInd_P,C06_20_24_Ind_st_ns_M,C06_20_24_Ind_st_ns_F,C06_20_24_Ind_st_ns_P,C06_20_24_T_M,C06_20_24_T_F,C06_20_24_T_P,C06_25_29_Indigen_M,C06_25_29_Indigen_F,C06_25_29_Indigen_P,C06_25_29_NonInd_M,C06_25_29_NonInd_F,C06_25_29_NonInd_P,C06_25_29_Ind_st_ns_M,C06_25_29_Ind_st_ns_F,C06_25_29_Ind_st_ns_P,C06_25_29_T_M,C06_25_29_T_F,C06_25_29_T_P,C06_30_34_Indigen_M,C06_30_34_Indigen_F,C06_30_34_Indigen_P,C06_30_34_NonInd_M,C06_30_34_NonInd_F,C06_30_34_NonInd_P,C06_30_34_Ind_st_ns_M,C06_30_34_Ind_st_ns_F,C06_30_34_Ind_st_ns_P,C06_30_34_T_M,C06_30_34_T_F,C06_30_34_T_P,C06_35_39_Indigen_M,C06_35_39_Indigen_F,C06_35_39_Indigen_P,C06_35_39_NonInd_M,C06_35_39_NonInd_F,C06_35_39_NonInd_P,C06_35_39_Ind_st_ns_M,C06_35_39_Ind_st_ns_F,C06_35_39_Ind_st_ns_P,C06_35_39_T_M,C06_35_39_T_F,C06_35_39_T_P,C06_40_44_Indigen_M,C06_40_44_Indigen_F,C06_40_44_Indigen_P,C06_40_44_NonInd_M,C06_40_44_NonInd_F,C06_40_44_NonInd_P,C06_40_44_Ind_st_ns_M,C06_40_44_Ind_st_ns_F,C06_40_44_Ind_st_ns_P,C06_40_44_T_M,C06_40_44_T_F,C06_40_44_T_P,C06_45_49_Indigen_M,C06_45_49_Indigen_F,C06_45_49_Indigen_P,C06_45_49_NonInd_M,C06_45_49_NonInd_F,C06_45_49_NonInd_P,C06_45_49_Ind_st_ns_M,C06_45_49_Ind_st_ns_F,C06_45_49_Ind_st_ns_P,C06_45_49_T_M,C06_45_49_T_F,C06_45_49_T_P,C06_50_54_Indigen_M,C06_50_54_Indigen_F,C06_50_54_Indigen_P,C06_50_54_NonInd_M,C06_50_54_NonInd_F,C06_50_54_NonInd_P,C06_50_54_Ind_st_ns_M,C06_50_54_Ind_st_ns_F,C06_50_54_Ind_st_ns_P,C06_50_54_T_M,C06_50_54_T_F,C06_50_54_T_P,C06_55_59_Indigen_M,C06_55_59_Indigen_F,C06_55_59_Indigen_P,C06_55_59_NonInd_M,C06_55_59_NonInd_F,C06_55_59_NonInd_P,C06_55_59_Ind_st_ns_M,C06_55_59_Ind_st_ns_F,C06_55_59_Ind_st_ns_P,C06_55_59_T_M,C06_55_59_T_F,C06_55_59_T_P,C06_60_64_Indigen_M,C06_60_64_Indigen_F,C06_60_64_Indigen_P,C06_60_64_NonInd_M,C06_60_64_NonInd_F,C06_60_64_NonInd_P,C06_60_64_Ind_st_ns_M,C06_60_64_Ind_st_ns_F,C06_60_64_Ind_st_ns_P,C06_60_64_T_M,C06_60_64_T_F,C06_60_64_T_P,C06_65_over_Indigen_M,C06_65_over_Indigen_F,C06_65_over_Indigen_P,C06_65ove_NonInd_M,C06_65ove_NonInd_F,C06_65ove_NonInd_P,C06_65ove_Indig_st_ns_M,C06_65ove_Indig_st_ns_F,C06_65ove_Indig_st_ns_P,C06_65_over_T_M,C06_65_over_T_F,C06_65_over_T_P,C06_Tot_Indig_M,C06_Tot_Indig_F,C06_Tot_Indig_P,C06_Tot_NonInd_M,C06_Tot_NonInd_F,C06_Tot_NonInd_P,C06_Tot_Indig_st_ns_M,C06_Tot_Indig_st_ns_F,C06_Tot_Indig_st_ns_P,C06_Tot_T_M,C06_Tot_T_F,C06_Tot_T_P,C11_0_4_Indig_M,C11_0_4_Indig_F,C11_0_4_Indig_P,C11_0_4_NonInd_M,C11_0_4_NonInd_F,C11_0_4_NonInd_P,C11_0_4_Indig_st_ns_M,C11_0_4_Indig_st_ns_F,C11_0_4_Indig_st_ns_P,C11_0_4_T_M,C11_0_4_T_F,C11_0_4_T_P,C11_5_9_Indig_M,C11_5_9_Indig_F,C11_5_9_Indig_P,C11_5_9_NonInd_M,C11_5_9_NonInd_F,C11_5_9_NonInd_P,C11_5_9_Indig_st_ns_M,C11_5_9_Indig_st_ns_F
1RNSW,6145,5888,12033,66856,63119,129976,3606,3559,7168,76609,72570,149173,6398,6107,12508,74421,70559,144975,4026,3956,7985,84847,80616,165462,6524,6201,12728,80337,76924,157267,4246,4053,8304,91108,87188,178297,5237,4940,10172,76757,72696,149454,3929,3394,7317,85913,81029,166947,3707,3463,7166,61040,58859,119898,3506,2590,6090,68249,64905,133151,2709,2775,5481,53781,54910,108692,2791,2185,4973,59280,59866,119151,2736,3111,5852,62302,66235,128538,3013,2542,5555,68056,71893,139945,2751,3289,6044,69170,74391,143557,3241,2897,6139,75162,80580,155743,2567,3020,5588,76837,81316,158151,3755,3173,6923,83159,87501,170663,2268,2548,4823,82024,85238,167264,4035,3298,7335,88326,91092,179416,1872,1994,3863,77651,78580,156231,3675,2927,6606,83201,83504,166704,1428,1476,2901,76103,75535,151638,3655,2959,6612,81180,79965,161148,1013,1037,2058,63333,63847,127181,2967,2796,5764,67313,67686,135001,1473,1865,3342,169838,202702,372536,10030,13056,23082,181343,217626,398969,46824,47719,94547,1090449,1124905,2215359,56475,53385,109860,1193752,1226014,2419769,7568,7446,15012,70384,66735,137119,3595,3556,7151,81546,77732,159284,7222,6962,14184,71064,67178,138242,3620,3520
1GSYD,2712,2424,5136,127099,119477,246580,9877,9223,19101,139686,131130,270816,2688,2479,5174,124993,118353,243343,9059,8577,17635,136748,129407,266147,2794,2721,5510,126607,119513,246123,8703,7728,16430,138107,129952,268067,2507,2180,4684,128031,123187,251220,8810,7624,16430,139346,132990,272336,1789,1874,3659,134255,135465,269724,13256,10920,24179,149293,148259,297556,1360,1569,2929,134951,140086,275034,14128,11670,25800,150433,153332,303769,1379,1655,3031,145156,153637,298796,12917,11069,23990,159451,166355,325813,1390,1599,2993,142655,151479,294133,11241,9622,20861,155286,162706,317988,1159,1441,2595,142587,147317,289902,10462,8729,19192,154207,157482,311694,1039,1177,2221,134556,140861,275413,9607,7926,17538,145208,149963,295173,843,907,1750,119070,125400,244471,8134,7311,15444,128049,133621,261670,633,772,1402,110987,113231,224221,7780,6661,14434,119399,120659,240057,434,449,883,85001,84761,169766,6149,5323,11474,91587,90540,182126,667,883,1546,204298,262176,466476,16951,20997,37954,221917,284059,505979,21390,22131,43519,1860261,1934942,3795208,147075,133391,280469,2028727,2090459,4119190,3235,3070,6307,141853,134750,276606,8396,7597,15988,153486,145416,298898,3269,2893,6165,131080,123587,254665,7265,6621
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,8,0,7,0,0,0,8,0,8,0,0,0,5,3,7,0,0,0,5,3,7,4,0,4,8,0,10,0,0,0,8,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,8,0,8,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,38,4,43,0,0,3,37,7,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0
19499,26,21,51,175,181,360,21,15,32,216,222,439,14,12,28,132,127,258,18,7,28,161,151,315,12,18,28,80,84,167,4,9,9,97,108,200,26,20,40,272,221,490,19,26,46,309,262,574,30,24,47,533,437,970,67,49,116,627,506,1134,37,16,56,579,460,1043,74,56,134,688,539,1227,35,5,44,579,406,979,54,43,99,667,457,1127,23,11,38,532,289,818,64,35,100,622,334,951,25,10,41,459,224,686,57,15,73,544,247,796,14,5,20,357,219,573,36,14,53,407,241,641,10,13,26,360,269,629,45,21,66,421,303,723,4,7,14,352,293,638,45,25,65,394,323,713,6,3,8,249,208,459,19,16,37,272,228,497,0,4,7,431,295,725,56,41,99,485,344,828,257,178,435,5090,3698,8794,576,368,943,5924,4248,10175,39,49,92,238,180,423,20,21,46,305,247,554,23,18,42,131,119,246,15,14
