GCCSA_CODE_2016,C16_P_35_39_Tot_LF,C16_P_35_39_Notin_LF,C16_P_35_39_LF_NS,C16_P_35_39_Tot,C16_P_40_44_Em_FT,C16_P_40_44_Em_PT,C16_P_40_44_Em_AFW,C16_P_40_44_Em_Hrs_NS,C16_P_40_44_Em_Tot,C16_P_40_44_Unem_Look_FT,C16_P_40_44_Unem_Look_PT,C16_P_40_44_Unem_Tot,C16_P_40_44_Tot_LF,C16_P_40_44_Notin_LF,C16_P_40_44_LF_NS,C16_P_40_44_Tot,C16_P_45_49_Em_FT,C16_P_45_49_Em_PT,C16_P_45_49_Em_AFW,C16_P_45_49_Em_Hrs_NS,C16_P_45_49_Em_Tot,C16_P_45_49_Unem_Look_FT,C16_P_45_49_Unem_Look_PT,C16_P_45_49_Unem_Tot,C16_P_45_49_Tot_LF,C16_P_45_49_Notin_LF,C16_P_45_49_LF_NS,C16_P_45_49_Tot,C16_P_50_54_Em_FT,C16_P_50_54_Em_PT,C16_P_50_54_Em_AFW,C16_P_50_54_Em_Hrs_NS,C16_P_50_54_Em_Tot,C16_P_50_54_Unem_Look_FT,C16_P_50_54_Unem_Look_PT,C16_P_50_54_Unem_Tot,C16_P_50_54_Tot_LF,C16_P_50_54_Notin_LF,C16_P_50_54_LF_NS,C16_P_50_54_Tot,C16_P_55_59_Em_FT,C16_P_55_59_Em_PT,C16_P_55_59_Em_AFW,C16_P_55_59_Em_Hrs_NS,C16_P_55_59_Em_Tot,C16_P_55_59_Unem_Look_FT,C16_P_55_59_Unem_Look_PT,C16_P_55_59_Unem_Tot,C16_P_55_59_Tot_LF,C16_P_55_59_Notin_LF,C16_P_55_59_LF_NS,C16_P_55_59_Tot,C16_P_60_64_Em_FT,C16_P_60_64_Em_PT,C16_P_60_64_Em_AFW,C16_P_60_64_Em_Hrs_NS,C16_P_60_64_Em_Tot,C16_P_60_64_Unem_Look_FT,C16_P_60_64_Unem_Look_PT,C16_P_60_64_Unem_Tot,C16_P_60_64_Tot_LF,C16_P_60_64_Notin_LF,C16_P_60_64_LF_NS,C16_P_60_64_Tot,C16_P_65_69_Em_FT,C16_P_65_69_Em_PT,C16_P_65_69_Em_AFW,C16_P_65_69_Em_Hrs_NS,C16_P_65_69_Em_Tot,C16_P_65_69_Unem_Look_FT,C16_P_65_69_Unem_Look_PT,C16_P_65_69_Unem_Tot,C16_P_65_69_Tot_LF,C16_P_65_69_Notin_LF,C16_P_65_69_LF_NS,C16_P_65_69_Tot,C16_P_70_74_Em_FT,C16_P_70_74_Em_PT,C16_P_70_74_Em_AFW,C16_P_70_74_Em_Hrs_NS,C16_P_70_74_Em_Tot,C16_P_70_74_Unem_Look_FT,C16_P_70_74_Unem_Look_PT,C16_P_70_74_Unem_Tot,C16_P_70_74_Tot_LF,C16_P_70_74_Notin_LF,C16_P_70_74_LF_NS,C16_P_70_74_Tot,C16_P_75over_Emp_Wor_ft,C16_P_75ov_Em_Work_pt,C16_P_75ov_Em_Aw_fr_w,C16_P_75ov_Emp_Hou_w_ns,C16_P_75andOver_Em_Tot,C16_P_75over_Unem_Lo_ft_w,C16_P_75over_Unem_Lo_pt_w,C16_P_75over_Unemp_Tot,C16_P_75over_Tot_lab_for,C16_P_75over_N_lab_forc,C16_P_75over_LF_NS,C16_P_75over_Tot,C16_P_Tot_Em_FT,C16_P_Tot_Em_PT,C16_P_Tot_Em_AFW,C16_P_Tot_Em_Hrs_NS,C16_P_Tot_Em_Tot,C16_P_Tot_Unem_Look_FT,C16_P_Tot_Unem_Look_PT,C16_P_Tot_Unem_Tot,C16_P_T_T_labo_for,C16_P_Tot_Notin_LF,C16_P_Tot_LF_NS,C16_P_T_T
1RNSW,110913,23605,8778,143294,78030,37115,3139,1971,120253,4163,2170,6333,126583,24927,10116,161625,82921,37189,3319,2057,125483,4318,2017,6333,131815,26926,11035,169780,82680,38305,4030,2000,127019,4188,2020,6215,133227,33617,11921,178773,72907,38866,5025,1801,118599,3772,2249,6020,124625,49996,12668,187279,42457,31817,4035,1379,79679,2680,2149,4830,84510,79815,12355,176678,15566,17373,1941,869,35752,273,595,864,36617,120803,12670,170095,5130,7562,742,581,14017,76,211,287,14307,107769,11067,133140,3287,4358,524,981,9152,91,116,206,9361,200909,29860,240132,652283,387471,42391,22017,1104163,46140,32276,78414,1182580,817222,158473,2158275
1GSYD,280540,54195,20726,355460,184171,65965,5363,4180,259677,7344,4662,12003,271686,50610,18281,340580,173087,61341,4304,4101,242833,7342,4144,11484,254323,50331,17108,321762,159098,56399,4811,3778,224087,6923,3780,10699,234792,54924,16105,305817,127463,51495,5166,2896,187020,5737,3780,9518,196532,69955,15067,281558,72516,43100,4171,2008,121801,3922,3254,7181,128980,100210,13265,242452,27207,26881,2303,1033,57429,635,1054,1687,59115,141828,12585,213531,7113,11922,839,496,20366,149,402,549,20916,127596,10449,158961,2624,6023,477,598,9722,125,216,345,10064,261288,28723,300075,1480218,682605,65069,44829,2272718,77147,69039,146187,2418899,1266780,238019,3923700
19799,9,0,0,9,3,4,11,0,16,0,0,0,16,3,0,21,3,3,9,0,10,0,0,0,10,4,0,16,11,3,11,0,24,0,0,0,24,7,8,35,3,0,3,3,14,0,0,0,14,13,5,35,3,9,0,0,10,0,0,0,15,21,7,42,0,3,4,0,6,0,0,0,6,40,11,63,0,0,0,0,3,0,0,0,3,32,6,46,0,0,0,0,0,0,0,0,3,36,13,55,48,25,43,4,130,3,3,4,130,185,63,374
19499,433,231,300,955,188,87,15,18,302,56,10,67,366,212,362,940,154,80,6,11,250,64,14,85,333,254,295,881,138,93,16,10,253,52,8,64,316,287,312,919,124,77,19,8,228,47,17,66,290,326,232,850,69,61,13,3,151,34,14,51,196,457,212,866,29,32,8,0,70,7,5,9,80,536,165,779,8,10,0,0,18,3,0,4,17,322,77,413,7,3,0,3,8,0,3,3,13,255,95,361,1977,1047,148,158,3331,699,245,941,4272,4062,3220,11545
