GCCSA_CODE_2016,C06_P_FoodHos_PS_15_19,C06_P_FoodHos_PS_20_24,C06_P_FoodHos_PS_25_34,C06_P_FoodHos_PS_35_44,C06_P_FoodHos_PS_45_54,C06_P_FoodHos_PS_55_64,C06_P_FoodHos_PS_65_74,C06_P_FoodHos_PS_75_84,C06_P_FoodHos_PS_85o,C06_P_Foo_hos_pers_S_Tot,C06_P_MixFld_pr_15_19,C06_P_MixFld_pr_20_24,C06_P_MixFld_pr_25_34,C06_P_MixFld_pr_35_44,C06_P_MixFld_pr_45_54,C06_P_MixFld_pr_55_64,C06_P_MixFld_pr_65_74,C06_P_MixFld_pr_75_84,C06_P_MixFld_pr_85_ov,C06_P_MixFld_pr_Tot,C06_P_FldStu_ID_15_19,C06_P_FldStu_ID_20_24,C06_P_FldStu_ID_25_34,C06_P_FldStu_ID_35_44,C06_P_FldStu_ID_45_54,C06_P_FldStu_ID_55_64,C06_P_FldStu_ID_65_74,C06_P_FldStu_ID_75_84,C06_P_FldStu_ID_85o,C06_P_FldStu_ID_Tot,C06_P_FldStu_NS_15_19,C06_P_FldStu_NS_20_24,C06_P_FldStu_NS_25_34,C06_P_FldStu_NS_35_44,C06_P_FldStu_NS_45_54,C06_P_FldStu_NS_55_64,C06_P_FldStu_NS_65_74,C06_P_FldStu_NS_75_84,C06_P_FldStu_NS_85o,C06_P_FldStu_NS_T,C06_P_Tot_15_19,C06_P_Tot_20_24,C06_P_Tot_25_34,C06_P_Tot_35_44,C06_P_Tot_45_54,C06_P_Tot_55_64,C06_P_Tot_65_74,C06_P_Tot_75_84,C06_P_Tot_85o,C06_P_T_T,C11_P_NatPhy_sci_15_19,C11_P_NatPhy_sci_20_24,C11_P_NatPhy_sci_25_34,C11_P_NatPhy_sci_35_44,C11_P_NatPhy_sci_45_54,C11_P_NatPhy_sci_55_64,C11_P_NatPhy_sci_65_74,C11_P_NatPhy_sci_75_84,C11_P_NatPhy_sci_85_ov,C11_P_NatPhy_sci_Tot,C11_P_InfTec_15_19,C11_P_InfTec_20_24,C11_P_InfTec_25_34,C11_P_InfTec_35_44,C11_P_InfTec_45_54,C11_P_InfTec_55_64,C11_P_InfTec_65_74,C11_P_InfTec_75_84,C11_P_InfTec_85_ov,C11_P_InfTec_Tot,C11_P_EngRT_15_19,C11_P_EngRT_20_24,C11_P_EngRT_25_34,C11_P_EngRT_35_44,C11_P_EngRT_45_54,C11_P_EngRT_55_64,C11_P_EngRT_65_74,C11_P_EngRT_75_84,C11_P_EngRT_85_ov,C11_P_EngRT_Tot,C11_P_ArchBuild_15_19,C11_P_ArchBuild_20_24,C11_P_ArchBuild_25_34,C11_P_ArchBuild_35_44,C11_P_ArchBuild_45_54,C11_P_ArchBuild_55_64,C11_P_ArchBuild_65_74,C11_P_ArchBuild_75_84,C11_P_ArchBuild_85o,C11_P_Arch_building_Tot,C11_P_AgEnv_RS_15_19,C11_P_AgEnv_RS_20_24,C11_P_AgEnv_RS_25_34,C11_P_AgEnv_RS_35_44,C11_P_AgEnv_RS_45_54,C11_P_AgEnv_RS_55_64,C11_P_AgEnv_RS_65_74,C11_P_AgEnv_RS_75_84,C11_P_AgEnv_RS_85o,C11_P_AgEnv_RS_Tot,C11_P_Health_15_19,C11_P_Health_20_24,C11_P_Health_25_34,C11_P_Health_35_44,C11_P_Health_45_54,C11_P_Health_55_64,C11_P_Health_65_74,C11_P_Health_75_84,C11_P_Health_85o,C11_P_Healt_To,C11_P_Educ_15_19,C11_P_Educ_20_24,C11_P_Educ_25_34,C11_P_Educ_35_44,C11_P_Educ_45_54,C11_P_Educ_55_64,C11_P_Educ_65_74,C11_P_Educ_75_84,C11_P_Educ_85o,C11_P_Educ_Tot,C11_P_MngtCom_15_19,C11_P_MngtCom_20_24,C11_P_MngtCom_25_34,C11_P_MngtCom_35_44,C11_P_MngtCom_45_54,C11_P_MngtCom_55_64,C11_P_MngtCom_65_74,C11_P_MngtCom_75_84,C11_P_MngtCom_85o,C11_P_MngtCom_T,C11_P_Soc_cult_15_19,C11_P_Soc_cult_20_24,C11_P_Soc_cult_25_34,C11_P_Soc_cult_35_44,C11_P_Soc_cult_45_54,C11_P_Soc_cult_55_64,C11_P_Soc_cult_65_74,C11_P_Soc_cult_75_84,C11_P_Soc_cult_85o,C11_P_Soc_cult_T,C11_P_Creative_art_15_19,C11_P_Creative_art_20_24,C11_P_Creative_art_25_34,C11_P_Creative_art_35_44,C11_P_Creative_art_45_54,C11_P_Creative_art_55_64,C11_P_Creative_art_65_74,C11_P_Creative_art_75_84,C11_P_Creative_arts_85o,C11_P_Creative_arts_Tot,C11_P_FoodHos_PS_15_19,C11_P_FoodHos_PS_20_24,C11_P_FoodHos_PS_25_34,C11_P_FoodHos_PS_35_44,C11_P_FoodHos_PS_45_54,C11_P_FoodHos_PS_55_64,C11_P_FoodHos_PS_65_74,C11_P_FoodHos_PS_75_84,C11_P_FoodHos_PS_85o,C11_P_FoodHos_PS_Tot,C11_P_MixFld_pr_15_19,C11_P_MixFld_pr_20_24,C11_P_MixFld_pr_25_34,C11_P_MixFld_pr_35_44,C11_P_MixFld_pr_45_54,C11_P_MixFld_pr_55_64,C11_P_MixFld_pr_65_74,C11_P_MixFld_pr_75_84,C11_P_MixFld_pr_85_ov,C11_P_MixFld_pr_Tot,C11_P_FldStu_ID_15_19,C11_P_FldStu_ID_20_24,C11_P_FldStu_ID_25_34,C11_P_FldStu_ID_35_44,C11_P_FldStu_ID_45_54,C11_P_FldStu_ID_55_64,C11_P_FldStu_ID_65_74,C11_P_FldStu_ID_75_84,C11_P_FldStu_ID_85o,C11_P_FldStu_ID_T,C11_P_FldStu_NS_15_19,C11_P_FldStu_NS_20_24,C11_P_FldStu_NS_25_34,C11_P_FldStu_NS_35_44,C11_P_FldStu_NS_45_54,C11_P_FldStu_NS_55_64,C11_P_FldStu_NS_65_74,C11_P_FldStu_NS_75_84,C11_P_FldStu_NS_85o,C11_P_FldStu_NS_T,C11_P_Tot_15_19,C11_P_Tot_20_24,C11_P_Tot_25_34,C11_P_Tot_35_44,C11_P_Tot_45_54,C11_P_Tot_55_64,C11_P_Tot_65_74,C11_P_Tot_75_84,C11_P_Tot_85o,C11_P_T_T
1RNSW,2098,6569,12438,10802,7617,5420,2388,1262,290,48882,82,143,98,163,204,137,98,86,41,1054,182,534,1632,2060,2069,1449,764,467,139,9290,19094,11275,20982,26686,26989,26078,29036,31661,11947,203753,29424,62564,157847,190754,199116,145257,91390,62848,18466,957665,44,1061,3421,4317,4060,4041,2175,768,212,20098,454,1700,4408,3649,3107,1973,609,120,6,16038,1486,10370,26956,33523,39969,35477,24202,12120,3412,187522,808,4694,11231,13153,14629,12098,7665,3852,905,69043,690,2383,7027,8643,7895,5609,2999,1227,258,36736,680,4689,16158,21087,26279,21007,10628,5017,1533,107088,113,2422,12596,16573,19778,22319,10588,4225,1014,89624,2555,11864,31359,36246,34633,26991,13698,5378,1749,164471,1389,7035,18818,22133,21225,16508,6813,2286,514,96730,436,2478,5880,5485,4707,3716,2020,844,236,25810,1949,6735,13910,12858,9381,6513,3655,1470,380,56859,161,208,149,155,194,158,124,102,40,1290,134,488,1508,2220,2253,1834,958,510,193,10107,17035,11212,19623,23757,26581,26403,28021,28569,14497,195701,27936,67343,173060,203803,214701,184656,114163,66493,24954,1077109
1GSYD,2680,9843,21069,16832,10182,7075,2717,1531,484,72406,372,528,392,490,494,372,234,180,65,3119,312,1896,5776,5814,4634,2837,1264,797,291,23627,35250,34498,68361,63287,54518,44770,37252,39473,18737,396152,49600,156085,451171,421648,346168,232647,122651,86533,31004,1897500,122,4629,15464,15807,13492,9251,4745,1739,513,65772,683,5603,35600,24036,12705,4610,845,117,21,84222,1269,12856,48648,58712,63360,48021,29948,15634,4959,283394,915,7524,22707,23991,19303,13772,8255,4125,1168,101762,350,1915,6295,5971,4869,2766,1338,619,178,24304,749,9383,36079,36421,34701,24878,12797,6645,2247,163891,204,5170,25411,28211,29408,29093,13491,5812,1677,138491,3986,38573,137136,120505,87763,56447,24290,9966,3861,482531,2120,18210,59717,55313,43102,30837,12705,4780,1312,228100,1035,11706,31146,21026,12816,7116,3152,1520,534,90044,2317,11604,25868,20494,13050,8210,4076,1722,561,87910,399,524,439,437,515,437,243,157,72,3227,222,1812,6125,6643,5297,3511,1625,819,347,26396,26803,27093,57375,49770,46326,39665,33915,31459,19973,332383,41175,156600,508018,467345,386703,278604,151429,85124,37432,2112432
19799,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,9,3,8,17,7,0,3,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,3,4,0,23,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,3,0,0,12,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,5,0,19,0,0,3,7,7,12,15,14,0,63
19499,12,40,98,41,38,22,3,0,0,254,0,4,4,3,0,0,3,0,0,12,5,8,22,14,9,9,3,0,0,76,63,157,349,268,211,184,128,77,20,1454,126,582,1586,1069,795,652,307,119,33,5250,0,22,59,33,17,12,11,4,0,150,0,21,67,28,15,12,4,0,0,143,0,62,197,121,143,144,106,13,3,799,8,21,83,76,57,45,42,3,0,336,7,18,30,29,16,14,11,0,0,121,3,33,123,70,79,83,27,5,4,426,3,14,79,36,50,63,19,10,3,273,14,111,279,179,118,110,42,4,3,863,11,72,192,104,86,73,28,3,0,569,0,50,113,52,37,17,11,0,0,287,18,47,101,45,38,20,16,0,0,286,0,0,0,3,0,3,0,0,0,13,0,8,25,23,9,9,4,0,0,83,143,222,592,623,602,406,243,93,56,2983,213,692,1941,1417,1270,1020,562,139,74,7324
