region_id,C11_75_79_Sep_M,C11_75_79_Sep_F,C11_75_79_Div_M,C11_75_79_Div_F,C11_75_79_Wid_M,C11_75_79_Wid_F,C11_75_79_Nvr_marrd_M,C11_75_79_Nvr_marrd_F,C11_75_79_T_M,C11_75_79_T_F,C11_75_79_T_P,C11_80_84_Married_M,C11_80_84_Married_F,C11_80_84_Sep_M,C11_80_84_Sep_F,C11_80_84_Div_M,C11_80_84_Div_F,C11_80_84_Wid_M,C11_80_84_Wid_F,C11_80_84_Nvr_marrd_M,C11_80_84_Nvr_marrd_F,C11_80_84_T_M,C11_80_84_T_F,C11_80_84_T_P,C11_85o_Married_M,C11_85o_Married_F,C11_85o_Seprtd_M,C11_85o_Seprtd_F,C11_85o_Divorce_M,C11_85o_Divorce_F,C11_85o_Wid_M,C11_85o_Wid_F,C11_85o_Nvr_mard_M,C11_85o_Nvr_mard_F,C11_85o_T_M,C11_85o_T_F,C11_85o_T_P,C11_OS_visitrs_Marr_M,C11_OS_visitrs_Marr_F,C11_OS_visitr_Separ_M,C11_OS_visitr_Separ_F,C11_OS_visit_Divorc_M,C11_OS_visit_Divorc_F,C11_OS_visito_Widow_M,C11_OS_visito_Widow_F,C11_OS_vis_Nvr_marr_M,C11_OS_vis_Nvr_marr_F,C11_OS_vis_T_M,C11_OS_vis_T_F,C11_OS_vis_T_P,C11_T_Married_M,C11_T_Married_F,C11_Tot_Sep_M,C11_Tot_Sep_F,C11_Tot_Div_M,C11_Tot_Div_F,C11_Tot_Wid_M,C11_Tot_Wid_F,C11_Tot_nver_marrie_M,C11_Tot_nver_marrie_F,C11_Tot_T_M,C11_Tot_T_F,C11_Tot_T_P
105051100,12,18,40,59,40,233,56,30,487,567,1054,243,126,12,4,32,41,65,284,18,38,370,493,863,105,51,5,5,13,15,67,356,21,26,211,453,664,110,110,3,4,8,20,4,28,73,95,198,257,455,7960,7886,465,617,1129,1560,340,1553,6327,5260,16221,16876,33097
105054800,17,22,43,81,50,208,63,53,418,530,948,162,88,11,4,26,56,56,227,47,32,302,407,709,85,49,4,7,16,32,63,328,26,33,194,449,643,59,73,3,4,16,26,0,13,145,153,223,269,492,8661,8892,507,594,1756,2622,313,1314,8838,9746,20075,23168,43243
105055200,22,11,59,77,86,310,123,61,780,844,1624,317,161,15,17,28,34,86,316,77,50,523,578,1101,172,76,4,0,15,30,96,394,43,69,330,569,899,75,111,4,4,18,14,3,24,201,211,301,364,665,11433,11450,851,998,2316,2943,492,1946,16863,15875,31955,33212,65167
105057201,3,0,16,17,13,45,26,8,162,145,307,55,29,5,0,11,8,16,61,13,12,100,110,210,38,19,0,0,3,4,27,48,10,7,78,78,156,2227,1647,34,34,179,210,46,94,1914,1914,4400,3899,8299,8916,6828,425,312,1170,1193,175,463,10509,9412,21195,18208,39403
105057204,11,4,63,68,42,138,148,61,428,375,803,118,66,9,3,34,49,56,172,87,44,304,334,638,87,39,5,9,12,27,67,371,53,62,224,508,732,380,366,21,18,46,59,9,22,918,784,1374,1249,2623,5738,5146,605,511,2114,2114,325,1116,19100,12935,27882,21822,49704
105057205,22,19,77,86,54,202,101,25,480,508,988,151,67,8,3,24,46,42,181,57,24,282,321,603,68,19,8,3,18,22,46,210,12,10,152,264,416,152,181,11,0,9,22,3,19,385,418,560,640,1200,6972,6952,665,636,1970,2282,310,1207,17634,13634,27551,24711,52262
105057206,11,3,40,42,21,80,43,27,238,239,477,89,36,14,7,12,44,31,106,24,29,170,222,392,34,8,0,4,7,11,19,122,14,18,74,163,237,313,316,8,11,19,36,8,22,702,716,1050,1101,2151,5969,5947,443,469,1309,1758,185,682,13180,12277,21086,21133,42219
105106550,46,35,124,183,113,633,137,127,1385,1684,3069,736,469,27,29,76,134,195,873,109,154,1143,1659,2802,489,222,14,10,46,84,303,1327,93,167,945,1810,2755,252,304,9,11,14,40,3,29,878,900,1156,1284,2440,22175,22124,1206,1396,3098,4698,976,4364,26956,24909,54411,57491,111902
105108050,18,25,67,84,50,289,80,69,583,728,1311,307,217,11,12,29,60,78,355,58,55,483,699,1182,237,106,11,3,29,60,128,688,48,52,453,909,1362,107,139,7,10,22,34,11,31,499,548,646,762,1408,9992,10133,536,652,1810,2412,419,1948,13675,12855,26432,28000,54432
105108500,3,5,55,70,30,289,67,70,585,720,1305,337,211,7,3,39,60,64,381,49,66,496,721,1217,296,140,10,9,22,65,161,710,34,82,523,1006,1529,106,118,3,3,11,26,3,16,159,228,282,391,673,9420,9618,348,495,1424,2336,395,2014,8893,9341,20480,23804,44284
