region_id,C01_0_74_1PF_CU15_DSs,C01_0_74_1PF_CU15_NDS,C01_0_74_1PFnoCU15_DS,C01_0_74_1PF_NDCO,C01_0_74_T,C01_75_99_1PF_CU15_DS,C01_75_99_1PF_CU15_NDS,C01_75_99_1PFnoCU15_DS,C01_75_99_1PF_NDCO,C01_75_99_T,C01_100_149_1PF_CU15_DS,C01_100_149_1PF_CU15_NDS,C01_100_149_1PFnoCU15_DS,C01_100_149_1PF_NDCO,C01_100_149_T,C01_150_199_1PF_CU15_DS,C01_150_199_1PF_CU15_NDS,C01_150_199_1PFnoCU15_DS,C01_150_199_1PF_NDCO,C01_150_199_T,C01_200_224_1PF_CU15_DS,C01_200_224_1PF_CU15_NDS,C01_200_224_1PFnoCU15_DS,C01_200_224_1PF_NDCO,C01_200_224_T,C01_225_274_1PF_CU15_DS,C01_225_274_1PF_CU15_NDS,C01_225_274_1PFnoCU15_DS,C01_225_274_1PF_NDCO,C01_225_274_T,C01_275_349_1PF_CU15_DS,C01_275_349_1PF_CU15_NDS,C01_275_349_1PFnoCU15_DS,C01_275_349_1PF_NDCO,C01_275_349_T,C01_350_449_1PF_CU15_DS,C01_350_449_1PF_CU15_NDS,C01_350_449_1PFnoCU15_DS,C01_350_449_1PF_NDCO,C01_350_449_T,C01_450_549_1PF_CU15_DS,C01_450_549_1PF_CU15_NDS,C01_450_549_1PFnoCU15_DS,C01_450_549_1PF_NDCO,C01_450_549_T,C01_550_649_1PF_CU15_DS,C01_550_649_1PF_CU15_NDS,C01_550_649_1PFnoCU15_DS,C01_550_649_1PF_NDCO,C01_550_649_T,C01_650ov_1PF_CU15_DS,C01_650ov_1PF_CU15_NDS,C01_650ov_1PFnoCU15_DS,C01_650ov_1PF_NDCO,C01_650over_T,C01_Rns_1PF_CU15_DS,C01_Rns_1PF_CU15_NDS,C01_Rns_1PFnoCU15_DS,C01_Rns_1PF_NDCO,C01_Rns_T,C01_Tot_1PF_CU15_DS,C01_Tot_1PF_CU15_NDS,C01_Tot_1PFnoCU15_DS,C01_Tot_1_pa_f_NDCO,C01_Tot_T,C06_0_74_1PF_CU15_DSs,C06_0_74_1PF_CU15_NDS,C06_0_74_1PFnoCU15_DS,C06_0_74_1PF_NDCO,C06_0_74_T,C06_75_99_1PF_CU15_DS,C06_75_99_1PF_CU15_NDS,C06_75_99_1PFnoCU15_DS,C06_75_99_1PF_NDCO,C06_75_99_T,C06_100_149_1PF_CU15_DS,C06_100_149_1PF_CU15_NDS,C06_100_149_1PFnoCU15_DS,C06_100_149_1PF_NDCO,C06_100_149_T,C06_150_199_1PF_CU15_DS,C06_150_199_1PF_CU15_NDS,C06_150_199_1PFnoCU15_DS,C06_150_199_1PF_NDCO,C06_150_199_T,C06_200_224_1PF_CU15_DS,C06_200_224_1PF_CU15_NDS,C06_200_224_1PFnoCU15_DS,C06_200_224_1PF_NDCO,C06_200_224_T,C06_225_274_1PF_CU15_DS,C06_225_274_1PF_CU15_NDS,C06_225_274_1PFnoCU15_DS,C06_225_274_1PF_NDCO,C06_225_274_T,C06_275_349_1PF_CU15_DS,C06_275_349_1PF_CU15_NDS,C06_275_349_1PFnoCU15_DS,C06_275_349_1PF_NDCO,C06_275_349_T,C06_350_449_1PF_CU15_DS,C06_350_449_1PF_CU15_NDS,C06_350_449_1PFnoCU15_DS,C06_350_449_1PF_NDCO,C06_350_449_T,C06_450_549_1PF_CU15_DS,C06_450_549_1PF_CU15_NDS,C06_450_549_1PFnoCU15_DS,C06_450_549_1PF_NDCO,C06_450_549_T,C06_550_649_1PF_CU15_DS,C06_550_649_1PF_CU15_NDS,C06_550_649_1PFnoCU15_DS,C06_550_649_1PF_NDCO,C06_550_649_T,C06_650ov_1PF_CU15_DS,C06_650ov_1PF_CU15_NDS,C06_650ov_1PFnoCU15_DS,C06_650ov_1PF_NDCO,C06_650ove_T,C06_Rns_1PF_CU15_DS,C06_Rns_1PF_CU15_NDS,C06_Rns_1PFnoCU15_DS,C06_Rns_1PF_NDCO,C06_Rns_T,C06_Tot_1PF_CU15_DS,C06_Tot_1PF_CU15_NDS,C06_Tot_1PFnoCU15_DS,C06_Tot_1_pa_f_NDCO,C06_Tot_T,C11_0_74_1PF_CU15_DSs,C11_0_74_1PF_CU15_NDS,C11_0_74_1PFnoCU15_DS,C11_0_74_1PF_NDCO,C11_0_74_T,C11_75_99_1PF_CU15_DS,C11_75_99_1PF_CU15_NDS,C11_75_99_1PFnoCU15_DS,C11_75_99_1PF_NDCO,C11_75_99_T,C11_100_149_1PF_CU15_DS,C11_100_149_1PF_CU15_NDS,C11_100_149_1PFnoCU15_DS,C11_100_149_1PF_NDCO,C11_100_149_T,C11_150_199_1PF_CU15_DS,C11_150_199_1PF_CU15_NDS,C11_150_199_1PFnoCU15_DS,C11_150_199_1PF_NDCO,C11_150_199_T,C11_200_224_1PF_CU15_DS,C11_200_224_1PF_CU15_NDS,C11_200_224_1PFnoCU15_DS,C11_200_224_1PF_NDCO,C11_200_224_T,C11_225_274_1PF_CU15_DS,C11_225_274_1PF_CU15_NDS,C11_225_274_1PFnoCU15_DS,C11_225_274_1PF_NDCO,C11_225_274_T,C11_275_349_1PF_CU15_DS,C11_275_349_1PF_CU15_NDS,C11_275_349_1PFnoCU15_DS,C11_275_349_1PF_NDCO,C11_275_349_T,C11_350_449_1PF_CU15_DS,C11_350_449_1PF_CU15_NDS,C11_350_449_1PFnoCU15_DS,C11_350_449_1PF_NDCO,C11_350_449_T,C11_450_549_1PF_CU15_DS,C11_450_549_1PF_CU15_NDS,C11_450_549_1PFnoCU15_DS,C11_450_549_1PF_NDCO,C11_450_549_T,C11_550_649_1PF_CU15_DS,C11_550_649_1PF_CU15_NDS,C11_550_649_1PFnoCU15_DS,C11_550_649_1PF_NDCO,C11_550_649_T,C11_650ov_1PF_CU15_DS,C11_650ov_1PF_CU15_NDS,C11_650ov_1PFnoCU15_DS,C11_650ov_1PF_NDCO,C11_650ov_T,C11_Rns_1PF_CU15_DS,C11_Rns_1PF_CU15_NDS,C11_Rns_1PFnoCU15_DS,C11_Rns_1PF_NDCO,C11_Rns_T,C11_Tot_1PF_CU15_DS,C11_Tot_1PF_CU15_NDS,C11_Tot_1PFnoCU15_DS,C11_Tot_1_PF_NDCO,C11_Tot_T
105051100,17,78,35,37,167,6,30,5,40,81,9,27,10,17,63,9,57,22,31,119,15,104,17,42,178,13,64,9,38,124,5,35,5,31,76,9,31,9,20,69,3,3,0,0,6,0,3,0,0,3,0,3,0,0,3,4,14,3,11,32,90,449,115,267,921,3,18,7,24,52,7,24,12,4,47,6,49,13,30,98,3,28,8,34,73,13,66,10,42,131,13,90,21,54,178,11,55,12,35,113,12,62,7,27,108,5,11,7,5,28,0,3,0,3,6,3,3,0,0,6,0,15,5,11,31,76,424,102,269,871,0,10,6,20,25,3,22,3,18,48,0,27,15,34,63,5,24,9,36,63,6,10,0,10,31,5,14,12,32,51,10,72,25,76,157,9,108,31,81,198,10,40,19,44,91,0,30,10,23,49,0,29,10,16,50,5,18,3,8,29,66,413,138,384,858
105054800,9,97,18,30,154,0,21,4,15,40,3,22,5,16,46,5,21,5,16,47,3,19,5,14,41,3,31,5,20,59,5,55,10,24,94,7,59,13,19,98,5,20,9,6,40,0,5,0,3,8,4,6,0,3,13,3,6,8,7,24,47,362,82,173,664,0,24,8,17,49,0,48,11,10,69,8,23,10,17,58,3,15,4,16,38,0,20,6,4,30,3,22,6,16,47,3,40,11,29,83,7,73,17,38,135,3,32,11,20,66,0,16,4,4,24,0,12,8,3,23,3,10,3,7,23,30,335,99,181,645,3,13,3,15,30,0,16,7,20,42,3,24,10,28,52,4,25,4,17,39,0,14,3,3,23,3,11,5,14,23,3,27,10,27,58,3,45,13,42,90,5,54,13,37,95,3,60,18,38,98,13,58,20,40,117,3,10,4,9,26,35,353,109,299,694
105055200,10,97,10,31,148,5,41,5,16,67,9,60,7,24,100,20,154,38,54,266,9,116,21,35,181,11,105,26,36,178,11,96,23,35,165,6,50,10,23,89,0,8,0,0,8,0,0,0,3,3,3,7,3,3,16,5,31,4,10,50,89,765,147,270,1271,0,27,5,22,54,10,81,9,10,110,9,59,8,24,100,7,80,25,29,141,10,86,15,31,142,10,153,26,52,241,13,124,29,60,226,9,87,24,27,147,3,28,6,4,41,3,5,3,0,11,0,4,3,4,11,10,20,5,7,42,84,754,158,270,1266,0,19,6,16,30,0,16,3,14,31,6,25,15,40,69,10,55,12,39,102,12,33,7,23,65,3,44,13,41,93,13,110,27,91,219,15,153,49,119,283,6,81,22,62,154,3,45,14,34,85,6,43,11,20,73,3,17,9,20,40,77,642,194,521,1241
105057201,3,23,8,10,44,0,4,3,11,18,0,5,0,5,10,0,3,0,4,7,0,3,0,3,6,3,3,0,4,10,0,3,3,3,9,0,9,10,3,22,0,8,5,0,13,0,3,5,3,11,0,6,3,4,13,0,7,0,0,7,6,77,37,50,170,0,7,3,6,16,0,4,0,10,14,0,5,0,6,11,0,3,0,6,9,3,0,0,0,3,0,0,3,0,3,0,4,3,6,13,0,15,10,5,30,0,9,12,3,24,0,8,3,3,14,3,8,9,5,25,0,3,3,4,10,6,66,46,54,172,0,3,3,8,13,0,3,3,5,13,0,6,0,9,17,0,4,3,11,13,0,0,0,8,8,0,3,3,3,6,0,3,5,9,10,0,3,0,8,14,0,3,4,10,20,0,7,6,12,16,0,17,22,36,52,0,3,3,9,9,3,60,52,124,186
105057204,11,69,19,32,131,3,17,6,28,54,0,19,6,20,45,3,19,4,13,39,0,7,3,8,18,0,17,3,11,31,0,16,4,17,37,0,25,6,14,45,3,8,4,6,21,0,4,0,3,7,3,7,4,6,20,0,9,0,3,12,23,217,59,161,460,0,8,13,23,44,3,29,8,10,50,3,14,3,24,44,3,16,3,15,37,0,6,3,7,16,0,18,5,7,30,3,16,6,20,45,3,21,5,13,42,0,8,3,5,16,0,5,3,7,15,0,8,4,7,19,3,3,3,3,12,18,152,59,141,370,3,13,3,16,31,3,13,5,25,47,4,15,3,29,50,5,13,0,18,32,0,3,0,3,9,4,5,4,6,15,0,11,8,18,28,3,28,4,20,46,0,27,3,15,41,4,14,8,21,33,3,24,14,32,60,4,6,0,12,24,20,169,57,215,410
105057205,24,207,48,108,387,10,71,15,61,157,13,54,8,30,105,8,41,12,31,92,4,18,3,5,30,0,22,3,26,51,0,41,9,22,72,0,47,11,21,79,0,13,3,8,24,0,3,3,0,6,0,5,3,0,8,7,29,8,14,58,66,551,126,326,1069,4,36,24,48,112,18,88,13,11,130,12,48,14,68,142,5,25,9,30,69,4,19,0,9,32,3,28,10,22,63,7,53,11,38,109,4,58,17,47,126,3,23,5,19,50,0,10,8,0,18,0,8,6,5,19,4,18,0,14,36,64,414,117,311,906,0,19,12,35,46,3,27,22,64,98,7,77,34,74,162,6,34,16,59,103,6,16,4,17,33,11,12,3,27,46,3,28,3,27,54,3,34,18,36,70,3,44,10,49,93,0,48,18,45,95,0,27,21,48,79,3,22,9,19,41,41,392,158,488,922
105057206,21,124,32,38,215,9,47,6,26,88,5,38,7,21,71,4,23,6,21,54,0,14,5,17,36,0,14,5,14,33,3,23,7,26,59,0,26,10,15,51,0,17,3,5,25,0,4,3,3,10,0,3,0,3,6,7,21,8,16,52,49,354,92,205,700,5,18,22,23,68,8,57,13,7,85,13,50,8,39,110,4,29,11,23,67,4,11,3,15,33,0,13,9,16,38,4,35,3,25,67,0,19,12,21,52,0,14,5,11,30,5,7,5,5,22,3,13,6,6,28,14,17,0,8,39,60,283,97,199,639,0,14,3,25,35,0,19,12,31,52,5,61,24,55,118,8,44,12,53,111,3,17,8,18,35,6,27,7,24,53,3,28,15,34,63,3,27,8,31,59,4,23,9,29,55,0,21,3,13,34,4,28,19,42,70,3,11,7,16,30,43,305,132,366,722
105106550,26,218,61,86,391,19,68,11,89,187,10,66,24,45,145,5,54,15,44,118,8,54,21,50,133,18,156,57,110,341,21,210,74,117,422,12,123,40,53,228,8,30,10,19,67,3,17,13,0,33,3,8,5,11,27,6,40,17,29,92,139,1044,348,653,2184,0,61,32,62,155,17,102,25,21,165,18,97,17,79,211,7,52,18,28,105,4,23,11,24,62,14,103,28,73,218,28,241,82,152,503,26,167,62,86,341,11,55,26,26,118,4,21,5,18,48,4,26,12,5,47,0,36,13,29,78,133,984,331,603,2051,5,40,10,59,94,3,35,21,68,106,11,95,23,65,168,10,86,28,99,200,0,18,11,32,53,8,26,15,37,73,0,68,27,77,155,22,175,71,199,397,19,174,66,171,361,14,103,42,97,211,20,98,44,80,195,9,40,12,54,99,125,959,366,1025,2109
105108050,7,27,10,21,65,0,8,0,6,14,0,13,5,7,25,3,17,3,9,32,0,30,4,11,45,8,88,19,42,157,10,143,31,71,255,5,66,16,37,124,4,41,13,11,69,0,12,5,5,22,3,14,10,4,31,0,10,6,7,23,40,469,122,231,862,0,8,5,19,32,4,7,0,3,14,0,12,4,11,27,4,8,7,5,24,0,10,0,6,16,3,34,13,16,66,5,108,34,50,197,10,76,34,42,162,4,39,18,17,78,0,29,18,8,55,10,19,7,3,39,5,6,0,5,16,45,356,140,185,726,0,11,4,10,25,0,3,0,8,7,0,3,0,3,9,0,16,0,5,18,5,3,0,6,12,4,10,0,9,16,0,29,5,19,52,6,75,21,67,153,10,71,34,73,148,4,38,20,34,75,17,94,35,55,167,3,6,4,20,30,46,363,127,303,719
105108500,0,20,6,5,31,0,0,0,0,0,0,5,4,3,12,3,3,3,3,12,0,7,0,3,10,3,21,8,12,44,0,50,14,34,98,7,53,20,33,113,3,17,10,13,43,0,14,8,9,31,9,26,11,11,57,0,7,3,7,17,25,223,87,133,468,0,7,9,10,26,0,0,0,0,0,0,3,0,0,3,0,6,0,5,11,0,5,0,0,5,4,6,4,4,18,3,45,14,24,86,11,53,17,33,114,3,33,12,10,58,5,20,4,14,43,6,37,18,27,88,0,7,3,3,13,32,222,81,130,465,3,14,9,14,30,0,4,0,0,3,0,0,3,4,4,0,0,0,3,3,0,0,0,4,5,0,4,0,3,9,0,9,0,13,18,6,37,12,34,83,3,45,23,50,101,3,40,16,37,78,18,91,39,81,193,3,7,13,11,25,38,249,113,257,543
