region_id,C06_DS_ns_NPUR_5,C06_DS_ns_NPUR_6more,C06_Dwg_st_NS_T,C06_Tot_NPUR_1,C06_Tot_NPUR_2,C06_Tot_NPUR_3,C06_Tot_NPUR_4,C06_Tot_NPUR_5,C06_Tot_NPUR_6more,C06_T_T,C11_Se_h_NPUR_1,C11_Se_h_NPUR_2,C11_Se_h_NPUR_3,C11_Se_h_NPUR_4,C11_Se_h_NPUR_5,C11_Se_h_NPUR_6more,C11_Se_h_Tot,C11_S_r_t_h_t_1_s_NPUR_1,C11_S_r_t_h_t_1_s_NPUR_2,C11_S_r_t_h_t_1_s_NPUR_3,C11_S_r_t_h_t_1_s_NPUR_4,C11_S_r_t_h_t_1_s_NPUR_5,C11_S_r_t_h_t_1_s_NPUR_6mo,C11_SDRTHTS_To,C11_S_r_t_h_t_2mor_s_NPUR_1,C11_S_r_t_h_t_2mor_s_NPUR_2,C11_S_r_t_h_t_2mor_s_NPUR_3,C11_S_r_t_h_t_2mor_s_NPUR_4,C11_S_r_t_h_t_2mor_s_NPUR_5,C11_SDRTHT2S_NPUR_6mo,C11_SDRTHT2S_To,C11_Sd_r_t_h_t_To_NPUR_1,C11_Sd_r_t_h_t_To_NPUR_2,C11_Sd_r_t_h_t_To_NPUR_3,C11_Sd_r_t_h_t_To_NPUR_4,C11_Sd_r_t_h_t_To_NPUR_5,C11_SDRTHT_NPUR_6mor,C11_Sd_r_t_h_t_To_Tot,C11_Fl_u_a_1_2SB_NPUR_1,C11_Fl_u_a_1_2SB_NPUR_2,C11_Fl_u_a_1_2SB_NPUR_3,C11_Fl_u_a_1_2SB_NPUR_4,C11_Fl_u_a_1_2SB_NPUR_5,C11_F_u_a_1_2SB_NPUR_6mor,C11_FUA_1_2SB_Tot,C11_F_u_a_I_a_3SB_NPUR_1,C11_F_u_a_I_a_3SB_NPUR_2,C11_F_u_a_I_a_3SB_NPUR_3,C11_F_u_a_I_a_3SB_NPUR_4,C11_F_u_a_I_a_3SB_NPUR_5,C11_F_u_a_I_a_3SB_NPUR_6m,C11_FUA_In_a_3_st_b_To,C11_F_u_a_4mor_s_b_NPUR_1,C11_F_u_a_4mor_s_b_NPUR_2,C11_F_u_a_4mor_s_b_NPUR_3,C11_F_u_a_4mor_s_b_NPUR_4,C11_F_u_a_4mor_s_b_NPUR_5,C11_F_u_a_4m_s_b_NPUR_6mor,C11_FUA_4mor_st_bl_Tot,C11_FUA_AH_NPUR_1,C11_FUA_AH_NPUR_2,C11_FUA_AH_NPUR_3,C11_FUA_AH_NPUR_4,C11_FUA_AH_NPUR_5,C11_FUA_AH_NPUR_6mo,C11_FUA_AH_Tot,C11_FUA_To_NPUR_1,C11_FUA_To_NPUR_2,C11_FUA_To_NPUR_3,C11_FUA_To_NPUR_4,C11_FUA_To_NPUR_5,C11_FUA_To_NPUR_6mo,C11_FUA_To_To,C11_OD_CCH_NPUR_1,C11_OD_CCH_NPUR_2,C11_OD_CCH_NPUR_3,C11_OD_CCH_NPUR_4,C11_OD_CCH_NPUR_5,C11_OD_CCH_NPUR_6mo,C11_OD_CCH_Tot,C11_OD_IHTSO_NPUR_1,C11_OD_IHTSO_NPUR_2,C11_OD_IHTSO_NPUR_3,C11_OD_IHTSO_NPUR_4,C11_OD_IHTSO_NPUR_5,C11_OD_IHTSO_NPUR_6mo,C11_OD_IHTSO_Tot,C11_OD_H_f_a_s_o_NPUR_1,C11_OD_H_f_a_s_o_NPUR_2,C11_OD_H_f_a_s_o_NPUR_3,C11_OD_H_f_a_s_o_NPUR_4,C11_OD_H_f_a_s_o_NPUR_5,C11_OD_H_f_a_s_o_NPUR_6mor,C11_OD_H_f_a_s_o_TO,C11_OD_Tot_NPUR_1,C11_OD_Tot_NPUR_2,C11_OD_Tot_NPUR_3,C11_OD_Tot_NPUR_4,C11_OD_Tot_NPUR_5,C11_OD_Tot_NPUR_6mor,C11_OD_T_T,C11_DS_ns_NPUR_1,C11_DS_ns_NPUR_2,C11_DS_ns_NPUR_3,C11_DS_ns_NPUR_4,C11_DS_ns_NPUR_5,C11_DS_ns_NPUR_6more,C11_Dwg_st_NS_T,C11_Tot_NPUR_1,C11_Tot_NPUR_2,C11_Tot_NPUR_3,C11_Tot_NPUR_4,C11_Tot_NPUR_5,C11_Tot_NPUR_6more,C11_T_T
145103314,0,0,3,384,863,309,326,151,69,2102,454,973,319,275,141,81,2243,22,10,0,0,0,0,32,0,0,0,0,0,0,0,22,10,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,4,0,0,0,0,4,7,5,0,0,0,0,12,6,3,3,3,3,0,18,0,0,0,0,0,0,0,13,8,3,3,3,0,30,8,3,7,3,3,0,24,497,998,329,281,147,81,2333
145103700,0,0,0,412,513,176,169,101,39,1410,392,557,143,151,76,48,1367,15,3,3,0,3,0,24,0,0,0,0,0,0,0,15,3,3,0,3,0,24,10,6,3,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,14,6,3,0,0,0,23,4,4,0,0,0,0,8,0,0,0,0,0,0,0,3,3,3,3,0,3,15,7,7,3,3,0,3,23,0,0,0,0,0,0,0,428,573,152,154,79,51,1437
145106184,0,0,0,362,529,153,148,77,24,1293,366,531,163,151,69,31,1311,10,6,3,3,0,0,22,3,3,3,0,0,0,9,13,9,6,3,0,0,31,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,5,0,3,0,0,0,8,10,3,3,4,0,0,20,0,0,0,0,4,4,8,0,4,0,0,0,0,4,10,7,3,4,4,4,32,0,0,0,0,0,0,0,394,547,175,158,73,35,1382
145107640,0,0,10,675,1016,359,317,181,84,2632,724,1057,348,332,180,64,2705,24,11,3,0,0,0,38,0,3,0,0,0,0,3,24,14,3,0,0,0,41,9,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,6,12,6,0,0,0,0,18,8,5,0,0,0,0,13,0,0,0,0,0,0,0,6,6,3,0,3,0,18,14,11,3,0,3,0,31,0,3,0,0,0,0,3,774,1091,354,332,183,64,2798
145108710,0,0,0,951,1693,711,751,391,159,4656,849,1837,738,866,431,183,4904,96,43,8,6,3,0,156,0,5,3,0,0,0,8,96,48,11,6,3,0,164,31,13,4,4,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,31,17,4,4,0,0,56,15,15,0,3,0,0,33,0,5,0,3,5,0,13,0,3,0,3,0,3,9,15,23,0,9,5,3,55,0,0,0,0,0,0,0,991,1925,753,885,439,186,5179
145108750,0,0,0,1204,1531,635,582,327,176,4455,993,1496,588,589,306,171,4143,121,40,8,5,3,0,177,0,0,3,0,0,0,3,121,40,11,5,3,0,180,158,40,5,7,0,0,210,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,163,40,5,7,0,0,215,13,5,0,0,0,0,18,0,0,0,0,0,0,0,8,0,0,0,0,0,8,21,5,0,0,0,0,26,0,4,0,3,0,0,7,1298,1585,604,604,309,171,4571
145150550,0,0,21,3059,4846,1613,1490,633,316,11957,2327,4546,1488,1278,607,256,10502,268,157,28,15,3,3,474,148,188,28,23,6,0,393,416,345,56,38,9,3,867,566,313,70,47,8,4,1008,9,3,0,0,0,0,12,0,0,0,0,0,0,0,13,6,4,3,0,0,26,588,322,74,50,8,4,1046,103,59,5,4,3,3,177,10,5,5,3,4,0,27,13,23,6,0,0,0,42,126,87,16,7,7,3,246,8,6,0,0,0,0,14,3465,5306,1634,1373,631,266,12675
145152750,0,0,0,3687,5978,1715,1478,659,321,13838,2911,5380,1613,1245,605,338,12092,364,244,53,23,6,0,690,174,123,26,12,5,0,340,538,367,79,35,11,0,1030,472,252,45,18,7,4,798,30,18,3,3,0,0,54,0,0,0,0,0,0,0,30,7,3,3,0,0,43,532,277,51,24,7,4,895,147,88,14,4,0,0,253,4,0,0,3,0,0,7,19,21,5,4,0,0,49,170,109,19,11,0,0,309,8,0,3,0,0,0,11,4159,6133,1765,1315,623,342,14337
145201000,0,0,0,290,395,118,125,50,18,996,307,380,101,110,48,23,969,11,3,0,0,0,0,14,0,0,0,0,0,0,0,11,3,0,0,0,0,14,10,4,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,0,0,14,3,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,3,0,0,0,3,6,0,3,0,0,0,9,0,0,0,0,0,0,0,334,387,104,110,48,23,1006
145202050,3,0,6,1085,1363,478,474,217,93,3710,925,1361,454,440,217,92,3489,121,33,7,7,0,0,168,5,0,3,3,0,0,11,126,33,10,10,0,0,179,84,17,3,0,3,0,107,4,0,0,0,0,0,4,3,3,0,0,0,0,6,5,0,0,0,0,0,5,96,20,3,0,3,0,122,6,3,0,0,0,0,9,4,4,3,0,0,0,11,7,4,0,3,0,0,14,17,11,3,3,0,0,34,3,0,0,3,0,0,6,1167,1425,470,456,220,92,3830
145207050,0,0,12,571,769,331,315,107,45,2138,398,644,270,325,106,37,1780,39,55,22,28,7,3,154,31,39,7,10,6,0,93,70,94,29,38,13,3,247,69,60,28,17,4,0,178,7,11,10,4,0,0,32,5,3,0,4,0,0,12,0,0,0,0,0,0,0,81,74,38,25,4,0,222,26,11,0,3,0,0,40,3,0,0,0,0,0,3,5,3,0,0,0,0,8,34,14,0,3,0,0,51,41,7,12,3,0,0,63,624,833,349,394,123,40,2363
150057751,0,0,0,4885,6454,3005,2759,1395,577,19075,3371,5973,2821,2676,1350,597,16788,402,257,65,24,4,0,752,75,59,15,10,4,0,163,477,316,80,34,8,0,915,1236,640,139,57,16,3,2091,49,25,3,3,0,0,80,25,9,0,0,0,0,34,11,8,0,0,0,0,19,1321,682,142,60,16,3,2224,32,11,3,0,0,0,46,3,4,0,0,0,0,7,26,25,10,5,0,0,66,61,40,13,5,0,0,119,12,4,4,0,0,0,20,5242,7015,3060,2775,1374,600,20066
150102000,0,0,6,364,534,177,192,129,73,1469,326,538,168,184,128,64,1408,5,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,5,39,20,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,20,0,0,0,0,59,0,5,0,0,0,0,5,0,0,0,0,0,0,0,6,4,0,0,0,0,10,6,9,0,0,0,0,15,0,0,0,0,0,0,0,376,567,168,184,128,64,1487
150102200,0,0,0,808,1110,370,350,172,77,2887,761,1133,339,304,161,65,2763,29,9,0,0,0,0,38,0,3,0,0,0,0,3,29,12,0,0,0,0,41,90,30,0,0,0,0,120,12,0,0,0,0,0,12,0,0,0,0,0,0,0,0,6,0,0,0,0,6,102,36,0,0,0,0,138,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,4,5,0,4,0,0,0,9,0,3,0,0,0,0,3,897,1184,343,304,161,65,2954
150103500,0,0,0,344,474,189,174,122,57,1360,313,493,181,143,103,54,1287,4,6,5,0,0,0,15,3,0,0,0,3,0,6,7,6,5,0,3,0,21,33,18,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,36,18,0,0,0,0,54,8,3,0,0,0,0,11,0,0,0,0,0,0,0,14,8,3,3,3,0,31,22,11,3,3,3,0,42,0,0,0,0,0,0,0,378,528,189,146,109,54,1404
150104300,0,0,0,449,656,243,257,144,72,1821,447,647,255,242,135,80,1806,45,4,3,0,3,0,55,0,0,0,0,0,0,0,45,4,3,0,3,0,55,8,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,6,3,3,0,0,0,0,6,3,8,0,0,0,0,11,506,665,258,242,138,80,1889
150104950,0,0,0,294,428,154,154,96,58,1184,285,419,148,116,85,45,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,11,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,3,0,0,0,7,3,4,3,0,0,0,10,5,0,3,0,0,0,8,300,427,154,116,85,45,1127
150105800,0,0,3,685,788,312,312,133,73,2303,609,727,279,262,142,80,2099,20,6,0,0,0,0,26,0,0,3,3,0,0,6,20,6,3,3,0,0,32,67,20,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,70,20,0,0,0,0,90,15,0,0,0,0,0,15,0,0,0,0,0,0,0,0,7,0,0,0,0,7,15,7,0,0,0,0,22,0,0,0,4,0,0,4,714,760,282,269,142,80,2247
