region_id,C11_P_NatPhy_sci_15_19,C11_P_NatPhy_sci_20_24,C11_P_NatPhy_sci_25_34,C11_P_NatPhy_sci_35_44,C11_P_NatPhy_sci_45_54,C11_P_NatPhy_sci_55_64,C11_P_NatPhy_sci_65_74,C11_P_NatPhy_sci_75_84,C11_P_NatPhy_sci_85_ov,C11_P_NatPhy_sci_Tot,C11_P_InfTec_15_19,C11_P_InfTec_20_24,C11_P_InfTec_25_34,C11_P_InfTec_35_44,C11_P_InfTec_45_54,C11_P_InfTec_55_64,C11_P_InfTec_65_74,C11_P_InfTec_75_84,C11_P_InfTec_85_ov,C11_P_InfTec_Tot,C11_P_EngRT_15_19,C11_P_EngRT_20_24,C11_P_EngRT_25_34,C11_P_EngRT_35_44,C11_P_EngRT_45_54,C11_P_EngRT_55_64,C11_P_EngRT_65_74,C11_P_EngRT_75_84,C11_P_EngRT_85_ov,C11_P_EngRT_Tot,C11_P_ArchBuild_15_19,C11_P_ArchBuild_20_24,C11_P_ArchBuild_25_34,C11_P_ArchBuild_35_44,C11_P_ArchBuild_45_54,C11_P_ArchBuild_55_64,C11_P_ArchBuild_65_74,C11_P_ArchBuild_75_84,C11_P_ArchBuild_85o,C11_P_Arch_building_Tot,C11_P_AgEnv_RS_15_19,C11_P_AgEnv_RS_20_24,C11_P_AgEnv_RS_25_34,C11_P_AgEnv_RS_35_44,C11_P_AgEnv_RS_45_54,C11_P_AgEnv_RS_55_64,C11_P_AgEnv_RS_65_74,C11_P_AgEnv_RS_75_84,C11_P_AgEnv_RS_85o,C11_P_AgEnv_RS_Tot,C11_P_Health_15_19,C11_P_Health_20_24,C11_P_Health_25_34,C11_P_Health_35_44,C11_P_Health_45_54,C11_P_Health_55_64,C11_P_Health_65_74,C11_P_Health_75_84,C11_P_Health_85o,C11_P_Healt_To,C11_P_Educ_15_19,C11_P_Educ_20_24,C11_P_Educ_25_34,C11_P_Educ_35_44,C11_P_Educ_45_54,C11_P_Educ_55_64,C11_P_Educ_65_74,C11_P_Educ_75_84,C11_P_Educ_85o,C11_P_Educ_Tot,C11_P_MngtCom_15_19,C11_P_MngtCom_20_24,C11_P_MngtCom_25_34,C11_P_MngtCom_35_44,C11_P_MngtCom_45_54,C11_P_MngtCom_55_64,C11_P_MngtCom_65_74,C11_P_MngtCom_75_84,C11_P_MngtCom_85o,C11_P_MngtCom_Tot,C11_P_Soc_cult_15_19,C11_P_Soc_cult_20_24,C11_P_Soc_cult_25_34,C11_P_Soc_cult_35_44,C11_P_Soc_cult_45_54,C11_P_Soc_cult_55_64,C11_P_Soc_cult_65_74,C11_P_Soc_cult_75_84,C11_P_Soc_cult_85o,C11_P_Society_cultur_Tot,C11_P_Creative_art_15_19,C11_P_Creative_art_20_24,C11_P_Creative_art_25_34,C11_P_Creative_art_35_44,C11_P_Creative_art_45_54,C11_P_Creative_art_55_64,C11_P_Creative_art_65_74,C11_P_Creative_art_75_84,C11_P_Creative_art_85o,C11_P_Creative_arts_Tot,C11_P_FoodHos_PS_15_19,C11_P_FoodHos_PS_20_24,C11_P_FoodHos_PS_25_34,C11_P_FoodHos_PS_35_44,C11_P_FoodHos_PS_45_54,C11_P_FoodHos_PS_55_64,C11_P_FoodHos_PS_65_74,C11_P_FoodHos_PS_75_84,C11_P_FoodHos_PS_85o,C11_P_Foo_hos_pers_S_Tot,C11_P_MixFld_pr_15_19,C11_P_MixFld_pr_20_24,C11_P_MixFld_pr_25_34,C11_P_MixFld_pr_35_44,C11_P_MixFld_pr_45_54,C11_P_MixFld_pr_55_64,C11_P_MixFld_pr_65_74,C11_P_MixFld_pr_75_84,C11_P_MixFld_pr_85_ov,C11_P_MixFld_pr_Tot,C11_P_FldStu_ID_15_19,C11_P_FldStu_ID_20_24,C11_P_FldStu_ID_25_34,C11_P_FldStu_ID_35_44,C11_P_FldStu_ID_45_54,C11_P_FldStu_ID_55_64,C11_P_FldStu_ID_65_74,C11_P_FldStu_ID_75_84,C11_P_FldStu_ID_85o,C11_P_FldStu_ID_Tot,C11_P_FldStu_NS_15_19,C11_P_FldStu_NS_20_24,C11_P_FldStu_NS_25_34,C11_P_FldStu_NS_35_44,C11_P_FldStu_NS_45_54,C11_P_FldStu_NS_55_64,C11_P_FldStu_NS_65_74,C11_P_FldStu_NS_75_84,C11_P_FldStu_NS_85o,C11_P_FldStu_NS_T,C11_P_Tot_15_19,C11_P_Tot_20_24,C11_P_Tot_25_34,C11_P_Tot_35_44,C11_P_Tot_45_54,C11_P_Tot_55_64,C11_P_Tot_65_74,C11_P_Tot_75_84,C11_P_Tot_85o,C11_P_T_T
105351300,3,55,148,108,133,91,48,16,0,602,4,91,611,207,127,36,7,0,0,1083,3,82,403,335,377,250,171,113,37,1771,4,48,123,147,115,77,42,31,5,592,0,14,23,15,21,13,5,6,3,100,4,105,303,252,258,188,95,52,26,1283,0,46,152,156,211,211,93,70,20,959,33,608,1601,876,647,345,110,60,33,4313,13,156,498,370,330,239,84,31,14,1735,7,95,235,132,106,51,10,17,6,659,15,171,346,124,82,50,26,9,3,826,7,20,0,3,3,3,3,3,3,45,3,18,65,34,42,21,12,7,7,209,180,312,519,288,343,273,261,318,288,2782,276,1821,5027,3047,2795,1848,967,733,445,16959
105351521,3,53,173,162,140,116,41,12,6,706,8,41,557,320,144,37,5,3,0,1115,0,116,490,485,561,381,211,125,50,2419,0,58,177,234,187,113,83,40,8,900,0,13,30,32,22,20,9,6,0,132,4,97,491,426,329,211,141,56,16,1771,3,59,211,263,288,303,139,61,23,1350,19,581,2118,1255,970,555,218,68,32,5816,10,154,562,518,388,279,78,24,16,2029,21,127,320,219,103,54,18,7,3,872,20,118,280,204,115,63,32,11,6,849,0,16,6,3,4,8,0,0,0,37,3,27,54,53,36,30,10,9,3,225,221,372,788,527,414,284,264,219,106,3195,312,1832,6257,4701,3701,2454,1249,641,269,21416
105351524,0,38,155,172,139,82,45,14,5,650,0,19,251,213,123,31,10,0,0,647,3,58,344,459,424,345,223,153,58,2067,4,48,193,231,175,123,81,36,4,895,4,10,55,30,27,23,6,5,0,160,6,53,355,366,314,265,117,83,25,1584,0,32,245,295,297,340,132,46,12,1399,13,242,1471,1713,1015,602,234,97,53,5440,7,118,620,647,398,353,120,45,9,2317,7,111,359,289,137,74,27,19,3,1026,11,81,200,199,130,88,37,23,6,775,0,3,6,3,0,0,3,3,0,18,0,11,62,63,56,27,20,4,4,247,129,119,369,397,327,292,311,359,201,2504,184,943,4685,5077,3562,2645,1366,887,380,19729
105357100,0,44,191,127,157,79,38,21,4,661,4,88,707,287,133,42,0,0,0,1261,7,98,454,365,445,323,182,97,32,2003,3,42,140,117,100,70,47,24,9,552,0,8,34,19,21,7,0,3,4,96,7,139,416,345,417,313,162,95,20,1914,0,48,188,149,205,194,113,66,26,989,22,510,1742,912,738,399,146,46,28,4543,15,132,493,341,341,205,105,38,8,1678,9,72,206,127,94,39,17,10,6,580,17,127,324,143,81,49,22,14,3,780,0,11,3,0,9,3,0,4,0,30,0,16,57,53,48,26,9,6,0,215,264,323,768,392,421,336,264,239,123,3130,348,1658,5723,3377,3210,2085,1105,663,263,18432
105400200,10,95,296,237,185,110,49,11,0,993,16,144,1060,550,211,44,6,0,0,2031,15,194,817,720,774,539,271,142,37,3509,8,89,294,207,153,120,55,34,8,968,3,15,60,36,51,15,8,7,0,195,9,230,739,454,296,230,72,33,8,2071,4,84,414,296,279,262,124,49,17,1529,59,914,3168,1551,859,467,162,56,20,7256,34,277,864,627,442,286,88,23,11,2652,13,127,341,179,102,75,20,13,0,870,20,301,579,256,157,80,29,7,5,1434,13,23,25,14,26,12,10,0,0,123,0,41,128,101,67,35,10,9,0,391,621,996,2059,1414,1207,739,450,311,139,7936,825,3530,10844,6642,4809,3014,1354,695,245,31958
105403950,5,105,408,367,250,109,57,21,0,1322,13,156,1420,717,228,59,8,0,3,2604,35,302,1348,1430,1374,1021,597,266,75,6448,24,159,575,502,340,241,158,62,19,2080,3,25,104,76,80,38,18,6,0,350,18,210,823,699,506,312,138,72,14,2792,4,119,578,517,475,365,182,79,10,2329,107,837,3627,2407,1507,842,274,116,20,9737,59,342,1082,808,605,394,120,45,17,3472,16,178,360,236,108,76,25,18,0,1017,52,357,722,398,250,148,66,27,9,2029,7,5,14,12,21,15,6,0,0,80,0,36,181,146,96,55,18,16,6,554,658,646,1386,1124,1034,873,785,777,483,7766,1001,3477,12628,9439,6874,4548,2452,1505,656,42580
105406251,0,78,510,257,150,90,20,12,4,1121,3,175,1708,494,118,32,5,0,0,2535,10,166,1284,793,509,322,153,75,31,3343,8,52,212,151,96,78,39,20,3,659,0,11,71,44,41,21,4,4,0,196,3,185,942,448,277,200,83,29,19,2186,0,51,379,236,201,146,61,43,9,1126,23,863,3763,1490,663,377,97,41,24,7341,8,210,961,559,364,220,72,27,9,2430,3,90,317,154,58,51,20,12,8,713,8,260,549,195,83,54,17,6,3,1175,6,12,12,7,9,0,6,0,0,52,0,29,215,92,57,39,8,5,4,449,305,677,1646,963,752,490,317,290,192,5632,377,2859,12569,5883,3378,2120,902,564,306,28958
105406252,3,45,172,209,233,130,68,35,3,898,6,47,437,375,230,75,9,0,0,1179,7,102,494,682,850,564,346,201,67,3313,9,73,188,214,223,122,74,46,10,959,6,16,58,61,49,30,15,13,0,248,3,108,379,365,355,282,143,65,30,1730,5,50,215,286,340,289,151,91,30,1457,39,438,1505,1353,1090,627,284,152,44,5532,15,140,549,512,498,316,140,57,13,2240,8,123,238,217,135,87,24,6,6,844,15,95,211,221,136,71,29,23,10,811,7,4,3,6,7,9,4,0,0,40,0,30,60,67,61,42,12,9,0,281,261,185,373,346,413,357,322,399,257,2913,384,1456,4882,4914,4620,3001,1621,1097,470,22445
105406253,3,41,172,180,122,91,42,16,6,673,4,54,522,273,105,44,7,0,0,1009,10,101,528,600,607,460,392,213,53,2964,5,62,181,223,148,117,87,39,17,879,6,10,47,52,37,25,5,4,3,189,0,86,401,389,312,220,104,48,15,1575,0,52,252,305,234,238,128,61,10,1280,15,255,1155,1071,689,519,297,100,39,4140,27,119,433,388,306,215,90,33,6,1617,8,60,167,122,63,35,36,9,0,500,20,109,234,177,85,59,44,16,3,747,3,7,3,3,0,8,3,0,0,27,0,9,52,52,39,27,14,12,3,208,162,132,295,255,298,227,256,320,248,2193,263,1097,4442,4090,3045,2285,1505,871,403,18001
105406254,0,40,96,81,65,37,12,6,0,337,7,62,307,140,58,20,0,0,0,594,15,109,351,352,344,264,114,57,32,1638,9,71,212,153,110,67,40,22,7,691,3,10,19,27,18,9,5,3,0,94,8,72,245,150,124,78,38,13,6,734,6,50,142,109,107,70,50,9,9,552,39,345,994,502,341,179,54,21,7,2482,19,158,341,227,167,103,32,9,4,1060,6,54,116,43,33,21,3,3,0,279,18,137,250,102,46,41,8,10,3,615,3,3,4,6,0,6,6,0,0,28,0,20,48,33,20,19,8,4,0,152,319,374,721,553,469,381,280,242,106,3445,452,1505,3846,2478,1902,1295,650,399,174,12701
