region_id,C11_100_149_Ot_lan_ty,C11_100_149_Lan_typ_ns,C11_100_149_Tot,C11_150_199_REA,C11_150_199_ST_HA,C11_150_199_Pe_no_sa_ho,C11_150_199_H_c_o_c_c_g,C11_150_199_Ot_lan_ty,C11_150_199_Lan_ty_ns,C11_150_199_Tot,C11_200_224_REA,C11_200_224_ST_HA,C11_200_224_Pe_no_sa_ho,C11_200_224_H_c_o_c_c_g,C11_200_224_Ot_lan_ty,C11_200_224_Lan_ty_ns,C11_200_224_Tot,C11_225_274_REA,C11_225_274_ST_HA,C11_225_274_Pe_no_sa_ho,C11_225_274_H_c_o_c_c_g,C11_225_274_Ot_la_typ,C11_225_274_Lan_ty_ns,C11_225_274_Tot,C11_275_349_REA,C11_275_349_ST_HA,C11_275_349_Pe_no_sa_ho,C11_275_349_H_c_o_c_c_g,C11_275_349_Ot_lan_ty,C11_275_349_Lan_ty_ns,C11_275_349_Tot,C11_350_449_REA,C11_350_449_ST_HA,C11_350_449_Pe_no_sa_ho,C11_350_449_H_c_o_c_c_g,C11_350_449_Ot_lan_ty,C11_350_449_Lan_ty_ns,C11_350_449_Tot,C11_450_549_REA,C11_450_549_ST_HA,C11_450_549_Pe_no_sa_ho,C11_450_549_H_c_o_c_c_g,C11_450_549_Oth_lan_typ,C11_450_549_Lan_ty_ns,C11_450_549_Tot,C11_550_649_REA,C11_550_649_ST_HA,C11_550_649_Pe_no_sa_ho,C11_550_649_H_c_o_c_c_g,C11_550_649_Ot_lan_ty,C11_550_649_Lan_ty_ns,C11_550_649_Tot,C11_650_over_REA,C11_650over_ST_HA,C11_650ove_Pe_no_sa_ho,C11_650ov_H_co_op_c_ch_gr,C11_650over_Oth_lan_typ,C11_650over_LLT_NS,C11_650_over_Tot,C11_R_NS_REA,C11_R_NS_ST_HA,C11_R_NS_Pe_no_sa_ho,C11_R_NS_H_co_op_c_ch_gr,C11_R_NS_Oth_lan_typ,C11_R_NS_Land_typ_ns,C11_Rent_not_statd_Tot,C11_Tot_REA,C11_Tot_ST_HA,C11_T_Pe_no_sa_ho,C11_Tot_Ho_co_op_co_ch_gr,C11_Tot_Oth_lan_typ,C11_Tot_LLT_NS,C11_T_T
105051100,3,0,316,39,149,28,14,12,3,245,19,32,29,11,15,3,109,152,65,57,3,15,0,292,704,47,114,4,10,3,882,902,36,176,5,19,3,1141,398,22,77,6,5,5,513,467,8,58,3,4,3,543,216,9,37,0,3,0,265,47,83,48,11,12,13,214,2979,1404,703,98,108,82,5374
105054800,4,3,242,87,83,53,26,10,3,262,97,30,47,7,13,0,194,269,27,83,6,12,0,397,551,25,167,5,20,3,771,946,18,220,3,3,0,1190,1158,6,239,3,10,3,1419,1182,5,215,0,9,3,1414,1573,9,346,3,7,12,1950,83,67,70,6,10,8,244,5980,913,1559,138,115,85,8790
105055200,3,3,368,162,120,131,64,10,5,492,246,43,142,29,14,3,477,728,40,210,28,22,5,1033,1808,49,347,32,21,10,2267,2554,13,466,11,29,20,3093,1679,5,298,8,15,10,2015,1053,3,164,3,6,0,1229,864,5,188,0,4,4,1065,139,60,72,21,18,11,321,9312,865,2204,333,157,166,13037
105057201,5,0,99,24,30,36,3,4,0,97,13,8,19,3,4,0,47,23,10,22,5,5,0,65,78,12,59,3,8,0,160,370,7,74,3,20,3,477,807,8,105,3,8,9,940,672,3,102,0,4,3,784,2094,12,332,3,45,7,2493,149,24,109,9,54,19,364,4276,324,970,45,188,80,5883
105057204,3,4,317,100,95,95,11,8,4,313,195,21,95,7,8,3,329,633,33,138,6,10,3,823,1400,33,315,7,11,6,1772,2119,21,429,3,18,9,2599,1780,11,371,3,17,9,2191,1456,9,277,0,7,8,1757,2184,7,528,3,19,13,2754,131,95,72,9,17,25,349,10063,1283,2471,88,132,152,14189
105057205,9,5,642,57,264,67,37,7,6,438,54,71,46,18,9,0,198,182,65,81,29,16,3,376,513,84,169,58,14,0,838,1501,56,318,20,7,6,1908,2186,17,378,7,12,8,2608,2036,11,325,8,25,12,2417,1540,28,348,13,21,16,1966,125,228,67,16,12,44,492,8235,3277,1938,308,145,156,14059
105057206,8,3,399,75,172,46,46,16,0,355,103,54,56,17,9,3,242,189,102,100,59,7,0,457,537,68,177,71,40,7,900,1217,63,244,33,40,6,1603,1685,15,264,9,21,3,1997,1326,16,224,4,11,4,1585,1797,22,332,4,17,11,2183,131,109,88,18,19,15,380,7113,1619,1682,368,209,108,11099
105106550,25,9,781,113,342,100,55,33,0,643,113,85,102,9,76,3,388,263,100,180,18,75,4,640,994,92,345,16,51,5,1503,3616,73,733,9,35,15,4481,3985,51,714,6,21,14,4791,2130,12,392,0,19,6,2559,2447,16,575,13,24,8,3083,231,242,192,30,32,40,767,13983,3116,3653,314,419,289,21774
105108050,0,3,161,32,41,40,11,4,0,128,52,5,53,5,9,0,124,201,14,88,4,8,4,319,592,13,210,3,23,13,854,1619,10,404,9,17,11,2070,1988,5,471,3,15,8,2490,1426,3,341,3,15,4,1792,2236,9,716,7,24,13,3005,156,29,122,18,17,42,384,8367,454,2619,109,139,208,11896
105108500,3,3,74,28,6,28,0,4,0,66,46,0,45,0,7,0,98,151,3,61,4,11,3,233,381,3,116,3,3,3,509,858,3,232,3,10,3,1109,1063,0,246,0,10,9,1328,874,0,254,0,5,3,1136,2116,0,624,0,14,11,2765,136,3,80,13,14,15,261,5693,75,1839,63,100,174,7944
