region_id,C11_350_449_CF_CU15_NDS,C11_350_449_CF_NCU15_DS,C11_350_449_CF_NDCO,C11_350_449_CF_T,C11_450_549_CF_NC,C11_450_549_CF_Cu15DS_,C11_450_549_CF_CU15_NDS,C11_450_549_CF_NCU15_DS,C11_450_549_CF_NDCO,C11_450_549_CF_T,C11_550_649_CF_NC,C11_550_649_CF_Cu15DS_,C11_550_649_CF_CU15_NDS,C11_550_649_CF_NCU15_DS,C11_550_649_CF_NDCO,C11_550_649_CF_T,C11_650ov_CF_NC,C11_650ov_CF_Cu15DS_,C11_650ov_CF_CU15_NDS,C11_650ov_CF_NCU15_DS,C11_650ov_CF_NDCO,C11_650ov_CF_T,C11_Rns_CF_NC,C11_Rns_CF_Cu15DS_,C11_Rns_CF_CU15_NDS,C11_Rns_CF_NCU15_DS,C11_Rns_CF_NDCO,C11_Rns_CF_T,C11_Tot_CF_NC,C11_Tot_CF_Cu15DS_,C11_Tot_CF_CU15_NDS,C11_Tot_CF_NCU15_DS,C11_Tot_CF_NDCO,C11_Tot_CF_Tot
105051100,294,33,44,647,104,19,122,17,33,295,148,22,118,11,30,329,37,17,94,8,13,169,34,3,25,3,8,73,1000,142,957,110,191,2400
105054800,100,3,3,433,501,4,178,12,6,701,509,3,237,12,13,774,563,24,531,29,36,1183,47,3,24,6,0,80,2245,46,1176,77,81,3625
105055200,352,36,33,1414,656,16,254,25,18,969,383,6,181,13,8,591,231,13,162,17,7,430,54,3,19,4,4,84,3206,107,1343,132,139,4927
105057201,18,3,0,149,284,0,39,6,3,332,253,0,28,0,3,284,762,8,117,22,21,930,63,0,3,3,3,72,1604,11,242,40,39,1936
105057204,49,3,5,809,798,3,64,5,4,874,626,0,52,6,6,690,887,5,197,22,21,1132,44,0,12,0,0,56,3725,17,453,55,46,4296
105057205,89,3,12,777,931,19,186,6,10,1152,798,7,199,4,19,1027,474,9,156,21,14,674,60,0,18,3,6,87,3570,50,787,69,98,4574
105057206,66,5,9,583,740,3,119,5,3,870,585,5,86,7,5,688,682,5,213,36,29,965,66,0,10,7,9,92,3042,23,587,75,88,3815
105106550,480,53,62,1878,1466,49,620,71,69,2275,675,25,397,48,39,1184,598,96,852,111,71,1728,126,8,56,12,4,206,4993,247,2798,356,313,8707
105108050,169,16,11,767,794,9,239,16,27,1085,583,12,194,15,12,816,777,57,630,46,38,1548,75,3,39,3,9,129,3125,89,1373,118,119,4824
105108500,65,3,10,382,405,3,113,12,7,540,392,6,137,8,3,546,660,82,704,73,55,1574,52,9,26,5,5,97,2005,110,1127,109,87,3438
105154150,538,73,76,1380,273,58,319,56,73,779,89,21,107,23,17,257,44,16,59,20,12,151,51,6,49,17,10,133,1783,228,1493,244,264,4012
105154450,383,57,58,1052,264,42,234,38,27,605,83,23,87,18,23,234,49,13,57,10,15,144,49,5,26,3,6,89,1345,136,1046,160,170,2857
105156650,832,72,101,2123,505,73,442,47,75,1142,138,27,164,21,40,390,94,21,109,22,18,264,65,13,51,12,7,148,2656,294,2137,248,324,5659
105157151,431,33,47,1267,363,30,344,46,35,818,154,38,210,23,35,460,97,48,219,43,58,465,50,7,26,9,3,95,2055,194,1553,194,223,4219
105157152,347,34,42,897,151,49,303,48,39,590,57,18,157,34,36,302,43,30,118,23,14,228,30,4,22,0,3,59,1087,162,1155,173,178,2755
105200351,712,73,79,1292,60,63,168,34,27,352,15,19,49,5,10,98,14,5,21,3,3,46,43,15,52,12,10,132,976,324,1723,206,242,3471
105200353,476,67,75,937,52,55,166,22,26,321,11,8,31,3,6,59,0,5,18,3,3,29,26,6,42,10,10,94,781,320,1131,192,252,2676
105200355,260,49,50,639,102,33,186,23,32,376,20,8,58,5,9,100,7,8,20,4,5,44,28,4,23,4,13,72,706,163,744,138,166,1917
