region_id,Ot_ty_Ed_Ins_Pt_st_C01_P,Ot_ty_Ed_Ins_Pt_st_C06_M,Ot_ty_Ed_Ins_Pt_st_C06_F,Ot_ty_Ed_Ins_Pt_st_C06_P,Ot_ty_Ed_Ins_Pt_st_C11_M,Ot_ty_Ed_Ins_Pt_st_C11_F,Ot_ty_Ed_Ins_Pt_st_C11_P,O_t_E_I_F_P_s_s_ns_C01_M,O_t_E_I_F_P_s_s_ns_C01_F,O_t_E_I_F_P_s_s_ns_C01_P,O_t_E_I_F_P_s_s_ns_C06_M,O_t_E_I_F_P_s_s_ns_C06_F,O_t_E_I_F_P_s_s_ns_C06_P,O_t_E_I_F_P_s_s_ns_C11_M,O_t_E_I_F_P_s_s_ns_C11_F,O_t_E_I_F_P_s_s_ns_C11_P,Oth_ty_Edu_Ins_Tot_C01_M,Oth_ty_Edu_Ins_Tot_C01_F,Oth_ty_Edu_Ins_Tot_C01_P,Oth_ty_Edu_Ins_Tot_C06_M,Oth_ty_Edu_Ins_Tot_C06_F,Oth_ty_Edu_Ins_Tot_C06_P,Oth_ty_Edu_Ins_Tot_C11_M,Oth_ty_Edu_Ins_Tot_C11_F,Oth_ty_Edu_Ins_Tot_C11_P,Type_Educ_Insti_ns_C01_M,Type_Educ_Insti_ns_C01_F,Type_Educ_Insti_ns_C01_P,Type_Educ_Insti_ns_C06_M,Type_Educ_Insti_ns_C06_F,Type_Educ_Insti_ns_C06_P,Type_Educ_Insti_ns_C11_M,Type_Educ_Insti_ns_C11_F,Type_Educ_Insti_ns_C11_P,OS_vis_C01_M,OS_vis_C01_F,OS_vis_C01_P,OS_vis_C06_M,OS_vis_C06_F,OS_vis_C06_P,OS_vis_C11_M,OS_vis_C11_F,OS_vis_C11_P,Tot_C01_M,Tot_C01_F,Tot_C01_P,Tot_C06_M,Tot_C06_F,Tot_C06_P,Tot_C11_M,Tot_C11_F,Tot_C11_P
105051100,208,50,85,135,84,128,212,0,0,0,3,3,6,9,0,9,117,201,318,83,128,211,162,196,358,1215,1233,2448,1649,1715,3364,1601,1520,3121,148,177,325,165,176,341,218,275,493,5279,5311,10590,5671,5659,11330,6257,6223,12480
105054800,641,146,276,422,119,225,344,0,0,0,3,4,7,3,3,6,293,481,774,179,332,511,149,267,416,1417,1459,2876,2206,2142,4348,1540,1527,3067,340,393,733,222,302,524,245,291,536,6238,7169,13407,6518,7295,13813,6592,7375,13967
105055200,746,190,336,526,192,314,506,3,4,7,11,12,23,8,7,15,405,612,1017,274,445,719,342,432,774,2812,2648,5460,3968,3619,7587,3243,2821,6064,415,427,842,334,419,753,326,381,707,10843,11457,22300,11070,11616,22686,11309,11709,23018
105057201,181,97,162,259,184,197,381,0,0,0,3,4,7,7,3,10,182,291,473,333,482,815,589,734,1323,4949,3989,8938,6244,4991,11235,4643,3301,7944,4304,3821,8125,4134,3688,7822,4671,4145,8816,11248,10138,21386,12731,11458,24189,12673,11362,24035
105057204,620,186,222,408,227,227,454,3,3,6,3,4,7,8,9,17,438,457,895,329,361,690,387,431,818,5018,3713,8731,7902,5474,13376,4407,3360,7767,2326,2138,4464,1349,1084,2433,1427,1301,2728,10643,9181,19824,12215,9634,21849,9307,8296,17603
105057205,434,166,223,389,176,273,449,9,7,16,4,7,11,10,5,15,308,331,639,309,374,683,366,503,869,2033,1757,3790,4572,3645,8217,3521,2926,6447,362,371,733,472,499,971,585,653,1238,6545,6295,12840,9753,9057,18810,9750,9536,19286
105057206,431,130,195,325,173,231,404,0,0,0,3,3,6,5,4,9,279,412,691,258,348,606,327,417,744,2337,2127,4464,5511,4555,10066,3343,2684,6027,1154,1083,2237,1053,1190,2243,1086,1148,2234,7578,7981,15559,10629,10837,21466,9380,9790,19170
105106550,997,234,426,660,254,482,736,14,11,25,15,15,30,5,5,10,618,817,1435,398,593,991,456,716,1172,4866,4162,9028,7510,5890,13400,6665,5212,11877,1361,1556,2917,1186,1302,2488,1243,1346,2589,21442,20935,42377,22778,21480,44258,24423,23246,47669
105108050,740,162,277,439,176,284,460,4,5,9,0,6,6,0,8,8,407,598,1005,248,393,641,264,434,698,2959,3117,6076,5798,4964,10762,3795,3498,7293,946,982,1928,905,950,1855,684,823,1507,9495,10279,19774,11784,11394,23178,10358,10729,21087
105108500,519,122,215,337,92,185,277,0,5,5,3,4,7,0,5,5,254,397,651,154,276,430,138,239,377,2318,2726,5044,3301,3578,6879,2834,2919,5753,466,595,1061,413,464,877,330,422,752,7657,8844,16501,8176,9238,17414,8203,8935,17138
