region_id,C11_All_inc_ns_CF_1Ch,C11_All_inc_ns_CF_2C,C11_All_inc_ns_CF_3C,C11_All_inc_ns_CF_4mC,C11_All_inc_ns_CF_T,C11_Tot_CF_1C,C11_Tot_CF_2C,C11_Tot_CF_3C,C11_Tot_CF_4mC,C11_Tot_CF_T
105051100,23,29,15,0,67,1983,2204,656,159,5002
105054800,24,12,3,4,43,2589,2419,571,100,5679
105055200,37,27,12,0,76,3278,3001,787,222,7288
105057201,3,5,0,0,8,486,212,23,3,724
105057204,6,4,0,0,10,924,496,117,25,1562
105057205,22,15,8,0,45,1820,1210,240,42,3312
105057206,10,4,0,0,14,1139,675,146,26,1986
105106550,75,54,21,6,156,5249,5937,1850,376,13412
105108050,37,36,6,6,85,2405,2613,923,184,6125
105108500,19,33,8,0,60,1934,2100,848,195,5077
105154150,49,58,15,8,130,4203,4577,1475,463,10718
105154450,43,41,18,3,105,3136,3286,1103,311,7836
105156650,87,49,30,15,181,4968,4779,1663,641,12051
105157151,44,50,22,3,119,4409,5612,2256,550,12827
105157152,53,73,24,3,153,5323,7687,3114,762,16886
105200351,43,51,46,37,177,2608,2920,1687,1137,8352
105200353,44,55,32,24,155,2712,3340,1742,958,8752
105200355,39,38,20,13,110,2601,3355,1258,396,7610
105201550,117,122,69,35,343,7156,7216,2898,1276,18546
105252851,105,109,80,39,333,5049,5672,2791,1380,14892
105252854,60,67,40,24,191,3495,4554,2119,790,10958
105254901,84,78,56,35,253,4741,5784,2433,1178,14136
105254904,63,70,37,22,192,3489,5300,2480,1016,12285
105301450,34,37,17,3,91,2501,3831,1566,596,8494
105301501,44,49,31,21,145,3626,4175,1647,792,10240
105301504,40,56,28,20,144,3074,3373,1507,817,8771
105308400,47,60,29,5,141,1932,2560,1275,481,6248
105350150,22,16,7,3,48,2014,1948,519,131,4612
105351300,19,20,11,3,53,1519,1649,535,169,3872
105351521,20,22,7,0,49,2038,2175,706,152,5071
105351524,21,19,3,4,47,1848,1938,566,120,4472
105357100,24,18,10,4,56,1801,1904,672,257,4634
105400200,54,62,45,46,207,3605,3663,1452,906,9626
105403950,58,70,49,26,203,5113,5189,2062,1010,13374
105406251,36,17,3,8,64,2720,1746,373,181,5020
105406252,23,25,13,3,64,2390,2882,903,255,6430
105406253,27,18,7,3,55,2052,2216,801,242,5311
105406254,31,41,15,34,121,1450,1471,869,816,4606
105450900,36,19,16,6,77,3266,3796,1573,583,9218
105453800,47,53,19,14,133,2754,3261,1586,618,8219
105456351,80,98,51,26,255,4503,5123,2291,978,12895
105456354,41,51,22,9,123,3712,4755,1935,740,11142
105530751,63,76,33,15,187,5469,7408,2675,903,16455
105530752,79,71,43,23,216,5088,5392,2017,888,13385
105530753,87,80,59,43,269,4349,4926,2487,1489,13251
105554100,8,10,0,0,18,560,716,345,94,1715
105554700,10,23,5,0,38,1479,1830,711,137,4157
105555350,16,6,7,0,29,1095,1400,621,123,3239
105555950,19,19,5,0,43,2509,1800,430,85,4824
105556700,38,48,20,3,109,5212,5821,1847,350,13230
105558250,30,29,5,5,69,3428,4071,1355,230,9084
105604001,35,52,20,3,110,3407,4929,1959,509,10804
105604004,36,41,22,3,102,4847,6040,1983,467,13337
105604500,37,58,25,3,123,5044,7905,3314,789,17052
105607421,29,37,12,6,84,3945,5506,1994,500,11945
105607423,33,38,14,4,89,2556,4382,1928,601,9467
105607425,28,15,5,3,51,2253,3069,968,260,6550
105655150,13,14,6,0,33,1648,2206,828,133,4815
105656370,36,40,12,3,91,2543,3681,1417,314,7955
105658000,80,93,30,7,210,6494,8966,3223,717,19400
105703101,31,36,10,8,85,2605,3619,1486,432,8142
105703104,63,59,18,10,150,3808,4390,1700,612,10510
105708551,50,62,26,13,151,2885,3397,1487,612,8381
105708554,39,39,14,10,102,2726,3305,1387,493,7911
110051720,31,38,13,7,89,2102,2234,1017,401,5754
110054651,41,38,17,10,106,2504,3167,1197,363,7231
110054653,53,55,23,6,137,3365,4159,1549,440,9513
110054655,25,26,13,9,73,2008,2219,974,318,5519
110055050,33,42,11,9,95,2984,3623,1452,560,8619
110055903,18,6,6,0,30,1855,1787,651,177,4470
110055904,15,24,13,5,57,1913,2143,811,262,5129
110055905,16,27,5,4,52,2101,2508,934,225,5768
110056400,35,38,24,10,107,2430,2928,1251,471,7080
110102700,6,4,3,3,16,360,387,159,76,982
110103050,3,6,0,0,9,172,183,69,31,455
110103320,19,22,4,0,45,1058,1069,447,162,2736
110105650,11,6,6,3,26,607,693,368,124,1792
110107000,11,21,10,3,45,980,1256,562,201,2999
110107620,10,11,7,0,28,557,612,309,95,1573
115054400,13,4,8,3,28,811,1033,470,118,2432
115056900,41,41,27,5,114,2770,3547,1367,542,8226
115058451,51,36,13,8,108,3890,4578,1783,507,10758
115058454,43,54,25,16,138,4045,5213,2033,664,11955
115076951,13,14,6,3,36,1155,1329,599,243,3326
115106952,35,31,10,7,83,2045,2135,876,333,5389
115108350,17,28,7,3,55,1570,1926,919,361,4776
120057554,24,39,4,10,77,1817,1874,836,254,4781
120057556,5,9,3,0,17,449,543,223,78,1293
120074851,12,9,3,3,27,1029,1194,487,213,2923
120100250,13,12,13,3,41,1450,1644,641,244,3979
120101350,15,15,7,3,40,1085,1216,420,133,2854
120104550,8,3,0,0,11,344,289,189,78,900
120104854,7,6,4,3,20,473,578,270,81,1402
120106611,5,3,3,3,14,381,378,183,95,1037
120106612,8,3,3,3,17,408,410,233,105,1156
120107558,19,8,9,5,41,812,819,369,163,2163
125011801,28,16,14,5,63,1837,2008,819,294,4958
125036381,21,20,8,0,49,1412,1668,634,240,3954
125050600,3,10,3,0,16,449,480,210,83,1222
125051736,6,8,4,3,21,689,664,276,134,1763
125051737,12,13,4,4,33,765,903,421,167,2256
125051738,4,0,0,0,4,241,220,107,64,632
125051804,11,13,4,0,28,743,802,343,128,2016
125055700,7,5,6,0,18,580,567,270,122,1539
125103380,15,27,17,8,67,1573,1610,784,327,4294
125104350,18,14,7,9,48,907,853,455,215,2430
125106385,19,13,6,3,41,1109,1197,561,185,3052
125108859,0,0,0,0,0,19,19,0,0,38
130057311,24,26,9,3,62,1719,1871,809,284,4683
130103550,16,5,3,7,31,452,513,247,105,1317
130103660,5,0,3,3,11,196,188,113,36,533
130104201,3,3,3,3,12,204,205,114,47,570
130104920,8,3,3,0,14,279,276,147,45,747
130107314,14,9,6,4,33,458,471,237,77,1243
130150111,13,4,5,4,26,621,708,312,122,1763
130150112,5,0,3,0,8,157,214,112,42,525
130153010,11,4,4,0,19,278,272,161,53,764
130153650,3,3,0,4,10,154,156,109,49,468
130154202,11,11,3,3,28,401,391,201,103,1096
130157400,3,0,3,3,9,226,194,107,63,590
130157650,0,4,5,0,9,252,272,125,63,712
130157850,3,3,0,0,6,114,118,63,25,320
130205300,16,15,6,0,37,484,514,256,131,1385
130205750,16,10,15,4,45,477,554,284,118,1433
135012601,25,22,12,3,62,1326,1477,746,303,3852
135052604,6,6,0,0,12,154,158,100,28,440
135052950,7,0,0,0,7,156,153,96,31,436
135055271,20,6,9,6,41,750,767,417,153,2087
135055850,7,3,0,0,10,212,236,143,74,665
135058020,7,0,3,3,13,273,349,197,89,908
135058150,7,5,3,0,15,271,273,170,70,784
135100950,5,0,0,0,5,106,119,61,31,317
135102150,3,3,0,0,6,126,115,75,41,357
135107900,7,7,3,3,20,208,166,102,58,534
135107950,0,0,0,3,3,109,106,57,21,293
135151150,3,4,3,0,10,83,86,61,31,261
135151200,0,0,0,0,0,57,45,27,25,154
135151750,0,6,0,0,6,158,199,100,43,500
140030471,17,19,9,0,45,1168,1405,622,276,3471
140070473,0,4,4,0,8,215,247,133,57,652
140070850,4,4,0,0,8,258,294,171,78,801
140071400,3,8,5,4,20,470,579,343,156,1548
140074870,9,21,8,6,44,711,846,355,129,2041
140075274,3,3,3,0,9,120,113,61,21,315
140076100,4,3,3,0,10,200,214,119,37,570
140150800,4,4,0,0,8,201,216,135,98,650
140152350,13,14,3,3,33,429,439,241,96,1205
140152900,3,3,7,0,13,290,315,213,76,894
140154600,10,3,0,0,13,257,236,144,62,699
140156200,8,6,7,4,25,518,491,344,172,1525
140158100,3,0,3,3,9,136,122,82,27,367
140206150,9,25,3,10,47,1418,1682,800,291,4191
145056181,6,0,3,0,9,499,674,280,87,1540
145056470,14,19,9,0,42,1706,2074,790,221,4791
145101050,0,3,3,0,6,81,88,55,21,245
145103311,13,14,6,3,36,826,834,364,149,2173
145103314,7,10,0,0,17,280,249,127,58,714
145103700,0,0,0,3,3,119,123,67,43,352
145106184,4,3,0,0,7,129,137,62,28,356
145107640,4,5,3,0,12,262,298,166,58,784
145108710,3,4,3,0,10,639,821,388,137,1985
145108750,6,7,3,0,16,428,501,268,132,1329
145150550,13,16,11,4,44,1168,1171,516,195,3050
145152750,19,18,3,3,43,1194,1093,481,224,2992
145201000,3,0,0,0,3,75,104,43,17,239
145202050,4,10,0,0,14,335,415,177,76,1003
145207050,4,8,0,0,12,255,353,102,28,738
150057751,25,24,7,6,62,1992,2281,1146,448,5867
150102000,3,0,3,0,6,124,146,116,59,445
150102200,4,3,3,3,13,248,263,136,54,701
150103500,8,3,0,0,11,146,121,99,51,417
150104300,5,0,5,3,13,190,214,120,63,587
