region_id,C11_T_FH_Tot,C11_Tot_LP_H,C11_Tot_GH,C11_Tot_OH,C11_T_T
105051100,9975,3463,680,766,14884
105054800,13390,6292,1638,1318,22638
105055200,18109,8773,3092,2124,32098
105057201,4012,3013,1529,2682,11236
105057204,8887,11142,2702,4033,26764
105057205,12199,8750,3719,2783,27451
105057206,8492,6328,2406,2479,19705
105106550,29881,12994,4686,3729,51290
105108050,14512,7578,2778,3158,28026
105108500,12363,6541,1557,2468,22929
105154150,20698,5869,978,862,28407
105154450,14739,3882,731,663,20015
105156650,24710,8196,1502,1949,36357
105157151,27191,9964,1221,1491,39867
105157152,29977,6349,648,950,37924
105200351,14378,3325,393,1008,19104
105200353,15828,4125,385,844,21182
105200355,14410,4005,386,592,19393
105201550,34637,9746,1545,2535,48463
105252851,28284,6794,932,1386,37396
105252854,17676,1940,208,440,20264
105254901,25944,6819,761,2195,35719
105254904,18075,1777,214,684,20750
105301450,14963,2590,322,533,18408
105301501,19226,4278,493,797,24794
105301504,18156,4582,560,994,24292
105308400,11470,2244,237,420,14371
105350150,10095,4180,1021,891,16187
105351300,7655,2210,862,513,11240
105351521,10261,2577,752,998,14588
105351524,9815,3876,734,721,15146
105357100,8615,2151,610,804,12180
105400200,17194,3760,1122,1375,23451
105403950,25225,6902,884,1602,34613
105406251,11253,4695,1279,1428,18655
105406252,11927,3682,471,572,16652
105406253,10125,2658,328,363,13474
105406254,7864,2128,298,704,10994
105450900,20051,7186,798,1340,29375
105453800,16087,4260,496,900,21743
105456351,24845,5894,830,1139,32708
105456354,21652,5520,647,979,28798
105530751,26833,4185,626,675,32319
105530752,25210,6254,841,996,33301
105530753,24427,4658,620,1077,30782
105554100,3228,1163,98,147,4636
105554700,8256,3026,602,452,12336
105555350,6993,3406,347,905,11651
105555950,15558,10690,2177,2941,31366
105556700,26167,9503,2005,1481,39156
105558250,17755,5706,1233,1300,25994
105604001,17847,3045,280,458,21630
105604004,24346,6302,850,825,32323
105604500,29472,5813,493,1163,36941
105607421,20332,3119,457,481,24389
105607423,14525,1573,207,394,16699
105607425,11165,1706,205,333,13409
105655150,10383,3831,920,1121,16255
105656370,15423,3874,477,816,20590
105658000,37244,11574,1821,1799,52438
105703101,17974,6098,558,903,25533
105703104,24911,10603,1155,1708,38377
105708551,20735,7588,738,902,29963
