region_id,Pers_age_15andOver_C01_M,Pers_age_15over_C01_F,Pers_age_15over_C01_P,Pers_age_15over_C06_M,Pers_age_15over_C06_F,Pers_age_15over_C06_P,Pers_age_15over_C11_M,Pers_age_15over_C11_F,Pers_age_15over_C11_P,Lfs_Em_FT_C01_M,Lfs_Em_FT_C01_F,Lfs_Em_FT_C01_P,Lfs_Em_FT_C06_M,Lfs_Em_FT_C06_F,Lfs_Em_FT_C06_P,Lfs_Em_FT_C11_M,Lfs_Em_FT_C11_F,Lfs_Em_FT_C11_P,Lfs_Emp_wor_pt_C01_M,Lfs_Emp_wor_pt_C01_F,Lfs_Emp_wor_pt_C01_P,Lfs_Emp_wor_pt_C06_M,Lfs_Emp_wor_pt_C06_F,Lfs_Emp_wor_pt_C06_P,Lfs_Emp_wor_pt_C11_M,Lfs_Emp_wor_pt_C11_F,Lfs_Emp_wor_pt_C11_P,Lfs_Em_AFWr_C01_M,Lfs_Em_AFWr_C01_F,Lfs_Em_AFWr_C01_P,Lfs_Em_AFWr_C06_M,Lfs_Em_AFWr_C06_F,Lfs_Em_AFWr_C06_P,Lfs_Em_AFWr_C11_M,Lfs_Em_AFWr_C11_F,Lfs_Em_AFWr_C11_P,Lfs_Unem_loo_f_wor_C01_M,Lfs_Unem_loo_f_wor_C01_F,Lfs_Unem_loo_f_wor_C01_P,Lfs_Unem_loo_f_wor_C06_M,Lfs_Unem_loo_f_wor_C06_F,Lfs_Unem_loo_f_wor_C06_P,Lfs_Unem_loo_f_wor_C11_M,Lfs_Unem_loo_f_wor_C11_F,Lfs_Unem_loo_f_wor_C11_P,Lfs_Tot_lab_for_C01_M,Lfs_Tot_lab_for_C01_F,Lfs_Tot_lab_for_C01_P,Lfs_Tot_lab_for_C06_M,Lfs_Tot_lab_for_C06_F,Lfs_Tot_lab_for_C06_P,Lfs_Tot_lab_for_C11_M,Lfs_Tot_lab_for_C11_F,Lfs_Tot_lab_for_C11_P,N_the_labo_forc_C01_M,N_the_labo_forc_C01_F,N_the_labo_forc_C01_P,N_the_labo_forc_C06_M,N_the_labo_forc_C06_F,N_the_labo_forc_C06_P,N_the_labo_forc_C11_M,N_the_labo_forc_C11_F,N_the_labo_forc_C11_P,Percnt_Unemploy_C01_M,Percnt_Unemploy_C01_F,Percnt_Unemploy_C01_P,Percnt_Unemploy_C06_M,Percnt_Unemploy_C06_F,Percnt_Unemploy_C06_P,Percnt_Unemploy_C11_M,Percnt_Unemploy_C11_F,Percnt_Unemploy_C11_P,Prcnt_LForc_prt_C01_M,Prcnt_LForc_prt_C01_F,Prcnt_LForc_prt_C01_P,Prcnt_LForc_prt_C06_M,Prcnt_LForc_prt_C06_F,Prcnt_LForc_prt_C06_P,Prcnt_LForc_prt_C11_M,Prcnt_LForc_prt_C11_F,Prcnt_LForc_prt_C11_P,Pcnt_Emp_to_pop_C01_M,Pcnt_Emp_to_pop_C01_F,Pcnt_Emp_to_pop_C01_P,Pcnt_Emp_to_pop_C06_M,Pcnt_Emp_to_pop_C06_F,Pcnt_Emp_to_pop_C06_P,Pcnt_Emp_to_pop_C11_M,Pcnt_Emp_to_pop_C11_F,Pcnt_Emp_to_pop_C11_P,No_sc_qu_Po_De_C01_M,No_sc_qu_Po_De_C01_F,No_sc_qu_Po_De_C01_P,No_sc_qu_Po_De_C06_M,No_sc_qu_Po_De_C06_F,No_sc_qu_Po_De_C06_P,No_sc_qu_Po_De_C11_M,No_sc_qu_Po_De_C11_F,No_sc_qu_Po_De_C11_P,N_s_q_Gr_D_G_Ce_C01_M,N_s_q_Gr_D_G_Ce_C01_F,N_s_q_Gr_D_G_Ce_C01_P,N_s_q_Gr_D_G_Ce_C06_M,N_s_q_Gr_D_G_Ce_C06_F,N_s_q_Gr_D_G_Ce_C06_P,N_s_q_Gr_D_G_Ce_C11_M,N_s_q_Gr_D_G_Ce_C11_F,N_s_q_Gr_D_G_Ce_C11_P,N_s_q_Bach_Deg_C01_M,N_s_q_Bach_Deg_C01_F,N_s_q_Bach_Deg_C01_P,N_s_q_Bach_Deg_C06_M,N_s_q_Bach_Deg_C06_F,N_s_q_Bach_Deg_C06_P,N_s_q_Bach_Deg_C11_M,N_s_q_Bach_Deg_C11_F,N_s_q_Bach_Deg_C11_P,N_s_q_AdD_DL_2001_Cens_M,N_s_q_AdD_DL_2001_Cens_F,N_s_q_AdD_DL_2001_Cens_P,N_s_q_AdD_DL_2006_Cens_M,N_s_q_AdD_DL_2006_Cens_F,N_s_q_AdD_DL_2006_Cens_P,N_s_q_AdD_DL_2011_Cens_M,N_s_q_AdD_DL_2011_Cens_F,N_s_q_AdD_DL_2011_Cens_P,N_s_q_Cert_Leve_C01_M,N_s_q_Cert_Leve_C01_F,N_s_q_Cert_Leve_C01_P,N_s_q_Cert_Leve_C06_M,N_s_q_Cert_Leve_C06_F,N_s_q_Cert_Leve_C06_P,N_s_q_Cert_Leve_C11_M,N_s_q_Cert_Leve_C11_F,N_s_q_Cert_Leve_C11_P,Mig_Liv_SA_1yr_ag_01_Cen_M,Mig_Liv_SA_1yr_ag_01_Cen_F,Mig_Liv_SA_1yr_ag_01_Cen_P,Mig_Liv_SA_1yr_ag_06_Cen_M,Mig_Liv_SA_1yr_ag_06_Cen_F,Mig_Liv_SA_1yr_ag_06_Cen_P,Mig_Liv_SA_1yr_ag_11_Cen_M,Mig_Liv_SA_1yr_ag_11_Cen_F,Mig_Liv_SA_1yr_ag_11_Cen_P,Mig_Liv_DA_1yr_ag_01_Cen_M,Mig_Liv_DA_1yr_ag_01_Cen_F,Mig_Liv_DA_1yr_ag_01_Cen_P,Mig_Liv_DA_1yr_ag_06_Cen_M,Mig_Liv_DA_1yr_ag_06_Cen_F,Mig_Liv_DA_1yr_ag_06_Cen_P,Mig_Liv_DA_1yr_ag_11_Cen_M,Mig_Liv_DA_1yr_ag_11_Cen_F,Mig_Liv_DA_1yr_ag_11_Cen_P,Mi_Liv_SA_5yrs_ag_2001_Ce_M,Mi_Liv_SA_5yrs_ag_2001_Ce_F,Mi_Liv_SA_5yrs_ag_2001_Ce_P,Mi_Liv_SA_5yrs_ag_2006_Ce_M,Mi_Liv_SA_5yrs_ag_2006_Ce_F,Mi_Liv_SA_5yrs_ag_2006_Ce_P,Mi_Liv_SA_5yrs_ag_2011_Ce_M,Mi_Liv_SA_5yrs_ag_2011_Ce_F,Mi_Liv_SA_5yrs_ag_2011_Ce_P,Mi_Liv_DA_5yrs_ag_2001_Ce_M,Mi_Liv_DA_5yrs_ag_2001_Ce_F,Mi_Liv_DA_5yrs_ag_2001_Ce_P,Mi_Liv_DA_5yrs_ag_2006_Ce_M,Mi_Liv_DA_5yrs_ag_2006_Ce_F,Mi_Liv_DA_5yrs_ag_2006_Ce_P,Mi_Liv_DA_5yrs_ag_2011_Ce_M,Mi_Liv_DA_5yrs_ag_2011_Ce_F,Mi_Liv_DA_5yrs_ag_2011_Ce_P
105051100,14283,14772,29055,14528,15129,29657,16016,16624,32640,6764,4212,10976,6929,4350,11279,7569,4869,12438,1515,2398,3913,1620,2671,4291,1866,3229,5095,584,528,1112,577,558,1135,559,588,1147,629,392,1021,528,423,951,551,484,1035,9492,7530,17022,9654,8002,17656,10545,9170,19715,3992,6330,10322,3819,6039,9858,4342,6419,10761,6.6,5.2,6.0,5.5,5.3,5.4,5.2,5.3,5.2,66.5,51.0,58.6,66.4,52.9,59.5,65.8,55.2,60.4,62.1,48.3,55.1,62.8,50.1,56.3,62.4,52.3,57.2,401,235,636,664,440,1104,924,749,1673,73,121,194,89,125,214,144,198,342,1108,1268,2376,1494,1774,3268,2036,2541,4577,755,888,1643,920,1177,2097,1206,1559,2765,2919,1277,4196,2850,1372,4222,3132,1644,4776,13657,14153,27810,13916,14351,28267,15744,16207,31951,2607,2511,5118,2551,2541,5092,2437,2455,4892,8939,9450,18389,9270,9892,19162,10228,10751,20979,6395,6226,12621,6101,5970,12071,6789,6781,13570
105054800,19717,22019,41736,19423,21850,41273,19854,22898,42752,11237,9830,21067,10925,9250,20175,11400,9493,20893,2121,3964,6085,2089,4205,6294,2260,4899,7159,729,842,1571,633,847,1480,582,917,1499,729,550,1279,515,425,940,707,556,1263,14816,15186,30002,14162,14727,28889,14949,15865,30814,3874,5641,9515,3527,5484,9011,3698,5783,9481,4.9,3.6,4.3,3.6,2.9,3.3,4.7,3.5,4.1,75.1,69.0,71.9,72.9,67.4,70.0,75.3,69.3,72.1,71.4,66.5,68.8,70.3,65.5,67.7,71.7,66.9,69.1,1320,1490,2810,1790,1981,3771,2234,2741,4975,404,864,1268,445,831,1276,540,1001,1541,4430,5344,9774,4755,5995,10750,5446,6918,12364,1383,2038,3421,1572,2244,3816,1722,2388,4110,3048,1713,4761,2605,1556,4161,2643,1630,4273,15804,17350,33154,16360,18055,34415,18000,20258,38258,5414,5982,11396,4219,4962,9181,4425,5171,9596,9030,10128,19158,9474,10663,20137,10248,11700,21948,11153,12183,23336,9704,11043,20747,10404,11956,22360
105055200,30969,31131,62100,30124,31193,61317,31641,32857,64498,14764,11337,26101,14578,11532,26110,15746,12625,28371,3542,5176,8718,3537,5675,9212,4149,6655,10804,1255,1171,2426,1056,1075,2131,970,1254,2224,1729,1069,2798,1204,826,2030,1275,1051,2326,21290,18753,40043,20375,19108,39483,22140,21585,43725,7630,10410,18040,6530,9210,15740,6934,9113,16047,8.1,5.7,7.0,5.9,4.3,5.1,5.8,4.9,5.3,68.7,60.2,64.5,67.6,61.3,64.4,70.0,65.7,67.8,63.2,56.8,60.0,63.6,58.6,61.1,65.9,62.5,64.2,1411,1385,2796,1760,2059,3819,2529,2932,5461,517,889,1406,491,954,1445,651,1209,1860,4554,5505,10059,5415,6578,11993,6708,8301,15009,1889,2213,4102,2012,2638,4650,2678,3129,5807,4567,2489,7056,4241,2494,6735,4393,2744,7137,26057,26026,52083,25063,25935,50998,28050,28855,56905,7146,7384,14530,6192,6609,12801,6011,6605,12616,16143,16131,32274,15715,16091,31806,16848,17476,34324,15377,15698,31075,13750,14722,28472,15064,15920,30984
105057201,11173,9136,20309,14607,12269,26876,16790,14315,31105,3916,2057,5973,4831,2808,7639,6721,4102,10823,777,971,1748,1286,1602,2888,1971,2455,4426,226,220,446,288,277,565,440,420,860,297,255,552,342,325,667,531,577,1108,5216,3503,8719,6747,5012,11759,9663,7554,17217,1704,2242,3946,2061,2687,4748,2732,3701,6433,5.7,7.3,6.3,5.1,6.5,5.7,5.5,7.6,6.4,46.7,38.3,42.9,46.2,40.8,43.8,57.6,52.8,55.4,44.0,35.6,40.2,43.8,38.2,41.3,54.4,48.7,51.8,630,298,928,1113,780,1893,1682,1310,2992,135,122,257,191,169,360,297,262,559,1865,1400,3265,2733,2353,5086,3901,3543,7444,718,699,1417,916,902,1818,1384,1349,2733,726,451,1177,804,412,1216,992,692,1684,4753,3730,8483,6324,5258,11582,8957,8002,16959,2380,2222,4602,2709,2617,5326,3854,3682,7536,2000,1380,3380,2957,2228,5185,4386,3716,8102,4989,4458,9447,5855,5451,11306,8119,7680,15799
105057204,23743,17762,41505,27047,19855,46902,26510,20575,47085,11346,7142,18488,12330,7684,20014,13849,9085,22934,2495,2383,4878,2416,2555,4971,2933,3133,6066,703,558,1261,655,509,1164,639,604,1243,1003,512,1515,724,406,1130,908,594,1502,15547,10595,26142,16125,11154,27279,18329,13416,31745,4039,4085,8124,3567,3740,7307,4110,4159,8269,6.5,4.8,5.8,4.5,3.6,4.1,5.0,4.4,4.7,65.5,59.6,63.0,59.6,56.2,58.2,69.1,65.2,67.4,61.3,56.8,59.3,56.9,54.1,55.8,65.7,62.3,64.2,1398,884,2282,1890,1333,3223,2674,2032,4706,408,440,848,444,461,905,579,623,1202,5021,3850,8871,5710,4815,10525,7206,6267,13473,1698,1617,3315,1946,1620,3566,2311,1981,4292,2647,1252,3899,2680,1189,3869,2750,1305,4055,13109,10000,23109,14189,10732,24921,16907,13052,29959,7071,5447,12518,6185,4925,11110,6379,5434,11813,6254,5034,11288,6713,5241,11954,8320,6305,14625,13532,10106,23638,13193,10063,23256,14368,11625,25993
105057205,18056,16350,34406,23661,20827,44488,26991,24073,51064,8495,5912,14407,11237,7820,19057,13902,9959,23861,2023,2471,4494,2422,3140,5562,3081,3941,7022,609,542,1151,629,605,1234,684,756,1440,907,608,1515,804,597,1401,1024,822,1846,12034,9533,21567,15092,12162,27254,18691,15478,34169,4439,5386,9825,4557,5585,10142,5211,6149,11360,7.5,6.4,7.0,5.3,4.9,5.1,5.5,5.3,5.4,66.6,58.3,62.7,63.8,58.4,61.3,69.2,64.3,66.9,61.6,54.6,58.3,60.4,55.5,58.1,65.5,60.9,63.3,901,731,1632,1582,1335,2917,2475,2395,4870,290,392,682,393,525,918,557,710,1267,3406,3301,6707,4879,4753,9632,6558,6537,13095,1280,1308,2588,1775,1850,3625,2385,2234,4619,2296,1225,3521,2780,1551,4331,3199,1828,5027,12622,11791,24413,15447,13874,29321,19528,17194,36722,5417,4682,10099,5996,5541,11537,6493,6425,12918,6587,6597,13184,7615,7230,14845,9796,8792,18588,10789,9282,20071,12887,11325,24212,15120,13797,28917
105057206,14333,14262,28595,18805,18480,37285,20042,20023,40065,6357,4920,11277,7563,6106,13669,9310,7191,16501,1759,2484,4243,1958,2836,4794,2431,3580,6011,478,428,906,496,579,1075,520,659,1179,761,625,1386,607,609,1216,829,871,1700,9355,8457,17812,10624,10130,20754,13090,12301,25391,3131,4114,7245,3118,4279,7397,3886,5331,9217,8.1,7.4,7.8,5.7,6.0,5.9,6.3,7.1,6.7,65.3,59.3,62.3,56.5,54.8,55.7,65.3,61.4,63.4,60.0,54.9,57.4,53.3,51.5,52.4,61.2,57.1,59.1,881,800,1681,1575,1492,3067,2391,2374,4765,229,333,562,272,427,699,353,529,882,3034,3090,6124,3973,4302,8275,5271,5539,10810,900,1146,2046,1178,1265,2443,1490,1703,3193,1483,932,2415,1494,996,2490,1655,1108,2763,8450,8532,16982,10057,10302,20359,13034,13383,26417,4866,4903,9769,4634,5045,9679,5203,5460,10663,3864,4025,7889,4545,4781,9326,6131,6465,12596,9085,9073,18158,9664,10112,19776,11436,11767,23203
105106550,49215,52129,101344,50046,52415,102461,53249,56209,109458,22884,16495,39379,22827,16679,39506,23938,17659,41597,5507,9700,15207,5635,10388,16023,6222,11415,17637,1869,1867,3736,1670,1750,3420,1628,1922,3550,1917,1386,3303,1536,1252,2788,1986,1684,3670,32177,29448,61625,31668,30069,61737,33774,32680,66454,14028,19415,33443,13391,17880,31271,15219,19489,34708,6.0,4.7,5.4,4.9,4.2,4.5,5.9,5.2,5.5,65.4,56.5,60.8,63.3,57.4,60.3,63.4,58.1,60.7,61.5,53.8,57.5,60.2,55.0,57.5,59.7,55.1,57.4,2788,2118,4906,3654,3146,6800,4783,4618,9401,573,1010,1583,622,1120,1742,757,1396,2153,7895,9052,16947,9110,10845,19955,10930,13279,24209,3002,4263,7265,3241,4988,8229,3737,5543,9280,8553,4346,12899,7784,4066,11850,7941,4314,12255,41083,43709,84792,41385,44119,85504,45531,48749,94280,11514,12028,23542,10240,11117,21357,10848,11715,22563,25110,27417,52527,25760,28124,53884,27268,29929,57197,25101,26156,51257,23027,24404,47431,25740,27304,53044
105108050,24601,26563,51164,25034,26358,51392,25785,27238,53023,12583,9207,21790,11764,8494,20258,13530,9593,23123,2803,5037,7840,2677,5094,7771,3034,5681,8715,891,934,1825,737,871,1608,781,917,1698,946,674,1620,578,493,1071,734,710,1444,17223,15852,33075,15756,14952,30708,18079,16901,34980,5031,8163,13194,4378,7308,11686,4512,7449,11961,5.5,4.3,4.9,3.7,3.3,3.5,4.1,4.2,4.1,70.0,59.7,64.6,62.9,56.7,59.8,70.1,62.1,66.0,66.2,57.1,61.5,60.6,54.9,57.7,67.3,59.4,63.2,1348,1069,2417,1728,1495,3223,2371,2171,4542,399,639,1038,347,605,952,469,757,1226,5417,5632,11049,5760,6345,12105,7134,8003,15137,1742,2585,4327,1774,2726,4500,2132,3013,5145,3774,2190,5964,3074,1793,4867,3222,1891,5113,19408,20798,40206,18776,20233,39009,21289,22436,43725,6070,6429,12499,4888,5441,10329,5533,5933,11466,11469,12846,24315,11172,12526,23698,12282,13241,25523,12797,13348,26145,11082,11835,22917,12737,13445,26182
105108500,19396,22762,42158,19404,22984,42388,20193,23415,43608,10233,7638,17871,9804,7251,17055,10415,7595,18010,2228,4138,6366,2202,4258,6460,2433,4514,6947,751,806,1557,651,740,1391,566,766,1332,526,434,960,371,337,708,527,490,1017,13738,13016,26754,13028,12586,25614,13941,13365,27306,3901,7536,11437,3803,7542,11345,4073,7706,11779,3.8,3.3,3.6,2.8,2.7,2.8,3.8,3.7,3.7,70.8,57.2,63.5,67.1,54.8,60.4,69.0,57.1,62.6,68.1,55.3,61.2,65.2,53.3,58.8,66.4,55.0,60.3,1798,1242,3040,2051,1660,3711,2521,2203,4724,327,596,923,360,590,950,406,690,1096,5397,5506,10903,5819,6192,12011,6432,7118,13550,1394,2223,3617,1373,2469,3842,1408,2460,3868,1821,1580,3401,1532,1267,2799,1636,1207,2843,15503,17794,33297,15651,18482,34133,17131,19658,36789,4858,5542,10400,4102,4696,8798,4202,4843,9045,8977,10760,19737,9243,11203,20446,10079,11891,21970,10607,11864,22471,9511,10999,20510,10082,11428,21510
