region_id,C11_P_35_39_Tot_LF,C11_P_35_39_Notin_LF,C11_P_35_39_LF_NS,C11_P_35_39_Tot,C11_P_40_44_Em_FT,C11_P_40_44_Em_PT,C11_P_40_44_Em_AFW,C11_P_40_44_Em_Hrs_NS,C11_P_40_44_Em_Tot,C11_P_40_44_Unem_Look_FT,C11_P_40_44_Unem_Look_PT,C11_P_40_44_Unem_Tot,C11_P_40_44_Tot_LF,C11_P_40_44_Notin_LF,C11_P_40_44_LF_NS,C11_P_40_44_Tot,C11_P_45_49_Em_FT,C11_P_45_49_Em_PT,C11_P_45_49_Em_AFW,C11_P_45_49_Em_Hrs_NS,C11_P_45_49_Em_Tot,C11_P_45_49_Unem_Look_FT,C11_P_45_49_Unem_Look_PT,C11_P_45_49_Unem_Tot,C11_P_45_49_Tot_LF,C11_P_45_49_Notin_LF,C11_P_45_49_LF_NS,C11_P_45_49_Tot,C11_P_50_54_Em_FT,C11_P_50_54_Em_PT,C11_P_50_54_Em_AFW,C11_P_50_54_Em_Hrs_NS,C11_P_50_54_Em_Tot,C11_P_50_54_Unem_Look_FT,C11_P_50_54_Unem_Look_PT,C11_P_50_54_Unem_Tot,C11_P_50_54_Tot_LF,C11_P_50_54_Notin_LF,C11_P_50_54_LF_NS,C11_P_50_54_Tot,C11_P_55_59_Em_FT,C11_P_55_59_Em_PT,C11_P_55_59_Em_AFW,C11_P_55_59_Em_Hrs_NS,C11_P_55_59_Em_Tot,C11_P_55_59_Unem_Look_FT,C11_P_55_59_Unem_Look_PT,C11_P_55_59_Unem_Tot,C11_P_55_59_Tot_LF,C11_P_55_59_Notin_LF,C11_P_55_59_LF_NS,C11_P_55_59_Tot,C11_P_60_64_Em_FT,C11_P_60_64_Em_PT,C11_P_60_64_Em_AFW,C11_P_60_64_Em_Hrs_NS,C11_P_60_64_Em_Tot,C11_P_60_64_Unem_Look_FT,C11_P_60_64_Unem_Look_PT,C11_P_60_64_Unem_Tot,C11_P_60_64_Tot_LF,C11_P_60_64_Notin_LF,C11_P_60_64_LF_NS,C11_P_60_64_Tot,C11_P_65_69_Em_FT,C11_P_65_69_Em_PT,C11_P_65_69_Em_AFW,C11_P_65_69_Em_Hrs_NS,C11_P_65_69_Em_Tot,C11_P_65_69_Unem_Look_FT,C11_P_65_69_Unem_Look_PT,C11_P_65_69_Unem_Tot,C11_P_65_69_Tot_LF,C11_P_65_69_Notin_LF,C11_P_65_69_LF_NS,C11_P_65_69_Tot,C11_P_70_74_Em_FT,C11_P_70_74_Em_PT,C11_P_70_74_Em_AFW,C11_P_70_74_Em_Hrs_NS,C11_P_70_74_Em_Tot,C11_P_70_74_Unem_Look_FT,C11_P_70_74_Unem_Look_PT,C11_P_70_74_Unem_Tot,C11_P_70_74_Tot_LF,C11_P_70_74_Notin_LF,C11_P_70_74_LF_NS,C11_P_70_74_Tot,C11_P_75over_Emp_Wor_ft,C11_P_75ov_Em_Work_pt,C11_P_75ov_Em_Aw_fr_w,C11_P_75ov_Emp_Hou_w_ns,C11_P_75andOver_Em_Tot,C11_P_75over_Unem_Lo_ft_w,C11_P_75over_Unem_Lo_pt_w,C11_P_75over_Unemp_Tot,C11_P_75over_Tot_lab_for,C11_P_75over_N_lab_forc,C11_P_75over_LF_NS,C11_P_75over_Tot,C11_P_Tot_Em_FT,C11_P_Tot_Em_PT,C11_P_Tot_Em_AFW,C11_P_Tot_Em_Hrs_NS,C11_P_Tot_Em_Tot,C11_P_Tot_Unem_Look_FT,C11_P_Tot_Unem_Look_PT,C11_P_Tot_Unem_Tot,C11_P_T_T_labo_for,C11_P_Tot_Notin_LF,C11_P_Tot_LF_NS,C11_P_T_T
105157152,6706,956,181,7843,4406,2028,185,110,6729,114,64,178,6907,831,180,7918,4754,1940,163,88,6945,123,60,183,7128,718,164,8010,4686,1814,198,110,6808,99,41,140,6948,856,187,7991,3786,1520,214,77,5597,94,48,142,5739,1231,160,7130,2032,1311,160,60,3563,52,57,109,3672,2479,148,6299,563,637,63,19,1282,11,13,24,1306,3161,144,4611,113,184,10,15,322,3,4,7,329,2558,92,2979,31,73,14,12,130,0,3,3,133,5269,469,5871,36577,18041,2181,1044,57843,1112,968,2080,59923,23607,2406,85936
105200351,2619,1268,343,4230,1506,672,54,100,2332,122,73,195,2527,1118,290,3935,1525,642,66,78,2311,147,76,223,2534,1163,264,3961,1362,560,71,74,2067,118,46,164,2231,1251,252,3734,1010,388,45,55,1498,83,56,139,1637,1257,237,3131,547,280,42,22,891,51,37,88,979,1414,177,2570,159,91,13,10,273,0,11,11,284,1416,156,1856,40,38,6,3,87,0,0,0,87,1421,134,1642,12,17,3,5,37,0,3,3,40,2890,470,3400,12984,6158,737,835,20714,1401,888,2289,23003,20403,3688,47094
105200353,2860,1214,259,4333,1839,753,75,96,2763,122,96,218,2981,1134,244,4359,1982,691,75,84,2832,110,76,186,3018,1115,248,4381,1826,672,91,78,2667,125,60,185,2852,1238,251,4341,1347,493,63,53,1956,85,59,144,2100,1404,233,3737,811,413,42,32,1298,55,17,72,1370,1814,182,3366,257,181,25,10,473,3,11,14,487,1894,174,2555,54,54,9,0,117,0,7,7,124,1677,144,1945,16,33,0,6,55,0,0,0,55,4318,482,4855,15314,6822,829,853,23818,1323,836,2159,25977,22490,3145,51612
105200355,3109,603,131,3843,1997,762,68,69,2896,71,40,111,3007,545,134,3686,2175,793,76,73,3117,76,36,112,3229,542,151,3922,2102,744,78,49,2973,72,36,108,3081,652,148,3881,1492,600,75,32,2199,59,37,96,2295,854,135,3284,857,474,59,36,1426,33,28,61,1487,1327,121,2935,264,228,26,19,537,4,3,7,544,1567,95,2206,32,88,0,9,129,0,0,0,129,1586,88,1803,12,26,0,8,46,0,3,3,49,4069,396,4514,16640,7175,920,626,25361,762,537,1299,26660,15200,1953,43813
105201550,7278,2218,679,10175,4451,1836,187,227,6701,301,197,498,7199,2218,602,10019,4260,1788,141,240,6429,278,151,429,6858,2041,602,9501,3748,1410,152,175,5485,265,138,403,5888,2177,551,8616,2672,1060,116,152,4000,191,95,286,4286,2551,453,7290,1471,824,78,63,2436,110,70,180,2616,3318,472,6406,469,403,32,23,927,4,12,16,943,3804,361,5108,104,151,13,6,274,7,6,13,287,3826,367,4480,34,56,13,10,113,6,8,14,127,7534,1184,8845,34126,16585,1780,1976,54467,2902,1967,4869,59336,42124,8087,109547
105252851,5035,2624,478,8137,3196,1245,115,214,4770,333,185,518,5288,2768,469,8525,3067,1205,98,218,4588,275,182,457,5045,2663,424,8132,2775,1062,123,181,4141,289,196,485,4626,2899,413,7938,1916,710,87,120,2833,182,115,297,3130,3096,345,6571,998,479,71,63,1611,115,74,189,1800,3331,325,5456,276,193,23,24,516,7,11,18,534,3204,306,4044,65,58,3,6,132,0,3,3,135,3207,279,3621,18,46,9,10,83,7,6,13,96,6398,789,7283,24735,10772,1205,1812,38524,2978,1901,4879,43403,43624,5389,92416
105252854,3059,1057,156,4272,2011,798,68,87,2964,118,72,190,3154,1188,156,4498,2411,897,85,129,3522,120,84,204,3726,1248,180,5154,2547,886,119,103,3655,136,79,215,3870,1561,176,5607,2038,678,79,100,2895,95,57,152,3047,1847,179,5073,1115,471,53,48,1687,69,47,116,1803,2158,170,4131,263,163,13,21,460,10,3,13,473,1955,131,2559,45,40,7,9,101,4,0,4,105,1716,154,1975,14,19,4,7,44,0,0,0,44,2701,266,3011,19677,8149,901,1093,29820,1487,962,2449,32269,22103,2221,56593
105254901,5422,1773,514,7709,3426,1152,150,144,4872,193,106,299,5171,1737,492,7400,3432,1048,129,130,4739,218,97,315,5054,1730,466,7250,2905,886,153,125,4069,174,95,269,4338,1863,545,6746,2019,700,114,76,2909,119,56,175,3084,2027,409,5520,1201,569,59,45,1874,72,37,109,1983,2483,383,4849,339,208,26,23,596,7,13,20,616,2683,299,3598,47,82,12,6,147,3,5,8,155,2504,317,2976,9,25,11,7,52,0,0,0,52,4146,627,4825,27689,10244,1458,1288,40679,2264,1292,3556,44235,31341,6369,81945
105254904,4634,1107,236,5977,3178,1068,111,125,4482,101,53,154,4636,1021,222,5879,3268,956,115,152,4491,123,50,173,4664,976,207,5847,2574,733,100,104,3511,107,52,159,3670,988,201,4859,1682,497,70,83,2332,60,47,107,2439,1139,195,3773,845,324,48,58,1275,51,28,79,1354,1342,164,2860,243,129,19,13,404,5,3,8,412,1333,139,1884,46,39,4,4,93,3,0,3,96,1043,107,1246,10,20,0,8,38,0,0,0,38,1620,241,1899,23049,8428,1066,1225,33768,1278,790,2068,35836,17287,2601,55724
105301450,3989,600,118,4707,2537,930,90,58,3615,55,41,96,3711,498,127,4336,2362,770,80,72,3284,51,35,86,3370,426,127,3923,2090,606,84,52,2832,56,22,78,2910,435,107,3452,1505,536,90,42,2173,48,22,70,2243,607,92,2942,886,405,62,32,1385,26,23,49,1434,1042,105,2581,215,199,21,10,445,0,0,0,445,1218,84,1747,37,73,8,3,121,0,3,3,124,1100,90,1314,21,27,0,7,55,0,0,0,55,2162,189,2406,19055,7721,1052,608,28436,709,504,1213,29649,11285,1529,42463
