GCCSA_CODE_2021,P_Mng_0,P_Mng_1_19,P_Mng_20_29,P_Mng_30_34,P_Mng_35_39,P_Mng_40_44,P_Mng_45_49,P_Mng_50_over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_19,P_Pro_20_29,P_Pro_30_34,P_Pro_35_39,P_Pro_40_44,P_Pro_45_49,P_Pro_50_over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_19,P_TTW_20_29,P_TTW_30_34,P_TTW_35_39,P_TTW_40_44,P_TTW_45_49,P_TTW_50_over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_19,P_CPS_20_29,P_CPS_30_34,P_CPS_35_39,P_CPS_40_44,P_CPS_45_49,P_CPS_50_over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_19,P_CA_20_29,P_CA_30_34,P_CA_35_39,P_CA_40_44,P_CA_45_49,P_CA_50_over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_19,P_Sal_20_29,P_Sal_30_34,P_Sal_35_39,P_Sal_40_44,P_Sal_45_49,P_Sal_50_over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_19,P_MOD_20_29,P_MOD_30_34,P_MOD_35_39,P_MOD_40_44,P_MOD_45_49,P_MOD_50_over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_19,P_Lab_20_29,P_Lab_30_34,P_Lab_35_39,P_Lab_40_44,P_Lab_45_49,P_Lab_50_over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_24,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
1GSYD,25091,25478,21697,15603,67451,100354,29868,80166,3172,368876,30709,66401,58876,42182,159454,206120,44792,97324,5875,711729,48347,28791,21824,12054,49170,57538,11707,20475,4654,254555,45517,45465,34779,19875,35878,22661,7655,9603,3629,225062,24006,45057,41613,23014,94675,69189,13345,20558,3038,334504,33454,45802,26707,11537,28775,24823,5415,9594,2458,188556,15868,16234,15690,8441,31591,24658,7096,13629,2821,136033,30720,37561,24741,10253,27137,19305,4241,7029,3345,164335,4713,4260,3554,1737,7815,7506,1294,3386,12789,47052,258428,315046,249471,144687,501946,532150,125407,261774,41783,2430704
1RNSW,6583,10602,11175,9158,27393,37516,14257,49046,1974,167707,12756,25634,28038,21869,50265,53694,15488,30490,1668,239901,9055,14433,13079,10296,41782,50927,13528,25902,2749,181749,14250,36907,30836,21225,28890,16910,5668,8104,2583,165378,7205,21315,23018,14942,40934,24035,5475,7767,1180,145868,7674,34013,17835,8810,17117,10924,3120,5207,1465,106151,4646,7656,6537,4091,16257,17677,7240,20083,1708,85905,9078,35930,18576,10834,22800,20742,5232,10165,2850,136208,1641,2201,1541,988,3493,3176,803,1989,6237,22065,72896,188701,150631,102219,248927,235598,70817,158753,22405,1250938
19499,21,17,14,15,45,61,19,42,3,234,55,64,56,33,83,106,19,78,3,500,40,31,24,22,47,57,10,39,13,279,53,74,62,29,38,40,5,31,5,334,19,41,30,15,61,41,9,18,3,236,29,45,26,19,25,9,3,10,4,171,30,20,25,23,38,35,19,62,3,253,37,97,75,31,64,52,23,34,16,419,9,13,0,0,7,4,0,7,29,77,284,414,316,184,406,405,111,314,87,2511
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
