GCCSA_CODE_2021,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
1GSYD,57272,118986,304665,287652,247142,167752,41769,4208,333,1229785,79413,38971,81950,85594,79364,117231,178165,119095,52715,832495,5851,8611,23576,18997,13879,11518,10659,10711,11868,115676,142533,166569,410190,392253,340388,296496,230601,134013,64908,2177951,13884,90477,374931,380465,320068,198845,39501,2947,178,1421283,57965,89561,142772,142455,122463,103194,43001,7250,553,709200,24837,36776,61335,48944,38412,34872,11601,1517,139,258428,1606,5097,13219,9516,6265,4218,1330,410,125,41783,98284,221909,592249,581378,487206,341136,95433,12129,989,2430704,3307,9914,19855,15833,13797,10356,1452,73,15,74598,11941,10768,10502,7282,5981,6279,1953,220,20,54944,15247,20685,30361,23114,19777,16631,3407,290,36,129539,113531,242589,622605,604491,506987,357764,98835,12415,1018,2560242,168796,81732,139743,133794,131059,197109,319965,217987,86963,1477147,12438,18740,48963,39464,29121,24301,20664,19111,17746,230551,294764,343064,811314,777748,667167,579166,439467,249517,105729,4267941
1RNSW,45961,56628,126617,128696,137317,113542,29196,3580,364,641894,28169,12998,29487,27298,31790,72192,137397,93115,40244,472692,4807,4762,10526,9993,9630,10165,10119,9392,7275,76661,78934,74384,166628,165984,178733,195902,176704,106086,47884,1191247,19702,56536,153251,156543,171086,126156,27114,3409,295,714094,52438,42252,72610,76821,76122,81007,33965,5750,569,441543,7014,7017,17039,12000,11037,13358,4651,668,117,72896,1932,2542,5087,3915,3630,3091,1293,719,201,22405,81082,108351,247988,249276,261879,223613,67024,10539,1190,1250938,3312,5061,7183,5474,5932,5142,677,31,9,32827,7100,3783,4105,3247,3225,4025,1223,107,22,26842,10415,8841,11286,8726,9157,9172,1902,139,30,59669,91498,117188,259280,258005,271037,232781,68923,10679,1222,1310611,60985,24909,47609,45201,56620,126796,258773,174108,65626,860627,10116,10195,21643,20356,20452,21383,20508,16942,11274,152864,162601,152295,328523,323565,348104,380961,348204,201734,78115,2324100
19499,95,154,428,259,226,183,41,0,0,1382,105,130,265,203,242,371,298,88,19,1722,87,134,331,282,204,147,61,21,7,1273,279,418,1022,749,666,698,404,104,32,4381,31,112,408,278,214,148,25,4,0,1229,66,97,287,141,133,136,50,0,0,910,17,24,91,51,49,39,5,0,0,284,6,10,23,15,18,9,6,5,0,87,123,245,809,492,412,338,86,6,0,2511,22,50,98,111,85,47,8,0,0,419,26,41,48,35,32,36,7,0,0,224,46,86,148,147,116,80,18,4,0,647,169,336,963,640,530,423,103,8,0,3161,186,224,484,446,514,772,759,216,33,3630,175,266,745,770,637,460,190,58,18,3319,532,829,2187,1859,1678,1648,1055,277,49,10112
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
