GCCSA_CODE_2021,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
1GSYD,598500,44021,16100,6129,648,272,2087,667760
1RNSW,236001,31257,13553,2748,545,222,2500,286830
19499,0,0,0,0,0,0,0,0
19799,0,0,0,0,0,0,0,0
