GCCSA_CODE_2021,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_resp,Samoan_BP_B_OS,Samoan_FO_B_OS,Samoan_MO_B_OS,Samoan_BP_B_Aus,Samoan_BP_NS,Samoan_Tot_resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_resp
1GSYD,89579,162965,122933,783384,8772,1167625,1506,6105,3177,74353,1053,86188,512111,8795,15514,12996,3268,552680,27022,4257,2586,9892,275,44031,22663,7421,4629,13808,205,48718,322630,127891,91901,692564,9714,1244708,114213,3514,9972,2465,458,130629,20929,3001,2332,7930,142,34332,45143,11310,8223,57436,797,122915,67418,12742,6818,36841,665,124482,11998,2427,1350,3900,92,19767,227307,4081,3194,2150,485,237222,83418,32526,22192,260885,2069,401092,105141,27257,12812,77238,1187,223635,65622,687,2054,590,275,69231,105913,24586,10914,28628,739,170786,20085,2609,1568,4492,165,28916,26746,7972,4383,24001,333,63428,19577,4056,2483,2027,235,28378,19106,7260,5175,3766,193,35505,26355,4017,3264,8184,204,42014,21846,1839,2014,3481,169,29352,24515,3341,1399,943,304,30501,68775,29516,21577,194323,1490,315681,22801,2336,1576,2942,146,29790,23811,3513,2599,1134,107,31159,32544,2003,1866,3354,232,40003,16230,1048,799,695,57,18836,110131,2103,3647,2089,677,118645,10725,2895,1920,9435,80,25055,871371,61108,49533,63970,5676,1051653,46123,3096,2286,12941,245886,310332,2741512,341632,248281,1620768,278959,5231147
1RNSW,14508,89870,67018,953745,11896,1137040,467,5392,2811,161555,2513,172737,19689,1202,1745,5842,210,28697,5502,1328,605,3130,131,10692,15444,5852,3745,12987,230,38255,135916,83359,60925,864352,13016,1157567,16192,704,3934,1077,190,22085,5268,1197,975,6691,92,14217,22808,8361,6113,81019,1014,119314,6741,2135,937,7102,139,17062,3328,1000,418,1860,48,6648,20736,1040,758,1168,87,23792,28642,18061,12229,271799,2699,333425,24304,9110,3518,40441,581,77961,2634,124,310,155,16,3241,3012,1103,537,2724,51,7435,9635,1365,683,3054,97,14834,5321,2034,1150,6854,116,15475,5560,2253,1374,2001,89,11279,6802,4206,2988,2899,137,17031,8094,2072,1344,6062,128,17700,2992,625,601,1877,73,6170,2103,823,284,281,50,3536,35876,22021,15725,228163,2134,303925,4246,613,320,1018,52,6244,5479,1245,929,662,36,8347,5876,852,603,2967,84,10380,1475,278,248,275,10,2283,4487,186,429,194,33,5326,6025,2336,1467,9835,96,19758,107601,19801,15554,37597,1591,182142,5493,1170,923,20293,169253,197131,438138,167640,120847,1904053,198959,2829637
19499,84,252,196,2300,52,2888,3,23,14,608,19,666,227,5,10,18,5,262,15,11,0,12,0,39,75,10,8,26,4,121,551,245,174,1690,53,2715,60,3,20,0,0,83,64,7,0,12,0,90,90,24,16,177,0,314,38,13,3,21,5,79,21,4,4,5,0,27,78,3,0,0,0,92,145,56,27,583,8,821,89,34,9,97,3,231,22,0,0,0,0,22,50,10,6,6,0,73,12,3,0,9,0,20,7,8,6,19,4,39,40,6,5,7,0,58,37,3,18,12,0,67,33,4,0,17,0,47,14,4,3,10,0,36,25,0,3,4,0,30,136,70,52,480,9,752,15,0,0,0,0,16,24,3,0,5,0,40,34,3,0,9,0,44,8,0,0,0,0,11,50,0,0,0,0,61,21,10,4,22,0,60,660,74,47,134,18,933,44,5,4,47,3748,3846,2238,520,360,4349,3900,11371
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
