GCCSA_CODE_2021,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ag_For_Fshg_15_19,F_Ag_For_Fshg_20_24,F_Ag_For_Fshg_25_34,F_Ag_For_Fshg_35_44,F_Ag_For_Fshg_45_54,F_Ag_For_Fshg_55_64,F_Ag_For_Fshg_65_74,F_Ag_For_Fshg_75_84,F_Ag_For_Fshg_85ov,F_Ag_For_Fshg_Tot,F_Mining_15_19,F_Mining_20_24,F_Mining_25_34,F_Mining_35_44,F_Mining_45_54,F_Mining_55_64,F_Mining_65_74,F_Mining_75_84,F_Mining_85ov,F_Mining_Tot,F_Manufact_15_19,F_Manufact_20_24,F_Manufact_25_34,F_Manufact_35_44,F_Manufact_45_54,F_Manufact_55_64,F_Manufact_65_74,F_Manufact_75_84,F_Manufact_85ov,F_Manufact_Tot,F_El_Gas_Wt_Waste_15_19,F_El_Gas_Wt_Waste_20_24,F_El_Gas_Wt_Waste_25_34,F_El_Gas_Wt_Waste_35_44,F_El_Gas_Wt_Waste_45_54,F_El_Gas_Wt_Waste_55_64,F_El_Gas_Wt_Waste_65_74,F_El_Gas_Wt_Waste_75_84,F_El_Gas_Wt_Waste_85ov,F_El_Gas_Wt_Waste_Tot,F_Constru_15_19,F_Constru_20_24,F_Constru_25_34,F_Constru_35_44,F_Constru_45_54,F_Constru_55_64,F_Constru_65_74,F_Constru_75_84,F_Constru_85ov,F_Constru_Tot,F_WhlesaleTde_15_19,F_WhlesaleTde_20_24,F_WhlesaleTde_25_34,F_WhlesaleTde_35_44,F_WhlesaleTde_45_54,F_WhlesaleTde_55_64,F_WhlesaleTde_65_74,F_WhlesaleTde_75_84,F_WhlesaleTde_85ov,F_WhlesaleTde_Tot,F_RetTde_15_19,F_RetTde_20_24,F_RetTde_25_34,F_RetTde_35_44,F_RetTde_45_54,F_RetTde_55_64,F_RetTde_65_74,F_RetTde_75_84,F_RetTde_85ov,F_RetTde_Tot,F_Accom_food_15_19,F_Accom_food_20_24,F_Accom_food_25_34,F_Accom_food_35_44,F_Accom_food_45_54,F_Accom_food_55_64,F_Accom_food_65_74,F_Accom_food_75_84,F_Accom_food_85ov,F_Accom_food_Tot,F_Trans_post_wrehsg_15_19,F_Trans_post_wrehsg_20_24,F_Trans_post_wrehsg_25_34,F_Trans_post_wrehsg_35_44,F_Trans_post_wrehsg_45_54,F_Trans_post_wrehsg_55_64,F_Trans_post_wrehsg_65_74,F_Trans_post_wrehsg_75_84,F_Trans_post_wrehsg_85ov,F_Trans_post_wrehsg_Tot,F_Info_media_teleco_15_19,F_Info_media_teleco_20_24,F_Info_media_teleco_25_34,F_Info_media_teleco_35_44,F_Info_media_teleco_45_54,F_Info_media_teleco_55_64,F_Info_media_teleco_65_74,F_Info_media_teleco_75_84,F_Info_media_teleco_85ov,F_Info_media_teleco_Tot,F_Fin_Insur_15_19,F_Fin_Insur_20_24,F_Fin_Insur_25_34,F_Fin_Insur_35_44,F_Fin_Insur_45_54,F_Fin_Insur_55_64,F_Fin_Insur_65_74,F_Fin_Insur_75_84,F_Fin_Insur_85ov,F_Fin_Insur_Tot,F_RtnHir_REst_15_19,F_RtnHir_REst_20_24,F_RtnHir_REst_25_34,F_RtnHir_REst_35_44,F_RtnHir_REst_45_54,F_RtnHir_REst_55_64,F_RtnHir_REst_65_74,F_RtnHir_REst_75_84,F_RtnHir_REst_85ov,F_RtnHir_REst_Tot,F_Pro_scien_tec_15_19,F_Pro_scien_tec_20_24,F_Pro_scien_tec_25_34,F_Pro_scien_tec_35_44,F_Pro_scien_tec_45_54,F_Pro_scien_tec_55_64,F_Pro_scien_tec_65_74,F_Pro_scien_tec_75_84,F_Pro_scien_tec_85ov,F_Pro_scien_tec_Tot,F_Admin_supp_15_19,F_Admin_supp_20_24,F_Admin_supp_25_34,F_Admin_supp_35_44,F_Admin_supp_45_54,F_Admin_supp_55_64,F_Admin_supp_65_74,F_Admin_supp_75_84,F_Admin_supp_85ov,F_Admin_supp_Tot,F_Public_admin_sfty_15_19,F_Public_admin_sfty_20_24,F_Public_admin_sfty_25_34,F_Public_admin_sfty_35_44,F_Public_admin_sfty_45_54,F_Public_admin_sfty_55_64,F_Public_admin_sfty_65_74,F_Public_admin_sfty_75_84,F_Public_admin_sfty_85ov,F_Public_admin_sfty_Tot,F_Educ_trng_15_19,F_Educ_trng_20_24,F_Educ_trng_25_34,F_Educ_trng_35_44,F_Educ_trng_45_54,F_Educ_trng_55_64,F_Educ_trng_65_74,F_Educ_trng_75_84,F_Educ_trng_85ov,F_Educ_trng_Tot,F_HlthCare_SocAs_15_19,F_HlthCare_SocAs_20_24,F_HlthCare_SocAs_25_34,F_HlthCare_SocAs_35_44,F_HlthCare_SocAs_45_54,F_HlthCare_SocAs_55_64,F_HlthCare_SocAs_65_74,F_HlthCare_SocAs_75_84,F_HlthCare_SocAs_85ov,F_HlthCare_SocAs_Tot,F_Art_recn_15_19,F_Art_recn_20_24,F_Art_recn_25_34,F_Art_recn_35_44,F_Art_recn_45_54,F_Art_recn_55_64,F_Art_recn_65_74,F_Art_recn_75_84,F_Art_recn_85ov,F_Art_recn_Tot,F_Oth_scs_15_19,F_Oth_scs_20_24,F_Oth_scs_25_34,F_Oth_scs_35_44,F_Oth_scs_45_54,F_Oth_scs_55_64,F_Oth_scs_65_74,F_Oth_scs_75_84,F_Oth_scs_85ov,F_Oth_scs_Tot
1GSYD,48144,111568,301213,305092,249396,180407,54783,7988,667,1259257,163,278,726,802,1023,784,338,100,15,4227,5,47,233,268,260,154,32,10,0,1011,1332,2543,8639,10729,10995,7806,1659,136,8,43834,23,255,1208,1559,1343,689,115,8,0,5206,479,2136,8702,9200,7441,4334,1120,132,9,33552,334,1802,6938,8593,7743,4704,1025,112,13,31271,13581,18352,25487,20945,18442,13436,3264,319,20,113850,17596,11928,13810,9139,7229,5229,1099,106,11,66138,486,2087,6848,7648,7492,5063,1027,88,4,30741,397,1809,7177,6792,4576,2214,481,63,3,23506,338,5010,22107,25759,17210,7870,1564,138,19,80006,420,1977,5798,5860,4676,2759,908,213,32,22635,1102,10686,37779,31538,21444,11982,3717,473,16,118733,563,3149,10150,9186,8167,5750,1439,143,7,38554,493,3475,13890,16645,15105,9773,1981,106,9,61474,4235,11450,33347,33789,34042,24322,6404,469,19,148081,4204,22844,61010,54011,51066,41434,10929,903,23,246426,1412,2423,4615,3656,2862,1831,605,102,6,17518,1473,3403,8919,7953,7355,4863,1221,141,8,35331
1RNSW,39936,55330,126160,124729,128767,113949,38463,7010,839,635185,577,1074,2465,2733,3550,4184,3233,1125,145,19083,41,333,1144,1057,835,377,56,4,3,3847,1332,1429,3793,3800,4058,3179,736,81,9,18416,51,144,536,754,899,551,83,8,0,3018,420,926,3171,3476,3324,2686,764,77,3,14855,235,501,1323,1455,1670,1325,390,53,5,6970,11880,8596,11825,10938,12459,10944,2642,234,16,69534,15474,8349,8707,6890,6746,5793,1443,146,9,53564,205,581,1579,1911,2561,2486,756,103,6,10189,224,406,916,908,804,610,189,25,0,4084,160,952,3733,3912,3574,2269,399,50,5,15062,261,788,1875,1754,1970,1416,528,92,5,8691,550,2327,7363,7610,6646,4728,1538,166,6,30942,450,1495,4187,4677,5305,4583,1038,87,0,21826,492,2087,8214,10606,11385,6976,1083,60,0,40903,1783,5077,16019,20142,21846,16562,3865,232,7,85535,3314,12969,34387,32324,36057,33939,7380,367,13,160744,936,917,1558,1442,1385,1001,345,60,7,7642,1399,2327,5281,4492,4381,3122,895,101,7,22004
19499,57,128,435,295,228,187,52,6,0,1388,0,3,35,5,6,5,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,4,19,6,3,10,0,0,0,44,0,0,0,0,6,0,0,0,0,9,0,0,11,4,6,3,0,0,0,30,0,0,5,0,0,3,0,0,0,13,15,20,31,11,22,10,3,0,0,113,26,31,43,13,11,7,0,0,0,137,0,7,8,5,3,0,0,0,0,27,0,0,10,3,0,4,0,0,0,14,0,3,12,9,6,3,0,0,0,34,0,3,3,4,0,0,0,0,0,14,0,3,27,21,16,6,3,0,0,87,0,0,19,15,5,10,0,0,0,56,8,7,11,10,15,13,0,0,0,63,4,6,30,12,19,22,7,0,0,94,0,18,61,40,38,32,16,0,0,199,4,5,21,9,6,0,0,0,0,39,5,0,13,12,9,10,0,0,0,42
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
