GCCSA_CODE_2021,F_Health_Occ_Mng,F_Health_Occ_Pro,F_Health_Occ_TTW,F_Health_Occ_CPS,F_Health_Occ_CA,F_Health_Occ_Sal,F_Health_Occ_MOD,F_Health_Occ_Lab,F_Health_Occ_IDNS,F_Health_Total,F_Educat_Occ_Mng,F_Educat_Occ_Pro,F_Educat_Occ_TTW,F_Educat_Occ_CPS,F_Educat_Occ_CA,F_Educat_Occ_Sal,F_Educat_Occ_MOD,F_Educat_Occ_Lab,F_Educat_Occ_IDNS,F_Educat_Total,F_ManagCom_Occ_Mng,F_ManagCom_Occ_Pro,F_ManagCom_Occ_TTW,F_ManagCom_Occ_CPS,F_ManagCom_Occ_CA,F_ManagCom_Occ_Sal,F_ManagCom_Occ_MOD,F_ManagCom_Occ_Lab,F_ManagCom_Occ_IDNS,F_ManagCom_Total,F_SocietCultu_Occ_Mng,F_SocietCultu_Occ_Pro,F_SocietCultu_Occ_TTW,F_SocietCultu_Occ_CPS,F_SocietCultu_Occ_CA,F_SocietCultu_Occ_Sal,F_SocietCultu_Occ_MOD,F_SocietCultu_Occ_Lab,F_SocietCultu_Occ_IDNS,F_SocietCultu_Total,F_CreatArt_Occ_Mng,F_CreatArt_Occ_Pro,F_CreatArt_Occ_TTW,F_CreatArt_Occ_CPS,F_CreatArt_Occ_CA,F_CreatArt_Occ_Sal,F_CreatArt_Occ_MOD,F_CreatArt_Occ_Lab,F_CreatArt_Occ_IDNS,F_CreatArt_Total,F_FoodHospPersServ_Occ_Mng,F_FoodHospPersServ_Occ_Pro,F_FoodHospPersServ_Occ_TTW,F_FoodHospPersServ_Occ_CPS,F_FoodHospPersServ_Occ_CA,F_FoodHospPersServ_Occ_Sal,F_FoodHospPersServ_Occ_MOD,F_FoodHospPersServ_Occ_Lab,F_FoodHospPersServ_Occ_IDNS,F_FoodHospPersServ_Total,F_MixFieldProg_Occ_Mng,F_MixFieldProg_Occ_Pro,F_MixFieldProg_Occ_TTW,F_MixFieldProg_Occ_CPS,F_MixFieldProg_Occ_CA,F_MixFieldProg_Occ_Sal,F_MixFieldProg_Occ_MOD,F_MixFieldProg_Occ_Lab,F_MixFieldProg_Occ_IDNS,F_MixFieldProg_Total,F_FS_ID_Occ_Mng,F_FS_ID_Occ_Pro,F_FS_ID_Occ_TTW,F_FS_ID_Occ_CPS,F_FS_ID_Occ_CA,F_FS_ID_Occ_Sal,F_FS_ID_Occ_MOD,F_FS_ID_Occ_Lab,F_FS_ID_Occ_IDNS,F_FS_ID_Total,F_FS_NS_Occ_Mng,F_FS_NS_Occ_Pro,F_FS_NS_Occ_TTW,F_FS_NS_Occ_CPS,F_FS_NS_Occ_CA,F_FS_NS_Occ_Sal,F_FS_NS_Occ_MOD,F_FS_NS_Occ_Lab,F_FS_NS_Occ_IDNS,F_FS_NS_Total,F_Tot_Occ_Mng,F_Tot_Occ_Pro,F_Tot_Occ_TTW,F_Tot_Occ_CPS,F_Tot_Occ_CA,F_Tot_Occ_Sal,F_Tot_Occ_MOD,F_Tot_Occ_Lab,F_Tot_Occ_IDNS,F_Total_Total,P_NatPhySci_Occ_Mng,P_NatPhySci_Occ_Pro,P_NatPhySci_Occ_TTW,P_NatPhySci_Occ_CPS,P_NatPhySci_Occ_CA,P_NatPhySci_Occ_Sal,P_NatPhySci_Occ_MOD,P_NatPhySci_Occ_Lab,P_NatPhySci_Occ_IDNS,P_NatPhySci_Total,P_InfoTechn_Occ_Mng,P_InfoTechn_Occ_Pro,P_InfoTechn_Occ_TTW,P_InfoTechn_Occ_CPS,P_InfoTechn_Occ_CA,P_InfoTechn_Occ_Sal,P_InfoTechn_Occ_MOD,P_InfoTechn_Occ_Lab,P_InfoTechn_Occ_IDNS,P_InfoTechn_Total,P_EngRelTech_Occ_Mng,P_EngRelTech_Occ_Pro,P_EngRelTech_Occ_TTW,P_EngRelTech_Occ_CPS,P_EngRelTech_Occ_CA,P_EngRelTech_Occ_Sal,P_EngRelTech_Occ_MOD,P_EngRelTech_Occ_Lab,P_EngRelTech_Occ_IDNS,P_EngRelTech_Total,P_ArchitBuild_Occ_Mng,P_ArchitBuild_Occ_Pro,P_ArchitBuild_Occ_TTW,P_ArchitBuild_Occ_CPS,P_ArchitBuild_Occ_CA,P_ArchitBuild_Occ_Sal,P_ArchitBuild_Occ_MOD,P_ArchitBuild_Occ_Lab,P_ArchitBuild_Occ_IDNS,P_ArchitBuild_Total,P_AgriEnviRelStu_Occ_Mng,P_AgriEnviRelStu_Occ_Pro,P_AgriEnviRelStu_Occ_TTW,P_AgriEnviRelStu_Occ_CPS,P_AgriEnviRelStu_Occ_CA,P_AgriEnviRelStu_Occ_Sal,P_AgriEnviRelStu_Occ_MOD,P_AgriEnviRelStu_Occ_Lab,P_AgriEnviRelStu_Occ_IDNS,P_AgriEnviRelStu_Total,P_Health_Occ_Mng,P_Health_Occ_Pro,P_Health_Occ_TTW,P_Health_Occ_CPS,P_Health_Occ_CA,P_Health_Occ_Sal,P_Health_Occ_MOD,P_Health_Occ_Lab,P_Health_Occ_IDNS,P_Health_Total,P_Educat_Occ_Mng,P_Educat_Occ_Pro,P_Educat_Occ_TTW,P_Educat_Occ_CPS,P_Educat_Occ_CA,P_Educat_Occ_Sal,P_Educat_Occ_MOD,P_Educat_Occ_Lab,P_Educat_Occ_IDNS,P_Educat_Total,P_ManagCom_Occ_Mng,P_ManagCom_Occ_Pro,P_ManagCom_Occ_TTW,P_ManagCom_Occ_CPS,P_ManagCom_Occ_CA,P_ManagCom_Occ_Sal,P_ManagCom_Occ_MOD,P_ManagCom_Occ_Lab,P_ManagCom_Occ_IDNS,P_ManagCom_Total,P_SocietCultu_Occ_Mng,P_SocietCultu_Occ_Pro,P_SocietCultu_Occ_TTW,P_SocietCultu_Occ_CPS,P_SocietCultu_Occ_CA,P_SocietCultu_Occ_Sal,P_SocietCultu_Occ_MOD,P_SocietCultu_Occ_Lab,P_SocietCultu_Occ_IDNS,P_SocietCultu_Total,P_CreatArt_Occ_Mng,P_CreatArt_Occ_Pro,P_CreatArt_Occ_TTW,P_CreatArt_Occ_CPS,P_CreatArt_Occ_CA,P_CreatArt_Occ_Sal,P_CreatArt_Occ_MOD,P_CreatArt_Occ_Lab,P_CreatArt_Occ_IDNS,P_CreatArt_Total
1GSYD,7340,84775,4098,21071,9649,3218,735,1966,992,133843,9634,61253,810,16200,7392,1945,388,1214,609,99445,55813,74245,4386,17952,87107,23181,3053,7824,3902,277461,19326,56578,2586,37440,25687,6717,1345,3839,2001,155514,9481,25585,2743,4439,8822,5286,557,1208,630,58746,4572,1963,7812,7598,8131,4465,843,2926,521,38827,50,111,31,129,191,113,32,136,19,807,2316,3792,508,1685,3059,1106,276,594,367,13708,1496,2552,580,2173,3304,1359,405,1164,3626,16672,125508,356963,33477,115393,169261,53464,9406,24818,14160,902455,11640,29017,6069,3944,7525,3124,1488,2279,888,65972,19682,59791,10430,3848,9034,5348,4684,4705,1825,119339,38187,60503,69868,5710,14021,7615,17307,13333,3074,229614,18368,15325,41456,1836,4601,2492,4021,7014,1281,96409,3337,3684,6289,1144,2000,1067,1317,2732,284,21865,11456,118593,5872,26877,11162,4224,2012,3096,1422,184720,13215,77952,1747,17939,8309,2497,1303,1945,812,125727,123939,148112,14638,26286,115685,43935,15822,17329,7782,513534,34147,93353,5962,52928,33319,10263,4716,6912,3410,245009,15267,43572,7027,6501,11569,8077,2337,2988,1085,98419
1RNSW,4915,48448,3294,17868,6133,2225,464,1895,524,85766,6409,37930,553,11854,4178,1094,222,934,393,63568,17538,15939,2184,8884,42903,10436,1015,4438,1213,104548,7115,20123,1416,31420,10627,3492,596,3164,924,78880,2407,6238,1022,2161,2734,1501,174,747,204,17188,3296,1070,7914,7599,4949,3318,497,2999,362,32007,36,44,14,108,84,82,7,72,0,452,724,1088,247,824,949,320,84,310,137,4681,1016,1131,505,1996,1823,1170,196,1239,1538,10621,48634,141490,21575,85635,79370,25871,4309,18674,5689,431246,3337,7974,2304,1484,1798,710,394,885,226,19111,2676,5997,2363,928,1503,1022,687,1074,202,16446,18628,16541,60696,4174,5031,3936,17330,11368,1795,139497,10878,3522,30752,1549,1695,1284,4542,6486,858,61555,9761,4678,6065,1489,2334,1557,2332,5133,451,33804,6875,63514,4314,22028,6657,2592,1071,2618,714,110385,9176,49981,1398,13336,4657,1452,884,1518,567,82974,34358,28224,5974,12195,48877,16009,4428,7777,1979,159803,11595,29176,2849,42425,12548,4497,1854,4837,1350,111129,3754,9868,2446,3150,3402,2235,628,1636,293,27405
19499,8,79,0,26,9,10,3,3,3,139,7,38,0,15,6,0,0,6,0,67,28,33,7,20,55,19,7,25,3,192,16,37,3,47,16,10,3,26,4,162,6,31,3,10,7,10,3,6,0,77,6,3,9,11,9,10,0,12,0,65,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,9,6,0,0,4,0,4,0,3,3,28,82,241,31,138,118,57,27,109,19,829,10,30,4,3,6,0,4,3,0,63,11,17,6,0,0,0,5,3,0,55,18,39,68,15,8,5,31,33,6,228,9,8,48,3,0,0,10,22,0,107,5,3,12,3,6,0,6,11,3,55,8,116,3,38,12,10,3,6,3,198,9,45,0,13,7,0,6,13,0,90,56,58,13,23,72,32,15,38,5,315,28,67,4,76,20,15,17,38,5,267,6,49,8,13,9,10,10,18,0,121
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
