GCCSA_CODE_2021,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
1GSYD,9105,2905,18926,9937,9730,6305,4126,5923,849,67804,157,211,191,202,258,184,182,333,56,1764,4902,6964,2400,2581,4240,1872,2131,1675,911,27675,4124,4967,4414,3290,4637,2565,3018,3346,8430,38794,307535,664958,195272,163026,236083,99573,64461,73608,32120,1836645
1RNSW,5806,1446,15631,9143,5565,4443,2703,5614,574,50918,65,87,78,155,107,132,60,202,17,891,1778,1970,1370,1384,1311,574,1080,1135,402,11006,2919,1916,3715,2886,2273,1908,2440,3707,3652,25408,121591,224888,139944,116322,97743,42341,40435,53983,13074,850329
19499,11,3,33,9,9,8,3,25,0,108,0,0,0,0,0,0,0,0,0,3,8,10,5,5,0,0,9,3,0,31,4,10,6,3,10,3,8,19,19,84,186,453,205,217,159,95,124,224,44,1714
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
