GCCSA_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
1GSYD,49352,17979,105729,812421,1112892,502735,366649,1214744,258491,4267941
1RNSW,37895,11761,78115,430324,634321,308050,221381,554862,175163,2324100
19499,23,19,49,1561,1512,614,402,2643,3376,10112
19799,0,0,0,0,0,0,0,0,0,0
