GCCSA_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
1GSYD,203081,722036,590650,181932,105239,1802930,25924,1828859
1RNSW,58952,374720,398609,139386,82143,1053802,17806,1071609
19499,0,0,0,0,0,0,0,0
19799,0,0,0,0,0,0,0,0
