GCCSA_CODE_2021,M_Neg_Nil_income_15_19_yrs,M_Neg_Nil_income_20_24_yrs,M_Neg_Nil_income_25_34_yrs,M_Neg_Nil_income_35_44_yrs,M_Neg_Nil_income_45_54_yrs,M_Neg_Nil_income_55_64_yrs,M_Neg_Nil_income_65_74_yrs,M_Neg_Nil_income_75_84_yrs,M_Negtve_Nil_incme_85_yrs_ovr,M_Neg_Nil_income_Tot,M_1_149_15_19_yrs,M_1_149_20_24_yrs,M_1_149_25_34_yrs,M_1_149_35_44_yrs,M_1_149_45_54_yrs,M_1_149_55_64_yrs,M_1_149_65_74_yrs,M_1_149_75_84_yrs,M_1_149_85ov,M_1_149_Tot,M_150_299_15_19_yrs,M_150_299_20_24_yrs,M_150_299_25_34_yrs,M_150_299_35_44_yrs,M_150_299_45_54_yrs,M_150_299_55_64_yrs,M_150_299_65_74_yrs,M_150_299_75_84_yrs,M_150_299_85ov,M_150_299_Tot,M_300_399_15_19_yrs,M_300_399_20_24_yrs,M_300_399_25_34_yrs,M_300_399_35_44_yrs,M_300_399_45_54_yrs,M_300_399_55_64_yrs,M_300_399_65_74_yrs,M_300_399_75_84_yrs,M_300_399_85ov,M_300_399_Tot,M_400_499_15_19_yrs,M_400_499_20_24_yrs,M_400_499_25_34_yrs,M_400_499_35_44_yrs,M_400_499_45_54_yrs,M_400_499_55_64_yrs,M_400_499_65_74_yrs,M_400_499_75_84_yrs,M_400_499_85ov,M_400_499_Tot,M_500_649_15_19_yrs,M_500_649_20_24_yrs,M_500_649_25_34_yrs,M_500_649_35_44_yrs,M_500_649_45_54_yrs,M_500_649_55_64_yrs,M_500_649_65_74_yrs,M_500_649_75_84_yrs,M_500_649_85ov,M_500_649_Tot,M_650_799_15_19_yrs,M_650_799_20_24_yrs,M_650_799_25_34_yrs,M_650_799_35_44_yrs,M_650_799_45_54_yrs,M_650_799_55_64_yrs,M_650_799_65_74_yrs,M_650_799_75_84_yrs,M_650_799_85ov,M_650_799_Tot,M_800_999_15_19_yrs,M_800_999_20_24_yrs,M_800_999_25_34_yrs,M_800_999_35_44_yrs,M_800_999_45_54_yrs,M_800_999_55_64_yrs,M_800_999_65_74_yrs,M_800_999_75_84_yrs,M_800_999_85ov,M_800_999_Tot,M_1000_1249_15_19_yrs,M_1000_1249_20_24_yrs,M_1000_1249_25_34_yrs,M_1000_1249_35_44_yrs,M_1000_1249_45_54_yrs,M_1000_1249_55_64_yrs,M_1000_1249_65_74_yrs,M_1000_1249_75_84_yrs,M_1000_1249_85ov,M_1000_1249_Tot,M_1250_1499_15_19_yrs,M_1250_1499_20_24_yrs,M_1250_1499_25_34_yrs,M_1250_1499_35_44_yrs,M_1250_1499_45_54_yrs,M_1250_1499_55_64_yrs,M_1250_1499_65_74_yrs,M_1250_1499_75_84_yrs,M_1250_1499_85ov,M_1250_1499_Tot,M_1500_1749_15_19_yrs,M_1500_1749_20_24_yrs,M_1500_1749_25_34_yrs,M_1500_1749_35_44_yrs,M_1500_1749_45_54_yrs,M_1500_1749_55_64_yrs,M_1500_1749_65_74_yrs,M_1500_1749_75_84_yrs,M_1500_1749_85ov,M_1500_1749_Tot,M_1750_1999_15_19_yrs,M_1750_1999_20_24_yrs,M_1750_1999_25_34_yrs,M_1750_1999_35_44_yrs,M_1750_1999_45_54_yrs,M_1750_1999_55_64_yrs,M_1750_1999_65_74_yrs,M_1750_1999_75_84_yrs,M_1750_1999_85ov,M_1750_1999_Tot,M_2000_2999_15_19_yrs,M_2000_2999_20_24_yrs,M_2000_2999_25_34_yrs,M_2000_2999_35_44_yrs,M_2000_2999_45_54_yrs,M_2000_2999_55_64_yrs,M_2000_2999_65_74_yrs,M_2000_2999_75_84_yrs,M_2000_2999_85ov,M_2000_2999_Tot,M_3000_3499_15_19_yrs,M_3000_3499_20_24_yrs,M_3000_3499_25_34_yrs,M_3000_3499_35_44_yrs,M_3000_3499_45_54_yrs,M_3000_3499_55_64_yrs,M_3000_3499_65_74_yrs,M_3000_3499_75_84_yrs,M_3000_3499_85ov,M_3000_3499_Tot,M_3500_more_15_19_yrs,M_3500_more_20_24_yrs,M_3500_more_25_34_yrs,M_3500_more_35_44_yrs,M_3500_more_45_54_yrs,M_3500_more_55_64_yrs,M_3500_more_65_74_yrs,M_3500_more_75_84_yrs,M_3500_more_85ov,M_3500_more_Tot,M_PI_NS_15_19_yrs,M_PI_NS_ns_20_24_yrs,M_PI_NS_ns_25_34_yrs,M_PI_NS_ns_35_44_yrs,M_PI_NS_ns_45_54_yrs,M_PI_NS_ns_55_64_yrs,M_PI_NS_ns_65_74_yrs,M_PI_NS_ns_75_84_yrs,M_PI_NS_ns_85_yrs_ovr,M_PI_NS_ns_Tot,M_Tot_15_19_yrs,M_Tot_20_24_yrs,M_Tot_25_34_yrs,M_Tot_35_44_yrs,M_Tot_45_54_yrs,M_Tot_55_64_yrs,M_Tot_65_74_yrs,M_Tot_75_84_yrs,M_Tot_85ov,M_Tot_Tot,F_Neg_Nil_income_15_19_yrs,F_Neg_Nil_income_20_24_yrs,F_Neg_Nil_income_25_34_yrs,F_Neg_Nil_income_35_44_yrs,F_Neg_Nil_income_45_54_yrs,F_Neg_Nil_income_55_64_yrs,F_Neg_Nil_income_65_74_yrs,F_Neg_Nil_income_75_84_yrs,F_Neg_Nil_incme_85_yrs_ovr,F_Neg_Nil_income_Tot,F_1_149_15_19_yrs,F_1_149_20_24_yrs,F_1_149_25_34_yrs,F_1_149_35_44_yrs,F_1_149_45_54_yrs,F_1_149_55_64_yrs,F_1_149_65_74_yrs,F_1_149_75_84_yrs,F_1_149_85ov,F_1_149_Tot,F_150_299_15_19_yrs,F_150_299_20_24_yrs,F_150_299_25_34_yrs,F_150_299_35_44_yrs,F_150_299_45_54_yrs,F_150_299_55_64_yrs,F_150_299_65_74_yrs,F_150_299_75_84_yrs,F_150_299_85ov,F_150_299_Tot
1GSYD,77127,19230,16666,11022,11499,17592,18979,8800,3055,183961,22006,6167,2448,1880,2287,4109,5715,2859,965,48434,14040,12567,6910,5387,6219,9545,11597,7304,2486,76046,6170,11555,11249,8776,10190,15452,29855,24345,7912,125503,5871,11549,11179,8275,9362,13070,21938,16103,6945,104288,8140,17749,17529,11131,10867,13608,17520,11132,3484,111163,5068,20215,23362,14932,13537,15010,13989,8385,2381,116885,2845,21437,38020,24749,21570,21703,13948,6236,1684,152193,1403,19425,53034,36870,30711,28293,15807,5797,1175,192524,433,11687,45450,33626,26292,21942,10939,3434,736,154543,220,6123,40003,33976,26667,20621,8904,2733,635,139882,113,2811,29263,30051,23141,16885,6237,1846,408,110763,90,2723,51913,73214,51901,32898,10039,2710,589,226075,40,418,10318,22566,16892,9753,2952,883,216,64039,47,454,13718,44486,46808,26676,8150,2476,650,143467,8627,12384,30056,24559,18837,15516,12303,10464,7495,140236,152229,176492,401126,385497,326780,282673,208867,115498,40821,2089990,67146,16147,33383,35429,28514,37706,27642,11330,4756,262055,26391,6423,5468,7468,6812,9224,8819,3848,1274,75733,17116,13905,11491,12697,11570,15474,15964,9074,2951,110249
1RNSW,30213,4561,4186,3559,4647,9108,8709,3515,1176,69679,15427,1917,960,943,1441,3012,4205,1824,547,30288,8467,5505,4208,3344,4229,7063,9451,5215,1470,48960,3596,5205,5924,4959,7200,12771,28235,22444,6496,96828,4648,4813,5621,5051,7341,12776,24479,16992,6701,88420,6236,7269,6998,5690,7173,11619,18714,10902,2835,77434,3862,9952,10200,7131,7923,11109,13795,7884,1994,73854,2331,12102,18638,12907,13857,16411,12279,5216,1241,94980,1100,9315,23965,18549,18858,20499,13369,4540,756,110947,356,4848,18138,15459,15055,14711,7637,2225,375,78809,143,2535,15302,14785,14301,13152,5590,1830,461,68097,52,1230,10918,12742,12640,10223,3336,918,212,52267,41,1195,16257,25370,25162,17401,4602,1082,218,91316,12,136,2635,5476,5802,3995,1200,340,62,19654,76,192,2665,7694,9871,7524,2872,960,241,32098,7112,7120,15286,13919,13865,13684,13037,9744,5449,99225,83664,77907,161894,157579,169368,185056,171497,95647,30234,1132855,24988,3488,8140,8192,8984,18409,11359,4227,1823,89610,19223,2075,2635,2927,3188,6031,5836,2293,832,45041,10636,5749,5960,5673,6231,10952,12503,6373,1939,66003
19499,56,28,59,51,51,75,40,7,0,367,16,4,12,14,13,23,11,0,0,104,41,38,61,57,76,57,26,8,0,368,11,49,77,111,103,105,102,26,0,588,9,19,49,45,74,84,167,40,3,492,12,24,48,39,38,51,59,12,0,287,13,37,59,30,27,54,33,17,0,270,7,39,82,47,34,42,18,9,0,275,0,19,90,44,48,43,30,5,0,275,0,8,59,44,35,19,12,0,0,185,0,0,46,33,18,25,9,0,0,135,0,3,35,29,14,17,7,0,0,104,0,4,57,46,29,20,6,5,0,174,0,0,11,15,6,7,0,4,0,42,0,0,19,21,21,14,0,3,0,79,89,138,397,466,415,309,124,36,6,1992,253,411,1164,1108,1010,949,648,166,19,5734,55,36,59,46,52,88,26,7,5,372,29,12,21,16,14,25,6,6,0,123,55,38,53,37,47,62,23,4,0,323
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
