GCCSA_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
1GSYD,37,2427,881,470,2374,0.9,2077,2.7
1RNSW,43,1733,722,330,1852,0.8,1434,2.4
19499,0,0,0,0,0,0,0,0
19799,56,0,1649,0,0,0,0,0
