GCCSA_CODE_2021,Age_yr_0_M,Age_yr_0_F,Age_yr_0_P,Age_yr_1_M,Age_yr_1_F,Age_yr_1_P,Age_yr_2_M,Age_yr_2_F,Age_yr_2_P,Age_yr_3_M,Age_yr_3_F,Age_yr_3_P,Age_yr_4_M,Age_yr_4_F,Age_yr_4_P,Age_yr_0_4_M,Age_yr_0_4_F,Age_yr_0_4_P,Age_yr_5_M,Age_yr_5_F,Age_yr_5_P,Age_yr_6_M,Age_yr_6_F,Age_yr_6_P,Age_yr_7_M,Age_yr_7_F,Age_yr_7_P,Age_yr_8_M,Age_yr_8_F,Age_yr_8_P,Age_yr_9_M,Age_yr_9_F,Age_yr_9_P,Age_yr_5_9_M,Age_yr_5_9_F,Age_yr_5_9_P,Age_yr_10_M,Age_yr_10_F,Age_yr_10_P,Age_yr_11_M,Age_yr_11_F,Age_yr_11_P,Age_yr_12_M,Age_yr_12_F,Age_yr_12_P,Age_yr_13_M,Age_yr_13_F,Age_yr_13_P,Age_yr_14_M,Age_yr_14_F,Age_yr_14_P,Age_yr_10_14_M,Age_yr_10_14_F,Age_yr_10_14_P,Age_yr_15_M,Age_yr_15_F,Age_yr_15_P,Age_yr_16_M,Age_yr_16_F,Age_yr_16_P,Age_yr_17_M,Age_yr_17_F,Age_yr_17_P,Age_yr_18_M,Age_yr_18_F,Age_yr_18_P,Age_yr_19_M,Age_yr_19_F,Age_yr_19_P,Age_yr_15_19_M,Age_yr_15_19_F,Age_yr_15_19_P,Age_yr_20_M,Age_yr_20_F,Age_yr_20_P,Age_yr_21_M,Age_yr_21_F,Age_yr_21_P,Age_yr_22_M,Age_yr_22_F,Age_yr_22_P,Age_yr_23_M,Age_yr_23_F,Age_yr_23_P,Age_yr_24_M,Age_yr_24_F,Age_yr_24_P,Age_yr_20_24_M,Age_yr_20_24_F,Age_yr_20_24_P,Age_yr_25_M,Age_yr_25_F,Age_yr_25_P,Age_yr_26_M,Age_yr_26_F,Age_yr_26_P,Age_yr_27_M,Age_yr_27_F,Age_yr_27_P,Age_yr_28_M,Age_yr_28_F,Age_yr_28_P,Age_yr_29_M,Age_yr_29_F,Age_yr_29_P,Age_yr_25_29_M,Age_yr_25_29_F,Age_yr_25_29_P,Age_yr_30_M,Age_yr_30_F,Age_yr_30_P,Age_yr_31_M,Age_yr_31_F,Age_yr_31_P,Age_yr_32_M,Age_yr_32_F,Age_yr_32_P,Age_yr_33_M,Age_yr_33_F,Age_yr_33_P,Age_yr_34_M,Age_yr_34_F,Age_yr_34_P,Age_yr_30_34_M,Age_yr_30_34_F,Age_yr_30_34_P,Age_yr_35_M,Age_yr_35_F,Age_yr_35_P,Age_yr_36_M,Age_yr_36_F,Age_yr_36_P,Age_yr_37_M,Age_yr_37_F,Age_yr_37_P,Age_yr_38_M,Age_yr_38_F,Age_yr_38_P,Age_yr_39_M,Age_yr_39_F,Age_yr_39_P,Age_yr_35_39_M,Age_yr_35_39_F,Age_yr_35_39_P,Age_yr_40_M,Age_yr_40_F,Age_yr_40_P,Age_yr_41_M,Age_yr_41_F,Age_yr_41_P,Age_yr_42_M,Age_yr_42_F,Age_yr_42_P,Age_yr_43_M,Age_yr_43_F,Age_yr_43_P,Age_yr_44_M,Age_yr_44_F,Age_yr_44_P,Age_yr_40_44_M,Age_yr_40_44_F,Age_yr_40_44_P,Age_yr_45_M,Age_yr_45_F,Age_yr_45_P,Age_yr_46_M,Age_yr_46_F,Age_yr_46_P,Age_yr_47_M,Age_yr_47_F,Age_yr_47_P,Age_yr_48_M,Age_yr_48_F,Age_yr_48_P,Age_yr_49_M,Age_yr_49_F,Age_yr_49_P,Age_yr_45_49_M,Age_yr_45_49_F,Age_yr_45_49_P,Age_yr_50_M,Age_yr_50_F,Age_yr_50_P,Age_yr_51_M,Age_yr_51_F,Age_yr_51_P,Age_yr_52_M,Age_yr_52_F,Age_yr_52_P,Age_yr_53_M,Age_yr_53_F,Age_yr_53_P,Age_yr_54_M,Age_yr_54_F,Age_yr_54_P,Age_yr_50_54_M,Age_yr_50_54_F,Age_yr_50_54_P,Age_yr_55_M,Age_yr_55_F
1GSYD,31675,29689,61363,31807,30414,62225,32305,30254,62565,32130,30081,62214,32877,31127,64006,160794,151568,312364,33542,31910,65452,33569,31439,65004,33624,32167,65795,34117,32235,66350,34165,32307,66471,169015,160061,329072,33599,31667,65269,33650,31703,65355,32902,31222,64129,32775,31153,63925,32508,30592,63100,165443,156334,321768,31471,29496,60970,30756,28600,59359,30100,28033,58138,29923,28197,58121,29979,28204,58189,152229,142533,294764,32880,30544,63425,35372,32685,68060,35242,33027,68269,35849,34316,70168,37146,36004,73152,176492,166569,343064,38225,37040,75265,39329,38583,77913,39496,39385,78881,40073,40164,80235,39910,41333,81235,197024,196510,393535,41108,42781,83889,41406,42963,84366,41307,42795,84103,40226,42594,82813,40056,42552,82604,204099,213685,417779,40850,42273,83123,40876,42201,83078,40989,42072,83053,41156,42259,83411,40040,40694,80731,203911,209496,413405,39534,39254,78789,37365,37152,74513,36044,36587,72632,34587,35155,69747,34060,34603,68667,181586,182755,364341,33575,34375,67950,33536,34380,67916,33637,34765,68408,34043,35319,69366,34778,36303,71080,169568,175147,344721,34672,36885,71552,31951,33474,65419,31306,33058,64363,29984,31642,61630,29296,30183,59481,157208,165240,322446,29536,29926
1RNSW,15346,14721,30065,15919,14993,30914,16057,14881,30933,16037,15282,31312,16307,15695,32001,79655,75571,155229,17354,16250,33608,17081,16254,33334,17476,16518,33995,18126,16817,34947,18174,17255,35430,88216,83093,171313,18046,17026,35068,18340,17700,36038,18456,17425,35887,18346,17569,35914,18631,17459,36094,91820,87172,178998,17759,16868,34628,17270,16191,33467,16664,15701,32375,16247,15232,31480,15717,14943,30658,83664,78934,162601,15848,14705,30549,15578,14956,30532,15510,14985,30492,15335,14813,30143,15640,14929,30571,77907,74384,152295,15516,15270,30782,16025,15992,32011,16133,16158,32288,16248,16550,32800,16608,16822,33437,80528,80789,161317,16439,17350,33788,16745,17439,34181,16103,17106,33209,15976,16892,32867,16114,17053,33162,81370,85838,167210,16368,17032,33395,16364,17131,33494,15914,17122,33030,16172,17064,33230,16048,16624,32672,80859,84966,165827,15802,16871,32667,15415,15991,31409,15199,16015,31219,15048,16068,31112,15256,16075,31340,76723,81022,157744,15567,16276,31842,15933,16541,32472,16577,17474,34047,17102,18216,35315,18311,19339,37644,83478,87841,171323,18690,19573,38258,17098,18004,35101,17167,18194,35363,16284,17389,33676,16650,17734,34389,85888,90890,176779,16633,17582
19499,51,33,89,55,46,101,50,37,95,48,50,102,45,38,82,258,203,460,39,44,86,44,45,89,34,46,78,49,45,98,42,50,84,199,227,428,28,44,73,41,41,77,28,33,60,48,43,93,34,26,59,185,185,369,33,50,83,47,49,96,51,60,114,58,67,121,62,60,123,253,279,532,60,70,135,75,87,158,91,77,169,89,90,171,91,99,189,411,418,829,115,106,223,122,103,220,101,117,219,120,123,242,127,82,211,586,533,1118,117,109,229,111,99,211,143,99,245,103,87,190,102,98,201,574,495,1068,124,77,203,90,79,177,129,87,212,117,68,185,103,78,176,562,392,954,111,79,189,101,61,161,134,79,214,94,72,166,105,62,168,542,357,902,101,63,160,104,76,177,130,68,192,117,65,183,97,64,161,540,332,877,106,75,185,78,66,145,113,69,182,84,49,136,82,72,153,473,333,801,103,62
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
