GCCSA_CODE_2021,M_Mng_0,M_Mng_1_19,M_Mng_20_29,M_Mng_30_34,M_Mng_35_39,M_Mng_40_44,M_Mng_45_49,M_Mng_50_over,M_Mng_hours_NS,M_Mng_Tot,M_Pro_0,M_Pro_1_19,M_Pro_20_29,M_Pro_30_34,M_Pro_35_39,M_Pro_40_44,M_Pro_45_49,M_Pro_50_over,M_Pro_hours_NS,M_Pro_Tot,M_TTW_0,M_TTW_1_19,M_TTW_20_29,M_TTW_30_34,M_TTW_35_39,M_TTW_40_44,M_TTW_45_49,M_TTW_50_over,M_TTW_hours_NS,M_TTW_Tot,M_CPS_0,M_CPS_1_19,M_CPS_20_29,M_CPS_30_34,M_CPS_35_39,M_CPS_40_44,M_CPS_45_49,M_CPS_50_over,M_CPS_hours_NS,M_CPS_Tot,M_CA_0,M_CA_1_19,M_CA_20_29,M_CA_30_34,M_CA_35_39,M_CA_40_44,M_CA_45_49,M_CA_50_over,M_CA_hours_NS,M_CA_Tot,M_Sal_0,M_Sal_1_19,M_Sal_20_29,M_Sal_30_34,M_Sal_35_39,M_Sal_40_44,M_Sal_45_49,M_Sal_50_over,M_Sal_hours_NS,M_Sal_Tot,M_MOD_0,M_MOD_1_19,M_MOD_20_29,M_MOD_30_34,M_MOD_35_39,M_MOD_40_44,M_MOD_45_49,M_MOD_50_over,M_MOD_hours_NS,M_MOD_Tot,M_Lab_0,M_Lab_1_19,M_Lab_20_29,M_Lab_30_34,M_Lab_35_39,M_Lab_40_44,M_Lab_45_49,M_Lab_50_over,M_Lab_hours_NS,M_Lab_Tot,M_ID_NS_0,M_ID_NS_1_19,M_ID_NS_20_29,M_ID_NS_30_34,M_ID_NS_35_39,M_ID_NS_40_44,M_ID_NS_45_49,M_ID_NS_50_over,M_ID_NS_hours_NS,M_ID_NS_Tot,M_Tot_0,M_Tot_1_19,M_Tot_20_29,M_Tot_30_34,M_Tot_35_39,M_Tot_40_44,M_Tot_45_49,M_Tot_50_over,M_Tot_hours_NS,M_Tot_Tot,F_Mng_0,F_Mng_1_19,F_Mng_20_29,F_Mng_30_34,F_Mng_35_39,F_Mng_40_44,F_Mng_45_49,F_Mng_50_over,F_Mng_hours_NS,F_Mng_Tot,F_Pro_0,F_Pro_1_19,F_Pro_20_29,F_Pro_30_34,F_Pro_35_39,F_Pro_40_44,F_Pro_45_49,F_Pro_50_over,F_Pro_hours_NS,F_Pro_Tot,F_TTW_0,F_TTW_1_19,F_TTW_20_29,F_TTW_30_34,F_TTW_35_39,F_TTW_40_44,F_TTW_45_49,F_TTW_50_over,F_TTW_hours_NS,F_TTW_Tot,F_CPS_0,F_CPS_1_19,F_CPS_20_29,F_CPS_30_34,F_CPS_35_39,F_CPS_40_44,F_CPS_45_49,F_CPS_50_over,F_CPS_hours_NS,F_CPS_Tot,F_CA_0,F_CA_1_19,F_CA_20_29,F_CA_30_34,F_CA_35_39,F_CA_40_44,F_CA_45_49,F_CA_50_over,F_CA_hours_NS,F_CA_Tot,F_Sal_0,F_Sal_1_19,F_Sal_20_29,F_Sal_30_34,F_Sal_35_39,F_Sal_40_44,F_Sal_45_49,F_Sal_50_over,F_Sal_hours_NS,F_Sal_Tot,F_MOD_0,F_MOD_1_19,F_MOD_20_29,F_MOD_30_34,F_MOD_35_39,F_MOD_40_44,F_MOD_45_49,F_MOD_50_over,F_MOD_hours_NS,F_MOD_Tot,F_Lab_0,F_Lab_1_19,F_Lab_20_29,F_Lab_30_34,F_Lab_35_39,F_Lab_40_44,F_Lab_45_49,F_Lab_50_over,F_Lab_hours_NS,F_Lab_Tot,F_ID_NS_0,F_ID_NS_1_19,F_ID_NS_20_29,F_ID_NS_30_34,F_ID_NS_35_39,F_ID_NS_40_44,F_ID_NS_45_49,F_ID_NS_50_over,F_ID_NS_hours_NS,F_ID_NS_Tot,F_Tot_0,F_Tot_1_19,F_Tot_20_29,F_Tot_30_34,F_Tot_35_39,F_Tot_40_44,F_Tot_45_49,F_Tot_50_over,F_Tot_hours_NS,F_Tot_Tot
1GSYD,12277,13628,10248,6823,37210,63531,18730,55716,2076,220241,8999,23525,16516,12636,76374,112059,23669,56662,2850,333295,38570,22366,16043,9039,41082,51585,10631,18667,4091,212076,14721,10611,7406,4139,11898,9453,4776,4871,1202,69070,4994,7670,6380,3627,28022,24630,5796,10905,902,92915,9715,16809,10119,4356,14041,14847,3315,6646,1122,80969,13493,12991,12616,6788,26178,22014,6503,12927,2471,115972,20540,23044,14603,6176,17780,14443,3261,5648,2353,107848,2685,2166,1816,894,4176,4583,827,2375,7360,26885,126004,132799,95744,54480,256769,317133,77507,174415,24424,1259257,12815,11853,11443,8776,30238,36823,11134,24447,1098,148631,21706,42879,42358,29540,83079,94060,21124,40662,3026,378435,9776,6422,5779,3012,8094,5956,1070,1807,562,42485,30801,34857,27375,15735,23975,13210,2881,4738,2428,155997,19014,37395,35238,19387,66655,44561,7546,9655,2138,241593,23735,28991,16585,7179,14731,9983,2097,2951,1342,107592,2376,3244,3076,1656,5415,2640,600,704,344,20061,10182,14522,10128,4077,9354,4868,982,1384,990,56488,2027,2088,1731,841,3644,2925,467,1014,5430,20166,132432,182248,153724,90210,245183,215026,47903,87360,17364,1171441
1RNSW,2974,4864,4636,3922,14256,23907,9660,36741,1286,102251,3020,7098,5799,5321,20817,24861,7288,16004,634,90840,6655,9084,8097,7140,35802,46877,12533,24277,2348,152823,4067,7805,5782,4405,9077,6669,3009,3852,685,45350,1191,2556,1953,1354,8395,6588,2060,3333,234,27665,1995,9841,4653,2565,7004,6240,1960,3687,547,38496,4020,6067,5208,3459,14831,16594,6790,18923,1574,77478,5141,18360,9782,6614,16732,16538,4269,8197,1912,87539,816,1058,662,481,1990,2191,599,1511,3426,12735,29880,66738,46568,35260,128917,150468,48177,116532,12644,635185,3611,5744,6538,5234,13138,13607,4591,12306,686,65457,9732,18537,22239,16546,29448,28836,8201,14486,1029,149064,2401,5345,4982,3154,5981,4047,991,1625,396,28928,10184,29103,25056,16820,19811,10245,2661,4249,1897,120023,6016,18761,21063,13590,32531,17445,3414,4432,954,118206,5677,24169,13182,6249,10114,4677,1161,1519,915,67660,628,1593,1327,635,1428,1084,446,1156,128,8421,3938,17573,8798,4215,6062,4203,959,1965,937,48671,828,1145,879,507,1502,979,205,476,2808,9331,43018,121959,104061,66953,120015,85131,22637,42220,9762,615759
19499,11,12,8,4,27,33,10,28,3,133,19,26,18,17,46,59,13,35,5,236,38,28,18,16,39,52,13,35,13,241,7,16,25,5,13,20,8,20,6,122,5,3,6,0,16,12,0,12,3,63,6,12,13,4,10,6,6,7,3,69,30,16,19,19,35,31,19,57,3,216,24,48,46,21,34,39,17,17,12,254,5,7,0,0,5,3,0,3,21,55,152,170,146,86,224,249,75,208,66,1388,13,6,8,12,21,25,11,14,0,104,34,37,36,21,36,48,9,44,3,264,0,8,11,3,9,12,0,3,0,47,43,56,38,18,20,19,3,12,0,216,13,35,23,12,47,26,3,6,0,168,26,33,17,13,14,7,0,0,0,104,0,10,6,0,3,5,0,3,0,35,10,48,29,16,26,17,4,20,6,165,0,4,0,0,0,3,0,0,8,22,136,241,168,98,172,161,35,102,20,1128
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
