GCCSA_CODE_2021,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
1GSYD,1615,5210,12852,16142,6154,31768,4352,18604,1581,98284,10941,45196,30069,37340,28687,31992,12426,20665,4585,221909,71324,213710,67128,54918,71110,38412,28970,34046,12628,592249,112383,197123,55072,42087,78112,31088,27533,26411,11567,581378,98760,134483,46022,39341,74511,27649,29009,28887,8558,487206,57005,84337,34170,28247,57261,20657,26567,27406,5494,341136,14323,27551,8401,6472,16639,6026,6665,7526,1839,95433,2287,3865,793,496,1924,897,497,748,613,12129,231,252,49,22,105,82,9,48,187,989,368876,711729,254555,225062,334504,188556,136033,164335,47052,2430704
1RNSW,1455,1408,12779,14456,3001,25300,2693,18541,1446,81082,5048,11321,22493,23592,9548,14376,5560,14618,1795,108351,23999,57742,45246,34416,25363,16769,15430,24836,4185,247988,37766,59882,35957,29359,29865,14016,16655,21442,4335,249276,43271,53743,32437,31646,36300,16004,19665,24351,4453,261879,35673,41106,26009,26151,31969,14822,19636,24797,3455,223613,15482,13167,6198,5398,8773,4309,5629,6676,1390,67024,4417,1444,580,329,983,512,602,907,773,10539,611,80,47,23,65,51,25,63,241,1190,167707,239901,181749,165378,145868,106151,85905,136208,22065,1250938
19499,4,0,10,29,4,34,4,31,0,123,12,21,36,53,13,34,15,55,5,245,54,192,92,96,58,44,83,175,12,809,60,104,62,60,46,25,63,54,22,492,46,86,36,58,58,23,38,61,13,412,46,64,41,31,50,10,37,40,14,338,7,31,9,3,7,5,9,8,4,86,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,234,500,279,334,236,171,253,419,77,2511
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
