GCCSA_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
1GSYD,709,1100,5468,8523,12711,22424,35154,32337,17840,136263,224,1161,5982,6439,8546,12404,12244,10067,6338,63414,12393,19193,50809,41618,31122,27663,26375,24612,20042,253820,123008,342050,810309,776933,666297,578259,438713,249153,105594,4090321
1RNSW,1024,859,3097,4224,6393,14319,26969,24140,15155,96186,140,265,1033,1116,1317,1633,1892,1742,1133,10273,10189,11272,25233,23470,23029,24677,25813,22664,14368,180705,75377,152068,328346,323408,347900,380788,348036,201626,78082,2235624
19499,12,7,37,52,60,50,73,33,0,318,0,3,9,15,7,14,10,5,4,75,176,272,752,787,651,467,208,66,18,3408,409,824,2186,1856,1677,1649,1055,277,49,9981
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
