GCCSA_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
1GSYD,368876,711729,254555,225062,334504,188556,136033,164335,47052,2430704
1RNSW,167707,239901,181749,165378,145868,106151,85905,136208,22065,1250938
19499,234,500,279,334,236,171,253,419,77,2511
19799,0,0,0,0,0,0,0,0,0,0
