GCCSA_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
1GSYD,380433,254013,125906,50387,2808034
1RNSW,245062,198584,97093,34057,1416203
19499,1165,680,173,28,7237
19799,0,0,0,0,0
