GCCSA_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
1GSYD,70501,48514,62635,55820,47481,39219,27994,19242,13947,385349,963205,637826,811314,777748,667167,579166,439467,249517,105729,5231147
1RNSW,50926,32873,32504,31701,32421,32258,26560,17173,9093,265502,505534,314893,328523,323565,348104,380961,348204,201734,78115,2829637
19499,555,462,763,794,661,469,210,54,14,3980,1260,1357,2187,1859,1678,1648,1055,277,49,11371
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
