GCCSA_CODE_2021,M_AgriForestFish_0,M_AgriForestFish_1_19,M_AgriForestFish_20_29,M_AgriForestFish_30_34,M_AgriForestFish_35_39,M_AgriForestFish_40_44,M_AgriForestFish_45_49,M_AgriForestFish_50_over,M_AgriForestFish_hours_NS,M_AgriForestFish_Tot,M_Min_0,M_Min_1_19,M_Min_20_29,M_Min_30_34,M_Min_35_39,M_Min_40_44,M_Min_45_49,M_Min_50_over,M_Min_hours_NS,M_Min_Tot,M_Mnfg_0,M_Mnfg_1_19,M_Mnfg_20_29,M_Mnfg_30_34,M_Mnfg_35_39,M_Mnfg_40_44,M_Mnfg_45_49,M_Mnfg_50_over,M_Mnfg_hours_NS,M_Mnfg_Tot,M_EGW_WS_0,M_EGW_WS_1_19,M_EGW_WS_20_29,M_EGW_WS_30_34,M_EGW_WS_35_39,M_EGW_WS_40_44,M_EGW_WS_45_49,M_EGW_WS_50_over,M_EGW_WS_hours_NS,M_EGW_WS_Tot,M_Cnstn_0,M_Cnstn_1_19,M_Cnstn_20_29,M_Cnstn_30_34,M_Cnstn_35_39,M_Cnstn_40_44,M_Cnstn_45_49,M_Cnstn_50_over,M_Cnstn_hours_NS,M_Cnstn_Tot,M_WTrade_0,M_WTrade_1_19,M_WTrade_20_29,M_WTrade_30_34,M_WTrade_35_39,M_WTrade_40_44,M_WTrade_45_49,M_WTrade_50_over,M_WTrade_hours_NS,M_WTrade_Tot,M_RTrade_0,M_RTrade_1_19,M_RTrade_20_29,M_RTrade_30_34,M_RTrade_35_39,M_RTrade_40_44,M_RTrade_45_49,M_RTrade_50_over,M_RTrade_hours_NS,M_RTrade_Tot,M_AccomFoodS_0,M_AccomFoodS_1_19,M_AccomFoodS_20_29,M_AccomFoodS_30_34,M_AccomFoodS_35_39,M_AccomFoodS_40_44,M_AccomFoodS_45_49,M_AccomFoodS_50_over,M_AccomFoodS_hours_NS,M_AccomFoodS_Tot,M_TransPostWhse_0,M_TransPostWhse_1_19,M_TransPostWhse_20_29,M_TransPostWhse_30_34,M_TransPostWhse_35_39,M_TransPostWhse_40_44,M_TransPostWhse_45_49,M_TransPostWhse_50_over,M_TransPostWhse_hours_NS,M_TransPostWhse_Tot,M_InfoMedTelecom_0,M_InfoMedTelecom_1_19,M_InfoMedTelecom_20_29,M_InfoMedTelecom_30_34,M_InfoMedTelecom_35_39,M_InfoMedTelecom_40_44,M_InfoMedTelecom_45_49,M_InfoMedTelecom_50_over,M_InfoMedTelecom_hours_NS,M_InfoMedTelecom_Tot,M_FinInsurS_0,M_FinInsurS_1_19,M_FinInsurS_20_29,M_FinInsurS_30_34,M_FinInsurS_35_39,M_FinInsurS_40_44,M_FinInsurS_45_49,M_FinInsurS_50_over,M_FinInsurS_hours_NS,M_FinInsurS_Tot,M_RentHirREserv_0,M_RentHirREserv_1_19,M_RentHirREserv_20_29,M_RentHirREserv_30_34,M_RentHirREserv_35_39,M_RentHirREserv_40_44,M_RentHirREserv_45_49,M_RentHirREserv_50_over,M_RentHirREserv_hours_NS,M_RentHirREserv_Tot,M_ProScieTechServ_0,M_ProScieTechServ_1_19,M_ProScieTechServ_20_29,M_ProScieTechServ_30_34,M_ProScieTechServ_35_39,M_ProScieTechServ_40_44,M_ProScieTechServ_45_49,M_ProScieTechServ_50_over,M_ProScieTechServ_hours_NS,M_ProScieTechServ_Tot,M_AdminSupServ_0,M_AdminSupServ_1_19,M_AdminSupServ_20_29,M_AdminSupServ_30_34,M_AdminSupServ_35_39,M_AdminSupServ_40_44,M_AdminSupServ_45_49,M_AdminSupServ_50_over,M_AdminSupServ_hours_NS,M_AdminSupServ_Tot,M_PubAdmiSafety_0,M_PubAdmiSafety_1_19,M_PubAdmiSafety_20_29,M_PubAdmiSafety_30_34,M_PubAdmiSafety_35_39,M_PubAdmiSafety_40_44,M_PubAdmiSafety_45_49,M_PubAdmiSafety_50_over,M_PubAdmiSafety_hours_NS,M_PubAdmiSafety_Tot,M_EducTrain_0,M_EducTrain_1_19,M_EducTrain_20_29,M_EducTrain_30_34,M_EducTrain_35_39,M_EducTrain_40_44,M_EducTrain_44_49,M_EducTrain_50_over,M_EducTrain_hours_NS,M_EducTrain_Tot,M_HealthCareSocA_0,M_HealthCareSocA_1_19,M_HealthCareSocA_20_29,M_HealthCareSocA_30_34,M_HealthCareSocA_35_39,M_HealthCareSocA_40_44,M_HealthCareSocA_45_49,M_HealthCareSocA_50_over,M_HealthCareSocA_hours_NS,M_HealthCareSocA_Tot,M_ArtRecServ_0,M_ArtRecServ_1_19,M_ArtRecServ_20_29,M_ArtRecServ_30_34,M_ArtRecServ_35_39,M_ArtRecServ_40_44,M_ArtRecServ_45_49,M_ArtRecServ_50_over,M_ArtRecServ_hours_NS,M_ArtRecServ_Tot,M_OthServ_0,M_OthServ_1_19,M_OthServ_20_29,M_OthServ_30_34,M_OthServ_35_39,M_OthServ_40_44,M_OthServ_45_49,M_OthServ_50_over,M_OthServ_hours_NS,M_OthServ_Tot,M_ID_NS_0,M_ID_NS_1_19,M_ID_NS_20_29,M_ID_NS_30_34,M_ID_NS_35_39,M_ID_NS_40_44,M_ID_NS_45_49,M_ID_NS_50_over,M_ID_NS_hours_NS,M_ID_NS_Tot
1GSYD,359,818,672,388,1018,1302,378,1337,98,6369,275,167,146,59,694,1039,307,1119,38,3849,6249,5993,5279,3389,24329,22941,6718,11902,694,87497,810,647,463,398,3801,4710,1240,2672,128,14875,37191,15869,11179,6255,19166,40659,8481,23029,2894,164734,2214,3165,2684,1733,12723,14094,3567,7126,263,47578,10687,18557,13546,6402,18739,17630,4366,8884,1194,100002,17155,20218,9221,3425,6300,5176,1349,3355,999,67200,8679,8371,8919,4561,18130,21389,6499,14278,1439,92254,1632,2004,1476,926,8568,11660,2638,5964,256,35120,1523,2561,2552,2596,20991,31525,7555,19550,535,89381,1305,2518,1737,961,4417,6678,1797,4694,202,24315,3683,9514,7636,4846,28509,52569,10727,28065,928,146473,5094,6290,4967,2220,7253,8008,1567,3221,505,39128,4189,2965,2822,1673,25039,19043,6797,8205,637,71364,4399,10151,4083,2682,13668,11922,3389,7811,397,58508,4133,8750,8123,6324,18571,18844,3943,9653,682,79018,4824,2335,1559,920,3145,3473,690,1730,181,18862,5886,5636,3565,1967,8304,9222,2473,4699,499,42250,5706,6265,5129,2753,13406,15252,3026,7108,11852,70496
1RNSW,1104,3142,2933,2393,4845,8679,3107,17781,930,44924,1517,431,693,327,3452,6108,3359,10409,363,26658,1700,2361,2075,2132,13510,15059,5885,8541,514,51777,515,375,335,421,3517,3877,1166,2174,97,12477,4401,5998,5679,5433,17857,32855,8475,19931,1510,102138,511,1046,741,609,3698,5016,1838,3995,147,17598,2260,10600,5889,3541,9764,7801,2631,4916,509,47913,3937,14062,5484,2619,5190,3873,1248,3356,559,40321,2035,3309,3120,1888,5828,7108,2791,9591,620,36297,268,535,350,256,1353,1369,340,830,28,5319,267,479,451,387,2320,2605,788,1793,60,9147,232,743,457,324,1176,1604,641,1720,72,6971,778,2782,2164,1795,5783,8548,2380,5853,178,30263,994,3670,2429,1612,3299,3302,841,1962,261,18376,2921,2015,1785,1466,17442,12903,4570,5487,432,49017,1218,4070,2533,2158,7013,6124,2132,4532,196,29979,1910,4658,5239,4778,10056,9012,2133,4506,398,42696,809,1600,774,492,1493,1318,263,834,96,7685,1040,2201,1648,1295,5838,6984,2015,4402,290,25720,1448,2668,1795,1344,5481,6322,1554,3920,5380,29921
19499,0,10,9,0,6,13,6,16,8,76,3,6,4,0,5,4,0,23,0,35,7,5,11,6,29,18,6,8,4,90,0,0,4,0,4,5,0,0,0,10,33,21,11,16,30,51,10,35,5,210,4,0,9,4,17,10,5,9,0,48,6,14,16,3,19,9,3,3,5,80,13,34,18,9,12,12,3,0,5,100,12,14,16,0,14,11,10,20,0,110,0,0,0,6,3,10,0,3,0,26,6,4,0,0,7,16,4,4,0,42,4,0,0,0,0,0,0,0,0,6,10,11,9,10,14,23,4,22,0,97,11,11,6,7,5,0,0,8,0,56,10,5,3,5,19,15,6,21,4,86,3,5,6,0,11,4,4,6,0,45,0,11,13,9,15,20,3,13,3,87,10,0,8,0,7,4,5,4,0,38,0,5,5,0,6,3,0,4,3,34,14,16,7,7,13,12,4,11,31,112
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
