"region_id",P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
"1RNSW",47311,10741,58543,385297,160490,20823,566610,1300339,157894,2024843
"1GSYD",65098,14995,81067,708063,235077,26312,969452,2297902,281104,3548458
"19799",0,0,0,3,3,0,6,88,15,109
"19499",71,52,123,1111,552,47,1710,7210,2820,11740
