"region_id",F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Emp_wkd_Tot_15_19,P_Emp_wkd_Tot_20_24,P_Emp_wkd_Tot_25_34,P_Emp_wkd_Tot_35_44,P_Emp_wkd_Tot_45_54,P_Emp_wkd_Tot_55_64,P_Emp_wkd_Tot_65_74,P_Emp_wkd_Tot_75_84,P_Emp_wkd_Tot_85ov,P_Emp_wkd_Tot_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Unem_look_Tot_15_19,P_Unem_look_Tot_20_24,P_Unem_look_Tot_25_34,P_Unem_look_Tot_35_44,P_Unem_look_Tot_45_54,P_Unem_look_Tot_55_64,P_Unem_look_Tot_65_74,P_Unem_look_Tot_75_84,P_Unem_look_Tot_85ov,P_Unem_look_Tot_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
"1RNSW",42674,48548,91498,119891,135027,81181,13667,1885,250,534621,35016,17615,36112,36785,38373,79052,102514,72757,32737,450961,3267,3079,5334,6254,6529,6630,6711,7732,4994,50530,80957,69242,132944,162930,179929,166863,122892,82374,37981,1036112,21070,56528,123963,150008,172978,104280,16202,2199,200,647428,44477,31041,49267,72403,75883,59734,17680,2924,273,353682,3378,3629,9432,8548,9525,8980,2156,455,98,46201,2592,2670,3930,4932,4917,3252,1190,454,127,24064,71517,93868,186592,235891,263303,176246,37228,6032,698,1071375,6051,7428,8859,8002,7648,4614,217,28,7,42854,7379,3737,4100,4349,3742,3152,488,65,11,27023,13430,11165,12959,12351,11390,7766,705,93,18,69877,84947,105033,199551,248242,274693,184012,37933,6125,716,1141252,74695,28957,50256,53955,63882,134447,191053,131486,50292,779023,7230,7123,12135,13826,14994,14518,13566,13642,7535,104569,166872,141113,261942,316023,353569,332977,242552,151253,58543,2024844
"1GSYD",55356,107459,245916,236720,221301,128063,21413,2048,289,1018565,72845,36659,77270,81558,67740,102906,122504,91864,45825,699171,5659,8761,19900,15881,13597,11594,9428,9658,7681,102159,133860,152879,343086,334159,302638,242563,153345,103570,53795,1819895,22013,108600,367454,341049,314878,177247,25242,1536,172,1358191,60075,76309,101693,122654,109847,82348,27653,3786,412,584777,4291,6371,20319,16398,12339,10681,2722,478,85,73684,3603,6596,10666,9556,9118,5206,1330,404,136,46615,89982,197876,500132,489657,446182,275482,56947,6204,805,2063267,6384,12103,18461,14536,13280,7817,448,38,9,73076,12753,10344,8703,8334,6535,4774,905,127,35,52510,19137,22447,27164,22870,19815,12591,1353,165,44,125586,109119,220323,527296,512527,465997,288073,58300,6369,849,2188853,154064,67531,106105,106987,99619,163430,221025,161919,69118,1149798,12602,19405,43493,33974,29362,24104,18815,16952,11100,209807,275785,307259,676894,653488,594978,475607,298140,185240,81067,3548458
"19799",0,0,0,3,6,6,0,0,0,15,0,0,0,0,0,11,17,10,0,38,0,0,0,0,0,0,0,6,0,6,0,0,0,3,6,17,17,16,0,59,0,3,3,3,6,3,0,0,0,18,0,0,0,3,0,4,0,0,0,7,0,0,0,3,3,3,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,3,3,9,9,10,3,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,9,10,3,0,0,37,0,0,0,3,3,15,26,19,0,66,0,0,0,0,3,0,0,6,0,9,0,3,3,12,15,25,29,25,0,112
"19499",150,316,618,300,283,182,16,0,0,1865,170,222,369,276,281,450,270,65,46,2149,54,73,172,155,109,85,60,31,26,765,374,611,1159,731,673,717,346,96,72,4779,83,327,806,473,353,218,21,0,4,2285,74,189,265,170,163,112,28,0,0,1001,13,21,75,46,40,28,0,0,0,223,10,24,38,19,31,16,4,0,0,142,180,561,1184,708,587,374,53,0,4,3651,76,104,219,172,137,57,3,0,0,768,58,39,81,48,31,33,6,0,0,296,134,143,300,220,168,90,9,0,0,1064,314,704,1484,928,755,464,62,0,4,4715,327,400,637,601,593,857,724,176,73,4388,120,208,536,574,544,358,185,63,45,2633,761,1312,2657,2103,1892,1679,971,239,122,11736
