"region_id",M_Emp_FullT_15_19,M_Emp_FullT_20_24,M_Emp_FullT_25_34,M_Emp_FullT_35_44,M_Emp_FullT_45_54,M_Emp_FullT_55_64,M_Emp_FullT_65_74,M_Emp_FullT_75_84,M_Emp_FullT_85ov,M_Emp_FullT_Tot,M_Emp_PartT_15_19,M_Emp_PartT_20_24,M_Emp_PartT_25_34,M_Emp_PartT_35_44,M_Emp_PartT_45_54,M_Emp_PartT_55_64,M_Emp_PartT_65_74,M_Emp_PartT_75_84,M_Emp_PartT_85ov,M_Emp_PartT_Tot,M_Emp_awy_f_wrk_15_19,M_Emp_awy_f_wrk_20_24,M_Emp_awy_f_wrk_25_34,M_Emp_awy_f_wrk_35_44,M_Emp_awy_f_wrk_45_54,M_Emp_awy_f_wrk_55_64,M_Emp_awy_f_wrk_65_74,M_Emp_awy_f_wrk_75_84,M_Emp_awy_f_wrk_85ov,M_Emp_awy_f_wrk_Tot,M_Hours_wkd_NS_15_19,M_Hours_wkd_NS_20_24,M_Hours_wkd_NS_25_34,M_Hours_wkd_NS_35_44,M_Hours_wkd_NS_45_54,M_Hours_wkd_NS_55_64,M_Hours_wkd_NS_65_74,M_Hours_wkd_NS_75_84,M_Hours_wkd_NS_85ov,M_Hours_wkd_NS_Tot,M_Emp_wkd_Tot_15_19,M_Emp_wkd_Tot_20_24,M_Emp_wkd_Tot_25_34,M_Emp_wkd_Tot_35_44,M_Emp_wkd_Tot_45_54,M_Emp_wkd_Tot_55_64,M_Emp_wkd_Tot_65_74,M_Emp_wkd_Tot_75_84,M_Emp_wkd_Tot_85ov,M_Emp_wkd_Tot_Tot,M_Unem_look_FTW_15_19,M_Unem_look_FTW_20_24,M_Unem_look_FTW_25_34,M_Unem_look_FTW_35_44,M_Unem_look_FTW_45_54,M_Unem_look_FTW_55_64,M_Unem_look_FTW_65_74,M_Unem_look_FTW_75_84,M_Unem_look_FTW_85ov,M_Unem_look_FTW_Tot,M_Unem_look_PTW_15_19,M_Unem_look_PTW_20_24,M_Unem_look_PTW_25_34,M_Unem_look_PTW_35_44,M_Unem_look_PTW_45_54,M_Unem_look_PTW_55_64,M_Unem_look_PTW_65_74,M_Unem_look_PTW_75_84,M_Unem_look_PTW_85ov,M_Unem_look_PTW_Tot,M_Unem_look_Tot_15_19,M_Unem_look_Tot_20_24,M_Unem_look_Tot_25_34,M_Unem_look_Tot_35_44,M_Unem_look_Tot_45_54,M_Unem_look_Tot_55_64,M_Unem_look_Tot_65_74,M_Unem_look_Tot_75_84,M_Unem_look_Tot_85ov,M_Unem_look_Tot_Tot,M_Tot_LF_15_19,M_Tot_LF_20_24,M_Tot_LF_25_34,M_Tot_LF_35_44,M_Tot_LF_45_54,M_Tot_LF_55_64,M_Tot_LF_65_74,M_Tot_LF_75_84,M_Tot_LF_85ov,M_Tot_LF_Tot,M_Not_in_LF_15_19,M_Not_in_LF_20_24,M_Not_in_LF_25_34,M_Not_in_LF_35_44,M_Not_in_LF_45_54,M_Not_in_LF_55_64,M_Not_in_LF_65_74,M_Not_in_LF_75_84,M_Not_in_LF_85ov,M_Not_in_LF_Tot,M_LFS_NS_15_19,M_LFS_NS_20_24,M_LFS_NS_25_34,M_LFS_NS_35_44,M_LFS_NS_45_54,M_LFS_NS_55_64,M_LFS_NS_65_74,M_LFS_NS_75_84,M_LFS_NS_85ov,M_LFS_NS_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Emp_FullT_15_19,F_Emp_FullT_20_24,F_Emp_FullT_25_34,F_Emp_FullT_35_44,F_Emp_FullT_45_54,F_Emp_FullT_55_64,F_Emp_FullT_65_74,F_Emp_FullT_75_84,F_Emp_FullT_85ov,F_Emp_FullT_Tot,F_Emp_PartT_15_19,F_Emp_PartT_20_24,F_Emp_PartT_25_34,F_Emp_PartT_35_44,F_Emp_PartT_45_54,F_Emp_PartT_55_64,F_Emp_PartT_65_74,F_Emp_PartT_75_84,F_Emp_PartT_85ov,F_Emp_PartT_Tot,F_Emp_awy_f_wrk_15_19,F_Emp_awy_f_wrk_20_24,F_Emp_awy_f_wrk_25_34,F_Emp_awy_f_wrk_35_44,F_Emp_awy_f_wrk_45_54,F_Emp_awy_f_wrk_55_64,F_Emp_awy_f_wrk_65_74,F_Emp_awy_f_wrk_75_84,F_Emp_awy_f_wrk_85ov,F_Emp_awy_f_wrk_Tot,F_Hours_wkd_NS_15_19,F_Hours_wkd_NS_20_24,F_Hours_wkd_NS_25_34,F_Hours_wkd_NS_35_44,F_Hours_wkd_NS_45_54,F_Hours_wkd_NS_55_64,F_Hours_wkd_NS_65_74,F_Hours_wkd_NS_75_84,F_Hours_wkd_NS_85ov,F_Hours_wkd_NS_Tot,F_Emp_wkd_Tot_15_19,F_Emp_wkd_Tot_20_24,F_Emp_wkd_Tot_25_34,F_Emp_wkd_Tot_35_44,F_Emp_wkd_Tot_45_54,F_Emp_wkd_Tot_55_64,F_Emp_wkd_Tot_65_74,F_Emp_wkd_Tot_75_84,F_Emp_wkd_Tot_85ov,F_Emp_wkd_Tot_Tot,F_Unem_look_FTW_15_19,F_Unem_look_FTW_20_24,F_Unem_look_FTW_25_34,F_Unem_look_FTW_35_44,F_Unem_look_FTW_45_54,F_Unem_look_FTW_55_64,F_Unem_look_FTW_65_74,F_Unem_look_FTW_75_84,F_Unem_look_FTW_85ov,F_Unem_look_FTW_Tot,F_Unem_look_PTW_15_19,F_Unem_look_PTW_20_24,F_Unem_look_PTW_25_34,F_Unem_look_PTW_35_44,F_Unem_look_PTW_45_54,F_Unem_look_PTW_55_64,F_Unem_look_PTW_65_74,F_Unem_look_PTW_75_84,F_Unem_look_PTW_85ov,F_Unem_look_PTW_Tot,F_Unem_look_Tot_15_19,F_Unem_look_Tot_20_24,F_Unem_look_Tot_25_34,F_Unem_look_Tot_35_44,F_Unem_look_Tot_45_54,F_Unem_look_Tot_55_64,F_Unem_look_Tot_65_74,F_Unem_look_Tot_75_84,F_Unem_look_Tot_85ov,F_Unem_look_Tot_Tot
"1RNSW",14483,35034,82388,101050,108091,70096,12101,1690,157,425090,17723,11761,12972,14457,18061,21118,9733,1966,184,107975,1499,1657,3037,3665,4536,4715,1220,265,55,20649,1338,1585,2602,3065,2919,1952,698,256,60,14475,35043,50037,100999,122237,133607,97881,23752,4177,456,568189,3792,4777,5824,5039,4776,3391,181,20,7,27807,3438,1671,1230,1075,1283,1559,333,43,3,10635,7230,6448,7054,6114,6059,4950,514,63,10,38442,42273,56485,108053,128351,139666,102831,24266,4240,466,606631,39679,11342,14144,17170,25509,55395,88539,58729,17555,328062,3963,4044,6801,7572,8465,7888,6855,5910,2541,54039,85915,71871,128998,153093,173640,166114,119660,68879,20562,988732,6587,21494,41575,48958,64887,34184,4101,509,43,222338,26754,19280,36295,57946,57822,38616,7947,958,89,245707,1879,1972,6395,4883,4989,4265,936,190,43,25552,1254,1085,1328,1867,1998,1300,492,198,67,9589,36474,43831,85593,113654,129696,78365,13476,1855,242,503186,2259,2651,3035,2963,2872,1223,36,8,0,15047,3941,2066,2870,3274,2459,1593,155,22,8,16388,6200,4717,5905,6237,5331,2816,191,30,8,31435
"1GSYD",14203,59546,216888,224324,195424,114595,18595,1209,129,844913,25517,34236,37445,28378,28106,28992,14927,2496,290,200387,1978,2855,6294,6277,5954,5352,1576,297,56,30639,1903,3810,6792,6036,5368,3078,794,211,63,28055,43601,100447,267419,265015,234852,152017,35892,4213,538,1103994,3864,7307,10959,8964,8084,5685,380,27,6,45276,6298,5110,3002,1828,1760,2308,615,81,16,21018,10162,12417,13961,10792,9844,7993,995,108,22,66294,53763,112864,281380,275807,244696,160010,36887,4321,560,1170288,81219,30872,28835,25429,31879,60524,98521,70055,23293,450627,6943,10644,23593,18093,15765,12510,9387,7294,3419,107648,141925,154380,333808,319329,292340,233044,144795,81670,27272,1728563,7810,49054,150566,116725,119454,62652,6647,327,43,513278,34558,42073,64248,94276,81741,53356,12726,1290,122,384390,2313,3516,14025,10121,6385,5329,1146,181,29,43045,1700,2786,3874,3520,3750,2128,536,193,73,18560,46381,97429,232713,224642,211330,123465,21055,1991,267,959273,2520,4796,7502,5572,5196,2132,68,11,3,27800,6455,5234,5701,6506,4775,2466,290,46,19,31492,8975,10030,13203,12078,9971,4598,358,57,22,59292
"19799",0,3,3,3,3,0,0,0,0,12,0,0,0,0,0,4,0,0,0,4,0,0,0,3,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,3,6,3,4,3,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,3,4,3,0,0,22,0,0,0,3,3,4,9,9,0,28,0,0,0,0,3,0,0,0,0,3,0,3,3,9,9,8,12,9,0,53,0,0,0,0,3,3,0,0,0,6,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,6,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19499",54,202,515,344,238,151,16,0,4,1524,32,88,119,88,72,54,17,0,0,470,8,6,38,27,24,13,0,0,0,116,6,13,21,19,25,8,4,0,0,96,100,309,693,478,359,226,37,0,4,2206,40,63,142,133,94,43,3,0,0,518,24,16,31,17,19,13,6,0,0,126,64,79,173,150,113,56,9,0,0,644,164,388,866,628,472,282,46,0,4,2850,157,178,268,325,312,407,454,111,27,2239,66,135,364,419,435,273,125,32,19,1868,387,701,1498,1372,1219,962,625,143,50,6957,29,125,291,129,115,67,5,0,0,761,42,101,146,82,91,58,11,0,0,531,5,15,37,19,16,15,0,0,0,107,4,11,17,0,6,8,0,0,0,46,80,252,491,230,228,148,16,0,0,1445,36,41,77,39,43,14,0,0,0,250,34,23,50,31,12,20,0,0,0,170,70,64,127,70,55,34,0,0,0,420
