"region_id",P_85y_ov_DNUDW_,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW_,P_Tot_UDW_NS,P_Tot_Total
"1RNSW",28041,11726,58544,394487,520306,275267,243834,416039,174911,2024844
"1GSYD",37977,16025,81066,830057,869468,384960,315338,843394,305239,3548456
"19799",0,0,0,9,9,6,6,70,14,114
"19499",66,49,124,2359,1816,643,574,3420,2924,11736
